LGA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
LGA22250,..,6,126,248,368,468,446,268,64,1997,..,33,91,77,64,45,31,9,3,350,..,0,5,11,18,13,7,11,3,62,806,..,..,..,..,..,..,..,..,806,..,216,..,..,..,..,..,..,..,216,..,177,60,37,34,11,0,0,0,333,..,22,15,3,8,12,12,3,4,67,..,6,3,3,3,0,4,0,0,23,..,22,21,7,11,17,12,7,0,102,..,21,43,57,115,161,137,88,33,660,14,20,15,6,21,12,22,8,3,124,820,527,381,451,641,731,675,389,112,4737,..,13,176,278,410,497,409,198,36,2013,..,51,111,65,72,45,27,3,0,374,..,9,43,54,69,20,24,16,22,261,769,..,..,..,..,..,..,..,..,769,..,209,..,..,..,..,..,..,..,209,..,92,21,18,14,16,0,0,0,166,..,17,0,4,3,11,13,7,4,56,..,4,3,3,3,0,0,0,0,21
LGA22310,..,83,3540,6174,5832,4560,3174,1651,661,25680,..,313,1750,1017,767,490,198,44,14,4598,..,5,24,120,272,214,81,43,58,812,12516,..,..,..,..,..,..,..,..,12516,..,4176,..,..,..,..,..,..,..,4176,..,1445,1290,415,284,145,40,0,0,3617,..,372,328,82,71,99,83,42,37,1121,..,314,363,83,41,38,13,9,3,853,..,1264,1531,316,220,206,113,55,23,3726,..,238,899,867,888,964,792,475,339,5462,114,156,242,140,98,69,59,43,31,959,12625,8361,9966,9212,8489,6787,4551,2366,1170,63519,..,212,4608,6449,5950,4305,2815,1314,295,25951,..,457,1785,945,770,386,135,21,3,4500,..,23,200,757,1239,664,281,225,206,3599,11943,..,..,..,..,..,..,..,..,11943,..,4010,..,..,..,..,..,..,..,4010,..,1022,1077,252,182,129,21,0,0,2689,..,348,292,75,110,215,200,198,137,1583,..,331,276,40,18,20,8,3,4,710
LGA22410,..,7,197,472,747,849,664,342,73,3362,..,82,175,156,151,125,47,10,3,751,..,3,3,34,70,28,17,12,12,179,1479,..,..,..,..,..,..,..,..,1479,..,379,..,..,..,..,..,..,..,379,..,361,124,65,54,20,4,0,0,624,..,21,15,16,17,13,15,14,3,106,..,21,7,5,4,5,0,0,0,49,..,45,37,14,35,41,21,10,0,210,..,56,97,134,229,282,246,116,51,1214,21,45,42,24,29,30,37,11,8,246,1506,1018,696,926,1340,1404,1045,510,147,8594,..,13,297,583,797,847,592,239,40,3406,..,124,192,148,161,110,36,3,0,773,..,19,110,175,158,73,33,30,14,613,1435,..,..,..,..,..,..,..,..,1435,..,342,..,..,..,..,..,..,..,342,..,174,64,31,14,13,3,0,0,306,..,29,3,3,10,26,18,16,14,117,..,26,6,3,3,3,0,0,0,43
LGA22490,..,15,420,933,1026,944,685,214,34,4280,..,52,203,226,185,102,45,7,0,822,..,0,9,36,49,30,11,7,3,144,2380,..,..,..,..,..,..,..,..,2380,..,575,..,..,..,..,..,..,..,575,..,471,155,76,39,22,6,0,0,769,..,28,7,10,20,24,16,8,6,126,..,27,12,7,16,15,6,0,0,89,..,17,21,20,16,21,18,10,3,126,..,20,59,95,135,182,155,62,15,724,21,37,32,25,25,20,17,3,0,189,2400,1242,919,1432,1519,1366,954,311,65,10222,..,27,572,1008,1115,923,543,138,13,4343,..,74,228,236,173,85,33,3,0,840,..,14,64,142,139,67,35,24,8,499,2261,..,..,..,..,..,..,..,..,2261,..,549,..,..,..,..,..,..,..,549,..,323,109,25,15,10,0,0,0,480,..,20,6,7,12,26,29,23,19,131,..,19,7,5,6,11,3,0,0,52
LGA22620,..,103,2046,3310,3615,3843,3154,1661,384,18113,..,552,1401,784,683,413,164,50,12,4048,..,19,71,159,338,188,55,43,33,901,10113,..,..,..,..,..,..,..,..,10113,..,2383,..,..,..,..,..,..,..,2383,..,1935,807,368,247,112,17,0,0,3474,..,262,146,63,83,93,65,38,30,772,..,203,150,76,58,33,22,7,3,546,..,716,534,172,177,171,111,45,11,1934,..,233,645,685,891,1082,871,508,233,5153,171,277,252,168,120,124,89,47,12,1260,10287,6679,6051,5771,6198,6052,4552,2393,719,48707,..,171,2625,3596,3842,3860,2837,1235,205,18379,..,794,1440,800,663,343,130,32,5,4212,..,242,760,1150,1088,564,218,184,111,4314,9487,..,..,..,..,..,..,..,..,9487,..,2449,..,..,..,..,..,..,..,2449,..,1245,468,150,111,81,16,0,0,2077,..,274,113,25,93,143,153,113,68,978,..,180,79,34,20,15,0,0,0,330
LGA22670,..,261,5222,5944,5099,4706,3584,1980,474,27280,..,189,852,518,424,268,111,46,9,2414,..,19,76,198,293,302,122,73,52,1133,13316,..,..,..,..,..,..,..,..,13316,..,4364,..,..,..,..,..,..,..,4364,..,2605,2614,952,511,206,24,0,0,6917,..,1059,902,318,318,254,201,92,48,3189,..,736,891,358,274,171,46,13,3,2490,..,1296,1843,852,512,283,145,47,8,4988,..,161,663,748,921,931,834,481,210,4962,155,224,350,251,174,101,109,48,14,1434,13476,10925,13425,10141,8532,7219,5180,2773,823,72492,..,879,6821,5956,4805,4289,3089,1278,197,27324,..,297,918,516,375,235,85,23,0,2443,..,153,761,1472,1578,989,531,360,225,6059,12574,..,..,..,..,..,..,..,..,12574,..,4302,..,..,..,..,..,..,..,4302,..,1762,1712,481,303,141,33,0,0,4428,..,733,525,173,280,595,463,360,240,3372,..,418,433,135,107,61,30,13,5,1198
LGA22750,..,141,4395,7769,7886,8139,6824,3578,984,39709,..,825,2852,1775,1285,855,388,104,19,8095,..,21,96,342,600,363,164,98,73,1772,20197,..,..,..,..,..,..,..,..,20197,..,5390,..,..,..,..,..,..,..,5390,..,3967,2087,874,544,227,36,0,0,7740,..,586,361,133,156,143,112,101,34,1632,..,382,364,139,111,64,24,8,3,1095,..,1547,1352,354,328,262,208,75,16,4129,..,421,1201,1313,1926,2107,1623,986,571,10145,348,511,480,304,234,247,155,105,39,2418,20545,13788,13198,12998,13073,12401,9532,5050,1743,102319,..,294,5671,8293,8332,8091,6290,2766,463,40203,..,1195,2998,1681,1343,772,294,65,8,8354,..,335,1262,2247,2507,1198,459,393,283,8680,19149,..,..,..,..,..,..,..,..,19149,..,5531,..,..,..,..,..,..,..,5531,..,2638,1355,392,271,179,29,0,0,4862,..,469,260,101,170,337,300,220,133,1992,..,350,193,49,61,35,15,4,3,710
LGA22830,..,69,1274,1949,2261,2240,1747,912,257,10711,..,220,662,400,355,219,121,30,9,2014,..,13,35,95,181,91,51,28,12,510,6013,..,..,..,..,..,..,..,..,6013,..,1456,..,..,..,..,..,..,..,1456,..,1214,504,257,133,52,3,0,0,2167,..,186,98,43,58,52,40,18,13,509,..,100,85,49,48,21,9,3,0,319,..,202,277,129,110,99,68,23,6,905,..,104,347,374,590,608,466,282,105,2875,139,131,141,117,82,60,67,40,9,782,6152,3705,3423,3415,3811,3452,2567,1335,410,28266,..,169,1601,2145,2367,2180,1557,662,122,10807,..,335,651,415,343,203,70,12,8,2037,..,117,392,646,611,272,100,91,47,2288,5614,..,..,..,..,..,..,..,..,5614,..,1489,..,..,..,..,..,..,..,1489,..,764,258,65,58,36,10,0,0,1189,..,126,58,21,54,75,84,64,30,501,..,80,45,12,18,7,3,0,3,169
LGA22910,..,6,154,347,478,628,608,268,43,2518,..,29,108,190,184,142,67,13,4,734,..,0,0,31,31,35,14,9,10,132,1075,..,..,..,..,..,..,..,..,1075,..,190,..,..,..,..,..,..,..,190,..,245,121,41,43,20,0,0,0,465,..,16,6,5,10,11,9,11,3,74,..,19,11,5,10,11,4,4,0,60,..,14,20,26,36,34,35,12,0,173,..,14,34,63,163,227,202,96,52,850,12,30,27,26,25,39,31,9,0,191,1084,560,485,729,984,1144,968,408,100,6469,..,11,198,402,534,655,540,174,25,2542,..,41,130,184,189,143,38,6,0,725,..,16,51,105,130,65,39,25,27,459,1104,..,..,..,..,..,..,..,..,1104,..,237,..,..,..,..,..,..,..,237,..,146,67,20,18,17,3,0,0,276,..,11,6,0,3,19,18,18,22,95,..,11,7,3,3,4,7,0,0,39
LGA22980,..,3,83,150,215,259,217,136,43,1102,..,19,43,26,24,25,12,3,0,158,..,0,0,9,9,15,7,0,0,39,419,..,..,..,..,..,..,..,..,419,..,110,..,..,..,..,..,..,..,110,..,81,33,9,14,6,0,0,0,143,..,15,3,0,3,8,7,3,3,39,..,4,8,3,4,3,3,0,0,20,..,17,10,9,12,9,10,0,0,71,..,15,35,34,60,94,89,50,26,392,9,8,10,8,11,8,9,7,7,66,423,278,232,247,343,423,347,200,74,2569,..,10,112,153,234,284,196,101,29,1119,..,32,42,27,34,20,9,3,0,163,..,3,13,29,43,9,15,14,18,132,389,..,..,..,..,..,..,..,..,389,..,117,..,..,..,..,..,..,..,117,..,44,12,10,11,4,3,0,0,88,..,4,0,0,3,8,7,4,4,34,..,8,3,0,0,3,0,0,0,13
LGA23110,..,51,2055,3759,3373,2880,2014,1127,301,15567,..,134,1126,853,664,354,128,21,3,3295,..,5,32,104,209,195,67,66,42,710,7818,..,..,..,..,..,..,..,..,7818,..,2262,..,..,..,..,..,..,..,2262,..,1461,1197,427,302,134,28,0,0,3542,..,293,287,126,107,106,90,48,23,1074,..,139,191,54,60,33,18,5,0,505,..,344,632,186,184,142,70,27,11,1610,..,103,434,550,722,744,491,325,178,3546,104,126,164,111,104,84,52,35,17,785,7925,4919,6124,6159,5734,4673,2959,1657,577,40720,..,190,2686,3908,3485,2757,1758,829,139,15763,..,244,1207,893,622,304,101,18,3,3394,..,53,282,671,932,548,260,240,127,3122,7546,..,..,..,..,..,..,..,..,7546,..,2287,..,..,..,..,..,..,..,2287,..,1003,781,215,166,103,21,0,0,2284,..,219,182,74,86,181,151,129,101,1120,..,119,138,32,21,20,3,0,0,333
LGA23190,..,11,349,578,721,750,586,370,100,3461,..,95,266,106,95,79,19,5,3,672,..,8,12,37,44,29,12,8,10,151,1850,..,..,..,..,..,..,..,..,1850,..,349,..,..,..,..,..,..,..,349,..,345,111,41,40,25,0,0,0,576,..,48,20,10,11,10,6,12,4,128,..,26,13,5,10,3,0,0,0,63,..,72,59,15,20,10,11,0,3,195,..,55,132,116,165,233,152,108,52,1027,33,52,41,27,23,27,19,12,0,237,1881,1053,1016,942,1130,1171,815,517,168,8699,..,23,453,654,746,733,573,266,56,3509,..,155,228,125,89,65,19,3,0,685,..,39,124,178,151,74,21,30,29,658,1649,..,..,..,..,..,..,..,..,1649,..,350,..,..,..,..,..,..,..,350,..,201,66,21,16,10,8,0,0,310,..,30,17,4,6,21,16,6,8,113,..,35,4,6,5,0,0,0,3,50
LGA23270,..,226,6000,8646,8390,6557,4166,1819,320,36120,..,356,1502,978,816,408,133,37,14,4239,..,19,93,253,519,374,149,104,41,1545,21261,..,..,..,..,..,..,..,..,21261,..,6231,..,..,..,..,..,..,..,6231,..,5032,3751,1093,554,182,24,0,0,10635,..,734,725,262,217,217,156,98,39,2457,..,267,408,158,150,84,21,6,0,1096,..,489,822,266,237,200,111,29,9,2168,..,205,749,863,1063,896,655,345,141,4912,272,282,400,263,198,130,106,60,14,1717,21532,13856,14443,12775,12144,9041,5523,2487,584,92381,..,825,8034,8701,8265,5900,3401,1083,135,36345,..,529,1546,981,757,349,109,24,0,4294,..,229,1118,1852,2199,1153,539,336,167,7590,20024,..,..,..,..,..,..,..,..,20024,..,6926,..,..,..,..,..,..,..,6926,..,3424,2448,567,298,131,20,0,0,6882,..,538,404,141,271,505,513,368,185,2920,..,255,213,76,65,48,13,5,3,686
LGA23350,..,4,180,501,639,737,604,256,54,2970,..,25,129,122,160,104,57,12,0,617,..,0,10,18,49,23,6,3,6,114,1343,..,..,..,..,..,..,..,..,1343,..,300,..,..,..,..,..,..,..,300,..,274,91,48,26,13,5,3,0,464,..,12,7,8,12,12,11,7,3,74,..,11,11,11,9,4,0,0,0,55,..,11,32,4,26,36,18,6,3,137,..,18,30,59,125,169,149,79,27,665,18,28,25,18,9,27,29,3,3,169,1354,692,518,797,1052,1134,892,376,94,6912,..,17,262,561,717,736,538,160,24,3019,..,55,134,146,153,111,33,8,0,635,..,9,52,126,146,57,26,25,19,453,1318,..,..,..,..,..,..,..,..,1318,..,335,..,..,..,..,..,..,..,335,..,175,43,16,14,13,3,0,0,260,..,17,10,5,10,10,23,8,5,93,..,17,5,0,5,3,0,3,0,35
LGA23430,..,66,3086,6549,6325,5190,3967,2320,662,28160,..,276,1714,1249,904,498,200,64,9,4926,..,4,30,185,380,318,130,93,52,1192,13016,..,..,..,..,..,..,..,..,13016,..,3953,..,..,..,..,..,..,..,3953,..,2529,1870,721,478,193,25,0,0,5811,..,401,370,97,121,139,118,57,35,1339,..,276,291,85,68,49,19,7,0,801,..,526,750,291,223,228,140,56,14,2236,..,183,764,918,1136,1124,924,573,346,5968,148,193,229,181,122,115,113,50,35,1182,13168,8408,9104,10275,9761,7851,5639,3221,1163,68590,..,179,4128,7073,6421,4929,3661,1719,291,28392,..,383,1828,1259,897,430,165,38,15,5007,..,51,350,1045,1615,977,421,323,205,4985,12406,..,..,..,..,..,..,..,..,12406,..,4139,..,..,..,..,..,..,..,4139,..,1678,1442,355,248,139,31,4,0,3897,..,374,272,75,136,295,279,261,159,1858,..,245,156,43,32,28,12,3,0,519
LGA23670,..,55,3396,6367,6801,6705,4629,2106,474,30542,..,292,1521,955,877,493,167,33,7,4350,..,11,65,169,389,288,126,60,30,1138,13380,..,..,..,..,..,..,..,..,13380,..,5058,..,..,..,..,..,..,..,5058,..,3301,2598,757,398,119,10,0,0,7182,..,395,368,118,144,149,104,72,45,1394,..,223,322,136,113,51,43,4,3,895,..,258,499,228,220,183,101,44,6,1543,..,151,561,728,955,884,671,458,219,4624,163,228,224,150,114,96,92,44,15,1123,13544,9974,9560,9612,10004,8969,5941,2834,793,71223,..,155,4432,6903,7196,6454,3957,1456,227,30773,..,463,1561,974,846,406,134,19,5,4414,..,107,508,1129,1788,952,383,249,134,5239,12526,..,..,..,..,..,..,..,..,12526,..,5028,..,..,..,..,..,..,..,5028,..,2565,1810,363,191,99,21,0,0,5056,..,334,235,97,135,334,330,278,149,1901,..,226,217,63,42,31,11,6,3,597
LGA23810,..,63,1225,1910,2267,2695,2124,1087,268,11654,..,393,887,517,481,297,131,37,5,2736,..,12,60,164,218,134,52,27,17,685,6267,..,..,..,..,..,..,..,..,6267,..,1454,..,..,..,..,..,..,..,1454,..,1411,587,246,157,72,9,0,0,2486,..,158,99,39,56,48,40,20,17,473,..,92,84,48,38,20,7,7,0,301,..,237,246,86,129,99,68,28,5,888,..,193,561,546,780,944,679,371,140,4212,128,204,178,116,108,100,80,25,11,947,6394,4228,3925,3665,4240,4404,3185,1594,465,32096,..,91,1635,2113,2484,2729,1879,782,111,11828,..,577,882,540,473,266,94,24,5,2853,..,207,637,795,762,301,162,126,76,3058,5910,..,..,..,..,..,..,..,..,5910,..,1492,..,..,..,..,..,..,..,1492,..,901,327,112,70,44,8,0,0,1458,..,120,69,18,69,82,77,65,31,528,..,97,42,12,18,12,3,3,0,184
LGA23940,..,3,62,192,237,368,312,148,34,1355,..,11,51,45,43,52,18,11,0,225,..,0,0,5,20,19,7,7,6,63,517,..,..,..,..,..,..,..,..,517,..,118,..,..,..,..,..,..,..,118,..,93,45,24,25,18,0,0,0,201,..,7,3,4,9,3,14,8,8,54,..,7,3,3,5,4,7,0,0,28,..,11,10,3,16,23,23,10,3,96,..,11,41,47,91,143,157,71,33,593,15,11,12,6,22,24,21,3,4,120,532,270,225,325,467,647,552,260,82,3366,..,3,108,200,295,355,265,118,16,1360,..,22,48,37,50,42,12,5,0,221,..,15,21,33,46,24,15,14,14,177,532,..,..,..,..,..,..,..,..,532,..,140,..,..,..,..,..,..,..,140,..,51,18,12,16,4,0,0,0,100,..,11,3,3,7,7,10,8,3,42,..,3,0,0,3,3,3,0,0,11
LGA24130,..,9,635,1845,2113,1938,1607,596,120,8856,..,73,389,417,442,266,99,17,3,1709,..,7,9,43,104,73,31,17,19,296,4515,..,..,..,..,..,..,..,..,4515,..,1208,..,..,..,..,..,..,..,1208,..,896,412,134,78,32,4,0,0,1555,..,53,31,11,20,34,28,12,11,204,..,35,47,13,21,16,14,0,0,155,..,46,79,32,49,69,46,16,3,333,..,37,98,135,288,328,325,161,61,1422,29,67,68,48,39,45,48,11,3,365,4545,2435,1757,2690,3148,2799,2204,829,216,20616,..,35,852,2069,2298,1920,1366,395,59,8996,..,114,419,476,396,215,80,7,0,1697,..,23,102,285,418,181,77,51,34,1177,4280,..,..,..,..,..,..,..,..,4280,..,1269,..,..,..,..,..,..,..,1269,..,572,267,73,38,29,9,0,0,993,..,48,23,5,11,68,79,62,33,335,..,48,29,17,10,4,3,4,0,118
LGA24210,..,32,2001,4466,5667,5135,4355,2961,711,25337,..,116,636,429,406,265,107,42,9,2010,..,9,14,84,223,199,80,74,43,720,9344,..,..,..,..,..,..,..,..,9344,..,4319,..,..,..,..,..,..,..,4319,..,1756,2016,571,456,127,19,0,0,4953,..,369,259,87,63,104,74,67,40,1068,..,284,234,74,52,36,16,10,0,702,..,317,434,135,83,98,66,28,3,1170,..,154,349,367,463,406,402,398,221,2768,66,111,125,82,79,62,50,58,21,654,9416,7473,6067,6295,7504,6437,5170,3634,1060,53050,..,75,2683,5106,6028,5129,4271,2059,293,25640,..,178,687,439,396,213,84,22,3,2024,..,24,190,668,1090,655,304,287,157,3369,8614,..,..,..,..,..,..,..,..,8614,..,4162,..,..,..,..,..,..,..,4162,..,1384,1477,353,260,125,21,0,0,3620,..,307,221,77,121,269,245,277,165,1682,..,239,193,48,41,23,17,11,4,571
LGA24250,..,3,77,223,258,353,346,145,35,1441,..,28,75,60,64,54,42,11,0,333,..,0,5,7,10,11,5,3,3,37,659,..,..,..,..,..,..,..,..,659,..,119,..,..,..,..,..,..,..,119,..,94,42,12,17,7,0,0,0,166,..,6,3,0,6,12,3,3,7,38,..,3,7,0,6,3,3,0,0,21,..,16,22,9,13,13,7,4,0,86,..,16,30,48,100,127,128,57,20,524,19,22,14,12,28,31,28,6,0,156,676,310,264,379,494,604,568,235,63,3596,..,7,118,249,289,383,315,93,14,1467,..,28,81,70,67,50,37,3,0,339,..,4,14,75,71,30,14,9,11,226,639,..,..,..,..,..,..,..,..,639,..,117,..,..,..,..,..,..,..,117,..,65,28,9,7,6,0,0,0,117,..,3,4,0,7,8,7,11,8,44,..,5,4,3,0,0,4,0,0,19
LGA24330,..,87,2495,3496,2275,1719,1002,582,203,11867,..,245,1695,1099,639,313,66,8,0,4073,..,4,19,87,144,128,47,33,28,486,6275,..,..,..,..,..,..,..,..,6275,..,1636,..,..,..,..,..,..,..,1636,..,776,844,294,221,100,15,0,0,2251,..,460,461,127,92,101,50,38,20,1365,..,336,483,117,63,62,13,4,0,1077,..,1358,1980,495,287,168,73,21,6,4392,..,262,800,729,666,635,423,227,112,3847,66,134,243,110,103,63,46,24,9,810,6339,5305,9025,6545,4494,3295,1740,941,387,38080,..,231,3278,3392,2175,1530,845,443,80,11971,..,359,1723,1012,562,214,35,4,4,3920,..,48,237,634,717,435,204,205,109,2582,5968,..,..,..,..,..,..,..,..,5968,..,1586,..,..,..,..,..,..,..,1586,..,547,617,209,150,79,8,0,0,1612,..,358,347,86,112,194,144,132,72,1444,..,283,272,63,36,21,0,6,0,679
LGA24410,..,70,2718,4881,4380,3906,2899,1471,369,20687,..,216,1280,767,604,343,146,31,5,3384,..,3,27,130,308,195,73,45,29,815,10111,..,..,..,..,..,..,..,..,10111,..,3211,..,..,..,..,..,..,..,3211,..,2122,1361,401,255,101,11,3,0,4254,..,299,272,86,77,113,67,48,26,975,..,169,206,67,67,46,12,3,0,565,..,243,424,199,176,151,88,42,9,1331,..,105,484,606,795,722,561,358,186,3818,136,160,194,109,119,79,40,36,15,890,10247,6587,6971,7241,6778,5653,3894,2035,632,50043,..,142,3628,4901,4574,3731,2631,1120,173,20910,..,358,1292,746,631,269,110,15,3,3421,..,82,387,854,1274,660,285,179,120,3851,9486,..,..,..,..,..,..,..,..,9486,..,3201,..,..,..,..,..,..,..,3201,..,1539,948,179,144,72,23,0,0,2896,..,262,172,71,107,186,192,141,74,1202,..,149,118,33,32,22,10,3,0,373
LGA24600,..,138,4009,2900,1700,1584,1209,486,112,12143,..,1176,3885,1313,612,351,173,35,18,7559,..,5,23,68,124,104,37,23,5,384,3853,..,..,..,..,..,..,..,..,3853,..,1071,..,..,..,..,..,..,..,1071,..,379,424,133,60,22,0,0,0,1020,..,1349,682,92,40,29,25,20,4,2241,..,562,696,65,19,16,0,0,0,1365,..,6972,5870,725,228,103,75,23,7,14005,..,2556,2923,1673,1124,835,560,229,98,9997,41,334,423,133,86,75,41,16,8,1157,3891,14556,18935,7092,3995,3122,2134,835,249,54802,..,301,4744,2576,1708,1514,1023,310,45,12224,..,1527,3788,945,426,236,75,12,0,7014,..,30,227,459,743,372,131,68,41,2066,3778,..,..,..,..,..,..,..,..,3778,..,1125,..,..,..,..,..,..,..,1125,..,314,379,84,26,34,5,0,0,849,..,1542,773,141,94,115,63,53,21,2799,..,625,678,57,19,8,4,4,0,1391
LGA24650,..,107,3841,7312,5365,3970,2604,842,123,24159,..,342,1463,1014,633,315,115,19,8,3905,..,23,71,230,318,215,88,40,6,998,15851,..,..,..,..,..,..,..,..,15851,..,3806,..,..,..,..,..,..,..,3806,..,2945,1890,539,213,48,12,0,0,5645,..,440,406,139,132,165,107,57,29,1476,..,182,239,122,102,60,28,8,0,746,..,159,328,162,183,142,97,26,5,1106,..,127,605,745,687,614,402,173,66,3416,180,213,254,169,105,69,72,24,9,1090,16030,8340,9097,10436,7737,5594,3514,1196,249,62191,..,292,5337,7333,5125,3761,2012,485,62,24418,..,505,1535,983,595,257,82,24,0,3983,..,208,947,1522,1337,672,272,121,62,5135,15459,..,..,..,..,..,..,..,..,15459,..,3961,..,..,..,..,..,..,..,3961,..,2091,1216,244,120,44,11,6,0,3734,..,396,248,97,165,345,305,201,93,1848,..,179,136,46,38,26,12,0,3,450
