LGA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
LGA21270,..,4,67,140,222,293,245,148,47,1155,..,12,40,31,38,23,7,3,0,166,..,0,0,5,15,4,7,4,3,37,477,..,..,..,..,..,..,..,..,477,..,133,..,..,..,..,..,..,..,133,..,62,28,21,18,11,0,0,0,141,..,16,12,0,0,9,10,3,0,48,..,3,3,0,0,3,3,0,0,17,..,17,14,3,15,14,11,5,0,81,..,16,25,39,72,92,84,59,35,422,3,17,8,3,5,14,3,5,0,62,482,273,199,247,385,468,369,226,89,2737,..,3,93,169,260,287,210,119,20,1149,..,26,38,35,44,16,5,3,0,166,..,3,20,37,31,15,5,12,16,146,448,..,..,..,..,..,..,..,..,448,..,119,..,..,..,..,..,..,..,119,..,30,17,7,11,0,0,0,0,69,..,3,0,0,6,3,4,8,3,24,..,0,3,0,0,0,0,0,0,6
LGA21370,..,29,529,966,1321,1521,1342,747,175,6629,..,132,349,239,260,178,92,24,3,1285,..,6,19,61,102,49,19,19,10,286,3118,..,..,..,..,..,..,..,..,3118,..,765,..,..,..,..,..,..,..,765,..,722,234,117,91,47,7,0,0,1208,..,63,32,14,31,53,26,19,7,244,..,60,39,14,19,15,9,3,0,150,..,83,83,45,49,57,46,20,0,389,..,72,166,193,328,413,376,221,90,1855,60,77,82,54,43,49,45,24,8,441,3174,2011,1529,1701,2230,2386,1967,1080,298,16370,..,43,685,1130,1461,1514,1220,543,88,6703,..,194,369,233,268,165,62,15,3,1313,..,76,213,301,290,120,54,71,51,1179,2984,..,..,..,..,..,..,..,..,2984,..,734,..,..,..,..,..,..,..,734,..,434,139,47,27,34,3,0,0,687,..,45,19,14,22,46,40,24,19,233,..,44,23,3,9,12,3,0,0,92
LGA21450,..,86,2558,3990,3699,2975,2128,945,200,16586,..,381,1350,847,645,318,140,30,3,3720,..,9,39,131,226,159,55,38,18,670,10480,..,..,..,..,..,..,..,..,10480,..,2426,..,..,..,..,..,..,..,2426,..,2105,909,284,160,48,6,0,0,3510,..,236,210,74,79,82,61,53,25,825,..,162,203,90,57,32,11,7,3,567,..,138,224,98,133,114,77,15,3,804,..,88,407,431,569,536,409,226,83,2743,149,189,179,114,82,68,52,22,4,858,10632,5819,6091,6046,5649,4335,2944,1337,335,43190,..,176,3399,4055,3677,2810,1897,628,90,16737,..,602,1416,829,622,284,102,8,6,3873,..,169,603,913,969,370,163,89,54,3328,9955,..,..,..,..,..,..,..,..,9955,..,2596,..,..,..,..,..,..,..,2596,..,1387,617,116,74,39,8,0,0,2242,..,191,114,52,75,168,169,105,76,951,..,155,91,27,26,16,17,8,3,340
LGA21610,..,319,8732,15086,13312,10182,6059,2634,526,56847,..,666,2842,1867,1486,772,247,57,15,7948,..,32,132,404,750,512,209,100,50,2183,33028,..,..,..,..,..,..,..,..,33028,..,9479,..,..,..,..,..,..,..,9479,..,7088,4318,1137,521,177,28,0,0,13262,..,1279,996,370,307,337,255,169,77,3789,..,553,698,369,238,146,50,14,6,2084,..,544,1012,531,405,365,196,52,14,3127,..,220,993,1178,1420,1218,897,498,254,6676,383,425,530,338,240,166,141,79,21,2324,33410,20618,20258,21276,18677,13868,8086,3605,954,140756,..,919,12162,15290,12684,9213,4947,1759,234,57203,..,1021,2991,1829,1390,634,197,36,8,8107,..,370,1520,2550,2960,1475,580,337,198,9992,31346,..,..,..,..,..,..,..,..,31346,..,9694,..,..,..,..,..,..,..,9694,..,4852,2850,503,287,162,38,0,0,8689,..,838,554,216,364,784,784,561,286,4393,..,492,349,98,98,82,33,23,8,1185
LGA21670,..,9,105,227,369,520,520,326,68,2151,..,47,110,95,89,76,46,14,0,482,..,3,3,24,36,17,13,12,3,113,968,..,..,..,..,..,..,..,..,968,..,246,..,..,..,..,..,..,..,246,..,228,96,59,53,29,0,0,0,469,..,23,10,13,9,10,14,8,0,88,..,28,10,9,7,3,3,0,0,58,..,32,33,23,41,37,46,12,3,218,..,25,49,72,147,208,217,125,52,900,23,25,24,33,23,24,24,9,3,197,991,663,434,559,774,927,890,506,125,5873,..,13,168,279,424,501,529,218,28,2161,..,79,125,91,92,68,35,6,0,493,..,29,89,124,131,68,44,47,25,562,905,..,..,..,..,..,..,..,..,905,..,215,..,..,..,..,..,..,..,215,..,128,43,26,28,23,0,0,0,250,..,13,0,8,11,17,13,16,4,82,..,16,6,5,0,0,0,0,0,30
LGA21750,..,16,295,562,666,775,689,346,82,3435,..,95,221,150,175,140,36,9,0,825,..,3,6,36,41,40,15,8,4,161,1837,..,..,..,..,..,..,..,..,1837,..,370,..,..,..,..,..,..,..,370,..,364,162,73,46,24,3,0,0,672,..,44,30,8,20,17,19,14,7,154,..,21,17,9,3,11,3,0,3,73,..,76,102,62,40,47,18,9,0,358,..,46,147,134,215,262,231,124,41,1205,28,58,45,34,27,34,32,11,3,277,1867,1100,1036,1061,1239,1345,1051,527,151,9373,..,28,403,600,720,784,620,262,38,3450,..,123,231,149,163,113,28,7,0,821,..,34,113,165,175,68,33,51,25,673,1635,..,..,..,..,..,..,..,..,1635,..,385,..,..,..,..,..,..,..,385,..,238,56,21,24,11,3,0,0,350,..,23,16,3,23,34,23,15,13,142,..,16,11,3,3,6,4,0,0,49
LGA21830,..,11,183,427,618,686,590,298,58,2871,..,51,150,95,105,59,39,8,3,517,..,3,6,16,43,33,10,6,7,130,1414,..,..,..,..,..,..,..,..,1414,..,360,..,..,..,..,..,..,..,360,..,301,108,57,52,18,0,0,0,538,..,23,25,9,10,21,12,4,3,106,..,17,5,5,4,0,0,4,0,39,..,32,34,17,25,17,18,8,0,157,..,41,72,73,161,201,167,109,57,883,25,41,26,22,21,21,16,13,0,191,1435,890,619,729,1038,1064,854,454,131,7211,..,16,286,501,667,690,500,235,28,2914,..,86,142,102,97,69,20,7,5,522,..,24,72,100,107,55,27,42,22,443,1282,..,..,..,..,..,..,..,..,1282,..,327,..,..,..,..,..,..,..,327,..,155,48,21,20,4,10,0,0,260,..,29,12,10,5,19,12,13,7,98,..,13,8,0,0,4,3,0,0,24
LGA21890,..,85,3497,5418,4652,3272,2449,2119,571,22054,..,295,2435,1682,1005,564,172,27,10,6187,..,6,42,137,275,215,110,102,77,975,11148,..,..,..,..,..,..,..,..,11148,..,3071,..,..,..,..,..,..,..,3071,..,1553,1486,679,591,278,24,0,0,4618,..,542,542,148,166,166,100,72,46,1778,..,400,610,124,87,51,16,6,0,1298,..,1634,2682,666,372,275,130,54,14,5813,..,244,1093,1119,1215,1143,826,560,305,6507,143,211,370,211,172,115,72,54,32,1383,11290,8048,12742,10185,8535,6079,3887,3000,1060,64825,..,307,4439,5493,4675,3137,2427,1491,240,22205,..,537,2626,1855,1088,485,124,27,4,6750,..,64,371,930,1282,795,380,465,256,4547,10699,..,..,..,..,..,..,..,..,10699,..,3064,..,..,..,..,..,..,..,3064,..,1127,1124,392,365,172,25,0,0,3215,..,479,452,113,183,261,222,243,149,2103,..,405,449,79,52,37,9,3,0,1042
LGA22110,..,24,568,873,1309,1773,2092,1061,219,7918,..,148,392,344,293,288,192,40,7,1702,..,7,21,62,97,67,29,18,16,316,3286,..,..,..,..,..,..,..,..,3286,..,706,..,..,..,..,..,..,..,706,..,669,258,159,111,43,4,0,0,1247,..,72,38,28,31,50,23,14,12,278,..,43,51,20,18,12,8,0,0,149,..,79,81,51,56,82,73,37,7,463,..,74,158,214,390,597,679,350,124,2580,61,85,72,65,76,94,130,48,19,653,3346,1908,1641,1823,2372,3007,3223,1568,403,19295,..,51,721,1070,1518,1939,1923,745,86,8067,..,218,424,326,338,282,134,30,0,1757,..,59,215,377,394,177,80,69,51,1406,3206,..,..,..,..,..,..,..,..,3206,..,690,..,..,..,..,..,..,..,690,..,369,140,58,51,27,9,0,0,650,..,72,20,12,15,46,51,45,27,292,..,53,23,5,7,8,5,0,3,108
LGA22170,..,66,2536,4665,4632,4274,3243,1556,388,21356,..,432,2005,1332,979,533,224,52,12,5572,..,16,79,237,483,301,125,58,40,1336,12042,..,..,..,..,..,..,..,..,12042,..,3043,..,..,..,..,..,..,..,3043,..,2890,1645,570,346,149,19,0,0,5623,..,324,318,139,127,161,99,78,36,1290,..,260,230,120,112,79,25,3,3,834,..,253,500,288,299,260,166,60,17,1842,..,143,739,968,1304,1248,896,528,275,6108,194,262,260,176,177,109,82,40,17,1314,12241,7688,8322,8502,8450,7115,4884,2380,790,60367,..,155,3476,4878,4798,4056,2859,1133,181,21533,..,708,2123,1277,964,476,149,39,6,5739,..,223,865,1413,1800,884,343,253,160,5941,11279,..,..,..,..,..,..,..,..,11279,..,3224,..,..,..,..,..,..,..,3224,..,2142,1009,251,153,103,33,0,0,3685,..,325,188,65,127,256,262,181,83,1492,..,213,146,54,48,25,16,3,6,512
