LGA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
LGA20110,144,88,383,1952,2889,1490,1105,1781,1166,10384
LGA20260,153,71,359,1715,2272,1161,1027,1982,1642,9798
LGA20570,1153,409,2409,17979,22135,10044,8039,17059,6964,82219
LGA20660,1442,598,3253,24506,27930,12389,8739,19814,6473,99850
LGA20740,489,243,1143,4944,7335,3767,3043,5450,2923,27459
LGA20830,460,276,1112,7979,10283,5226,4645,7270,3789,39188
LGA20910,1611,562,3624,20826,21992,9979,6275,14261,5342,78669
LGA21010,215,98,528,2164,2900,1638,1320,2337,1328,11686
LGA21110,2211,595,4829,38772,38006,16293,10588,26497,8276,138430
LGA21180,1526,536,2926,32283,32568,13831,12885,52745,14152,158457
LGA21270,153,88,336,895,1193,690,628,1088,703,5206
LGA21370,550,277,1164,5838,7544,3805,3318,6437,3481,30424
LGA21450,576,218,1185,16759,19447,8798,7160,14553,5687,72402
LGA21610,1834,560,3450,52179,55788,24173,20591,62381,16333,231449
LGA21670,217,102,448,1789,2512,1502,1327,2604,1241,10982
LGA21750,269,117,585,3253,4497,2302,1889,3523,1813,17277
LGA21830,205,106,468,2508,3103,1701,1577,2712,1524,13125
LGA21890,1630,777,3736,31260,32158,11666,8414,28916,10870,123281
LGA22110,574,398,1391,6392,9390,5355,4691,7362,4700,37892
LGA22170,1279,559,2713,25635,29055,12245,9182,23615,9381,109114
LGA22250,157,70,378,1640,2087,1230,1139,1804,973,8870
LGA22310,2108,564,4240,31390,31779,12330,7697,24739,7176,115105
LGA22410,281,120,555,2765,4075,2205,1893,3524,1921,16377
LGA22490,118,30,225,3333,4679,2367,2211,2828,1352,16769
LGA22620,1169,645,2743,19056,24042,11128,9174,17472,8410,89283
LGA22670,1750,442,3008,24793,24315,10478,9367,45179,10479,124599
LGA22750,2984,1251,6460,42523,50128,23566,18120,40278,16556,191166
LGA22830,688,325,1484,10106,12161,5882,4729,12281,5965,51131
LGA22910,214,121,469,2269,3447,1854,1513,2262,1596,12934
LGA22980,127,64,290,868,1120,677,653,1048,495,4859
LGA23110,958,332,1952,17268,19172,7753,6025,16706,5510,72429
LGA23190,260,104,613,3202,4152,2195,1666,3334,1372,15913
LGA23270,1050,298,1889,31142,32865,14396,13548,49254,12255,153462
LGA23350,166,62,353,2519,3669,1938,1418,2214,1348,13104
LGA23430,1783,933,4139,30839,33813,13697,9569,27740,8938,124594
LGA23670,1612,515,3105,31517,33716,14943,11056,28731,7084,127047
LGA23810,823,382,1761,11222,14909,7400,6537,13330,6596,59998
LGA23940,121,61,256,1051,1389,810,847,1306,919,6322
LGA24130,361,178,811,7697,10475,5213,4191,5764,3328,36659
LGA24210,1814,554,3668,23286,24248,12016,9017,23437,5513,97529
LGA24250,96,36,207,1386,1919,987,780,1176,792,7049
LGA24330,667,286,1379,17882,17876,5886,4275,17057,6120,69093
LGA24410,1275,496,2647,22790,25100,10801,7768,17947,5359,89771
LGA24600,516,421,1255,36756,26926,6222,3530,38003,15802,127232
LGA24650,491,137,887,22076,24045,10345,9763,26854,9012,102097
LGA24780,664,308,1419,8294,10637,5239,4309,9988,5178,43642
LGA24850,240,138,581,6692,8284,3727,3389,6736,3618,32439
LGA24900,428,225,935,4443,5772,2903,2700,5268,2903,23981
LGA24970,2370,802,5088,36683,37972,16899,12384,40531,9246,153720
LGA25060,1341,457,2967,25038,25183,10412,7462,21376,7646,97118
LGA25150,225,83,491,5325,6789,3312,2777,4991,2180,25373
LGA25250,2161,541,4311,35576,36092,12680,9310,32113,10686,136461
LGA25340,2245,1012,5059,27204,34424,17005,12561,25894,11067,128156
LGA25430,199,162,563,2716,4418,2287,1768,2325,2429,15946
LGA25490,153,83,373,2519,3384,1877,1565,2342,1441,13134
LGA25620,152,61,314,2066,2991,1576,1346,2189,1376,11546
LGA25710,309,119,705,12397,14255,6964,4685,8256,2653,49213
LGA25810,194,69,400,1686,2493,1274,1101,2131,1043,9724
LGA25900,734,221,1433,28621,24364,6512,3686,15672,10225,89077
LGA25990,67,52,178,958,1362,762,805,1164,1055,6105
LGA26080,46,30,149,483,773,392,250,344,276,2523
LGA26170,367,160,808,4361,6033,3514,2959,4142,2570,23581
LGA26260,232,151,582,2510,3460,1738,1569,2630,1289,13199
LGA26350,1104,407,2472,28696,23774,7748,4843,17933,7957,90965
LGA26430,163,98,376,1489,2185,1190,1039,1805,1051,8763
LGA26490,290,84,566,5435,6756,3436,2469,3481,1778,23345
LGA26610,244,142,563,3013,3695,1884,1629,3748,2682,16646
LGA26670,93,40,197,892,1345,722,637,891,533,5023
LGA26700,362,352,1008,4370,6241,3151,2458,4469,2515,23209
LGA26730,445,198,969,6018,7193,3321,2560,5722,2734,27546
LGA26810,450,214,1033,6375,8692,4717,4157,6840,4569,35358
LGA26890,53,37,132,685,815,448,407,571,307,3234
LGA26980,2080,879,4959,33772,35463,15816,10812,31377,7595,134835
LGA27070,1384,313,2354,33532,35807,15545,13818,45411,11195,155311
LGA27170,383,121,745,6736,8654,3715,2919,6540,2676,31242
LGA27260,709,323,1451,35221,40352,17526,15826,41616,12776,163311
LGA27350,495,191,1075,26747,21259,5601,2931,12463,7979,76983
LGA27450,1184,437,2533,28848,33957,15865,11913,22124,8374,121080
LGA27630,140,87,332,971,1332,754,688,1208,667,5618
LGA29399,0,0,0,159,112,46,50,162,216,746
LGA29499,22,12,38,1281,954,324,278,1969,2020,6825
LGA29799,0,0,0,7,3,3,0,11,3,25
