LGA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA20110,7,83,682,2392,1024,131,32,124,4476,0,30,77,9,3,0,0,11,133,0,3,7,5,0,0,0,0,23,0,36,87,21,3,0,0,11,155,0,13,52,16,5,0,0,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,52,16,5,0,0,6,100,0,7,13,9,0,0,0,0,32,0,8,10,37,14,3,0,0,71,17,142,831,2476,1042,135,36,141,4832
LGA20260,15,55,591,2124,908,156,35,111,3995,0,39,68,9,0,0,0,9,121,0,0,0,0,0,0,0,0,0,0,39,68,9,0,0,0,9,121,3,8,65,25,3,0,0,7,110,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,66,25,3,0,0,7,113,10,14,6,12,3,0,0,4,43,0,0,0,8,4,0,0,3,25,24,116,726,2179,923,155,43,133,4298
LGA20570,29,263,3742,17102,8495,1100,185,665,31586,13,697,1990,1554,403,27,12,156,4855,0,19,158,212,99,9,4,10,506,12,718,2147,1770,498,39,16,166,5362,15,315,556,167,10,3,7,48,1117,0,17,31,12,0,0,0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,332,591,175,14,3,7,52,1185,4,37,36,44,17,0,0,4,146,0,26,35,45,24,5,0,23,167,61,1381,6549,19140,9050,1146,209,910,38449
LGA20660,22,197,3589,18346,9597,1853,308,623,34541,12,489,2457,1200,99,19,0,146,4420,4,58,763,1438,190,24,8,48,2541,12,554,3217,2639,292,38,8,192,6962,8,349,1312,369,41,0,3,57,2139,0,26,182,15,0,0,0,4,232,4,140,207,14,6,0,0,7,373,0,3,0,0,0,0,0,0,7,9,520,1697,395,46,3,7,68,2749,0,13,22,15,9,0,0,0,50,0,12,39,38,12,0,0,23,130,51,1290,8560,21443,9954,1898,324,906,44431
LGA20740,23,182,1943,6270,2836,391,79,299,12019,5,144,272,109,7,3,0,29,569,0,4,50,74,5,0,0,3,146,3,155,323,180,17,3,0,35,714,4,25,86,36,6,0,0,5,173,0,9,3,3,0,0,0,0,13,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,37,91,41,6,0,0,6,192,6,61,85,5,3,0,0,14,176,0,3,9,20,18,0,0,8,69,45,440,2450,6519,2878,398,84,362,13175
LGA20830,12,131,1460,7909,5282,674,144,335,15945,0,64,383,134,5,0,0,27,608,0,26,3,8,0,0,0,0,47,0,85,386,142,8,0,0,27,655,0,70,568,99,4,0,0,29,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,568,99,4,0,0,29,776,18,52,48,12,4,3,0,11,155,0,3,16,33,15,7,0,12,80,29,342,2478,8197,5312,684,141,422,17605
LGA20910,18,109,2311,9168,7788,2054,262,344,22051,3,288,2635,1375,131,8,3,96,4545,0,61,666,2186,727,73,7,65,3789,4,353,3306,3565,861,81,15,163,8336,50,282,1274,395,40,4,0,56,2108,8,201,624,156,11,0,3,35,1042,11,380,587,135,9,0,0,26,1135,0,3,0,0,0,0,0,0,3,65,870,2482,691,60,12,3,119,4296,0,21,117,42,7,0,0,3,193,0,15,32,56,31,5,0,10,154,89,1366,8255,13516,8747,2150,282,633,35037
LGA21010,9,73,758,2731,1214,143,35,115,5082,0,15,32,13,0,0,0,3,65,0,0,0,0,0,0,0,0,0,0,15,38,13,0,0,0,3,61,0,46,207,27,0,0,0,15,304,0,0,32,3,0,0,0,0,38,0,17,20,0,0,0,0,3,41,0,0,0,0,0,0,0,0,0,0,60,258,36,0,0,0,22,379,0,6,9,7,3,3,0,7,33,0,6,7,10,6,5,0,0,34,9,163,1075,2790,1230,148,35,148,5594
LGA21110,18,173,2984,12212,12816,4105,752,502,33568,20,304,3929,2839,409,66,9,134,7711,7,71,778,2679,850,106,14,54,4558,26,375,4709,5519,1256,175,22,191,12272,82,1008,3572,683,78,15,6,214,5665,59,1202,2691,356,28,3,3,86,4426,114,1352,1726,226,10,3,7,88,3530,0,0,0,0,0,0,0,0,0,257,3562,7994,1267,114,17,25,387,13622,3,25,75,60,11,4,3,5,181,0,33,48,55,34,7,0,16,204,307,4166,15816,19112,14230,4305,799,1104,59849
LGA21180,135,295,2675,29429,13896,2192,371,1482,50486,16,190,1721,2503,410,39,0,179,5055,3,36,575,1689,510,83,7,91,3005,22,228,2297,4198,916,125,13,274,8056,34,573,1150,560,35,5,0,111,2463,0,48,91,3,0,0,0,8,149,3,29,59,12,0,0,0,3,108,0,11,13,7,0,0,0,0,34,37,657,1311,578,34,5,3,119,2753,0,3,17,58,31,3,6,29,151,0,10,29,50,8,0,3,20,122,196,1197,6330,34315,14887,2323,392,1921,61562
