LGA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA20110,3524,3565,7094,631,666,1292,136,161,292,714,725,1445,85,97,187,31,36,63,33,35,65,7,10,24,20,18,34,10,12,23,0,0,0,1032,1099,2131,76,119,198,13,15,33,1755,1892,3650,531,535,1070,5815,5999,11813
LGA20260,3206,3186,6390,621,678,1297,32,31,66,652,636,1286,44,39,81,28,28,55,23,20,45,9,6,14,15,18,38,0,3,3,0,0,0,798,782,1582,52,96,150,28,22,44,1498,1574,3076,1143,428,1573,5854,5190,11036
LGA20570,23352,25192,48543,3663,4083,7750,439,442,886,12421,13874,26297,377,423,796,221,235,456,222,241,465,99,115,219,73,82,148,41,41,80,0,0,0,13890,15451,29345,1007,1064,2070,309,246,553,18867,20849,39718,3206,3609,6812,45425,49644,95074
LGA20660,33801,36277,70078,2373,2476,4848,470,426,898,11815,12399,24213,413,373,789,135,150,290,141,171,314,66,73,138,65,67,128,93,76,174,0,0,0,13204,13739,26941,2788,2929,5715,266,258,525,18626,19400,38022,2857,3166,6020,55279,58843,114118
LGA20740,7902,8258,16160,2146,2367,4510,96,115,211,3029,3410,6433,128,160,285,30,37,65,70,83,159,26,31,54,23,28,51,10,14,24,0,0,0,3413,3874,7288,163,228,390,60,55,116,5786,6516,12304,1321,1362,2681,15010,16133,31139
LGA20830,12099,12552,24653,2594,2781,5381,153,179,328,4781,5361,10146,177,190,365,37,55,95,91,85,172,41,44,83,28,26,56,9,9,17,0,0,0,5325,5941,11265,233,293,530,104,89,194,8258,9110,17368,1702,1820,3523,22060,23477,45537
LGA20910,24631,27454,52089,2626,2929,5558,496,566,1062,9890,10643,20542,308,360,666,101,98,198,186,178,371,53,65,115,16,21,39,78,72,148,0,0,0,11133,12010,23148,2658,2997,5652,147,168,318,16567,18101,34667,2486,2855,5345,43682,48413,92096
LGA21010,3798,3949,7745,787,895,1679,101,122,218,918,1028,1951,66,69,138,9,17,29,26,33,61,13,15,27,6,15,18,5,3,13,0,0,0,1146,1301,2449,42,56,98,24,28,50,2002,2275,4276,558,617,1172,6353,6835,13193
LGA21110,40573,44686,85258,3612,3832,7443,961,1047,2009,17987,19348,37337,689,758,1449,303,339,639,379,391,773,156,152,306,66,73,135,153,164,317,3,0,3,20700,22270,42970,7009,8038,15046,343,302,645,31659,34438,66101,3908,4221,8129,76138,83353,159493
LGA21180,54843,56629,111473,3819,3759,7584,471,472,947,15372,14982,30349,354,343,695,186,145,329,160,142,300,78,96,177,77,65,141,46,51,97,7,6,9,16753,16296,33051,8227,7547,15777,448,382,825,29254,27982,57237,6466,6188,12654,90565,90806,181364
LGA21270,2002,1942,3941,299,266,567,19,17,34,285,300,589,24,29,56,10,12,24,11,11,19,3,3,8,10,3,10,0,0,3,0,0,0,362,384,744,26,29,51,19,10,29,697,686,1392,314,302,620,3014,2932,5948
LGA21370,10495,10468,20963,2055,2146,4200,402,427,832,2232,2492,4723,163,157,322,31,33,65,71,76,146,26,31,65,20,30,52,7,3,12,0,0,0,2963,3248,6209,183,202,380,95,76,171,5287,5677,10963,1490,1562,3053,17268,17713,34986
LGA21450,21365,21342,42703,2664,2934,5597,318,306,620,13307,14526,27837,304,312,625,73,91,165,107,93,203,46,50,93,37,51,90,27,31,56,3,3,4,14224,15457,29678,1120,1282,2403,227,197,427,18237,19867,38105,2698,2795,5499,42303,44008,86309
LGA21610,74724,75524,150252,5537,5666,11202,841,832,1674,36905,37247,74154,756,731,1489,338,311,644,349,306,656,117,121,237,95,89,181,86,74,161,15,0,15,39491,39713,79201,8692,9446,18136,735,603,1339,54451,55423,109877,7679,7716,15396,136857,138669,275524
LGA21670,3744,3736,7487,586,686,1265,46,48,99,1040,1089,2125,53,57,111,31,29,60,24,24,54,15,18,32,10,9,21,0,6,8,0,0,0,1224,1282,2508,40,56,100,14,16,24,1861,2034,3902,512,518,1026,6119,6295,12412
LGA21750,6021,5975,11998,1288,1308,2598,60,73,130,1295,1405,2698,62,53,114,37,32,65,32,18,51,20,25,45,16,17,37,3,3,6,0,0,0,1519,1623,3142,190,156,349,44,32,74,3037,3117,6156,819,826,1650,9886,9921,19808
LGA21830,4934,4846,9785,800,804,1603,46,45,89,937,922,1862,51,57,111,26,31,55,16,24,46,14,9,24,14,12,28,3,4,7,0,0,0,1104,1110,2218,62,66,126,20,17,39,1985,1994,3982,719,696,1412,7644,7531,15179
LGA21890,34567,37790,72355,2647,2658,5303,834,1039,1870,14799,15735,30534,640,730,1363,254,305,556,309,307,617,134,190,322,85,102,188,158,185,342,3,3,4,17205,18598,35804,6490,6630,13115,438,472,905,26777,28352,55123,5068,5334,10401,66414,71471,137883
LGA22110,12015,12089,24099,2441,2715,5151,300,318,619,3218,3478,6695,288,313,600,55,46,102,132,131,260,36,41,82,45,44,88,39,39,72,4,0,4,4112,4410,8521,197,268,465,100,88,194,6849,7482,14332,2138,2241,4376,21001,21805,42809
LGA22170,33792,35205,68996,3858,4246,8106,398,454,852,15357,16516,31870,408,447,857,98,95,194,144,155,300,75,107,179,45,44,95,32,51,78,0,0,0,16561,17866,34424,1743,2042,3777,385,357,745,22542,24506,47056,4395,4687,9074,60732,64395,125128
LGA22250,3251,3188,6442,518,545,1064,74,98,172,560,599,1152,66,64,128,11,17,33,15,22,43,8,4,5,12,6,16,0,3,3,0,0,0,743,814,1554,30,32,60,19,11,29,1302,1406,2708,441,450,889,4997,5044,10040
