LGA_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
LGA20110,44,114,283,380,532,440,100,17,3,1917,104,54,57,83,124,169,96,18,3,711,4,10,13,17,26,42,13,3,0,128,6,3,13,16,12,10,6,0,3,68,152,180,368,493,695,669,219,38,9,2817,4,12,12,22,15,21,0,0,0,91,11,0,0,0,5,23,4,0,0,48,18,14,18,24,25,35,10,0,0,136,168,194,384,520,721,703,225,39,9,2956,150,22,38,64,84,290,569,364,118,1697,9,16,35,51,90,88,67,38,21,420,330,235,454,632,894,1081,860,437,153,5074,16,70,162,222,327,252,29,5,0,1091,144,55,144,302,334,309,86,5,0,1384,16,8,16,17,23,48,11,0,0,143,4,8,9,8,14,10,5,5,0,58,181,138,334,551,694,616,132,18,9,2668,3,5,4,7,12,7,0,0,0,36,5,3,3,9,10,9,3,0,0,44,11,6,9,11,23,16,3,0,0,82
LGA20260,59,122,319,340,442,377,101,18,0,1779,88,58,65,62,86,131,65,18,0,573,5,0,15,12,15,26,17,3,0,102,3,5,15,11,4,5,4,0,3,48,151,188,412,421,553,540,187,44,6,2505,12,21,26,16,21,18,0,0,0,112,14,5,4,3,3,4,4,0,0,40,21,25,30,23,25,22,3,0,0,151,174,210,448,439,581,563,195,44,6,2660,122,74,226,278,234,333,518,337,116,2238,16,19,42,43,51,60,56,40,8,336,315,303,714,765,860,953,768,422,127,5232,34,58,155,190,282,180,25,8,0,943,99,77,167,202,249,224,73,11,3,1101,3,9,27,16,19,37,13,5,0,130,3,3,11,4,4,5,7,3,0,40,142,146,361,411,551,449,120,22,0,2202,8,8,9,16,18,5,3,0,0,64,12,3,3,8,6,9,0,0,0,46,19,17,9,19,24,13,4,0,0,107
LGA20570,340,1343,4036,3940,3878,2608,402,38,8,16596,823,901,782,597,625,770,456,67,6,5039,32,61,106,101,117,148,52,11,0,625,41,73,88,66,72,52,24,11,3,436,1248,2376,5013,4704,4697,3579,931,126,17,22687,122,245,300,192,199,135,9,0,0,1194,201,183,91,50,51,57,14,0,0,645,321,431,391,243,245,191,27,0,0,1843,1564,2810,5405,4942,4943,3768,957,126,17,24534,1639,692,638,618,797,1574,3242,2029,696,11923,160,239,388,344,343,322,342,203,91,2432,3362,3737,6429,5910,6084,5659,4536,2356,806,38889,129,906,2132,1801,2318,1432,146,8,3,8873,1224,1371,1985,2516,2309,1787,401,36,3,11636,66,120,350,230,154,171,57,0,0,1154,41,60,64,57,64,48,16,6,0,357,1459,2454,4536,4607,4839,3448,618,49,15,22028,69,150,171,103,125,60,3,0,0,688,211,148,154,155,124,75,13,0,0,884,282,294,330,252,252,143,19,0,0,1573
LGA20660,225,1250,5195,6223,5473,3656,709,41,10,22786,850,1204,1062,810,791,968,639,117,9,6450,39,62,129,126,108,151,51,4,0,669,26,60,111,115,87,62,35,8,0,506,1145,2568,6499,7272,6467,4838,1427,171,21,30404,56,159,265,191,195,160,23,0,3,1051,280,173,108,46,47,64,34,5,0,750,337,332,377,237,238,221,54,3,3,1797,1481,2901,6875,7509,6705,5059,1482,174,19,32204,1919,756,717,601,722,1488,3716,2458,1021,13408,115,164,384,385,357,296,264,205,145,2316,3518,3825,7975,8488,7782,6847,5455,2839,1188,47926,63,916,3650,2727,3081,2028,289,13,0,12770,1160,1440,1938,3434,3019,2352,652,61,7,14064,43,76,452,334,142,184,52,8,0,1290,24,30,87,83,84,49,20,14,3,389,1287,2461,6121,6578,6329,4614,1012,93,12,28505,39,92,173,134,134,55,7,0,0,641,272,165,142,176,137,84,11,0,0,995,313,260,320,310,273,143,17,0,0,1635
LGA20740,73,246,787,935,1119,831,202,22,5,4231,214,113,224,219,287,454,229,47,8,1794,25,13,43,40,61,90,32,4,0,304,9,19,39,16,20,23,18,7,3,154,322,394,1087,1211,1484,1391,479,84,21,6481,21,57,49,65,67,92,4,0,0,355,25,14,15,13,18,38,6,0,0,126,49,67,63,73,84,126,12,0,0,477,371,459,1148,1285,1570,1519,491,84,20,6959,405,68,149,179,317,790,1880,1044,366,5194,46,36,90,89,167,167,191,156,57,1009,827,560,1394,1553,2061,2480,2565,1285,446,13158,27,135,376,433,590,435,59,6,3,2061,277,170,487,675,829,776,216,19,5,3468,22,18,99,62,78,104,32,7,0,425,16,7,12,22,22,24,9,0,3,106,342,333,971,1188,1515,1337,318,39,11,6064,15,13,37,28,37,31,0,0,0,166,24,19,39,52,33,40,3,0,0,212,39,31,79,83,72,70,3,0,0,377
LGA20830,242,675,1756,1759,2014,1533,341,52,15,8399,361,201,248,234,327,450,309,66,15,2211,15,19,58,44,74,109,34,7,0,362,22,23,45,38,48,43,18,5,3,253,640,927,2106,2082,2470,2138,705,132,30,11218,43,83,64,61,78,84,6,0,0,422,74,23,15,19,19,34,7,0,0,195,116,108,86,77,101,110,16,0,0,620,759,1032,2192,2159,2562,2250,718,129,30,11835,720,156,190,243,312,746,1869,1158,307,5709,72,80,147,162,215,214,206,132,70,1296,1551,1263,2528,2561,3090,3211,2797,1422,403,18841,70,382,847,769,1046,715,126,12,0,3969,495,414,831,1069,1241,1015,232,41,0,5337,18,32,150,86,101,114,33,4,0,541,19,10,34,25,48,29,14,3,0,188,604,841,1866,1948,2437,1870,401,64,3,10034,32,49,41,51,45,45,0,0,0,268,96,53,49,47,49,51,6,0,0,354,132,100,91,94,95,101,6,0,0,624
LGA20910,83,697,2528,4421,5706,3377,790,80,6,17691,775,999,450,395,586,899,868,158,23,5171,39,45,61,94,85,114,57,8,0,492,21,39,62,71,79,49,23,6,0,355,909,1783,3104,4983,6458,4437,1738,259,35,23704,17,76,102,96,163,140,12,7,0,606,200,122,33,15,29,53,30,3,0,483,219,189,131,108,192,190,44,11,0,1093,1126,1970,3233,5098,6648,4629,1787,268,35,24797,1983,441,276,285,450,1105,2532,1943,1093,10105,106,129,230,312,399,318,253,172,109,2025,3212,2538,3745,5693,7489,6058,4573,2377,1228,36928,45,549,2064,2195,3039,1692,266,9,0,9871,985,1120,917,2341,2969,2074,788,70,8,11274,42,37,197,230,133,139,51,5,3,842,18,31,33,53,83,47,26,3,6,297,1093,1738,3213,4816,6227,3953,1135,93,17,22283,10,56,80,87,104,53,6,0,0,391,206,93,58,149,131,68,23,3,0,733,214,142,130,234,238,120,35,3,0,1121
LGA21010,46,187,362,390,511,481,136,23,6,2144,93,48,57,52,96,150,83,17,4,605,7,4,17,17,19,37,22,3,3,126,5,6,3,12,10,16,5,4,0,57,147,251,436,474,633,683,250,45,13,2926,7,23,26,18,17,31,3,0,0,125,16,7,5,3,4,14,4,0,0,55,26,27,34,19,24,38,3,0,0,175,170,280,472,490,656,718,252,41,13,3105,197,38,51,85,117,281,642,441,176,2024,36,27,50,42,64,82,88,46,19,445,404,339,572,617,838,1083,984,531,207,5579,22,64,198,188,336,236,52,8,0,1101,129,91,167,242,334,349,84,9,0,1411,6,21,29,24,32,47,9,0,0,160,8,9,10,10,7,15,8,0,0,59,165,182,402,458,707,638,152,18,4,2728,12,13,19,5,8,10,0,0,0,65,13,5,17,17,13,16,0,0,0,74,18,16,33,22,18,27,0,0,0,140
LGA21110,107,1536,7012,7173,8257,5039,1171,123,13,30428,1308,2546,1633,789,995,1282,1224,240,36,10059,64,126,163,122,152,165,76,15,3,876,20,85,148,101,113,62,33,13,3,593,1497,4300,8956,8188,9520,6542,2503,394,56,41955,24,152,332,225,315,227,26,4,0,1312,407,404,178,67,56,101,43,6,0,1266,432,559,506,293,370,327,75,8,0,2575,1931,4857,9461,8480,9892,6870,2577,401,60,44526,3842,1653,1014,603,822,1740,3584,2858,1449,17555,200,306,643,479,564,418,321,251,118,3299,5968,6813,11111,9568,11276,9034,6483,3508,1627,65383,58,1439,5762,3973,4736,2855,490,26,5,19343,1753,2694,2365,3596,4343,2872,1160,125,14,18926,63,120,431,357,192,196,80,14,5,1451,47,81,125,88,123,64,33,20,8,589,1915,4332,8687,8009,9387,5990,1774,184,29,40305,19,117,255,162,168,78,8,3,0,807,366,334,194,207,213,112,20,3,3,1457,382,454,455,368,383,193,31,6,3,2263
LGA21180,320,2224,8666,7942,7038,4585,662,28,3,31470,1157,2460,2475,1538,1406,1275,461,51,0,10830,47,92,205,194,172,182,50,6,0,945,55,192,470,277,284,173,40,7,3,1495,1578,4966,11813,9948,8898,6214,1216,87,13,44742,161,511,889,646,561,401,27,0,0,3204,516,402,240,130,123,170,30,3,0,1608,683,917,1125,772,682,577,51,3,0,4815,2255,5885,12946,10724,9583,6790,1269,94,13,49554,3672,1772,2052,1587,1972,3243,5865,3179,897,24237,328,503,1126,769,706,640,551,355,147,5131,6251,8158,16128,13079,12260,10670,7684,3620,1053,78919,107,1543,5137,3904,3918,2164,186,10,4,16975,1442,2249,3163,3350,3231,2194,409,19,0,16058,54,118,447,300,162,157,35,0,3,1272,62,139,243,206,194,111,16,10,3,978,1666,4052,8988,7758,7507,4621,645,40,9,35291,123,313,524,443,443,213,10,0,0,2072,483,392,412,438,378,248,16,0,0,2372,608,702,945,888,826,461,24,0,0,4443
