LGA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA22250,3,33,119,100,138,126,48,28,9,606,0,8,36,55,84,84,25,3,0,297,0,5,34,43,53,51,16,7,3,215,0,0,15,23,39,23,10,4,0,113,0,6,11,31,39,27,4,5,0,128,0,0,6,17,35,16,16,0,0,96,75,47,70,81,112,146,169,159,56,911,620,446,853,1000,1422,1613,1550,982,378,8870
LGA22310,22,536,2987,1764,1715,1464,673,229,149,9538,8,221,2248,1628,1416,1079,428,129,78,7233,9,88,1775,1749,1489,1064,371,96,71,6709,4,37,1079,1386,1232,837,258,74,50,4956,0,34,1473,2826,2462,1239,368,88,61,8548,9,27,535,2513,2302,1101,367,99,98,7064,489,649,1459,1193,1154,977,872,748,784,8323,7770,9867,22029,20161,18964,15102,10525,6465,4240,115105
LGA22410,3,62,202,195,315,279,77,31,7,1170,0,26,116,154,192,140,35,5,0,677,0,12,89,112,189,142,30,14,3,587,0,9,51,104,148,118,22,6,0,456,0,9,47,126,218,126,29,3,3,569,3,3,15,42,63,70,23,8,3,236,150,111,156,199,266,306,315,255,128,1892,1195,908,1665,2145,2962,3173,2456,1328,555,16377
LGA22490,4,68,326,360,358,294,92,16,0,1513,3,26,210,268,244,150,46,9,3,955,0,16,142,268,233,140,31,0,0,825,0,5,75,160,158,87,11,0,0,492,0,7,91,180,170,116,17,7,3,594,5,6,17,62,107,49,18,6,3,274,211,81,126,191,233,216,210,99,66,1443,1488,973,2118,3083,3281,2912,2002,687,225,16769
LGA22620,16,494,1768,1393,1556,1255,446,156,73,7167,7,202,1229,1103,1131,807,231,48,21,4789,0,56,758,962,938,694,162,32,15,3621,0,24,414,607,661,431,103,24,13,2284,3,25,422,774,802,501,102,50,12,2690,9,22,118,324,348,276,97,48,14,1246,785,552,1059,933,1090,1190,1192,977,734,8510,7066,7580,13739,13101,14091,14036,10859,6065,2743,89283
LGA22670,16,523,3184,2222,1750,1224,346,88,32,9385,3,181,1711,1359,919,667,155,31,14,5032,6,80,1081,952,654,467,111,15,9,3362,0,21,495,580,391,251,62,14,4,1818,0,14,459,681,428,233,51,10,3,1883,9,22,121,224,153,98,44,27,7,704,782,889,2054,1481,1333,1209,1181,955,626,10502,9021,12088,27166,20720,17859,15838,11906,6995,3008,124599
LGA22750,25,974,3854,3247,3190,2657,1074,340,174,15539,14,337,2886,2451,2280,1659,503,120,48,10298,11,144,1990,2201,2076,1456,351,95,29,8357,4,60,1036,1592,1544,1043,225,49,23,5581,7,25,1062,2135,2060,1365,312,73,35,7079,15,43,326,1029,1150,751,275,112,46,3746,1320,1211,2347,2209,2301,2226,2348,1867,1397,17217,14447,15606,29642,29252,29972,28885,23587,13316,6460,191166
LGA22830,14,257,966,868,963,777,277,91,37,4257,7,87,653,552,647,437,123,35,8,2546,0,41,368,473,501,349,75,14,16,1836,0,12,180,285,323,259,41,14,4,1121,3,13,157,346,384,255,76,26,12,1272,7,13,64,123,191,160,64,27,4,662,533,357,849,799,873,836,845,571,321,5982,4328,3571,7850,7777,8548,7911,6169,3497,1484,51131
LGA22910,0,23,118,178,215,213,89,27,13,868,3,11,76,107,147,134,41,7,7,531,0,4,50,98,120,105,38,14,6,435,0,3,21,53,78,54,15,8,4,246,0,0,19,92,99,97,28,7,9,339,0,0,11,49,50,58,30,0,0,207,101,69,112,161,222,306,255,162,123,1509,677,549,1136,1723,2297,2802,2265,1027,469,12934
LGA22980,3,15,47,48,83,75,31,10,3,326,0,10,26,42,42,54,6,6,4,184,0,5,13,26,45,33,3,3,0,133,0,0,5,12,23,37,3,0,0,90,0,0,9,17,17,27,6,0,0,83,0,0,8,11,17,14,3,5,3,62,31,15,34,38,74,75,86,50,57,464,319,247,487,525,791,949,766,482,290,4859
LGA23110,14,378,1830,1291,1288,984,273,89,37,6190,0,125,1347,1139,1024,631,144,33,10,4449,0,42,1008,1139,976,638,118,23,11,3953,3,27,561,916,736,440,83,12,7,2791,3,17,849,1608,1275,687,119,24,6,4584,5,11,231,1019,923,354,89,22,9,2668,379,378,926,880,871,787,663,614,350,5846,4656,5173,13093,13433,12638,10308,6854,4320,1952,72429
LGA23190,0,98,299,249,299,276,87,25,12,1341,0,26,204,173,192,148,54,16,9,822,0,10,102,128,146,109,34,14,5,556,0,5,53,76,109,96,18,10,8,369,0,0,53,96,124,81,26,15,8,411,3,3,18,51,47,60,14,16,5,226,111,68,169,148,173,207,185,167,117,1343,1182,1105,2291,2194,2512,2676,2028,1316,613,15913
LGA23270,41,874,3792,3019,2815,1788,469,101,36,12929,10,287,2379,2083,1886,1145,196,33,5,8027,3,123,1472,1564,1502,773,144,22,8,5602,4,51,770,1050,948,567,76,10,0,3473,4,39,781,1345,1131,626,100,18,6,4057,3,28,222,430,471,291,67,21,9,1550,1334,1110,2392,1958,1941,1518,1251,734,287,12533,14047,14538,31082,27319,26340,19741,12573,5924,1889,153462
LGA23350,9,38,177,248,293,295,98,28,8,1192,0,8,110,169,233,182,55,5,0,763,0,9,57,157,178,148,41,4,3,596,3,3,34,96,124,108,21,0,3,392,0,0,26,95,141,112,18,7,0,399,0,0,10,41,56,38,25,6,0,175,116,46,142,196,219,229,176,143,65,1323,939,589,1250,1928,2462,2633,2039,902,353,13104
LGA23430,20,586,2853,2348,2380,1792,673,209,111,10965,3,209,2208,2025,1814,1197,378,91,42,7970,6,57,1645,1985,1712,1085,295,59,55,6897,0,26,883,1563,1284,838,163,31,19,4803,0,26,1137,2559,2007,1016,205,44,20,7016,4,15,297,1297,1229,515,145,54,27,3586,571,579,1298,1342,1324,1156,1222,1146,990,9621,8174,8811,19800,22479,21604,17615,13553,8428,4139,124594
LGA23670,27,736,3094,2324,2691,2140,695,155,58,11920,0,246,2315,1834,1838,1395,356,63,18,8074,0,96,1479,1794,1682,1135,254,42,22,6489,0,32,775,1294,1206,811,129,28,16,4287,3,26,858,1769,1695,1073,164,36,17,5647,9,13,194,646,796,509,105,32,16,2308,555,534,1117,1066,1130,1084,1012,848,715,8058,9911,10200,20332,20753,22075,19896,13662,7112,3105,127047
LGA23810,14,320,1022,744,844,690,268,91,25,4021,0,113,709,612,594,454,137,27,4,2651,4,67,453,509,553,467,87,24,5,2167,0,21,288,412,456,375,64,12,6,1633,0,42,383,531,715,587,91,17,3,2375,12,20,160,220,402,296,64,20,12,1206,567,528,837,709,934,1014,914,697,412,6612,4409,4789,9057,8337,9718,10102,7609,4227,1761,59998
LGA23940,0,12,60,78,84,117,28,11,7,394,0,7,32,30,49,59,10,8,3,198,0,0,16,34,31,36,15,0,0,134,0,0,5,8,27,24,8,0,0,80,0,0,3,14,27,28,3,0,0,72,0,0,4,8,14,11,5,3,3,49,85,21,67,97,130,149,159,112,61,884,413,230,518,717,1078,1356,1139,621,256,6322
LGA24130,3,154,515,643,726,560,292,78,14,2996,3,60,384,524,558,423,145,36,9,2137,0,26,341,505,578,414,129,13,9,2017,0,13,161,387,408,258,55,12,3,1307,0,3,204,668,744,440,106,30,10,2204,0,10,64,395,501,272,85,26,3,1349,330,167,278,469,519,514,546,299,236,3342,2919,2114,3942,6277,7184,6356,5046,2012,811,36659
LGA24210,13,472,1742,1223,1516,1288,752,318,99,7418,4,158,1282,1113,1189,914,453,194,62,5372,4,81,976,1122,1240,878,360,146,43,4852,0,19,537,871,969,671,268,81,24,3432,4,16,702,1670,1626,1032,345,120,40,5553,4,14,277,1193,1491,918,316,121,49,4389,441,354,699,690,874,805,825,939,748,6378,7542,7222,12885,14044,16681,14448,12292,8740,3668,97529
LGA24250,3,21,78,115,120,149,67,14,12,577,0,6,58,78,81,93,21,6,6,352,0,3,35,56,71,59,13,7,0,244,0,0,9,37,53,44,11,4,0,163,0,0,24,51,41,42,14,14,0,187,0,4,3,11,24,20,13,9,3,93,68,34,79,97,113,145,126,62,23,740,499,299,662,937,1156,1428,1311,551,207,7049
LGA24330,9,392,2471,1353,920,622,136,36,13,5952,3,113,1763,1197,753,389,68,20,9,4315,3,58,1297,1240,694,375,41,10,11,3718,0,18,823,873,585,275,27,3,0,2615,0,18,1085,1708,897,340,40,10,3,4097,3,21,339,948,476,175,36,9,3,2006,349,638,1563,1129,835,619,439,391,355,6320,3635,7258,19006,14058,9900,7247,4024,2589,1379,69093
LGA24410,20,498,2249,1722,1717,1340,571,152,81,8349,0,166,1707,1414,1354,943,296,51,22,5947,0,65,1225,1381,1192,840,181,38,27,4953,0,27,669,995,930,600,128,19,8,3371,4,22,758,1617,1313,767,148,38,13,4687,0,10,177,606,695,391,98,30,14,2024,452,349,820,801,821,707,700,646,577,5867,6671,6629,15284,15617,15158,12710,9647,5414,2647,89771
LGA24600,121,1291,4862,1214,697,449,365,94,38,9133,49,554,4136,1182,630,451,234,85,18,7337,39,211,3458,1315,652,442,206,66,26,6409,20,120,2011,1183,562,342,182,65,27,4513,54,153,3034,2358,1151,771,320,92,33,7970,26,122,984,1615,1406,1062,517,138,58,5921,1149,3145,5301,2235,1380,1095,847,417,425,16001,10591,29756,44425,16035,9784,7798,5288,2299,1255,127232
LGA24650,22,592,2952,2717,2090,1176,246,41,13,9850,15,223,1888,2135,1419,765,134,15,3,6604,4,79,1244,1666,1089,597,106,10,0,4795,0,30,675,1176,795,359,47,4,0,3085,3,33,714,1496,871,404,59,9,3,3579,9,24,178,482,338,147,37,10,3,1218,816,905,2028,1888,1402,1042,775,381,103,9335,8883,8616,20955,22853,16888,12486,7681,2847,887,102097
LGA24780,4,165,759,631,780,630,206,62,36,3271,5,79,433,521,453,371,114,26,7,2006,0,23,280,376,440,298,54,15,6,1493,0,11,119,231,268,193,21,13,4,865,0,3,101,241,270,187,46,11,4,868,10,8,55,115,120,113,50,17,4,505,484,343,684,568,686,788,737,522,266,5086,3518,3153,6535,6168,7079,7111,5493,3169,1419,43642
LGA24850,13,156,685,619,696,449,167,50,22,2864,4,73,505,463,503,372,75,12,8,2010,0,38,343,364,383,259,43,14,4,1446,3,8,190,258,301,158,35,4,0,957,0,5,174,280,343,207,46,6,0,1076,3,8,43,85,113,90,32,20,3,404,426,235,476,502,558,528,469,308,140,3631,2880,2487,5230,5178,5789,5056,3608,1633,581,32439
LGA24900,8,110,354,323,427,333,158,35,16,1769,0,42,197,215,255,211,63,20,8,1004,0,26,116,158,219,177,35,8,3,735,0,3,68,122,135,101,22,12,0,468,0,5,58,103,117,89,20,10,5,411,0,3,23,52,65,71,47,21,7,287,243,121,245,251,357,465,543,388,208,2819,1711,1378,2699,2919,3764,4227,3960,2377,935,23981
LGA24970,37,759,3563,2364,2276,1578,834,341,137,11898,6,315,2378,1871,1793,1144,491,165,74,8244,6,120,1807,1869,1718,1062,355,129,31,7103,13,60,1021,1502,1341,861,209,76,29,5117,6,30,1334,2759,2310,1288,345,120,49,8240,15,30,341,1399,1501,817,219,90,47,4448,725,968,1637,1270,1240,1048,1052,1149,1022,10103,12399,17853,27136,23495,23081,18367,15185,11113,5088,153720
LGA25060,13,564,2561,1571,1513,1190,500,145,58,8123,0,212,2126,1407,1341,926,288,52,25,6379,0,89,1583,1427,1283,873,187,37,23,5513,0,30,903,1174,1040,649,146,35,13,3992,4,30,1289,2097,1818,983,182,33,16,6450,3,26,429,1537,1520,715,130,45,17,4428,558,586,1562,1203,1101,938,933,805,595,8281,6344,7987,18685,16665,15917,12788,9385,6384,2967,97118
LGA25150,7,124,474,459,544,359,133,41,10,2153,4,42,353,385,396,281,65,11,4,1549,0,28,242,342,354,218,48,8,0,1234,0,7,132,281,253,159,27,7,3,867,0,6,143,326,353,210,34,3,0,1077,6,3,37,112,141,87,32,7,0,417,223,120,236,310,379,324,348,198,124,2260,2082,1711,3488,4238,4754,4118,3226,1263,491,25373
LGA25250,19,781,4864,2596,1931,1207,386,107,57,11954,4,287,3484,2199,1602,894,198,48,27,8752,3,105,2678,2220,1561,773,145,22,9,7522,3,48,1460,1756,1119,558,106,22,7,5080,0,32,1931,2808,1705,789,109,29,16,7406,13,24,474,1454,909,372,74,27,17,3367,650,942,2695,1887,1360,1078,939,1009,744,11299,7115,12878,35425,25663,19207,13853,9556,8461,4311,136461
LGA25340,35,487,1853,1891,2254,2002,1074,409,166,10168,9,211,1272,1498,1745,1357,645,175,67,6981,5,73,834,1331,1608,1113,413,142,47,5577,4,37,494,1027,1147,856,306,94,42,3999,0,19,478,1368,1511,1091,392,165,37,5070,3,14,175,844,1160,789,496,208,66,3755,853,551,934,1231,1515,1658,2035,1696,1081,11550,8945,7409,13493,17916,21250,21007,20899,12178,5059,128156
LGA25430,7,43,145,198,286,258,110,44,13,1111,0,17,76,144,181,180,61,10,3,665,0,0,54,110,156,157,34,18,0,546,0,4,31,74,104,78,19,0,4,319,0,0,34,97,132,101,26,7,0,398,3,3,10,34,63,48,49,8,9,222,131,114,374,361,378,380,270,187,135,2325,933,723,1544,2161,2815,3239,2638,1325,563,15946
LGA25490,10,58,230,223,270,231,113,36,9,1175,0,25,134,171,171,159,48,16,5,719,0,10,68,145,141,109,40,10,9,523,0,3,37,76,112,77,21,6,0,337,0,3,46,96,87,81,32,12,0,355,4,3,16,38,75,70,34,17,3,254,145,63,123,178,200,232,217,138,92,1387,978,717,1537,1974,2372,2483,1833,863,373,13134
LGA25620,0,36,150,196,219,217,68,25,8,923,0,14,96,106,129,128,47,10,0,538,0,8,42,90,107,90,12,7,3,363,0,0,35,56,72,57,28,6,0,259,0,4,27,71,102,70,26,5,3,311,3,0,10,32,36,46,24,18,8,171,101,50,111,169,176,266,261,131,43,1308,697,513,1118,1603,1982,2376,2090,854,314,11546
