LGA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA26610,3,107,297,229,298,248,74,37,18,1305,0,29,185,124,173,115,23,11,4,662,0,8,112,101,132,123,26,3,3,513,0,0,36,81,74,67,17,7,3,278,0,0,43,86,86,63,18,9,0,312,0,4,33,42,51,51,15,8,3,203,239,172,338,297,403,406,349,253,121,2574,1275,1190,2520,2303,2704,2769,2044,1281,563,16646
LGA26670,0,20,56,41,90,88,38,18,9,365,0,3,31,50,81,61,23,6,0,255,0,3,19,26,62,63,17,0,0,188,0,0,11,29,31,29,15,0,3,119,0,0,8,31,34,30,12,3,0,121,0,0,8,3,12,29,15,3,0,66,45,23,37,53,65,88,85,64,32,498,328,213,451,572,879,1040,906,433,197,5023
LGA26700,10,91,346,369,428,408,141,41,30,1864,0,23,239,235,323,218,68,20,6,1145,0,14,130,216,245,187,30,24,3,855,0,3,58,120,153,125,37,8,4,511,0,3,57,119,195,125,35,12,0,554,4,5,22,67,84,71,26,13,6,302,252,106,184,265,293,352,401,332,323,2499,1641,1300,2649,3291,3858,4094,3412,1960,1008,23209
LGA26730,3,145,557,444,567,416,155,36,22,2345,3,51,320,313,319,258,69,17,10,1370,4,15,185,253,302,215,62,11,4,1047,0,7,118,173,224,143,27,6,3,698,0,10,103,207,230,145,38,14,4,762,8,3,39,102,135,96,43,18,7,450,241,185,297,284,373,383,385,318,220,2683,2249,2220,4061,3920,4484,4254,3394,1992,969,27546
LGA26810,13,166,549,449,508,557,246,78,32,2594,4,75,358,368,342,322,122,24,14,1630,0,33,236,273,329,248,62,17,9,1205,0,9,151,225,232,193,36,10,3,857,0,13,209,285,313,246,63,8,4,1137,5,11,98,188,266,176,49,20,13,824,349,290,682,674,613,667,552,414,179,4422,2517,2137,4858,4937,5734,6490,5096,2546,1033,35358
LGA26890,0,17,48,36,61,70,29,10,3,276,0,3,18,30,43,24,15,4,0,135,0,0,21,20,26,34,11,3,3,113,0,0,12,10,15,22,7,3,0,68,0,0,4,11,23,14,8,4,0,71,0,0,8,10,12,16,7,6,0,52,25,5,18,26,44,33,52,42,36,285,211,149,357,356,594,602,519,313,132,3234
LGA26980,18,680,2931,2083,1927,1598,775,344,152,10499,10,212,2093,1692,1607,1150,431,160,89,7445,8,92,1492,1705,1702,1053,365,119,68,6605,3,31,934,1481,1333,803,236,74,39,4931,5,28,1177,2698,2293,1307,311,98,56,7972,3,25,377,1641,1698,835,229,82,40,4938,601,697,1168,994,1048,930,917,1064,968,8390,10350,13115,22853,21633,21261,17334,13608,9724,4959,134835
LGA27070,27,795,4533,3527,2923,1826,371,100,36,14150,12,246,3014,2650,1939,1107,202,29,10,9215,3,118,1896,2133,1484,796,120,27,10,6578,0,37,985,1345,990,542,76,12,3,3992,4,44,945,1746,1144,529,78,7,7,4510,11,15,229,500,421,202,60,19,9,1472,1001,957,2247,1786,1533,1379,1262,884,427,11475,11604,13528,33696,29423,24418,19446,13540,7300,2354,155311
LGA27170,20,258,761,598,615,474,169,36,15,2950,5,87,548,496,453,314,100,18,14,2038,7,36,296,354,366,248,53,16,5,1367,0,10,164,253,274,163,23,6,5,899,0,8,143,258,291,172,32,5,3,922,0,3,25,79,110,67,29,13,0,338,302,247,419,367,357,386,320,261,180,2837,2683,2697,5417,4854,5048,4689,3387,1722,745,31242
LGA27260,33,745,5540,4367,3082,1749,394,94,34,16040,4,290,3377,3166,2166,1127,219,22,10,10378,0,107,2257,2838,1780,925,146,19,8,8071,4,35,1356,2012,1214,588,73,13,3,5302,3,40,1532,2893,1689,788,108,21,6,7070,5,24,342,1076,760,317,79,19,8,2631,1139,1167,3160,2527,1804,1340,1022,540,315,13007,12735,13376,40889,36623,25419,17924,10507,4383,1451,163311
LGA27350,19,610,3752,1077,679,549,351,84,17,7140,0,292,3460,1133,631,427,245,43,13,6253,0,107,2775,1274,700,525,217,38,11,5631,0,37,1704,1115,582,386,159,19,4,4011,0,38,2622,2098,1245,709,256,34,14,7004,6,22,944,1899,1415,814,290,50,16,5460,334,764,2657,1383,1041,865,602,381,179,8213,2717,7045,26525,14030,9837,7727,5298,2718,1075,76983
LGA27450,20,647,2677,2263,2580,2068,779,150,64,11248,8,218,1827,1775,1811,1388,374,49,20,7474,0,81,1272,1510,1590,1194,260,47,16,5972,0,38,575,1135,1189,768,146,26,9,3880,8,19,682,1541,1572,924,210,27,16,4986,7,18,156,564,702,482,155,54,18,2159,860,615,1125,1270,1488,1342,1287,846,488,9314,9760,8912,17884,19756,21729,19702,14447,6352,2533,121080
LGA27630,0,30,70,68,98,84,29,15,10,405,0,6,37,39,58,65,16,11,0,228,0,3,25,28,31,38,16,3,3,145,0,3,9,11,23,31,3,0,0,79,0,0,9,18,31,28,7,8,0,94,0,0,4,9,8,14,9,0,0,44,54,35,67,57,85,94,116,76,80,658,366,283,569,557,935,1085,929,566,332,5618
LGA29399,3,0,24,18,6,3,3,0,0,57,0,5,8,10,3,3,3,0,0,30,0,0,0,16,6,0,0,0,0,23,0,0,6,7,3,3,0,3,0,19,0,0,0,9,3,9,0,0,0,27,0,3,0,0,8,3,0,5,0,18,14,23,64,46,26,18,16,3,0,210,37,103,210,135,88,84,61,19,0,746
LGA29499,6,37,127,61,53,32,12,0,0,329,0,11,83,36,32,25,3,0,0,185,0,0,42,36,19,18,9,0,0,123,0,0,34,23,21,13,0,0,0,88,0,0,52,36,21,16,4,0,0,129,0,0,15,23,14,21,5,0,0,76,64,163,358,249,183,140,91,26,12,1283,357,898,1848,1295,975,816,482,121,38,6825
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,4,6,0,0,0,13,0,0,0,0,3,3,0,0,0,6,0,0,4,3,11,5,0,0,0,25
