LGA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
LGA20110,16,7,3,0,22,18,3,6,0,33,5,0,15,0,30,14,3,19,0,30,92,8,32,0,134,48,21,58,3,127,260,39,55,5,358,164,58,57,3,282,189,79,39,8,322,158,138,37,5,333,107,102,15,0,223,113,83,8,0,209,147,158,16,3,321,74,114,5,0,189,39,56,0,0,100,17,40,0,0,61,35,49,0,0,89,117,182,40,5,350,46,5,12,0,63,1650,1142,423,37,3246
LGA20260,13,4,0,0,16,5,3,0,0,14,14,7,8,0,31,3,0,19,0,23,83,10,36,3,126,42,15,50,0,112,225,37,60,9,335,141,59,52,7,263,154,87,45,5,296,128,104,39,4,273,52,81,20,3,160,80,79,6,3,179,113,131,23,3,268,84,70,5,0,158,38,43,0,0,78,19,38,8,0,64,31,37,0,0,76,86,176,39,0,298,38,8,13,0,54,1362,993,432,42,2825
LGA20570,106,32,57,5,193,62,19,17,8,110,61,31,117,4,213,47,17,196,0,261,401,62,393,30,885,261,115,603,27,1006,1472,237,641,44,2399,828,441,583,42,1894,998,731,510,54,2292,940,927,367,42,2279,622,942,255,33,1850,622,879,183,19,1695,1162,1707,189,36,3098,618,1128,65,12,1828,308,730,24,9,1068,173,387,38,3,595,344,827,30,4,1215,575,1163,424,21,2182,215,111,120,9,450,9821,10460,4817,396,25499
LGA20660,186,79,88,10,359,90,19,51,7,171,70,29,117,23,237,45,30,138,4,216,391,70,226,27,716,202,122,330,31,685,1151,235,419,52,1859,835,341,462,73,1703,1074,684,542,65,2364,894,795,447,63,2194,629,908,374,41,1944,710,991,277,40,2021,1439,2409,409,56,4321,1055,2012,165,36,3266,664,1473,82,18,2236,412,1078,75,3,1572,766,2786,87,14,3653,684,1711,539,33,2975,203,169,97,15,481,11497,15931,4932,610,32968
LGA20740,62,9,17,3,84,43,0,14,0,52,37,15,39,0,89,30,5,79,0,110,251,39,127,8,426,147,53,193,7,397,795,78,196,11,1074,427,170,162,17,772,515,290,168,10,984,400,315,79,10,804,201,296,51,3,554,214,253,41,0,514,323,360,34,3,727,166,213,10,3,381,93,112,0,0,205,45,84,11,0,136,95,120,5,0,218,272,390,160,5,834,137,31,36,5,207,4239,2825,1411,89,8567
LGA20830,85,20,28,4,139,54,12,22,3,90,43,20,73,0,134,21,10,80,0,112,292,37,119,7,466,151,43,218,6,419,858,100,224,25,1200,517,225,225,17,977,602,402,231,16,1247,470,490,160,20,1137,304,464,127,7,900,340,482,72,12,897,578,815,86,5,1487,324,575,31,5,935,152,312,4,0,467,108,180,7,0,294,201,376,14,0,591,334,656,190,9,1192,140,73,33,3,253,5577,5285,1939,135,12930
LGA20910,119,50,106,4,275,60,19,24,7,113,38,16,70,5,133,18,16,74,3,111,219,34,128,9,390,138,57,195,6,393,544,93,203,25,873,429,124,259,34,843,662,265,293,39,1253,635,307,238,31,1213,427,364,221,18,1031,469,423,171,16,1083,1074,1157,313,29,2573,781,1168,107,21,2070,507,983,57,11,1554,521,1365,147,3,2037,1611,5045,144,13,6809,634,1854,364,12,2853,176,140,51,7,374,9061,13462,3151,294,25968
LGA21010,18,0,3,0,28,19,0,7,0,34,11,0,20,0,32,10,0,37,0,43,107,19,57,0,186,43,16,77,4,133,337,47,93,7,485,196,69,70,10,347,188,106,64,3,359,171,120,34,6,330,106,108,22,4,232,104,103,14,6,227,171,148,18,0,339,79,121,12,0,211,38,57,0,0,100,13,25,8,0,48,42,59,6,0,106,143,158,55,0,359,49,10,23,0,88,1861,1166,610,45,3681
LGA21110,295,166,329,72,863,121,42,102,27,296,91,64,133,35,324,45,50,124,14,233,301,89,176,25,589,244,168,269,30,711,710,215,270,62,1252,681,336,373,83,1472,944,573,440,103,2056,1029,617,365,102,2107,661,648,321,63,1691,797,769,283,43,1887,1872,1786,532,117,4314,1491,1687,225,61,3460,1023,1445,92,24,2590,744,1785,241,22,2795,2416,8386,227,27,11058,1023,3063,504,28,4619,237,221,80,15,550,14723,22119,5083,949,42882
LGA21180,479,258,386,31,1157,207,109,126,20,459,171,211,488,28,901,104,146,466,15,721,1087,462,653,71,2270,511,621,847,60,2045,2508,969,923,81,4487,1136,1542,1055,133,3866,1311,2183,1115,144,4752,1158,2279,829,157,4428,731,1999,583,71,3384,808,1882,435,95,3217,1369,3406,528,104,5413,778,2313,268,52,3419,371,1335,116,20,1838,203,844,75,10,1129,262,1297,93,21,1664,815,2740,893,50,4498,478,371,285,32,1160,14490,24956,10164,1194,50811
