LGA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
LGA20110,0,0,0,3,4,0,0,0,0,8,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,5,0,3,3,19,25,49,78,27,18,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,6,3,12,27,7,7,62,0,0,0,0,0,0,3,0,0,7,0,0,0,3,0,0,0,0,0,8,0,0,4,11,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,0,0,0,5,4,17,33,52,28,144,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,14,0,0,0,0,0,3,0,0,0,3
LGA20260,0,0,0,3,5,0,0,0,0,6,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,16,36,21,11,98,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,4,4,0,3,22,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,4,0,3,3,24,0,0,0,0,0,31,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,4,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5
LGA20570,0,20,114,161,35,25,8,0,0,376,0,0,0,3,11,7,11,10,6,51,0,7,3,7,0,0,0,0,0,12,11,48,33,140,159,216,263,160,70,1100,0,0,6,15,3,10,0,3,0,37,0,3,0,8,5,5,4,0,0,22,0,3,6,11,13,19,57,23,19,160,0,0,0,0,0,7,7,11,0,29,0,0,0,8,8,6,3,0,0,24,7,26,24,261,22,16,13,3,0,386,0,3,7,14,0,0,7,0,0,32,0,3,7,16,0,3,5,0,0,31,0,0,0,8,6,0,0,0,0,14,0,0,6,15,5,14,12,5,3,64,0,0,0,5,7,7,16,24,22,80,0,5,0,30,12,4,0,3,0,58,0,3,3,19,0,0,0,0,0,25,0,0,0,4,3,0,0,0,0,3,0,15,9,34,19,18,6,3,0,103,0,0,0,0,0,7,19,6,0,33
LGA20660,14,69,262,919,307,192,91,44,14,1921,0,0,0,7,34,44,49,43,18,194,0,3,4,18,6,25,42,15,4,124,12,71,74,329,250,290,291,179,101,1593,0,0,4,23,7,4,4,0,0,42,0,6,7,26,13,6,13,0,3,68,0,3,12,54,32,24,107,54,34,323,0,4,7,23,55,119,155,128,49,537,3,8,15,87,26,45,21,10,0,221,16,53,66,559,93,61,53,20,4,931,0,8,18,72,20,10,8,3,3,135,3,16,25,176,25,24,7,4,0,274,0,3,3,26,12,4,0,0,0,48,0,5,4,61,27,27,30,24,3,175,0,5,8,31,50,174,303,325,155,1055,3,10,15,93,35,10,6,3,7,172,0,16,10,67,16,6,0,0,0,121,0,3,3,35,46,41,27,21,3,192,0,13,49,206,92,115,61,19,4,558,0,0,0,3,5,35,49,16,3,107
LGA20740,0,0,0,23,6,7,3,0,0,42,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,3,3,0,10,4,10,6,54,114,203,269,151,66,879,0,0,0,3,0,0,0,0,0,9,0,0,0,3,3,0,3,0,0,14,0,0,3,13,9,14,29,19,7,104,0,0,0,0,3,4,11,9,0,29,0,0,0,6,0,4,4,0,0,14,3,0,3,30,6,6,7,0,0,61,0,0,0,9,0,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13,9,4,42,0,0,0,0,0,16,30,27,13,89,0,0,0,3,7,0,3,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3,4,0,0,27,0,0,0,0,0,5,13,3,0,29
LGA20830,0,3,4,18,15,5,0,0,0,48,0,0,0,0,3,8,9,0,0,20,0,0,0,0,0,0,9,0,0,9,3,26,21,90,155,211,237,147,46,935,0,0,0,7,3,4,0,0,0,16,0,0,0,3,3,0,0,0,0,8,0,0,3,9,11,14,42,19,10,114,0,0,0,0,0,3,3,4,0,14,0,0,3,3,3,0,0,0,0,7,4,4,3,45,8,0,7,3,0,75,0,0,0,3,4,0,0,0,0,8,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,9,3,8,8,4,3,37,0,0,0,0,5,13,20,32,12,78,0,5,0,11,0,0,0,0,0,15,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,3,3,0,0,29,0,0,3,0,0,3,9,3,0,27
LGA20910,14,65,165,387,237,114,46,28,9,1066,0,0,0,11,25,14,22,11,4,90,0,0,3,5,17,19,39,15,13,112,46,338,180,582,599,391,348,209,124,2815,0,0,0,18,8,6,4,0,0,35,3,21,13,48,25,11,10,5,4,137,0,10,29,72,80,45,92,56,41,421,0,6,3,16,39,61,105,109,27,369,3,18,26,27,20,21,11,5,0,132,9,14,20,159,67,53,36,28,16,398,0,4,0,32,10,5,5,3,0,61,0,0,0,29,4,12,3,3,0,56,0,0,0,0,7,3,0,0,0,13,3,22,12,102,58,27,24,24,14,290,3,3,5,32,28,50,91,99,68,381,8,35,12,71,40,14,13,3,3,187,0,4,4,30,8,7,0,0,0,59,0,0,5,11,15,14,7,7,0,60,0,4,18,71,51,54,21,10,0,235,0,0,0,0,3,7,17,4,3,42
LGA21010,0,3,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,12,26,27,56,25,11,174,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,25,4,6,53,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,14,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,11,0,0,0,0,0,0,4,3,3,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,8,0,0,0,0,0,0,3,0,0,3
LGA21110,62,455,1187,2388,1214,648,273,179,60,6458,0,0,0,11,19,24,15,24,14,111,0,11,5,18,17,23,34,12,9,120,40,222,185,479,440,345,307,177,143,2334,0,3,3,41,25,14,9,3,0,92,3,18,17,75,27,13,11,7,0,176,3,16,20,64,38,35,121,43,36,386,0,13,10,20,74,124,245,314,88,888,9,70,101,261,186,173,83,37,3,938,45,115,144,1040,175,120,112,35,20,1805,3,15,64,221,40,43,30,11,3,433,0,8,19,184,35,25,23,3,0,299,10,8,13,39,4,4,0,3,0,80,0,11,6,82,42,37,26,21,17,244,0,7,10,48,49,93,229,227,122,787,3,11,34,122,68,17,26,6,7,289,0,31,77,201,74,18,11,0,0,409,0,3,0,11,19,16,13,3,3,67,7,46,190,583,362,348,227,77,18,1854,0,0,0,8,6,17,16,5,7,53
LGA21180,7,41,112,558,249,171,72,52,32,1294,0,0,12,67,162,254,372,270,63,1188,3,30,32,86,73,103,90,56,20,504,6,46,20,114,144,186,165,92,39,812,0,13,18,133,70,51,35,9,0,332,0,3,3,7,10,4,15,7,0,52,0,3,22,26,23,48,232,79,51,483,0,12,10,44,85,198,359,346,94,1152,0,0,34,163,23,31,11,3,0,266,90,210,418,2419,320,278,171,56,29,3992,8,7,18,152,22,18,8,4,0,222,3,34,19,107,15,9,7,8,0,194,3,23,25,88,31,17,9,3,0,211,0,13,3,19,10,15,21,12,3,89,0,15,20,46,135,337,488,426,162,1616,0,3,11,39,7,4,0,0,0,73,0,3,6,57,4,7,3,0,0,80,0,3,21,107,97,99,27,24,4,376,32,62,47,201,50,64,28,4,0,488,0,4,10,58,130,579,896,473,152,2296
