LGA_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
LGA21270,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,17,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
LGA21370,0,0,3,17,3,3,0,0,0,22,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,7,0,0,4,20,56,88,114,58,26,377,0,3,0,3,3,0,0,0,0,9,0,0,0,0,0,4,0,0,0,6,0,0,0,9,3,6,15,5,3,39,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,6,30,0,0,0,3,3,39,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,4,7,0,18,0,0,0,3,3,13,31,23,9,79,0,0,0,3,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,15,0,0,0,0,0,4,4,0,0,9
LGA21450,0,6,16,80,32,15,9,3,0,167,0,0,3,15,19,16,22,12,0,78,0,24,12,37,9,3,13,3,0,109,4,72,104,323,464,414,406,209,85,2076,0,3,6,41,15,11,5,0,0,85,0,0,0,9,6,14,0,3,0,29,0,0,8,26,27,48,66,24,12,220,0,0,0,0,6,11,11,6,3,32,0,0,3,21,9,7,0,0,0,35,18,39,40,542,53,55,36,5,6,803,4,3,0,40,12,3,6,3,3,77,0,0,3,12,3,3,0,0,0,27,0,0,0,5,0,0,0,0,0,14,0,12,0,32,20,8,10,16,3,103,0,0,0,6,18,30,38,37,20,140,0,7,0,18,3,0,3,0,0,33,0,0,5,18,3,0,0,0,0,30,0,3,3,11,3,4,3,0,0,21,0,10,11,38,17,12,6,6,4,113,0,0,0,0,0,14,19,5,4,43
LGA21610,21,94,204,1139,439,313,135,56,17,2429,0,0,13,119,131,140,109,67,24,597,5,56,60,156,95,89,71,43,19,592,18,192,181,651,915,875,806,504,214,4344,0,28,79,466,214,136,63,29,7,1009,0,6,6,29,26,16,14,3,3,96,0,3,37,72,63,77,139,81,40,518,0,9,11,40,48,85,112,75,13,389,3,11,17,105,46,48,9,3,0,237,92,603,692,5103,977,689,321,143,47,8673,5,36,34,237,78,50,25,7,7,487,4,82,101,161,41,24,5,0,0,434,0,30,19,142,46,30,16,10,3,304,3,20,3,54,39,58,54,33,10,283,0,8,8,33,80,172,245,166,64,780,0,9,7,55,7,3,3,0,0,81,3,27,19,125,38,7,4,0,3,223,0,9,16,117,94,72,21,9,4,347,5,68,89,299,163,153,54,18,4,849,0,0,0,8,14,36,82,33,5,183
LGA21670,0,0,0,3,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,30,64,84,41,18,245,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,9,3,3,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,12,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3
LGA21750,0,3,5,20,6,6,0,0,0,37,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,27,32,67,61,40,17,250,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,9,5,4,11,5,3,40,0,0,0,0,0,5,3,0,0,12,0,0,0,0,0,0,0,0,0,0,4,6,0,19,0,7,0,0,0,30,0,0,0,3,3,0,0,0,0,3,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,3,14,8,10,28,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,12,0,0,0,0,0,0,3,0,0,3
LGA21830,0,0,4,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,17,13,26,37,29,5,131,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,6,0,0,0,0,7,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,8,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7
LGA21890,15,58,520,1129,359,332,97,67,24,2603,0,0,3,22,27,43,46,47,8,201,0,4,6,27,19,35,35,28,23,184,15,63,70,493,258,162,127,53,46,1286,0,0,7,37,19,19,11,10,0,100,0,3,8,69,15,9,5,3,3,116,0,8,14,89,30,19,38,15,13,234,0,17,30,114,161,349,778,789,222,2461,3,9,42,88,11,18,11,0,0,179,59,78,225,1315,97,67,38,18,11,1899,4,3,22,113,19,8,6,7,0,188,5,17,16,169,23,11,0,0,0,248,3,16,6,82,21,16,3,8,0,153,0,5,3,124,25,24,10,4,5,204,0,11,22,114,142,360,936,1251,506,3344,3,3,20,155,36,10,6,0,3,235,0,3,7,64,10,0,7,3,0,92,0,3,9,125,144,152,96,38,19,587,3,17,62,229,44,68,34,7,3,464,0,0,0,15,9,40,56,44,20,180
LGA22110,0,3,3,14,11,3,3,0,0,39,0,0,0,0,0,4,0,0,0,9,0,0,0,3,0,3,0,3,0,10,0,13,15,54,88,196,301,186,49,894,0,0,0,3,5,6,3,0,0,18,0,0,0,3,0,3,3,0,0,12,0,0,3,16,4,23,54,33,8,141,0,0,0,0,0,8,4,3,0,14,0,0,0,3,3,0,0,0,0,9,0,5,3,36,3,3,3,7,0,57,0,0,0,10,3,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,0,3,4,8,10,0,4,36,0,0,0,0,4,12,18,30,10,76,0,0,0,0,0,0,3,0,0,9,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,5,3,0,0,24,0,0,0,0,4,6,8,3,0,21
LGA22170,4,28,84,237,79,69,17,11,5,540,0,0,3,33,37,26,27,20,6,151,0,3,3,8,14,17,27,13,8,89,10,117,132,510,709,788,783,536,246,3835,0,4,20,65,39,11,6,5,3,161,0,5,0,10,14,10,6,8,3,54,0,8,20,46,59,68,106,52,26,381,0,11,5,12,22,36,57,62,17,221,0,0,31,31,9,12,11,0,0,88,9,69,58,433,106,77,47,24,12,836,0,9,7,49,23,13,5,0,3,102,0,0,0,15,5,7,0,0,0,29,0,0,0,4,3,0,3,0,0,12,0,8,3,55,26,40,49,30,13,211,0,3,0,24,25,65,71,43,21,262,3,4,0,35,12,3,3,0,0,57,0,0,0,35,3,0,0,0,0,41,0,0,0,16,23,12,3,3,0,58,0,8,16,63,37,54,16,0,0,199,0,0,0,0,6,10,11,11,4,47
LGA22250,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,20,19,3,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4
LGA22310,27,112,1320,1709,487,294,113,70,15,4138,0,0,0,16,20,15,19,16,5,95,0,4,3,9,17,30,41,28,24,161,28,118,100,455,338,261,251,157,135,1834,0,0,0,27,16,15,9,4,3,69,3,39,20,102,25,20,39,18,14,285,0,11,23,72,40,27,137,67,77,446,0,9,11,36,79,148,360,392,77,1110,9,16,59,99,48,35,21,7,0,295,97,213,217,1867,179,110,93,52,22,2851,0,3,38,175,24,13,10,5,0,280,4,5,5,70,12,7,0,0,0,92,0,3,0,5,7,0,4,0,3,22,3,9,10,174,44,25,21,15,12,308,3,12,4,53,44,70,131,152,85,541,12,45,33,234,64,22,21,6,3,443,4,35,62,216,54,9,9,5,0,391,0,0,0,14,12,13,14,16,0,70,3,16,85,276,98,75,47,26,5,622,0,0,0,3,3,10,17,7,3,47
LGA22410,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,3,0,0,6,0,0,0,3,0,0,0,0,0,3,0,6,0,15,33,61,67,44,14,236,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,18,5,0,31,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,19,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,10
LGA22490,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,5,0,3,13,0,0,0,0,0,0,0,0,0,0,0,6,7,46,83,103,82,43,8,384,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,6,0,0,0,3,15,10,19,13,7,61,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,0,3,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,7,0,0,16,0,0,0,0,0,3,3,6,0,17,0,0,0,3,3,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,6,0,0,0,11,0,0,0,0,3,0,3,0,0,13
