LGA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
LGA20110,16,52,0,17,9,0,0,5,0,91,4,11,0,0,3,3,0,0,0,24,69,256,8,58,56,25,7,22,3,497,0,4,0,5,0,0,0,0,0,7,29,32,12,30,27,10,0,11,0,151,29,36,9,67,42,27,4,14,0,234,46,15,58,110,63,34,10,34,4,375,9,3,3,15,12,10,0,10,0,54,14,0,4,18,18,9,0,9,0,76,0,3,0,3,3,0,0,3,0,12,17,10,3,7,13,13,0,13,6,91,257,478,97,332,256,134,19,124,16,1716,0,0,0,0,0,0,0,0,0,0,8,13,0,0,3,0,0,0,0,21,30,77,3,5,10,0,0,4,0,133,6,5,0,0,0,0,0,0,0,12,34,74,0,21,8,0,0,5,0,142,7,11,0,0,3,3,0,0,0,32,127,388,34,84,63,33,15,43,7,793,0,4,0,5,0,0,0,0,0,7
LGA20260,11,38,0,3,6,0,0,4,0,69,0,13,0,3,0,0,0,0,0,24,51,222,9,32,22,10,0,14,0,358,0,0,0,0,0,0,0,0,0,6,32,35,8,33,23,7,0,0,0,132,21,22,9,52,37,10,3,12,0,154,30,27,49,139,58,34,0,39,10,386,5,0,0,9,5,6,0,5,0,40,8,3,3,21,9,7,0,3,0,60,3,0,0,0,3,0,0,8,3,24,6,6,3,18,11,9,0,9,6,74,181,399,82,318,180,79,8,97,18,1365,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,11,10,29,3,6,3,4,0,0,0,63,0,3,0,0,0,0,0,0,0,5,15,53,0,6,6,0,0,4,0,88,7,20,0,3,0,0,0,0,0,26,115,315,17,45,29,13,3,29,4,566,0,0,0,0,0,3,0,0,0,5
LGA20570,66,608,17,105,62,17,0,3,9,881,20,136,3,20,20,3,0,0,3,203,337,2944,115,436,538,181,8,81,40,4681,3,3,0,4,6,4,0,0,0,20,134,284,37,216,229,60,7,30,16,1014,140,257,74,562,416,141,3,51,22,1666,184,205,438,1083,846,415,35,249,27,3482,28,15,22,72,128,92,7,48,3,414,25,15,27,126,108,66,3,26,4,398,3,39,7,17,24,15,0,6,0,124,27,67,22,85,65,61,9,70,37,435,1137,5450,771,2778,2509,1067,81,575,163,14530,15,50,0,0,0,3,0,0,0,72,39,346,4,6,3,0,0,3,0,404,340,1049,51,58,102,31,13,22,21,1684,22,85,0,10,3,6,0,4,0,126,152,883,30,146,78,25,13,16,10,1350,46,177,6,25,20,7,0,0,6,294,952,4780,302,665,714,283,67,195,89,8051,4,3,0,9,6,4,0,0,0,27
LGA20660,146,981,21,143,141,16,3,5,3,1451,31,212,12,10,36,4,0,5,4,307,937,4809,230,641,1222,410,19,87,82,8438,7,3,0,12,3,3,0,0,0,30,192,423,56,284,414,112,12,38,16,1541,227,336,106,496,533,179,13,41,33,1963,159,177,326,778,624,242,19,106,32,2467,15,9,16,64,99,33,3,17,0,250,38,49,32,126,203,51,5,31,5,545,20,52,10,32,62,31,0,10,9,219,36,101,30,90,91,41,4,17,52,461,2206,9261,877,2775,3724,1181,86,386,256,20745,9,82,0,4,7,3,0,0,0,114,125,1021,12,15,28,3,3,3,5,1215,927,2685,132,148,406,128,39,88,58,4617,50,155,0,12,30,5,3,3,3,260,322,1438,54,190,202,36,8,21,12,2279,65,263,16,23,45,5,3,4,7,444,2481,8513,687,1014,1819,776,151,308,151,15900,10,9,4,22,3,4,0,0,0,55
LGA20740,15,133,3,36,13,3,0,0,4,211,6,25,0,0,3,0,0,0,0,39,105,579,18,101,89,56,3,24,7,992,0,0,0,5,0,0,0,0,0,4,42,80,13,53,69,40,0,13,3,317,60,66,26,180,111,59,0,19,0,527,69,64,134,315,185,109,18,74,5,984,15,9,6,40,22,17,0,16,0,116,19,3,8,56,36,16,0,24,0,175,10,7,3,7,10,10,0,4,0,52,24,19,12,45,30,36,3,20,12,208,405,1130,231,850,583,358,24,200,45,3816,3,3,0,0,0,0,0,0,3,15,13,33,0,4,0,0,0,0,3,53,58,169,10,6,14,6,3,4,3,272,4,6,0,4,0,0,0,0,0,16,23,191,5,45,17,7,0,5,4,302,10,34,0,5,0,0,0,0,0,48,247,908,67,147,111,78,6,45,12,1632,3,3,0,4,0,0,0,0,0,9
LGA20830,35,233,4,40,23,5,0,3,3,348,10,44,0,0,4,3,0,0,0,70,194,1098,31,150,168,41,3,45,16,1750,3,3,0,3,5,0,0,0,0,12,79,158,16,96,96,23,0,31,3,501,82,158,47,300,221,58,4,45,9,924,141,89,246,538,395,179,35,150,9,1778,22,7,7,43,54,27,0,32,3,206,28,8,20,90,55,34,5,26,5,262,5,12,0,10,13,9,0,10,0,63,34,28,12,47,51,32,8,26,16,245,678,2109,386,1332,1117,418,57,382,68,6546,0,16,0,3,3,0,0,0,0,29,13,98,3,3,0,0,0,0,0,116,89,317,15,24,27,5,3,4,4,489,0,28,0,3,3,0,0,0,0,39,72,334,4,51,34,10,3,5,3,516,10,54,4,5,7,3,0,0,0,99,427,1654,95,199,232,67,14,86,26,2801,6,3,0,9,5,3,0,3,0,21
LGA20910,172,682,12,68,117,27,0,3,5,1088,28,119,0,8,22,4,0,0,0,185,1391,3980,137,458,1068,462,17,49,71,7622,4,3,0,6,4,0,0,0,0,21,203,421,55,191,342,118,8,15,17,1363,209,286,80,264,409,143,4,23,13,1424,132,113,157,339,316,166,5,45,15,1283,21,10,4,34,58,22,3,7,0,169,49,49,14,87,156,49,0,13,7,430,25,75,4,18,48,22,0,6,9,202,30,81,9,45,83,38,3,5,42,342,2852,7557,491,1594,2829,1126,39,167,205,16864,33,72,5,5,9,3,0,0,0,130,173,738,8,6,25,8,0,0,14,977,1454,2316,64,98,298,121,5,24,49,4421,87,165,4,7,21,10,0,0,6,296,373,1005,25,92,159,44,6,14,8,1714,53,150,4,22,30,14,0,3,0,270,3885,7728,404,710,1536,895,69,141,187,15559,4,4,0,5,4,0,0,0,0,31
LGA21010,10,45,0,10,6,0,0,0,0,79,8,14,0,0,0,0,0,0,0,19,54,271,5,32,41,4,4,5,4,417,0,0,0,4,0,0,0,0,0,8,23,41,3,30,25,11,4,3,3,147,36,51,15,72,45,10,0,11,3,239,42,31,63,153,97,53,5,33,6,482,8,3,3,13,21,17,0,14,0,74,6,0,6,22,13,6,0,12,0,74,0,4,3,7,6,4,0,0,0,24,9,18,6,22,10,13,3,11,4,92,212,544,112,372,268,116,14,88,24,1752,0,0,0,0,0,0,0,0,0,7,3,10,0,0,0,0,0,0,0,13,32,75,0,3,5,3,0,0,3,123,0,5,0,0,0,0,0,0,0,5,26,66,0,13,5,0,0,0,0,119,9,18,0,0,3,0,0,0,0,26,106,407,13,45,51,14,9,10,9,659,4,0,0,3,0,0,0,0,0,11
LGA21110,331,1309,34,140,246,55,0,11,11,2136,65,236,3,14,46,9,0,0,3,373,2320,8236,281,967,2367,892,17,192,185,15460,3,6,0,12,4,3,0,0,0,33,336,553,75,262,478,184,10,24,26,1944,295,346,99,385,616,237,9,45,22,2060,184,171,241,448,436,221,9,46,12,1774,22,22,13,49,69,30,0,17,0,223,75,68,24,103,206,66,5,13,8,572,56,144,10,34,68,29,4,10,5,361,67,141,9,52,113,42,0,20,53,496,4893,15326,862,2640,5270,1940,61,411,405,31803,46,165,7,7,23,3,0,0,0,258,318,2267,9,15,73,19,7,5,18,2740,2521,5733,228,252,912,368,37,115,150,10322,134,324,3,15,49,12,4,3,10,548,682,2075,70,168,340,86,14,24,27,3494,120,326,7,20,57,14,0,0,3,547,6121,16461,897,1506,3407,1696,169,512,403,31175,13,12,4,13,6,3,0,0,0,63
LGA21180,47,441,10,126,55,9,3,10,3,705,5,73,0,5,17,0,0,0,0,109,620,3502,256,786,1528,586,77,341,87,7791,8,12,3,17,11,10,3,3,0,70,158,269,87,312,404,145,32,102,20,1535,258,345,207,870,700,304,59,170,38,2945,222,190,485,1264,802,441,148,366,58,3973,28,18,18,100,122,74,19,57,6,445,45,34,37,259,208,117,22,92,19,837,16,52,24,56,79,33,12,32,8,312,48,99,51,160,153,112,33,152,98,892,1592,5905,1217,4105,4314,1931,420,1405,351,21229,12,49,4,3,5,3,0,0,0,70,28,202,10,10,12,3,3,5,0,276,371,1358,143,225,368,203,156,205,43,3056,22,84,11,10,24,3,7,11,0,166,98,629,22,144,79,28,24,26,7,1057,19,115,7,17,31,5,0,3,0,184,1555,6001,966,1202,2337,1011,664,873,223,14825,11,15,11,18,17,13,19,10,3,117
