LGA_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
LGA20110,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,5,..,4,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,11,0,11,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,23,0,22,0,22,..,10,0,11,0,11,..,3,0,3,0,3,..,11,0,11,0,11,..,0,0,0,0,0,..,7,0,3,0,3,..,44,9,56,0,56,..,427,71,496,4,504,..,12,0,15,484,502,5261,443,73,514,490,6265,10386,..,..,..,..,10386,..,3,0,3,0,3,..,5,0,9,0,9,..,6,0,6,0,6,..,3,5,14,0,14,..,26,8,32,0,32,..,0,0,0,0,0,..,32,13,50,0,50,..,21,0,24,0,24,..,15,0,15,0,15,..,32,0,32,0,32,..,82,0,87,0,87
LGA20260,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,23,0,23,..,6,0,6,0,6,..,16,0,16,0,16,..,0,0,0,0,0,..,43,0,38,0,38,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,7,4,9,0,9,..,23,0,19,3,22,..,191,34,229,7,232,..,11,3,15,382,397,4823,206,35,237,385,5449,9696,..,..,..,..,9696,..,7,0,7,0,7,..,13,0,13,0,13,..,0,0,0,0,0,..,0,3,5,0,5,..,24,36,63,3,61,..,0,4,4,0,4,..,30,39,72,3,73,..,9,0,9,0,10,..,18,0,18,0,18,..,5,0,5,0,5,..,25,0,25,3,28
LGA20570,0,26,..,12,0,12,0,12,..,29,0,33,0,34,..,24,4,28,0,28,..,29,4,30,0,30,..,28,4,37,0,37,..,3,0,3,0,3,..,17,0,17,0,19,..,84,3,83,0,83,..,29,0,29,0,29,..,90,3,96,0,96,..,24,0,29,0,26,..,227,5,236,0,234,..,49,3,51,0,52,..,31,4,35,0,35,..,42,8,57,0,56,..,11,3,9,0,9,..,45,9,58,0,59,..,465,70,531,18,552,..,2437,348,2786,38,2827,..,148,10,162,3048,3206,46783,2592,356,2945,3085,52821,89998,..,..,..,..,89998,..,61,3,69,0,69,..,142,7,155,0,155,..,18,0,19,0,20,..,130,36,167,0,165,..,655,191,846,5,854,..,55,20,76,0,76,..,840,245,1085,4,1090,..,102,17,120,0,118,..,163,5,165,4,167,..,113,5,120,0,118,..,161,5,165,0,165
LGA20660,4,136,..,389,59,451,3,449,..,57,0,59,0,59,..,265,39,311,3,309,..,155,7,163,0,164,..,136,16,158,0,156,..,40,4,49,0,49,..,124,27,152,0,152,..,104,4,111,0,112,..,93,5,106,0,101,..,134,6,141,0,143,..,67,3,67,0,70,..,403,20,424,3,429,..,277,25,307,3,309,..,201,12,219,3,223,..,128,13,139,3,141,..,46,7,61,0,58,..,382,85,472,6,478,..,1510,327,1835,45,1885,..,11725,2094,13819,156,13967,..,162,26,194,2674,2861,45811,11887,2121,14011,2824,62644,89897,..,..,..,..,89897,..,93,3,98,0,98,..,1017,186,1201,9,1207,..,6,0,5,0,5,..,1043,255,1297,8,1304,..,3107,1071,4175,15,4185,..,213,94,315,0,311,..,4362,1425,5781,21,5806,..,455,52,513,7,518,..,151,3,149,0,149,..,350,16,363,3,370,..,479,20,496,0,499
LGA20740,0,3,..,3,0,3,0,3,..,15,3,13,0,13,..,0,0,0,0,0,..,12,0,12,0,12,..,11,0,11,0,8,..,0,0,0,0,0,..,8,0,8,0,8,..,17,0,13,0,13,..,13,0,13,0,13,..,20,0,23,0,21,..,3,0,3,0,3,..,46,3,49,0,50,..,44,3,47,0,47,..,6,0,6,0,3,..,26,5,33,0,33,..,0,0,3,0,3,..,7,10,15,0,15,..,108,16,122,4,129,..,689,106,792,13,809,..,37,3,38,1167,1206,14893,722,107,833,1189,16912,28849,..,..,..,..,28849,..,9,0,9,0,9,..,23,0,27,0,25,..,0,0,0,0,0,..,35,13,50,0,50,..,59,27,89,0,92,..,8,0,7,0,7,..,106,45,146,3,150,..,18,0,18,0,18,..,95,0,95,0,95,..,47,0,52,0,52,..,95,5,100,6,103
LGA20830,0,4,..,3,0,3,0,3,..,12,0,12,0,12,..,3,0,3,0,3,..,19,7,21,0,27,..,18,3,16,0,16,..,4,0,4,0,4,..,6,3,13,0,13,..,36,3,41,3,41,..,6,0,6,0,7,..,21,0,22,0,22,..,8,0,7,0,7,..,73,4,79,4,76,..,28,0,34,0,34,..,9,0,12,0,12,..,19,4,24,0,24,..,0,0,0,0,0,..,18,7,20,0,20,..,138,25,163,8,168,..,875,122,1000,19,1016,..,39,5,50,1587,1637,22289,921,125,1043,1606,24938,43359,..,..,..,..,43359,..,30,0,30,0,30,..,42,6,44,0,47,..,4,0,4,0,4,..,23,3,30,0,30,..,91,54,152,0,152,..,9,3,10,0,10,..,125,63,193,0,193,..,47,8,53,0,53,..,125,3,133,0,133,..,44,0,44,0,44,..,110,4,116,5,122
LGA20910,0,52,..,28,0,31,0,31,..,23,3,19,0,19,..,37,7,47,0,47,..,239,29,262,0,262,..,601,98,699,0,706,..,7,0,7,0,7,..,88,11,97,0,97,..,25,4,30,0,30,..,37,0,39,0,39,..,48,0,51,0,51,..,21,5,25,0,26,..,135,5,140,0,140,..,259,8,267,0,268,..,29,4,26,0,27,..,64,8,72,0,72,..,71,14,89,0,86,..,89,15,107,0,106,..,806,99,902,16,912,..,6739,1008,7752,62,7807,..,115,9,121,2498,2615,40433,6855,1013,7867,2556,50862,77872,..,..,..,..,77872,..,187,4,192,0,192,..,274,22,295,0,295,..,4,0,4,0,4,..,355,60,417,3,420,..,1449,531,1982,10,1993,..,114,32,144,0,142,..,1917,620,2542,16,2559,..,162,14,168,0,168,..,224,0,229,3,230,..,577,26,604,4,607,..,737,8,742,4,750
LGA21010,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,7,0,7,..,8,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,10,0,10,0,10,..,3,0,3,0,3,..,20,0,20,0,20,..,3,0,3,0,3,..,6,0,6,0,6,..,9,3,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,35,9,42,0,45,..,172,25,201,10,213,..,11,0,11,558,568,6365,185,25,213,563,7149,12352,..,..,..,..,12352,..,0,0,0,0,0,..,7,0,13,0,13,..,0,0,0,0,0,..,14,0,15,0,15,..,20,4,32,0,32,..,9,0,12,0,12,..,40,13,53,0,53,..,3,0,3,0,3,..,7,0,7,0,7,..,9,0,9,3,12,..,35,0,42,3,39
LGA21110,0,407,..,105,12,121,0,124,..,29,3,32,0,32,..,276,28,308,0,306,..,167,16,180,0,182,..,177,15,189,3,195,..,13,0,13,0,13,..,86,7,95,3,96,..,98,0,102,0,102,..,369,30,395,0,395,..,124,0,130,0,125,..,66,3,70,0,70,..,663,34,699,0,695,..,464,49,516,3,514,..,267,7,276,3,283,..,236,23,255,3,257,..,90,18,107,0,107,..,956,139,1097,8,1100,..,1238,155,1392,43,1428,..,20290,4015,24300,176,24482,..,161,24,184,3756,3941,58665,20446,4039,24492,3930,87085,113886,..,..,..,..,113886,..,109,4,112,0,112,..,731,162,895,14,905,..,4,0,4,0,4,..,4127,778,4909,40,4945,..,10229,3408,13638,59,13700,..,708,213,915,0,915,..,15066,4391,19459,99,19558,..,191,21,215,3,217,..,156,0,161,0,161,..,1002,24,1023,10,1031,..,660,12,674,4,676
LGA21180,0,76,..,1732,596,2326,19,2346,..,2296,293,2583,38,2625,..,118,51,171,0,167,..,593,159,748,12,765,..,99,17,111,0,111,..,730,55,787,23,810,..,644,182,828,15,842,..,1168,47,1215,4,1221,..,165,20,185,0,185,..,1581,78,1661,26,1681,..,168,28,194,3,198,..,3081,170,3260,28,3287,..,1204,250,1461,12,1472,..,371,99,465,4,468,..,222,50,265,5,271,..,889,270,1157,9,1170,..,9787,6759,16542,138,16681,..,4986,1778,6764,127,6892,..,42019,14712,56734,634,57366,..,318,134,449,5196,5646,34067,42332,14850,57181,5833,97079,69300,..,..,..,..,69300,..,35,6,35,0,35,..,3634,601,4232,55,4286,..,8,0,7,0,7,..,2716,1414,4128,39,4170,..,1868,997,2859,27,2887,..,891,461,1355,18,1372,..,5479,2868,8350,76,8422,..,2749,646,3389,51,3441,..,64,3,72,0,72,..,259,18,278,3,277,..,438,26,462,4,468
