LGA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA20110,193,145,341,559,717,634,135,18,9,2752,117,29,102,126,136,352,657,413,191,2113,25,17,41,58,74,85,70,45,36,443,334,193,480,743,926,1068,861,479,237,5307,62,181,447,601,857,692,133,26,3,3005,242,110,205,389,457,482,182,23,3,2088,15,18,30,40,53,87,24,7,4,268,14,9,18,23,28,18,12,4,5,130,335,321,702,1046,1393,1280,349,53,12,5488,8,18,16,22,30,28,0,0,0,126,15,6,8,6,13,31,7,0,0,94,30,24,27,30,45,60,12,0,0,216,364,339,725,1082,1433,1340,359,56,12,5705,269,51,139,188,218,637,1218,772,313,3807,34,33,76,103,160,173,135,88,62,866,665,427,935,1376,1815,2142,1718,915,383,10384
LGA20260,159,160,369,438,574,458,123,25,3,2313,111,52,111,109,138,324,536,334,196,1924,17,14,36,46,35,45,48,54,27,332,291,231,521,594,752,828,712,413,225,4572,95,176,476,538,722,557,126,31,3,2726,183,140,232,261,337,353,138,33,3,1676,13,14,37,29,39,61,34,10,0,224,8,5,23,9,12,10,10,7,3,88,296,332,771,833,1102,985,302,67,9,4708,15,29,30,30,38,28,0,0,0,176,21,7,13,12,8,11,6,0,0,82,39,40,38,45,50,42,10,0,0,257,335,371,814,874,1154,1027,312,68,9,4972,240,125,340,386,376,654,1054,668,314,4158,34,33,83,92,82,105,108,100,37,669,606,533,1235,1360,1608,1784,1476,840,359,9798
LGA20570,1742,2753,4859,4866,5097,3586,639,49,15,23596,1324,815,1447,1314,1336,2445,4181,2756,1424,17047,172,237,378,327,363,385,365,283,168,2685,3237,3802,6686,6502,6797,6419,5186,3097,1601,43329,469,2250,6173,5745,6199,4040,547,43,10,25472,2050,2272,2770,3112,2940,2563,858,101,11,16673,99,177,454,333,272,320,111,13,0,1778,86,134,156,123,133,105,37,17,3,796,2704,4832,9546,9310,9541,7025,1555,169,30,44716,191,393,467,296,324,196,15,0,0,1878,417,331,249,198,178,132,26,0,0,1534,604,727,719,494,502,328,43,0,0,3415,3307,5560,10264,9808,10039,7352,1590,173,30,48127,2961,1505,2088,1937,2131,4016,7420,4787,2120,28977,330,478,769,668,709,708,711,489,256,5118,6603,7544,13120,12416,12884,12080,9723,5449,2409,82219
LGA20660,1602,2722,6440,6893,6596,4756,1032,94,9,30140,1590,719,1440,1667,1503,2632,4680,3220,1760,19217,117,150,390,322,338,306,345,310,295,2572,3308,3582,8269,8887,8436,7691,6058,3627,2066,51928,292,2165,8847,8952,8553,5683,1000,58,10,35554,2013,2646,2996,4246,3807,3319,1291,178,19,20514,80,133,581,462,251,338,102,12,0,1954,52,89,196,190,173,115,52,17,5,888,2436,5032,12618,13855,12793,9446,2440,265,32,58915,94,251,440,322,326,219,25,3,4,1689,556,335,252,220,184,145,42,5,0,1744,646,589,693,549,510,364,70,4,4,3429,3082,5624,13310,14398,13303,9814,2513,268,30,62344,3510,1471,2160,2264,2225,4127,8393,5682,2781,32622,238,309,775,707,700,600,604,516,436,4889,6834,7410,16248,17375,16224,14542,11511,6470,3253,99850
LGA20740,384,365,1050,1269,1581,1412,324,40,17,6440,345,154,341,405,453,1138,2207,1179,564,6789,31,43,101,114,143,155,209,165,114,1077,761,561,1490,1790,2174,2707,2741,1379,695,14301,99,385,1160,1369,1708,1266,267,32,5,6292,488,286,710,892,1116,1229,447,70,16,5259,52,36,144,104,136,195,60,14,0,727,23,24,47,37,41,45,31,10,5,260,669,729,2060,2404,2996,2731,803,125,30,12537,41,74,84,91,101,120,7,0,0,518,53,27,52,63,48,79,15,0,0,337,89,101,140,156,150,202,13,0,4,857,759,825,2197,2557,3152,2931,815,122,36,13400,749,226,487,582,768,1931,4089,2219,930,11979,79,75,192,200,314,323,404,321,178,2082,1587,1127,2882,3337,4233,5190,5304,2667,1143,27459
LGA20830,734,946,1957,2042,2532,1973,407,63,3,10661,646,220,645,636,654,1286,2298,1269,596,8250,77,80,137,186,208,251,228,173,106,1439,1451,1245,2743,2867,3390,3506,2934,1507,706,20347,311,1061,2609,2529,3066,2248,466,69,19,12364,857,621,1078,1299,1574,1462,538,106,17,7548,30,48,211,135,174,222,63,12,0,904,44,35,74,67,90,73,37,9,3,442,1244,1770,3979,4032,4902,4006,1102,190,36,21255,77,136,107,112,132,124,5,0,0,694,177,73,70,60,62,83,19,0,0,549,253,206,179,173,190,208,23,0,0,1235,1490,1973,4150,4202,5096,4219,1122,196,39,22495,1370,376,834,883,969,2037,4168,2430,899,13956,148,161,285,340,424,469,432,300,175,2733,3003,2510,5269,5432,6486,6718,5728,2925,1112,39188
LGA20910,1309,1879,3350,5053,6462,4073,1171,95,14,23406,1549,376,643,1359,1516,2181,3682,2660,2100,16071,114,121,242,306,386,322,295,207,271,2261,2964,2381,4232,6721,8364,6581,5141,2968,2393,41741,135,1245,4591,6615,8741,5072,1057,91,9,27559,1757,2124,1362,2744,3554,2973,1664,231,36,16443,76,83,260,320,215,249,111,15,3,1332,36,69,101,123,167,98,46,15,5,652,2005,3516,6316,9802,12680,8392,2876,348,50,45993,28,128,182,178,266,187,24,7,0,992,404,213,89,169,165,128,60,7,0,1217,434,333,267,349,428,311,80,13,0,2215,2434,3854,6586,10146,13107,8702,2958,361,52,48202,3532,818,920,1651,1966,3287,6213,4606,3192,26182,216,247,478,619,781,645,546,376,377,4285,6178,4919,7980,12418,15855,12636,9718,5344,3624,78669
LGA21010,186,200,433,480,727,666,152,18,4,2872,161,76,160,155,217,425,778,496,289,2762,28,31,41,53,73,94,77,54,31,483,378,303,636,693,1027,1180,1005,572,323,6113,63,257,552,582,849,717,190,28,5,3240,221,140,229,295,425,497,168,31,7,2012,15,24,43,38,53,80,29,3,4,287,14,8,15,21,17,29,6,3,0,121,317,434,835,931,1340,1322,399,65,16,5659,17,38,49,20,31,42,3,0,0,191,31,13,22,22,18,29,4,0,0,128,46,47,67,44,47,68,3,0,0,319,358,476,905,979,1384,1385,405,62,16,5974,357,111,216,241,335,708,1423,936,461,4784,64,55,90,99,144,174,163,98,50,925,777,645,1209,1316,1865,2259,1991,1101,528,11686
LGA21110,2297,4783,9144,8383,9771,6181,1799,183,27,42572,3450,1462,1658,2291,2552,3335,5264,4016,2902,26943,188,292,625,497,505,430,403,322,275,3535,5940,6532,11426,11168,12823,9949,7468,4526,3208,73046,167,2979,12777,11141,12994,7887,1664,146,19,49766,3055,5245,3998,4382,5338,4158,2387,370,53,28984,125,239,595,482,344,358,151,30,5,2331,65,170,274,190,239,126,72,29,10,1180,3410,8629,17640,16203,18912,12535,4277,570,82,82260,41,267,583,388,481,305,39,3,0,2120,776,742,375,273,273,209,62,6,6,2725,820,1005,957,661,751,521,105,12,6,4837,4228,9636,18597,16862,19664,13053,4381,585,86,87099,7289,3116,2676,2903,3373,5074,8847,6875,4346,44498,392,591,1267,973,1068,851,720,573,392,6828,11910,13346,22544,20736,24102,18983,13951,8031,4829,138430
LGA21180,2274,4756,9933,8647,8326,5089,665,45,13,39737,3441,1821,4338,3842,3588,5734,6622,3810,1585,34781,290,415,918,746,703,675,606,387,277,5019,6003,6991,15182,13237,12624,11497,7892,4242,1866,79538,426,3763,13797,11847,10955,6747,851,40,10,48442,2603,4705,5642,4891,4632,3471,867,71,3,26894,97,216,650,497,341,339,83,6,3,2220,117,332,708,477,474,280,58,17,3,2475,3245,9019,20802,17712,16406,10836,1861,131,21,80034,285,829,1413,1096,1004,616,35,3,0,5280,998,793,656,564,500,426,43,3,0,3980,1289,1617,2072,1657,1507,1038,74,7,0,9257,4530,10639,22874,19369,17914,11876,1934,140,19,89293,7111,3599,6390,5427,5561,8976,12485,6987,2481,59015,615,917,2046,1522,1411,1319,1157,741,421,10147,12254,15155,31313,26317,24883,22171,15576,7863,2926,158457
