LGA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA20110,984,801,865,642,506,506,379,713,90,5488
LGA20260,867,623,555,745,393,388,259,794,84,4708
LGA20570,4848,9735,6440,5615,5618,4795,2345,4621,696,44716
LGA20660,8016,17774,7159,5933,8735,5146,1838,3416,889,58915
LGA20740,1808,1913,2146,1545,1266,1445,641,1553,218,12537
LGA20830,3223,3534,3504,2292,2388,1751,1468,2740,354,21255
LGA20910,10287,15500,3187,3941,5867,4428,636,1441,695,45993
LGA21010,904,860,880,651,616,488,404,746,100,5659
LGA21110,15439,32381,4814,6688,10399,7498,999,2727,1324,82260
LGA21180,6665,11582,11083,8477,10989,8019,9408,11826,1977,80034
LGA21270,740,350,261,218,216,176,165,326,41,2486
LGA21370,2838,2109,2320,1756,1551,1586,1174,2374,236,15950
LGA21450,5304,6540,8196,4760,6320,4603,3708,4813,707,44955
LGA21610,14126,20726,22514,14972,20139,14243,13115,15651,2426,137913
LGA21670,538,491,725,557,403,491,300,774,73,4352
LGA21750,1626,1171,1310,1128,868,821,695,1745,177,9545
LGA21830,2023,822,843,629,530,526,520,1141,129,7164
LGA21890,8774,21580,7757,7345,9128,6326,2846,5408,1142,70311
LGA22110,2566,2506,2502,2189,1857,1696,1040,2351,298,17003
LGA22170,6944,10387,10913,7481,8893,7080,4375,6279,1055,63406
LGA22250,1095,499,567,409,430,378,321,648,53,4404
LGA22310,11481,24063,6149,6276,9382,6395,1526,3249,1123,69634
LGA22410,1304,1112,1203,886,797,675,1023,1153,155,8311
LGA22490,1420,1567,1864,1100,1218,889,826,1129,192,10196
LGA22620,5349,9794,7064,5904,6033,5100,2947,5758,729,48675
LGA22670,4651,8157,9360,6428,6899,5710,7285,10350,1465,60306
LGA22750,11089,21526,15528,13400,12657,10838,6204,10666,1672,103580
LGA22830,3911,4613,3685,2821,3176,2774,1806,3759,440,26976
LGA22910,1077,1213,1005,772,681,452,303,749,97,6346
LGA22980,577,303,257,225,208,136,176,375,40,2298
LGA23110,6022,10360,5186,3945,6062,3623,2757,3245,771,41978
LGA23190,1468,1568,1305,1041,1059,1021,533,992,125,9111
LGA23270,7668,11438,12484,9752,11953,8510,8603,8972,1638,81025
LGA23350,1240,1428,1070,826,798,569,498,935,125,7492
LGA23430,10367,18034,9927,7185,11292,7763,3240,5126,1155,74103
LGA23670,9282,16184,11764,7813,12170,8410,4239,6274,1215,77348
LGA23810,2778,4490,5237,3505,3999,3102,2307,3498,575,29490
LGA23940,992,304,251,226,238,155,198,420,52,2838
LGA24130,3181,4833,3485,2449,2827,1730,1071,1839,315,21741
LGA24210,8860,15032,5527,4705,7580,5885,1347,2977,908,52818
LGA24250,683,573,639,411,368,372,193,471,65,3781
LGA24330,5586,11966,4170,4334,5309,3712,2110,3698,764,41648
LGA24410,6849,12994,8162,5837,8287,5669,2249,4110,783,54940
LGA24600,9407,25656,4725,7298,7328,5216,894,3521,1118,65156
LGA24650,6158,8877,8883,6622,9504,6369,6414,6031,1176,60028
LGA24780,3288,3564,3038,2572,2523,2538,1573,3026,396,22501
LGA24850,2159,2314,3215,2268,2495,1706,1745,2180,320,18406
LGA24900,2206,1404,1650,1221,1120,1029,888,2064,229,11806
LGA24970,11025,24446,8366,7195,11435,8117,2895,5522,1369,80373
LGA25060,8640,16926,5876,5508,8884,5528,2072,3320,1008,57761
LGA25150,1859,2320,2415,1611,2065,1263,1394,1424,268,14632
LGA25250,9805,25026,9261,8202,10822,6811,3384,5712,1332,80352
LGA25340,9546,12711,11944,7988,8110,7278,2746,6108,1062,67498
LGA25430,1081,1798,1042,869,728,583,344,993,117,7558
LGA25490,2134,1076,938,700,656,525,513,1051,140,7730
LGA25620,997,818,1091,733,661,415,393,727,126,5954
LGA25710,5059,8451,4689,3375,4836,3014,932,1812,412,32575
LGA25810,922,580,572,689,432,409,327,847,85,4859
LGA25900,11226,21832,4434,4884,7081,4568,798,1938,948,57705
LGA25990,615,298,360,290,269,180,230,369,55,2664
LGA26080,173,336,120,96,124,77,32,70,28,1046
LGA26170,2549,1637,1837,1197,1245,1052,892,1591,185,12184
LGA26260,1610,1134,1006,754,759,663,399,833,101,7250
LGA26350,10659,22518,3429,4551,6971,5092,602,1722,976,56530
LGA26430,960,621,616,440,397,305,271,684,74,4369
LGA26490,2327,3539,2090,1535,1556,1272,455,1079,232,14079
LGA26610,1597,1207,1131,876,916,840,562,1259,186,8568
LGA26670,715,381,370,235,253,166,180,321,48,2673
LGA26700,1910,2249,1767,1510,1413,1238,870,1480,184,12616
LGA26730,1598,2944,2215,1798,1786,1915,896,2221,218,15601
LGA26810,2976,2805,2915,2042,1833,1524,1259,2283,306,17944
LGA26890,716,226,159,154,126,80,104,279,23,1860
LGA26980,10401,23731,7587,7246,10375,7324,2118,4795,1133,74705
LGA27070,8625,14359,13626,10081,13106,9794,7841,9506,1614,88550
LGA27170,1915,2959,3023,2395,2293,1884,1376,2039,303,18199
LGA27260,10544,18253,12536,10985,15013,9591,10435,9230,1826,98411
LGA27350,8520,21759,3517,4481,5543,3676,745,1697,843,50781
LGA27450,9521,13241,13842,8471,10010,6875,4093,7154,1199,74415
LGA27630,750,337,277,330,219,164,175,325,49,2626
LGA29399,93,44,44,76,23,36,42,73,11,440
LGA29499,178,405,297,277,182,134,200,307,57,2033
LGA29799,0,4,7,0,0,0,0,3,0,23
