LGA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
LGA21270,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,30,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,19,186,12,11,0,4,4,0,3,0,13,233,21,10,29,0,0,7,6,3,0,8,99,4,0,0,0,0,0,3,0,0,0,7,3,0,0,0,0,0,0,0,0,0,4,34,10,34,0,0,7,8,5,0,8,115,0,0,0,0,0,0,0,0,0,0,0,216,18,44,0,8,16,8,6,4,18,344
LGA21370,0,0,0,0,3,278,3,0,0,0,0,0,0,0,17,302,73,0,0,0,0,0,0,0,0,6,78,21,0,0,0,0,0,0,0,0,5,24,5,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,4,29,0,0,0,0,0,0,0,0,0,4,6,100,0,0,0,0,0,0,0,0,21,118,1290,102,114,33,32,21,18,13,19,87,1736,254,29,147,42,39,40,32,45,21,35,676,44,3,3,0,0,5,0,7,5,8,81,0,0,3,0,0,0,0,0,0,0,3,294,36,149,42,37,48,32,51,22,47,756,6,0,0,0,0,0,0,0,0,4,16,1596,139,269,69,70,68,49,71,41,134,2506
LGA21450,0,0,0,0,10,1009,23,22,3,0,0,3,0,0,44,1113,221,5,6,0,0,0,0,0,0,15,248,63,0,0,0,0,0,0,0,0,10,71,29,0,3,0,0,0,0,0,0,4,40,0,0,0,0,0,0,0,0,0,0,0,85,0,3,0,0,0,0,0,0,12,107,8,0,0,0,0,0,0,0,0,4,10,314,3,7,0,0,0,0,0,0,32,361,6822,934,1203,258,212,138,124,113,48,287,10130,2114,1038,2177,262,277,265,217,238,102,160,6860,204,76,132,28,32,46,29,73,49,66,731,31,11,18,0,4,0,0,0,3,3,69,2341,1123,2324,291,316,308,248,311,155,237,7660,25,11,0,0,0,0,0,5,0,21,57,9185,2066,3526,551,528,446,377,428,204,544,17845
LGA21610,0,0,0,8,11,4134,135,184,20,23,25,27,12,12,205,4775,625,17,15,0,3,0,3,0,0,83,745,332,7,0,0,0,0,0,0,3,51,397,295,15,16,0,0,3,3,3,0,51,388,5,0,0,0,0,0,0,0,0,3,17,639,21,16,0,0,5,3,3,4,115,804,4,0,0,0,0,0,0,0,0,3,7,1269,38,26,3,3,9,9,3,5,198,1556,21469,3984,4347,731,834,629,449,404,234,995,34073,23410,11172,18468,2598,2726,2725,2147,1892,1062,1290,67485,4064,1434,2117,450,625,794,586,670,615,630,11988,256,101,151,16,27,31,24,24,15,60,697,27730,12704,20728,3062,3379,3546,2760,2583,1698,1977,80172,52,12,14,4,3,5,0,6,7,63,172,49252,16701,25091,3797,4217,4180,3212,2990,1940,3041,114422
LGA21670,0,0,0,0,3,179,0,0,0,0,0,0,0,0,9,189,46,0,0,0,0,0,0,0,0,3,46,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,4,51,799,16,30,3,0,6,3,8,0,41,911,100,13,41,4,14,8,10,5,7,12,211,9,0,4,0,3,0,0,0,3,4,23,3,0,0,0,0,0,0,0,0,0,6,108,17,41,4,16,8,14,8,10,14,241,0,0,0,0,0,0,0,0,0,6,4,909,34,73,7,16,12,16,17,13,66,1160
LGA21750,0,0,0,0,3,174,0,0,0,0,0,0,0,0,12,191,35,0,0,0,0,0,0,0,0,6,47,18,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,6,68,854,80,85,24,22,12,18,10,6,68,1167,172,69,111,41,30,42,15,25,5,25,533,14,7,16,4,6,9,5,11,17,7,95,4,0,0,0,0,0,0,0,0,0,8,186,76,132,46,39,45,20,36,23,30,637,3,0,0,0,0,0,0,0,0,0,10,1042,155,216,71,59,62,37,46,32,100,1808
LGA21830,0,0,0,0,0,105,3,0,0,0,0,0,0,0,3,112,30,0,0,0,0,0,0,0,0,0,29,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,41,552,105,65,8,16,7,8,18,3,32,823,67,17,36,0,16,14,10,10,4,7,180,3,0,0,0,0,0,0,5,0,3,12,0,0,0,0,0,0,0,0,0,0,0,75,17,35,0,16,14,10,16,4,8,196,4,0,0,0,0,0,0,0,0,0,3,628,123,108,9,32,19,17,30,6,42,1018
LGA21890,0,0,0,8,16,4895,36,24,5,9,0,0,3,7,254,5225,184,0,0,0,0,0,3,0,0,32,219,610,0,0,0,0,0,0,0,0,53,661,865,7,4,0,0,0,0,0,0,100,976,7,0,0,0,0,0,0,0,0,7,11,1479,7,3,0,0,3,0,0,0,159,1651,0,0,0,0,0,0,0,0,0,17,17,1669,3,3,0,0,3,3,0,0,209,1889,6420,1218,1505,352,406,361,393,370,217,418,11664,12172,2079,4536,811,1171,1509,1842,1749,1117,722,27696,5541,371,661,150,176,348,449,478,375,529,9077,138,9,40,4,9,14,11,16,5,44,296,17857,2459,5233,963,1355,1865,2297,2233,1498,1294,37077,20,0,3,0,0,4,3,0,3,65,103,24300,3679,6748,1319,1768,2231,2694,2604,1723,1776,48845
LGA22110,0,0,0,10,16,757,11,8,0,0,0,0,0,0,50,822,147,0,0,0,0,0,0,0,0,16,165,39,0,0,0,0,0,0,0,0,0,41,7,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,3,57,0,0,0,0,0,0,0,0,0,13,14,198,0,0,0,0,0,0,0,0,30,226,3060,188,176,16,40,18,24,10,4,159,3700,510,76,150,23,40,31,54,27,16,53,984,39,17,20,3,12,9,10,24,3,16,144,17,3,0,0,0,0,0,0,0,0,21,564,94,166,29,49,42,64,56,23,69,1149,13,0,0,0,0,0,0,0,0,23,41,3639,280,347,43,87,56,89,63,26,254,4883
LGA22170,0,0,0,6,16,2311,37,30,3,5,4,11,0,0,107,2508,599,9,3,0,0,0,0,0,0,69,674,173,0,0,0,0,0,0,0,0,33,207,45,7,0,0,0,0,0,0,0,23,79,4,0,0,0,0,0,0,0,0,3,9,222,7,0,0,0,0,0,0,0,59,294,6,0,0,0,0,0,0,0,0,3,10,825,16,6,0,0,0,0,0,0,127,979,12704,1484,1545,382,330,297,185,180,82,558,17762,4247,1370,2047,319,323,333,351,248,141,246,9631,491,129,186,44,35,57,69,77,69,112,1255,51,20,18,3,0,0,0,3,4,14,116,4792,1514,2249,364,360,393,419,332,214,372,11010,34,4,7,5,0,0,0,0,4,27,82,17528,3004,3799,755,689,693,604,508,301,960,28846
