LGA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
LGA20110,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,13,18,8,3,69,17,48,39,119,100,115,92,46,34,620,264,692,524,1222,926,1068,861,479,237,6265,0,0,0,0,0,0,0,0,0,0,475,1283,981,1814,1382,1607,1098,558,224,9423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,11,11,5,0,0,0,34,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,11,0,0,0,0,3,0,10,5,0,15,0,0,0,0,0,0,0,0,0,3,0,8,5,42,70,90,152,54,24,439,0,0,0,0,0,3,4,0,0,4,0,0,0,3,0,8,3,3,0,21,0,0,0,9,13,18,49,18,10,112
LGA20260,0,0,4,4,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,3,6,3,0,25,21,44,37,111,62,66,67,41,27,472,260,614,524,1117,752,828,712,413,225,5449,0,0,0,0,0,0,0,0,0,0,515,1088,1013,2012,1327,1498,1161,647,275,9546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,19,0,0,0,0,5,0,0,3,0,12,0,0,0,3,0,0,0,0,0,3,0,4,0,22,34,36,72,39,15,227,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,3,6,8,17,6,4,47
LGA20570,0,6,6,30,4,5,0,0,0,56,0,0,0,0,5,0,5,9,3,25,0,0,3,11,3,0,4,0,0,24,5,29,56,142,62,52,37,49,19,457,167,285,432,842,509,481,464,320,141,3643,3173,6313,7042,13196,6797,6419,5186,3097,1601,52821,0,0,12,0,0,0,0,0,0,13,6177,11712,12400,21043,10653,9888,7344,3997,1854,85068,0,9,4,39,7,0,3,0,0,64,0,0,0,4,0,3,3,0,0,13,0,5,0,0,0,0,0,0,0,9,0,4,7,31,16,12,11,3,0,95,0,0,0,9,0,0,3,3,0,18,3,38,260,281,72,38,16,5,0,717,0,0,0,3,13,22,28,29,7,119,0,9,3,8,3,3,6,3,0,34,13,99,67,297,310,424,485,279,107,2080,0,4,9,20,10,14,3,3,0,68,0,3,4,17,8,3,4,3,0,36,3,5,8,23,19,44,123,32,29,288
LGA20660,0,10,66,199,54,58,16,5,7,422,0,0,5,13,17,8,3,14,3,54,0,0,3,21,3,3,4,0,0,39,26,81,148,679,264,214,164,135,83,1793,152,236,270,770,411,379,391,333,282,3217,3796,6911,6895,17155,8436,7691,6058,3627,2066,62644,0,0,3,7,3,0,0,0,0,18,7179,12628,11492,22349,11360,9769,6955,3555,1811,87093,0,0,14,34,3,0,0,0,0,52,0,4,0,23,24,28,11,12,3,110,0,0,0,19,7,0,0,0,0,23,0,13,20,89,46,24,12,0,0,207,0,5,0,23,9,14,11,0,0,67,33,148,530,1602,530,357,166,84,23,3471,0,0,0,27,67,83,84,83,24,371,0,6,7,40,20,54,72,28,14,234,19,146,147,738,570,589,583,336,165,3302,0,0,11,39,15,14,12,0,3,85,0,10,8,47,27,16,18,7,7,139,3,10,25,91,63,43,186,99,46,565
LGA20740,0,0,0,7,9,0,0,0,0,17,0,0,0,0,4,4,3,3,0,21,0,0,0,0,0,0,3,0,0,10,0,6,6,29,29,33,34,12,12,167,38,105,87,271,219,237,277,165,98,1500,781,1827,1324,3275,2174,2707,2741,1379,695,16912,0,0,0,0,0,0,0,0,0,3,1547,3344,2411,5002,3211,3815,3470,1628,720,25155,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,12,12,11,3,0,0,41,0,0,3,7,0,0,6,4,0,19,0,0,3,32,8,11,9,0,0,73,0,0,0,0,3,6,11,6,0,24,0,0,0,0,0,3,9,3,0,16,4,35,22,110,210,367,529,310,117,1699,0,0,0,5,0,0,0,0,0,16,0,0,0,9,7,3,7,6,0,28,0,0,3,16,14,30,66,50,16,194
LGA20830,0,0,0,15,0,0,0,0,0,17,0,0,0,0,3,6,6,0,0,27,0,0,0,3,0,0,3,0,0,8,0,13,12,67,38,42,25,27,11,228,88,171,174,405,301,322,291,182,67,1994,1458,3124,2700,5604,3390,3506,2934,1507,706,24938,0,0,0,0,0,0,0,0,0,3,2753,5839,4949,8938,5118,5157,3937,1915,807,39415,0,3,0,3,3,0,0,0,0,12,0,0,0,5,0,0,0,0,0,10,0,0,4,0,5,0,0,0,0,5,0,0,0,15,8,12,7,0,3,40,0,0,0,4,0,3,0,0,0,11,0,3,9,33,24,10,4,3,0,76,0,0,0,0,11,11,17,9,0,47,0,0,0,3,0,3,8,0,0,20,6,44,38,175,271,382,454,272,76,1724,0,0,3,12,10,5,0,0,0,25,0,0,0,6,3,0,3,0,0,10,0,0,4,18,16,37,83,58,12,236
LGA20910,0,0,3,57,15,15,5,3,3,104,0,9,0,19,17,11,13,3,5,80,0,0,0,17,7,3,3,0,0,36,19,94,95,593,358,291,242,167,87,1945,102,263,233,587,438,381,323,235,233,2786,2445,6673,5349,10949,8364,6581,5141,2968,2393,50862,0,0,0,3,0,0,0,0,0,6,4486,10930,8810,12884,10101,8294,5997,3077,2367,66948,0,0,0,6,3,3,0,0,0,10,0,0,3,18,11,11,4,4,3,49,0,0,0,19,12,7,0,3,0,37,9,48,37,122,91,37,25,4,3,379,0,0,3,34,26,14,6,3,0,87,26,146,302,602,368,201,81,52,18,1795,0,0,3,18,37,30,39,28,10,152,0,3,3,12,32,41,66,29,16,204,92,662,409,1212,1259,830,766,417,207,5855,0,0,0,23,22,11,6,0,0,68,9,41,28,92,46,31,25,7,5,281,4,33,41,115,132,82,169,107,56,732
LGA21010,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,8,3,4,12,9,7,45,28,44,55,129,96,123,102,63,29,675,310,725,678,1329,1027,1180,1005,572,323,7149,0,0,0,0,0,0,0,0,0,0,596,1370,1279,2102,1532,1828,1495,849,412,11455,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,3,3,8,3,6,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,6,26,40,56,108,55,23,314,0,0,0,4,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,6,0,0,0,0,3,24,47,7,9,97
LGA21110,0,26,168,409,233,162,59,20,12,1080,0,0,3,11,6,9,9,6,3,52,0,0,13,38,11,15,7,3,4,76,34,110,192,786,307,213,224,160,126,2147,142,290,490,1160,549,467,450,342,270,4170,3737,10302,12472,22601,12823,9949,7468,4526,3208,87085,0,0,8,10,3,0,0,0,0,25,6830,17242,18038,23400,14799,11605,8140,4323,3035,107415,0,6,20,98,10,8,0,0,0,147,0,0,3,10,19,3,0,4,0,43,0,0,13,26,25,9,0,3,0,89,15,32,37,163,75,47,30,6,3,404,0,0,0,30,20,10,10,5,3,85,133,872,2126,3853,1998,1192,511,291,94,11063,0,0,0,18,29,41,30,49,15,192,0,15,15,40,32,55,65,25,11,263,77,466,347,1048,945,791,699,371,209,4965,0,3,11,75,42,18,23,14,0,190,5,40,38,167,63,23,24,11,3,376,6,32,35,128,85,62,196,80,47,671
LGA21180,54,220,1032,5086,2670,1914,561,268,97,11894,0,0,0,3,3,6,4,3,0,20,0,5,7,23,5,4,0,0,0,39,73,304,700,2139,1135,967,728,453,239,6725,447,690,789,1906,909,921,763,404,209,7040,6275,11264,12989,28418,12624,11497,7892,4242,1866,97079,4,25,113,265,53,13,10,0,0,479,11177,17626,17212,21694,8587,6212,2936,1106,615,87161,9,18,49,344,43,15,5,0,0,486,0,6,99,414,268,220,135,75,10,1226,0,0,4,54,59,52,23,16,9,216,3,14,15,44,23,10,3,0,0,104,0,14,13,172,158,171,168,41,9,752,15,105,224,1006,430,323,157,85,46,2395,0,3,15,142,323,496,659,542,94,2285,14,89,68,182,130,209,187,105,31,1012,12,82,39,264,311,371,338,171,67,1647,3,20,37,232,131,100,61,17,0,598,0,4,12,26,30,13,17,15,4,115,0,4,53,72,46,80,463,139,76,935
