LGA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA20110,2072,24,18,13,25,2148,1364,23,12,7,19,1434,415,44,30,3,8,500,47,22,6,0,0,70,323,26,11,10,8,376,3,0,0,0,0,3,49,3,0,3,0,54,29,6,3,0,4,41,865,95,56,19,19,1047,27,0,3,0,3,39,145,9,3,0,0,163,4476,155,100,32,71,4832
LGA20260,1794,25,22,13,11,1861,1187,5,9,6,5,1219,373,35,48,5,0,462,88,32,4,0,0,122,271,5,13,7,0,289,11,3,0,0,0,14,70,0,3,13,0,87,48,6,0,0,0,49,850,79,78,17,0,1025,35,8,0,0,0,44,135,11,5,8,3,159,3995,121,113,43,25,4298
LGA20570,10912,1167,170,65,28,12350,11731,828,74,33,37,12696,5167,2156,601,15,30,7961,923,455,102,0,9,1495,1496,312,94,12,14,1923,138,101,63,0,8,311,116,47,18,8,15,201,126,37,11,0,0,180,7969,3114,886,34,71,12069,196,78,10,3,8,288,781,178,49,7,23,1040,31586,5362,1185,146,167,38449
LGA20660,14697,1497,379,13,33,16615,13066,1951,420,10,20,15467,3702,2022,1289,18,28,7057,623,580,243,0,16,1460,1184,424,192,12,13,1816,66,93,88,0,0,253,185,60,8,0,0,253,103,41,18,0,0,165,5865,3219,1841,32,48,11003,143,86,37,0,0,270,775,203,75,0,18,1070,34541,6962,2749,50,130,44431
LGA20740,5228,237,54,114,17,5649,3616,47,17,7,19,3705,1728,178,68,3,8,1989,94,133,12,0,0,242,741,27,23,9,4,804,23,23,9,0,0,56,77,10,4,22,0,117,102,8,0,0,0,111,2766,384,116,36,14,3322,72,9,0,3,7,88,342,30,8,13,9,406,12019,714,192,176,69,13175
LGA20830,6140,158,343,78,25,6748,6478,56,33,14,19,6600,1681,242,188,8,7,2131,167,79,45,0,0,289,841,54,52,8,5,955,16,19,9,0,0,42,84,3,15,39,7,146,84,8,9,0,0,102,2860,399,319,54,21,3655,81,4,41,0,0,131,387,28,41,11,12,474,15945,655,776,155,80,17605
LGA20910,10188,3005,1021,32,41,14291,8347,2311,788,59,57,11565,1993,1883,1521,73,31,5496,148,297,348,0,0,791,692,473,241,25,15,1446,12,22,87,0,0,119,32,26,29,3,0,84,73,38,23,0,0,142,2948,2736,2249,103,48,8080,100,90,96,0,0,296,462,187,138,3,6,808,22051,8336,4296,193,154,35037
LGA21010,2212,9,71,17,15,2326,1623,3,22,6,13,1662,551,25,143,0,6,729,191,18,32,0,0,242,260,3,28,3,4,292,6,0,12,0,0,14,31,0,0,0,0,36,31,0,3,0,0,32,1066,46,221,5,13,1350,28,0,42,3,0,79,146,5,25,3,0,182,5082,61,379,33,34,5594
LGA21110,16110,4433,1987,31,40,22604,11925,3148,2159,31,37,17305,3273,3262,7304,76,60,13976,97,114,255,0,3,468,1112,780,1060,30,25,3005,45,96,124,0,3,268,69,41,74,3,3,189,139,74,74,0,5,287,4725,4370,8887,111,96,18192,187,96,165,0,11,455,620,230,420,6,13,1288,33568,12272,13622,181,204,59849
LGA21180,19801,1571,317,37,14,21740,18253,2347,405,28,21,21054,5984,2505,1260,28,39,9812,773,274,213,4,0,1262,2736,650,240,21,25,3670,107,85,49,0,0,252,502,150,69,3,3,721,237,43,15,0,3,299,10343,3705,1850,54,68,16016,254,122,34,0,3,414,1841,309,143,33,16,2336,50486,8056,2753,151,122,61562
