LGA_CODE_2016,Ireland_2011,Ireland_2012,Ireland_2013,Ireland_2014,Ireland_2015,Ireland_2016,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1946,Italy_1946_1955,Italy_1956_1965,Italy_1966_1975,Italy_1976_1985,Italy_1986_1995,Italy_1996_2005,Italy_2006_2010,Italy_2011,Italy_2012,Italy_2013,Italy_2014,Italy_2015,Italy_2016,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1946,Japan_1946_1955,Japan_1956_1965,Japan_1966_1975,Japan_1976_1985,Japan_1986_1995,Japan_1996_2005,Japan_2006_2010,Japan_2011,Japan_2012,Japan_2013,Japan_2014,Japan_2015,Japan_2016,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1946,Korea_Rep_Sth_1946_1955,Korea_Rep_Sth_1956_1965,Korea_Rep_Sth_1966_1975,Korea_Rep_Sth_1976_1985,Korea_Rep_Sth_1986_1995,Korea_Rep_Sth_1996_2005,Korea_Rep_Sth_2006_2010,Korea_Republic_South_2011,Korea_Republic_South_2012,Korea_Republic_South_2013,Korea_Republic_South_2014,Korea_Republic_South_2015,Korea_Republic_South_2016,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1946,Lebanon_1946_1955,Lebanon_1956_1965,Lebanon_1966_1975,Lebanon_1976_1985,Lebanon_1986_1995,Lebanon_1996_2005,Lebanon_2006_2010,Lebanon_2011,Lebanon_2012,Lebanon_2013,Lebanon_2014,Lebanon_2015,Lebanon_2016,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1946,Malaysia_1946_1955,Malaysia_1956_1965,Malaysia_1966_1975,Malaysia_1976_1985,Malaysia_1986_1995,Malaysia_1996_2005,Malaysia_2006_2010,Malaysia_2011,Malaysia_2012,Malaysia_2013,Malaysia_2014,Malaysia_2015,Malaysia_2016,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1946,Malta_1946_1955,Malta_1956_1965,Malta_1966_1975,Malta_1976_1985,Malta_1986_1995,Malta_1996_2005,Malta_2006_2010,Malta_2011,Malta_2012,Malta_2013,Malta_2014,Malta_2015,Malta_2016,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1946,Netherlands_1946_1955,Netherlands_1956_1965,Netherlands_1966_1975,Netherlands_1976_1985,Netherlands_1986_1995,Netherlands_1996_2005,Netherlands_2006_2010,Netherlands_2011,Netherlands_2012,Netherlands_2013,Netherlands_2014,Netherlands_2015,Netherlands_2016,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1946,New_Zealand_1946_1955,New_Zealand_1956_1965,New_Zealand_1966_1975,New_Zealand_1976_1985,New_Zealand_1986_1995,New_Zealand_1996_2005,New_Zealand_2006_2010,New_Zealand_2011,New_Zealand_2012,New_Zealand_2013,New_Zealand_2014,New_Zealand_2015,New_Zealand_2016,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Pakistan_Before_1946,Pakistan_1946_1955,Pakistan_1956_1965,Pakistan_1966_1975,Pakistan_1976_1985,Pakistan_1986_1995,Pakistan_1996_2005,Pakistan_2006_2010,Pakistan_2011,Pakistan_2012,Pakistan_2013,Pakistan_2014,Pakistan_2015,Pakistan_2016,Pakistan_Yr_arrival_NS,Pakistan_Tot,Philippines_Before_1946,Philippines_1946_1955,Philippines_1956_1965,Philippines_1966_1975,Philippines_1976_1985,Philippines_1986_1995,Philippines_1996_2005,Philippines_2006_2010,Philippines_2011,Philippines_2012,Philippines_2013,Philippines_2014,Philippines_2015,Philippines_2016,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1946,Poland_1946_1955,Poland_1956_1965,Poland_1966_1975,Poland_1976_1985,Poland_1986_1995,Poland_1996_2005,Poland_2006_2010,Poland_2011,Poland_2012,Poland_2013,Poland_2014,Poland_2015,Poland_2016,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1946,Singapore_1946_1955,Singapore_1956_1965,Singapore_1966_1975,Singapore_1976_1985,Singapore_1986_1995,Singapore_1996_2005,Singapore_2006_2010,Singapore_2011,Singapore_2012,Singapore_2013,Singapore_2014,Singapore_2015,Singapore_2016,Singapore_Yr_arrival_ns,Singapore_Tot
LGA20110,0,0,0,0,0,0,0,17,6,96,113,35,3,0,3,0,0,0,0,0,3,0,17,278,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,7,0,0,0,3,0,0,0,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,28,22,5,3,0,3,0,0,0,0,0,0,0,0,62,0,0,4,14,47,28,36,12,0,3,0,10,0,0,4,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,3,10,3,4,44,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
LGA20260,0,0,0,0,0,0,0,10,0,0,5,9,0,0,0,0,0,0,0,0,0,0,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,7,21,4,0,0,0,0,0,0,0,0,0,0,3,39,0,0,0,13,20,18,31,36,12,9,8,3,3,3,32,181,0,0,0,0,0,3,3,7,0,8,0,0,0,0,3,22,0,0,0,0,4,7,13,15,11,3,0,0,3,3,4,76,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA20570,4,3,3,0,0,0,5,129,0,56,68,17,4,4,5,9,0,0,0,0,0,0,16,179,0,4,0,4,6,7,25,19,0,3,0,0,0,0,3,81,0,0,0,0,3,0,8,14,0,0,0,0,3,0,3,43,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,12,3,0,6,11,19,22,32,42,10,3,3,5,9,3,6,183,0,16,22,24,3,0,0,0,0,0,0,0,0,0,3,63,0,251,193,41,12,4,6,0,0,0,0,0,5,0,17,537,0,10,29,86,131,129,145,80,17,38,21,17,11,9,33,763,0,0,0,0,0,0,16,28,0,3,8,3,3,3,0,65,0,0,0,4,26,58,50,82,31,51,40,21,29,9,22,415,0,15,8,4,8,9,0,0,0,3,0,0,0,0,4,53,0,0,3,6,3,7,8,16,0,0,0,0,3,11,0,52
LGA20660,18,16,13,3,3,0,12,396,14,659,881,319,61,27,28,14,8,11,7,8,13,0,88,2150,0,3,0,5,16,25,77,52,4,9,3,6,9,7,5,222,0,0,0,0,5,21,50,83,10,0,8,7,5,0,4,209,0,8,30,96,86,73,27,10,3,3,3,3,0,3,20,373,0,0,14,56,171,225,200,119,24,30,40,25,37,7,19,983,3,69,88,18,16,7,0,3,0,0,0,0,0,0,6,212,0,75,63,15,23,4,29,20,3,0,13,0,0,0,3,249,9,11,33,92,187,225,341,199,78,65,32,20,19,43,52,1403,0,0,0,4,3,16,25,44,0,12,11,14,19,8,8,172,0,0,3,17,92,124,87,112,19,28,17,15,25,18,27,587,3,25,26,19,73,68,18,11,9,0,5,0,3,3,11,264,0,0,9,27,28,26,83,48,12,9,12,16,4,4,13,290
LGA20740,0,0,0,0,0,0,0,87,5,102,71,27,4,3,0,3,0,0,0,0,0,0,16,232,0,0,0,0,0,3,7,5,0,0,0,0,0,0,0,21,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,12,5,0,0,0,0,0,0,0,35,0,37,19,4,0,0,0,0,0,0,0,0,0,0,3,68,0,92,106,21,19,6,3,0,3,0,0,0,0,0,6,261,0,5,24,71,136,74,75,42,15,20,13,9,6,0,31,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,16,16,16,0,0,3,5,5,3,3,83,0,0,0,6,8,3,0,3,0,0,0,0,0,0,0,21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10
LGA20830,0,0,4,0,8,0,3,82,8,67,62,27,0,0,3,0,3,0,0,0,0,0,15,182,0,0,0,0,0,0,6,4,0,0,0,5,0,0,0,20,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,4,3,3,6,0,6,0,0,0,0,6,40,0,13,15,4,0,0,3,3,0,0,0,0,0,0,0,39,0,160,119,25,33,11,12,0,0,4,0,0,0,0,9,371,0,8,14,49,111,88,112,55,20,12,12,7,4,0,23,528,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,3,14,29,24,20,4,10,0,4,13,0,9,126,0,5,10,7,15,10,9,0,0,0,0,0,0,0,0,49,0,0,0,5,5,0,7,3,0,0,0,0,0,0,0,16
LGA20910,37,31,13,19,15,10,10,559,19,201,230,104,31,15,17,19,9,10,8,12,16,5,26,725,0,4,4,11,18,34,42,34,8,13,27,26,34,32,28,305,0,0,0,0,7,16,30,21,6,0,4,0,3,9,4,105,0,0,8,24,27,17,7,3,0,3,0,0,0,3,5,105,0,0,13,68,64,96,72,19,13,3,6,4,13,4,10,396,0,18,36,4,3,3,0,0,0,0,0,0,0,0,3,78,3,67,60,17,14,18,44,42,8,15,7,18,7,0,10,328,18,16,41,153,285,262,447,251,59,56,45,45,49,18,51,1793,0,0,3,3,6,3,3,9,3,8,3,4,0,3,0,48,0,3,0,14,37,35,30,21,9,10,3,9,18,12,10,215,3,62,86,38,126,89,30,17,0,3,5,3,7,3,9,477,3,0,6,15,22,30,53,56,12,12,3,12,13,16,3,270
LGA21010,0,0,0,0,0,0,0,21,3,7,15,5,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,30,23,6,11,0,0,3,0,0,0,0,0,0,0,75,3,4,10,9,26,11,21,3,0,0,0,0,0,0,7,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,8,5,0,5,0,3,0,0,35,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA21110,32,31,18,6,3,3,13,489,18,471,609,165,46,16,32,29,4,21,22,23,15,3,45,1529,3,0,5,20,24,75,103,52,20,13,15,15,22,14,20,396,0,0,0,7,31,69,219,166,44,31,30,31,19,35,19,697,0,7,19,46,24,16,7,13,0,0,3,3,0,3,3,136,10,10,59,333,683,776,484,354,80,79,90,90,109,104,76,3333,0,39,35,17,4,0,0,0,4,0,0,0,0,0,0,109,3,78,63,22,32,18,38,26,4,0,3,8,5,0,9,314,15,40,82,217,318,346,620,358,96,143,93,94,98,54,72,2647,0,0,0,13,6,33,22,34,17,13,12,10,35,12,12,228,0,0,5,18,69,100,66,85,23,28,54,24,36,31,20,563,13,76,58,31,70,59,20,19,4,0,3,9,3,3,6,367,5,0,21,80,114,171,231,130,46,27,17,30,52,34,14,966
LGA21180,10,8,11,3,3,3,10,199,9,553,1382,785,116,50,51,31,5,11,25,16,6,10,150,3191,0,0,0,0,4,7,34,23,6,6,4,5,4,0,4,96,0,0,4,0,0,13,34,40,4,13,4,5,12,3,6,153,0,0,7,149,214,165,98,78,3,13,13,11,8,7,23,787,0,0,6,17,69,214,162,160,42,46,47,49,51,35,29,918,11,891,1749,1163,355,91,43,22,3,6,0,0,4,0,188,4524,0,72,67,14,12,3,8,4,0,0,0,0,0,0,8,198,0,0,12,45,150,311,725,632,216,284,253,208,184,94,149,3273,0,0,0,8,21,59,126,266,110,417,390,172,126,84,37,1817,0,0,10,87,580,1695,965,1071,174,224,219,211,232,111,163,5746,0,133,131,88,317,236,74,29,3,3,6,3,6,0,38,1059,0,0,0,5,17,39,69,39,3,11,3,7,13,9,3,236
