LGA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
LGA20110,..,1492,1492,1845,92,1936,535,18,550,520,4,521,248,0,246,81,3,79,3218,1613,4832
LGA20260,..,1370,1370,1558,106,1668,496,13,511,448,5,461,186,3,194,106,5,108,2796,1499,4298
LGA20570,..,11378,11378,11788,1304,13085,5249,316,5564,5160,148,5316,2190,35,2230,858,19,879,25249,13192,38449
LGA20660,..,10581,10581,13398,960,14361,7309,288,7599,7950,115,8063,2828,46,2876,930,20,951,32420,12007,44431
LGA20740,..,4338,4338,4805,328,5133,1521,27,1549,1298,3,1304,633,0,635,203,0,208,8468,4699,13175
LGA20830,..,4466,4466,6203,353,6552,2420,26,2446,2378,10,2392,1217,6,1221,530,3,530,12743,4856,17605
LGA20910,..,8561,8561,10462,613,11075,5231,92,5325,6875,21,6899,2570,11,2582,591,7,600,25736,9300,35037
LGA21010,..,1806,1806,2109,140,2247,633,7,641,550,0,555,246,0,246,95,0,95,3635,1954,5594
LGA21110,..,14473,14473,16546,2011,18558,8883,683,9564,11038,286,11325,4479,105,4579,1290,56,1345,42244,17609,59849
LGA21180,..,11349,11349,15794,1177,16971,11382,385,11766,11506,241,11746,5516,135,5652,3961,107,4072,48162,13402,61562
LGA21270,..,844,844,881,62,944,260,0,264,207,0,213,132,0,132,65,0,65,1547,911,2455
LGA21370,..,3908,3908,4957,290,5251,1723,28,1747,1701,13,1716,843,0,848,371,0,375,9603,4248,13855
LGA21450,..,5770,5770,9008,597,9606,5450,78,5531,5987,19,6008,2703,5,2709,1388,3,1391,24530,6481,31009
LGA21610,..,14058,14058,23232,1568,24803,17172,278,17456,20486,132,20621,9056,62,9116,6037,50,6084,75980,16143,92127
LGA21670,..,1906,1906,1918,158,2069,635,20,651,468,0,472,229,3,228,122,0,122,3362,2081,5445
LGA21750,..,2530,2530,2686,195,2883,959,38,996,917,5,920,452,8,463,213,9,217,5216,2788,8005
LGA21830,..,1803,1803,2132,121,2249,716,12,728,671,0,673,379,0,379,189,0,189,4092,1936,6022
LGA21890,..,15330,15330,15039,2573,17610,8112,1094,9210,7880,486,8368,2719,151,2871,1237,116,1354,34989,19748,54736
LGA22110,..,5413,5413,6794,375,7170,1986,43,2034,1808,7,1811,799,3,809,327,4,332,11717,5845,17564
LGA22170,..,13310,13310,14614,1359,15970,8107,200,8309,7745,39,7782,3056,15,3076,1235,4,1244,34757,14930,49687
LGA22250,..,1373,1373,1568,85,1653,450,3,456,391,0,391,233,0,233,107,0,107,2761,1462,4219
LGA22310,..,13706,13706,14358,1819,16178,8021,671,8694,9049,276,9321,3198,94,3294,1050,57,1105,35674,16623,52296
LGA22410,..,2424,2424,2741,164,2903,916,15,929,878,4,888,369,0,370,128,0,128,5038,2608,7644
LGA22490,..,1246,1246,2377,106,2476,1052,10,1062,1441,0,1441,669,0,666,283,0,283,5817,1362,7184
LGA22620,..,11569,11569,13361,1219,14576,5841,317,6162,5385,89,5473,2488,27,2517,1050,15,1064,28125,13234,41361
LGA22670,..,10194,10194,11876,1203,13077,8765,420,9186,8042,286,8328,4003,174,4176,3430,169,3597,36124,12435,48563
LGA22750,..,24186,24186,27640,2154,29788,12595,557,13152,12400,241,12642,5121,98,5219,1924,86,2007,59672,27321,86995
LGA22830,..,6139,6139,7111,535,7645,3205,94,3305,3129,44,3171,1506,19,1521,796,10,804,15752,6836,22583
LGA22910,..,1952,1952,2186,149,2337,715,13,728,630,6,635,278,0,278,103,0,103,3912,2119,6029
LGA22980,..,780,780,843,54,898,254,3,260,219,3,223,117,0,117,46,0,46,1480,836,2320
LGA23110,..,8097,8097,9540,799,10339,5460,222,5682,5470,65,5531,1954,30,1987,847,18,865,23279,9226,32508
LGA23190,..,2427,2427,2606,139,2740,945,33,978,967,11,980,441,0,445,149,0,149,5110,2612,7721
LGA23270,..,9963,9963,14641,991,15630,10993,203,11191,12246,104,12346,6386,37,6426,4530,32,4562,48787,11338,60129
LGA23350,..,1495,1495,2199,120,2319,800,16,813,789,4,795,332,0,333,147,0,147,4262,1635,5897
LGA23430,..,14338,14338,16409,1271,17678,9238,238,9478,9737,96,9828,3512,44,3552,1120,40,1156,40014,16026,56036
LGA23670,..,10856,10856,15507,986,16493,9741,188,9930,10640,66,10706,3990,16,4001,1654,8,1665,41525,12126,53657
LGA23810,..,8776,8776,9190,674,9862,3899,96,3997,3527,23,3549,1414,0,1418,603,3,605,18636,9577,28211
LGA23940,..,1015,1015,1082,85,1169,309,3,308,241,3,248,140,0,140,85,0,85,1862,1108,2964
LGA24130,..,3174,3174,5185,229,5412,2400,33,2432,2973,5,2980,1270,7,1274,455,6,454,12279,3451,15728
LGA24210,..,7463,7463,12293,578,12867,7131,174,7304,7870,69,7934,3284,27,3310,1178,13,1193,31750,8325,40074
LGA24250,..,1013,1013,1184,74,1256,345,8,351,373,3,369,153,0,158,60,0,65,2111,1098,3207
LGA24330,..,8121,8121,8306,1622,9931,4692,680,5377,4354,308,4658,1437,110,1553,762,86,848,19553,10933,30481
LGA24410,..,9642,9642,11844,935,12776,6514,148,6664,6992,51,7044,2791,8,2797,1043,3,1048,29181,10787,39962
LGA24600,..,20646,20646,15751,7328,23080,5111,2906,8016,2522,1131,3655,717,382,1094,341,181,524,24444,32571,57012
LGA24650,..,6714,6714,10278,801,11082,7827,101,7929,9428,31,9463,4123,8,4125,2388,3,2392,34045,7660,41704
LGA24780,..,5675,5675,6433,470,6904,2732,77,2808,2495,39,2534,1269,14,1279,596,13,610,13527,6292,19817
LGA24850,..,3000,3000,4266,270,4535,2213,29,2237,2308,7,2320,1104,9,1113,510,6,522,10396,3326,13725
LGA24900,..,3160,3160,3958,235,4191,1343,25,1365,1196,10,1203,650,0,649,324,3,328,7471,3428,10899
LGA24970,..,12290,12290,17295,1672,18964,10969,1090,12060,11855,737,12593,4170,270,4439,1692,188,1879,45977,16248,62221
LGA25060,..,11481,11481,12582,1467,14050,6630,491,7117,7146,141,7285,2680,32,2711,854,16,866,29883,13630,43513
LGA25150,..,2550,2550,3542,191,3731,1692,15,1714,1887,0,1893,891,0,887,371,0,371,8385,2763,11145
LGA25250,..,16516,16516,17135,3072,20204,8970,1428,10399,8505,640,9146,3020,234,3260,1566,127,1690,39197,22026,61218
LGA25340,..,15561,15561,20054,1044,21094,7864,91,7956,8448,21,8472,3454,17,3468,1241,3,1242,41053,16738,57791
LGA25430,..,2426,2426,2609,220,2832,879,26,899,775,6,787,311,0,314,115,4,119,4691,2685,7374
LGA25490,..,1473,1473,2129,107,2240,760,12,772,756,3,763,431,0,435,214,3,220,4296,1599,5897
LGA25620,..,1595,1595,1961,111,2078,617,4,621,610,5,615,228,3,231,120,0,122,3542,1717,5263
LGA25710,..,2835,2835,5715,206,5919,3553,31,3581,4796,9,4805,2014,0,2013,605,0,609,16680,3078,19759
LGA25810,..,1596,1596,1672,113,1782,545,14,561,460,3,469,201,9,211,73,6,78,2949,1743,4695
LGA25900,..,17802,17802,14105,3121,17225,4643,758,5408,3298,153,3451,913,33,950,258,16,271,23217,21896,45110
LGA25990,..,869,869,983,74,1060,310,0,311,266,0,271,118,0,118,85,3,86,1766,957,2723
LGA26080,..,420,420,488,16,496,100,0,100,105,0,105,39,0,39,16,0,16,746,430,1181
LGA26170,..,3147,3147,3962,187,4156,1267,18,1284,1260,8,1265,652,3,660,283,0,283,7428,3368,10796
LGA26260,..,2020,2020,2236,124,2359,776,17,797,685,0,688,334,0,334,132,0,132,4164,2161,6326
LGA26350,..,15013,15013,13191,2961,16156,4679,924,5602,4459,237,4696,1726,68,1800,431,30,463,24489,19231,43724
LGA26430,..,1370,1370,1593,93,1682,495,3,495,382,0,382,166,0,168,71,0,72,2703,1467,4174
LGA26490,..,2160,2160,3462,201,3669,1386,60,1447,1831,23,1851,807,7,816,217,0,220,7703,2458,10163
LGA26610,..,2058,2058,2340,191,2530,985,45,1028,823,16,837,500,10,509,228,4,236,4871,2325,7198
LGA26670,..,705,705,925,46,969,244,8,249,239,0,239,130,0,130,38,0,38,1574,755,2333
LGA26700,..,3311,3311,3814,248,4064,1367,21,1387,1351,9,1364,622,8,628,217,0,216,7377,3601,10980
LGA26730,..,3757,3757,4057,342,4401,1662,97,1757,1638,41,1676,730,19,748,289,17,303,8377,4259,12637
LGA26810,..,4775,4775,5612,354,5965,2056,48,2105,1906,11,1915,964,5,967,351,5,355,10887,5195,16082
LGA26890,..,536,536,575,24,596,175,4,178,145,0,145,98,0,98,30,0,30,1024,564,1586
LGA26980,..,13931,13931,15991,1569,17554,9561,756,10313,10565,405,10971,3843,186,4034,1364,133,1504,41326,16980,58308
LGA27070,..,10434,10434,16908,1112,18021,12305,302,12606,13533,181,13715,5800,63,5865,3008,36,3037,51550,12125,63678
LGA27170,..,3726,3726,4656,368,5026,2135,44,2176,2064,27,2086,893,5,899,346,0,344,10091,4173,14260
LGA27260,..,10116,10116,16141,1260,17401,14082,270,14358,14699,111,14813,6196,38,6238,4008,20,4031,55128,11819,66946
LGA27350,..,11757,11757,11262,2888,14155,4013,1487,5496,2974,546,3520,807,147,955,326,43,369,19384,16865,36254
LGA27450,..,10796,10796,16318,950,17265,8573,120,8697,9330,21,9353,4048,8,4054,1735,6,1739,39998,11901,51905
LGA27630,..,930,930,979,50,1028,275,4,279,248,0,246,133,0,133,59,0,59,1690,989,2679
LGA29399,..,64,64,35,15,45,19,3,20,17,0,17,3,0,3,3,0,3,73,79,151
LGA29499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
