LGA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
LGA20110,0,0,0,4,6,0,4,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,142,140,51,28,47,16,0,0,3,4,3,3,28,534,0,0,0,11,3,8,7,0,0,4,5,0,0,0,0,39,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,15,42,46,17,17,20,18,0,0,0,5,5,4,6,216,8,268,389,304,159,116,147,91,9,18,19,33,32,28,76,1700
LGA20260,0,0,0,0,0,3,0,6,0,3,0,0,0,0,3,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,11,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,33,63,77,11,20,16,10,0,0,0,0,0,0,45,274,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,16,0,0,0,0,0,4,0,6,0,0,0,0,4,0,8,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,12,22,12,3,3,15,10,0,0,0,7,19,3,60,159,4,76,134,135,59,67,96,156,29,26,11,20,39,25,233,1106
LGA20570,0,3,3,15,19,11,81,33,11,9,0,3,9,7,4,210,0,0,0,0,8,10,16,45,10,9,12,3,3,0,3,122,0,0,0,3,0,13,25,21,3,3,3,10,14,3,6,111,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,5,0,0,0,4,0,0,0,0,0,0,0,17,11,287,554,657,250,156,204,165,43,38,35,28,27,9,100,2583,0,0,13,27,20,27,58,31,11,16,7,7,10,0,3,233,0,0,0,0,14,13,5,26,0,3,12,9,3,3,8,93,0,0,0,3,3,0,18,13,3,0,0,0,0,0,0,45,0,78,99,132,78,94,226,264,29,47,22,34,44,49,36,1229,24,893,1164,1203,698,688,1269,1567,268,367,303,269,326,251,380,9655
LGA20660,0,0,11,24,57,50,103,97,15,3,5,9,20,4,11,413,3,12,22,50,67,209,146,109,19,29,18,19,36,23,10,767,0,0,0,4,22,34,58,57,10,10,10,9,8,4,14,244,0,10,66,173,33,62,29,7,0,0,0,0,3,0,9,398,0,3,3,35,10,15,6,7,0,0,0,0,0,4,0,80,31,319,676,832,494,393,530,388,91,59,69,58,55,19,106,4113,0,3,20,47,46,48,87,79,27,28,30,25,31,7,13,473,0,0,0,4,186,119,79,94,23,30,29,59,55,36,21,731,0,0,4,3,8,0,25,14,4,7,3,3,0,0,0,73,14,216,278,531,321,688,851,576,163,152,148,185,168,82,112,4477,95,1810,3030,3218,2357,3615,4489,3913,910,892,935,958,981,576,824,28609
LGA20740,0,0,0,12,16,12,16,6,3,0,0,6,0,0,0,71,0,0,6,17,6,4,0,9,0,0,0,0,0,0,0,42,0,0,0,0,0,7,9,12,8,7,10,3,3,0,8,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,23,250,519,634,198,107,99,60,21,7,9,9,14,3,89,2029,0,3,3,14,15,9,10,5,0,3,0,9,3,0,0,78,0,0,0,3,9,0,6,8,3,0,4,0,0,0,0,37,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,12,0,43,58,91,49,34,56,77,7,15,9,3,3,0,16,467,29,632,942,1013,522,332,362,370,68,70,59,59,53,25,200,4740
LGA20830,0,0,4,13,22,17,23,33,4,6,6,0,0,0,4,131,0,0,6,10,9,15,10,19,0,0,3,3,0,0,3,73,0,0,0,0,0,4,4,9,0,3,0,0,7,0,3,36,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,11,254,473,596,218,102,144,121,10,34,29,18,3,3,64,2067,0,9,0,19,14,6,22,8,0,5,3,5,0,0,0,103,0,0,0,0,0,5,0,7,0,0,0,0,3,0,7,22,0,0,0,0,3,0,6,8,3,4,0,0,0,0,0,22,5,38,68,134,70,63,66,64,17,17,4,10,22,8,35,614,22,651,885,1032,582,399,540,478,83,106,73,76,73,30,211,5253
LGA20910,0,4,4,41,135,185,341,214,25,30,27,38,51,52,17,1162,0,8,21,73,45,61,23,9,0,4,5,3,0,3,9,257,0,0,0,3,15,9,28,32,3,13,13,4,4,6,4,143,0,3,3,14,14,3,4,0,0,0,0,0,0,0,3,39,0,3,3,46,19,19,18,5,0,0,4,0,3,0,0,128,40,408,730,911,603,658,1210,1003,272,240,233,206,223,132,155,7013,0,5,15,56,60,81,181,148,37,41,51,55,64,50,22,866,0,0,0,3,74,21,11,20,4,5,4,0,10,3,7,168,0,0,0,6,14,9,17,17,3,0,0,0,4,3,0,73,26,260,289,423,534,948,685,398,123,121,98,142,113,63,103,4323,145,1366,2166,2714,2464,3274,4162,3212,764,801,776,857,916,562,652,24830
LGA21010,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,5,0,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,48,121,101,30,11,19,8,3,0,0,3,3,0,21,382,0,0,0,7,3,3,6,0,0,0,3,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,15,24,26,15,7,14,19,0,3,0,3,4,0,5,129,8,155,253,172,105,55,123,80,11,16,14,14,23,3,52,1094
LGA21110,3,0,33,62,182,171,302,156,13,21,13,21,17,10,14,1017,0,12,36,140,135,263,197,167,28,30,44,39,64,55,34,1243,0,0,0,14,23,37,114,108,16,32,19,31,37,17,22,462,0,17,32,36,0,18,14,9,0,0,0,0,0,0,3,137,0,0,3,43,24,26,21,12,4,4,6,11,7,9,8,173,75,428,735,1003,559,653,867,626,178,129,115,112,143,61,162,5851,0,6,30,93,91,116,242,165,58,41,35,58,59,33,47,1080,0,0,5,34,768,292,121,191,49,60,80,93,133,82,60,1976,0,0,0,0,19,15,47,30,5,0,3,3,5,3,0,129,44,378,338,539,497,937,838,739,149,203,245,331,371,283,248,6134,226,2118,3478,4053,4716,7265,8089,7262,1606,1919,2173,2593,2896,1727,1618,51744
LGA21180,0,3,3,5,32,24,60,27,4,3,0,5,3,0,0,181,0,3,7,60,55,294,255,365,96,316,209,89,55,46,47,1907,0,0,0,7,41,102,109,118,32,14,21,28,15,18,20,534,0,6,103,1721,338,377,232,67,17,14,33,23,26,3,103,3075,0,0,7,200,124,105,115,43,8,9,12,7,5,10,32,663,4,229,427,629,245,140,131,134,42,21,17,29,15,6,94,2165,0,0,3,16,18,32,44,63,10,15,12,5,16,5,8,254,0,0,6,36,4443,7198,3137,2736,471,549,786,626,566,278,879,21705,0,0,0,4,4,8,10,24,0,4,4,0,7,0,0,72,3,460,663,2337,2060,2984,3542,2824,566,766,852,699,726,381,589,19444,36,3144,6163,10137,10033,16073,12568,13556,2361,3356,4002,3356,3090,1818,3300,93001
