LGA_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
LGA20110,18,3,3,11,17,12,8,4,78,0,0,0,0,0,0,0,0,0,0,0,19,7,27,4,3,12,22,12,13,4,116,74,19,10,0,0,0,0,0,4,6,116,5,15,6,0,0,0,3,3,0,3,39,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,15,12,0,0,0,3,3,0,3,43,0,0,0,0,0,0,0,0,0,0,0,76,37,19,0,0,0,3,3,3,10,156,127,28,7,0,0,3,0,0,0,4,179,23,3,4,0,0,0,0,0,0,3,34,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,26,3,4,0,0,0,0,0,0,3,42,0,0,0,0,0,0,0,0,0,0,0,160,32,10,0,3,3,0,0,0,11,221,221,7,4,0,0,0,0,0,0,9,242,41,0,3,0
LGA20260,33,10,3,6,7,20,4,11,100,0,0,0,0,0,0,0,0,0,38,38,17,13,46,10,7,3,6,21,10,47,182,35,6,13,3,3,0,0,0,0,3,68,17,6,31,3,4,0,3,0,0,3,67,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,17,6,33,3,4,0,3,3,0,3,75,0,0,0,0,0,0,0,0,0,40,40,45,15,53,7,7,0,3,3,3,48,186,61,10,0,3,0,0,0,0,0,4,81,16,5,5,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,7,7,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,30,30,77,11,11,7,4,4,0,0,3,40,153,81,0,3,0,0,0,0,0,0,7,88,18,0,0,0
LGA20570,421,60,98,75,60,78,39,16,993,0,0,0,0,0,0,0,0,0,0,0,189,136,505,91,144,106,71,112,57,28,1435,315,102,88,17,18,26,16,12,3,17,609,89,174,279,35,37,38,22,23,18,10,721,3,5,22,3,11,6,7,8,3,4,68,0,3,3,0,0,0,0,0,0,0,8,91,183,309,37,45,44,26,27,20,15,798,0,0,0,0,0,0,0,0,0,0,0,406,285,397,58,65,67,43,37,28,29,1407,635,79,55,10,19,3,7,8,3,25,834,158,88,81,17,7,6,9,3,5,5,377,9,16,19,4,3,0,0,0,3,3,52,0,0,0,0,0,0,0,0,0,0,0,161,101,103,18,6,10,7,5,10,6,431,0,0,0,0,0,0,0,0,0,0,0,794,184,152,26,28,13,12,13,11,39,1262,859,36,32,0,0,11,0,0,0,40,977,193,28,27,0
LGA20660,1137,242,250,316,271,288,140,66,3579,0,0,0,0,0,0,0,0,0,4,11,854,564,1400,320,328,398,333,326,160,100,4778,883,351,329,62,43,32,23,27,8,45,1806,773,710,747,128,137,103,82,79,39,34,2833,32,52,67,21,11,30,13,23,16,10,272,3,7,5,0,0,0,0,0,0,0,12,807,763,824,145,155,132,94,106,51,43,3121,0,0,0,0,0,0,0,0,0,3,4,1697,1118,1150,210,193,163,115,129,56,92,4931,1397,178,116,28,16,11,9,22,4,33,1822,1206,285,205,32,25,21,22,15,15,51,1874,119,38,66,13,12,13,23,16,16,14,338,3,0,0,0,0,0,0,0,0,0,4,1327,327,269,45,39,34,50,28,28,65,2214,0,0,0,0,0,0,0,0,0,0,4,2722,507,391,77,58,48,57,53,40,98,4037,1689,51,39,3,7,11,0,0,0,45,1847,1582,83,39,11
LGA20740,100,8,15,15,9,14,7,4,204,0,0,0,0,0,0,0,0,0,0,0,74,36,135,16,25,25,12,13,6,17,353,135,34,36,8,4,4,3,0,0,11,236,22,30,41,3,7,9,4,3,3,0,116,3,0,6,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,29,31,43,5,7,11,4,3,3,0,128,0,0,0,0,0,0,0,0,0,0,3,161,62,84,14,10,11,9,3,3,8,367,358,39,16,4,8,5,3,0,0,23,454,54,16,19,0,4,0,3,0,0,4,109,8,0,3,3,0,0,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,60,16,27,3,4,0,6,0,3,7,134,0,0,0,0,0,0,0,0,0,0,0,420,59,42,9,11,9,8,3,4,28,590,681,20,8,3,0,0,0,3,0,23,741,106,0,9,0
LGA20830,98,13,10,9,21,21,9,14,242,0,0,0,0,0,0,0,0,0,0,0,89,53,150,19,31,14,27,29,7,27,443,197,61,41,4,11,4,4,3,0,8,343,54,43,58,6,3,6,7,4,0,10,192,3,5,5,0,3,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,55,41,66,6,6,6,7,4,0,10,207,0,0,0,0,0,0,0,0,0,0,3,253,106,103,13,17,15,9,9,3,22,558,474,51,46,10,10,3,3,0,0,21,619,84,14,30,4,7,3,0,0,0,3,150,3,0,3,5,0,0,3,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,90,18,30,4,7,3,4,4,0,8,168,0,0,0,0,0,0,0,0,0,0,0,563,71,74,14,12,6,9,3,0,33,783,713,30,21,3,3,3,0,0,0,22,789,126,5,3,3
LGA20910,346,82,74,91,91,59,49,22,1201,0,0,0,0,0,0,0,0,0,0,3,499,293,580,172,164,144,143,122,76,41,2229,890,484,503,107,103,94,91,97,67,56,2493,483,299,300,56,62,61,74,74,44,32,1491,0,6,19,7,9,23,21,23,11,5,140,3,0,0,0,0,0,0,0,0,0,4,487,309,326,62,78,84,102,95,55,37,1629,3,0,0,0,0,0,0,0,0,0,7,1381,795,825,168,176,170,191,196,125,94,4125,1925,491,368,82,73,58,50,56,26,44,3181,919,195,160,33,31,31,38,39,22,28,1496,41,23,52,4,19,19,14,22,12,9,206,9,0,0,0,0,0,0,0,0,0,12,969,217,216,34,54,47,51,60,25,36,1714,0,0,0,0,0,0,0,0,0,0,0,2891,707,583,122,124,105,105,119,58,82,4892,1993,129,74,13,14,15,18,13,6,35,2308,985,54,24,10
LGA21010,17,3,6,0,8,5,0,0,44,0,0,0,0,0,0,0,0,0,0,0,11,8,21,3,6,4,8,10,0,5,74,35,8,10,0,0,3,0,0,0,0,54,0,19,14,0,5,0,4,3,0,0,49,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,14,13,0,5,0,4,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,39,28,26,5,7,3,3,0,0,0,109,77,13,3,0,0,0,3,0,0,5,106,13,11,3,0,0,0,0,4,0,0,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,11,7,0,0,0,0,6,0,0,35,3,0,0,0,0,0,0,0,0,0,4,95,26,12,0,0,0,3,5,0,3,148,157,7,0,0,0,0,0,0,0,4,169,23,0,0,0
LGA21110,1961,332,450,578,609,649,365,192,6944,0,0,0,0,0,0,0,0,0,3,4,1542,1235,2435,492,645,749,745,798,436,252,9325,1423,456,399,88,82,54,59,61,34,68,2721,1700,895,1003,155,187,226,191,208,125,81,4771,34,57,144,47,59,63,121,110,46,47,733,7,6,3,0,0,3,0,0,0,3,26,1738,964,1155,197,243,295,312,318,166,134,5525,0,0,0,0,0,0,0,0,0,7,6,3166,1424,1551,290,322,352,380,376,202,203,8257,2435,366,193,38,34,14,19,34,4,65,3211,2640,470,368,68,68,75,70,51,30,51,3893,241,101,276,48,69,71,76,70,32,44,1026,9,5,0,0,0,0,0,0,0,0,18,2888,577,642,123,136,144,142,122,65,99,4940,3,0,0,0,0,0,0,0,0,7,4,5326,939,836,158,169,164,168,158,67,172,8152,2447,138,65,11,14,3,10,3,5,63,2763,2481,128,74,12
LGA21180,5076,733,1176,1379,1005,947,470,391,15399,0,3,4,0,0,0,4,3,0,28,43,3286,1833,5414,814,1258,1473,1082,1014,512,482,17159,931,280,251,45,45,40,35,22,8,60,1707,4399,1689,2214,255,352,331,234,198,101,199,9974,935,484,692,113,181,207,111,98,56,88,2973,40,18,26,5,5,9,0,0,0,10,114,5370,2190,2926,373,547,549,341,298,161,301,13063,3,0,0,0,0,0,0,0,0,7,15,6306,2470,3179,415,588,592,372,324,172,370,14783,1578,167,129,22,17,12,4,6,5,65,2006,6171,758,716,98,104,103,72,47,27,210,8305,2536,396,419,81,111,130,72,70,73,181,4077,75,11,8,0,3,0,0,3,0,10,112,8786,1156,1141,181,215,236,150,123,102,400,12497,6,0,3,0,0,0,0,0,0,6,13,10366,1333,1278,201,232,246,157,123,102,476,14514,1982,76,36,11,9,4,5,3,4,79,2217,6623,284,158,22
