LGA_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
LGA21270,0,0,0,0,6,0,0,10,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,3,6,0,0,17,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,7,3,8,0,0,21,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,7,4,8,0,0,25,3,5,0,3,3,0,0,10,10,17,18,6,18,0,0,74,3,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,11,23,13,11,25,0,0,90,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,0,0,0,0,10,11,27,17,11,25,0,0,93,20,19,14,0,7,3,0,59,0,0,0,0,0,0,0,0,31,44,28,11,27,6,0,155,3,3,0,3,9,0,0,16
LGA21370,18,29,27,12,35,9,0,133,4,4,14,5,14,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,29,36,21,50,10,0,176,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,17,37,39,22,50,10,0,181,11,18,6,4,8,0,0,44,3,0,0,0,0,0,0,7,33,51,49,25,55,13,0,228,17,59,40,35,63,23,0,239,63,104,96,61,76,17,3,404,4,4,0,0,5,0,0,22,0,0,4,0,4,0,0,6,85,162,143,94,137,36,3,671,0,12,12,0,3,0,0,25,18,19,5,3,5,0,0,64,18,32,18,11,9,3,0,87,104,200,160,104,152,42,3,761,194,162,95,49,53,12,0,559,3,7,0,4,0,0,0,14,301,372,253,150,206,52,3,1336,37,85,66,49,103,27,3,371
LGA21450,38,46,30,45,64,31,4,263,7,22,15,5,10,9,0,74,0,0,0,9,6,3,0,14,3,0,0,3,0,0,0,12,52,71,51,59,84,40,8,366,0,0,3,0,0,0,0,8,0,0,3,0,0,0,0,7,0,5,3,0,0,0,0,13,56,76,51,60,82,42,8,378,11,19,14,12,14,3,3,73,0,0,0,0,0,0,0,0,66,94,68,69,99,46,8,455,80,156,127,135,208,100,48,856,214,386,260,169,205,72,23,1336,23,21,11,4,7,3,3,73,8,10,10,4,10,3,0,41,327,573,410,311,434,178,73,2310,17,41,24,13,21,9,0,121,44,54,35,31,21,0,4,191,58,92,55,45,42,15,8,311,386,663,472,352,474,191,79,2617,581,436,197,110,132,36,23,1507,6,10,13,10,5,0,0,44,969,1113,681,467,612,224,98,4168,119,202,161,172,280,128,56,1115
LGA21610,90,167,107,105,196,100,53,809,19,49,29,30,52,11,14,204,8,3,3,3,7,0,4,27,3,5,4,0,7,3,3,29,121,222,142,136,256,121,73,1068,6,12,11,9,11,6,7,68,0,11,5,3,5,3,0,35,8,24,17,14,24,10,11,98,128,241,159,150,279,127,79,1167,50,79,48,61,64,26,11,340,0,0,3,0,0,4,0,6,180,325,214,207,341,160,96,1522,222,544,434,404,601,296,151,2654,450,788,596,420,560,221,77,3110,53,42,24,20,24,4,6,170,25,24,26,17,25,8,10,133,745,1398,1085,860,1205,527,241,6070,71,99,77,45,80,22,14,405,121,155,98,46,54,21,6,501,192,252,175,88,130,42,19,908,940,1653,1260,952,1341,574,259,6980,1369,1258,611,387,555,239,135,4559,29,35,24,21,14,3,3,125,2333,2945,1893,1359,1915,818,397,11660,314,708,539,509,801,393,205,3464
LGA21670,0,7,3,7,6,3,0,24,0,0,0,5,3,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,6,4,3,36,0,0,0,3,0,0,0,7,0,0,0,3,0,0,0,3,0,0,3,8,0,0,0,9,0,4,9,15,9,4,3,44,5,10,9,17,6,0,0,50,0,0,3,0,0,0,0,6,6,15,23,27,17,4,3,98,0,13,4,11,16,10,0,58,22,37,35,18,39,6,0,153,3,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,24,58,40,30,54,22,0,222,3,16,3,3,3,0,0,25,9,20,8,8,4,0,0,44,8,31,11,9,4,0,0,65,33,85,47,39,60,21,0,289,104,91,45,43,28,7,0,323,0,0,0,0,0,0,0,0,144,179,94,84,88,31,0,622,0,17,12,22,19,17,0,85
LGA21750,4,8,9,7,11,0,0,34,4,13,3,3,3,0,0,27,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,15,15,4,15,0,3,63,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,7,18,17,8,19,0,3,65,5,5,3,4,3,0,0,27,0,0,0,0,0,0,0,5,16,22,22,15,22,3,3,93,7,27,22,11,32,3,0,106,47,59,56,34,61,11,0,277,0,0,3,0,5,0,0,12,0,0,3,0,3,0,0,5,65,83,86,49,101,17,0,397,0,3,6,7,3,4,0,17,3,0,3,0,3,0,0,13,3,5,11,3,3,4,0,33,64,94,95,56,102,16,0,431,122,93,52,33,31,4,0,332,0,0,0,0,0,0,0,5,187,191,144,93,136,20,3,769,13,30,29,17,40,7,3,139
LGA21830,7,3,4,4,8,6,0,35,0,3,0,0,6,3,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,5,10,4,11,18,5,3,56,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,5,11,4,11,19,5,3,55,4,3,3,7,3,0,0,18,0,0,0,0,0,0,0,3,8,13,9,18,18,5,3,83,3,10,15,16,22,9,0,73,25,41,28,29,28,3,0,156,9,10,0,0,0,0,0,18,0,0,0,0,0,0,0,0,39,60,46,41,51,13,0,252,0,6,3,0,3,0,0,10,5,9,3,4,3,0,0,30,11,17,9,4,4,0,0,40,49,75,49,43,58,13,0,287,79,76,32,20,9,3,4,217,0,0,0,0,4,0,0,3,127,151,82,64,68,20,3,507,10,19,22,20,32,13,0,108
LGA21890,25,47,40,31,58,37,20,260,12,25,15,8,23,14,3,92,0,0,0,0,3,0,0,13,0,0,0,0,4,0,0,3,42,73,56,48,82,50,25,370,0,7,3,5,4,3,4,25,0,4,0,4,5,0,0,12,0,13,3,5,8,3,4,39,42,78,58,51,91,56,35,408,23,30,12,24,29,20,16,150,3,0,0,0,0,0,3,12,63,112,77,79,119,72,49,568,83,181,152,99,192,117,89,918,173,300,222,138,190,109,52,1187,27,16,11,7,0,8,4,57,4,8,4,3,0,0,0,18,288,500,389,244,383,233,141,2184,11,29,22,13,19,8,7,108,23,31,19,19,15,7,11,118,33,60,38,27,33,17,20,225,316,560,432,275,417,250,159,2407,364,343,190,133,157,88,63,1346,10,7,4,5,3,0,0,21,684,900,624,417,581,336,228,3774,112,230,195,131,247,155,109,1178
LGA22110,6,16,17,14,28,3,0,83,8,13,6,8,13,0,0,51,0,0,0,6,0,0,0,3,0,0,0,0,3,0,0,3,15,28,30,26,43,0,0,139,0,4,3,3,4,0,0,15,0,3,0,0,0,0,0,3,0,7,0,4,4,0,0,17,17,35,34,28,41,3,0,160,5,19,6,5,13,5,0,58,0,4,0,0,0,0,0,4,28,60,42,35,59,10,0,228,11,63,53,54,73,15,3,268,65,143,121,66,97,12,3,505,11,10,5,6,8,0,0,41,6,11,0,3,5,0,0,26,91,223,181,133,182,34,3,843,3,12,3,7,7,0,0,28,6,27,11,12,10,0,0,66,14,38,17,17,12,0,0,95,105,253,192,146,197,34,3,942,223,202,100,60,81,5,3,680,3,3,0,8,0,0,0,10,328,460,291,216,284,42,7,1630,19,77,69,69,97,17,3,351
LGA22170,39,92,76,61,125,51,14,463,19,27,17,12,40,9,8,137,0,0,0,3,3,0,0,10,8,3,4,4,4,0,0,14,70,123,98,83,172,58,20,623,3,8,9,3,6,0,3,32,3,8,7,3,3,0,0,18,4,11,13,9,8,0,3,52,70,137,111,84,178,66,28,675,27,56,32,25,30,13,10,194,5,8,3,0,0,0,0,19,103,198,145,110,213,77,34,883,125,237,230,171,328,175,83,1356,250,495,325,239,313,136,46,1804,43,21,11,13,14,3,4,113,17,18,9,6,16,4,0,70,428,773,583,432,672,323,133,3342,22,36,40,15,31,13,3,162,51,92,62,40,31,7,0,282,81,126,101,56,57,20,5,446,512,900,679,487,731,339,132,3785,716,594,326,178,245,72,37,2170,8,17,8,4,3,0,0,54,1232,1518,1017,675,981,417,170,6005,168,324,310,234,453,226,104,1821
LGA22250,3,9,8,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,10,5,3,0,0,23,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,12,5,3,0,0,29,4,6,0,0,4,0,0,14,0,0,0,0,0,0,0,0,7,13,11,5,9,0,0,48,3,3,9,5,21,0,0,42,15,31,15,5,20,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,38,21,12,41,3,0,132,0,3,0,0,0,0,0,4,0,6,3,0,0,0,0,18,0,10,7,0,0,0,0,21,19,46,23,17,46,3,0,150,50,39,16,11,15,3,0,134,0,0,0,0,0,0,0,0,69,87,44,27,59,4,0,289,3,12,12,5,26,0,4,67
LGA22310,26,70,59,37,78,59,38,369,11,18,12,12,27,9,12,105,0,3,4,0,4,0,0,10,0,0,5,0,6,0,3,13,42,97,76,56,103,73,50,488,3,3,4,7,6,3,4,27,0,4,0,0,3,3,0,9,3,3,4,6,4,9,4,35,46,103,82,57,110,76,51,529,7,9,15,5,20,12,8,80,0,0,0,0,0,0,0,0,51,114,93,66,128,86,60,607,76,202,183,143,213,171,130,1126,107,258,171,149,204,128,72,1101,22,9,0,3,12,3,3,47,4,4,7,3,3,5,4,30,210,477,364,297,431,315,213,2308,3,17,8,11,16,5,9,72,10,30,16,11,9,7,3,86,10,49,28,25,25,14,7,155,222,521,397,319,456,327,222,2466,141,189,108,86,105,68,66,770,3,0,4,0,0,0,0,7,361,720,508,409,565,401,287,3243,106,272,244,178,292,229,165,1490
LGA22410,7,7,15,9,16,5,0,65,0,3,6,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,21,13,26,5,0,83,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,8,0,3,3,4,3,0,0,11,5,17,21,16,26,5,0,88,3,8,0,4,3,0,0,16,0,6,3,0,0,0,0,11,11,29,25,19,27,5,0,115,10,32,18,13,33,3,4,112,25,45,37,27,37,8,0,191,3,7,6,3,4,0,0,16,0,0,3,0,0,0,0,3,34,87,65,44,76,13,4,324,0,3,3,4,7,0,0,17,0,14,12,3,3,0,0,33,0,18,16,5,7,0,0,50,38,103,75,52,82,17,4,376,106,77,38,26,32,4,0,291,0,3,0,0,0,0,0,4,146,186,121,78,112,24,3,673,11,41,39,24,45,9,4,175
LGA22490,7,15,16,5,16,5,0,65,0,4,3,3,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,20,20,11,16,8,3,81,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,22,17,7,20,8,3,81,0,10,3,0,3,0,0,23,0,0,0,0,0,0,0,0,7,34,24,10,24,12,3,108,7,15,27,11,27,6,3,93,21,67,28,28,39,7,0,197,4,4,3,0,0,0,3,12,0,0,0,3,0,0,0,3,31,88,57,42,70,17,10,310,0,0,0,3,4,0,0,7,4,5,8,9,0,0,0,28,5,9,8,5,4,0,0,37,33,95,58,51,77,18,10,345,59,73,42,23,29,4,3,235,0,0,0,0,0,0,0,3,90,172,102,72,105,20,12,580,7,35,36,22,41,10,3,158
LGA22620,24,63,58,44,95,36,14,338,6,25,16,11,12,6,0,87,0,4,0,0,5,0,0,7,0,0,0,3,0,0,0,5,34,92,75,62,112,40,17,436,6,7,6,6,3,0,0,29,4,7,3,4,3,0,0,18,6,13,10,8,4,0,0,43,45,103,85,73,124,40,16,482,26,40,33,24,33,12,3,166,0,0,0,0,0,0,0,4,69,139,121,97,156,52,19,662,54,150,136,141,214,82,45,828,228,498,316,204,287,80,22,1633,45,35,20,15,8,5,3,135,8,6,0,5,3,0,3,26,337,687,483,366,518,170,72,2625,21,58,32,12,29,3,0,157,45,76,43,26,28,6,0,224,61,131,72,41,60,10,0,377,397,818,555,399,578,181,77,3004,731,643,305,183,198,46,13,2120,5,3,4,0,3,0,0,14,1129,1461,866,585,782,229,90,5136,80,207,198,185,316,121,60,1169
LGA22670,67,67,52,45,64,63,30,387,13,17,14,11,15,25,15,114,0,3,0,3,3,0,0,10,0,6,5,3,0,3,0,10,81,90,71,62,86,89,49,519,4,10,12,3,10,3,5,48,0,12,3,5,0,5,0,28,11,17,15,6,11,9,9,70,86,108,86,72,101,94,55,593,34,40,28,27,29,22,16,191,5,8,0,4,4,0,0,16,128,149,113,99,131,121,71,803,136,247,199,152,221,177,87,1217,163,322,244,174,254,122,65,1350,19,6,5,4,10,4,11,59,10,12,15,7,14,14,10,89,331,587,467,336,499,323,170,2715,37,59,32,17,43,26,10,229,43,65,51,33,44,29,8,277,82,132,84,46,84,57,18,502,411,718,556,381,588,375,189,3218,796,689,419,309,391,233,134,2977,16,22,13,8,10,0,4,79,1223,1426,986,703,986,609,330,6270,203,313,247,198,286,236,114,1605
LGA22750,61,111,87,74,148,65,30,579,14,41,47,36,33,16,6,191,3,0,0,0,6,0,0,18,3,7,0,0,4,0,0,17,79,161,142,110,187,81,41,806,7,12,13,14,17,0,0,60,0,6,7,0,3,0,0,19,9,25,18,9,18,0,0,83,87,184,157,118,213,81,46,886,43,75,58,53,41,7,13,282,3,6,6,0,0,0,0,19,131,265,222,174,252,96,54,1187,128,364,321,295,478,205,97,1892,460,773,569,400,563,196,74,3039,63,42,29,9,40,9,8,191,7,13,19,11,12,10,3,71,660,1191,933,712,1092,425,180,5190,29,91,49,35,42,14,5,265,74,129,79,41,52,15,3,393,98,212,133,77,94,28,10,656,757,1403,1067,791,1191,450,189,5850,1141,1037,483,366,433,150,65,3671,18,24,11,10,10,4,3,83,1918,2472,1562,1164,1633,600,259,9600,190,471,413,370,631,273,126,2474
LGA22830,19,31,39,25,62,16,0,196,4,4,12,6,15,3,0,43,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,7,25,40,50,33,79,21,5,254,0,3,0,3,0,0,0,5,3,8,5,0,0,0,0,20,3,13,3,3,3,3,0,30,27,49,60,43,81,21,5,277,14,37,14,19,16,7,4,106,3,4,0,3,3,0,0,15,44,87,75,62,97,27,10,401,59,111,94,78,139,33,12,521,112,222,147,99,161,36,3,785,17,9,12,7,9,4,3,61,0,13,4,3,7,0,0,24,193,358,251,191,316,75,18,1389,13,33,18,15,10,4,0,91,32,53,24,13,10,5,0,145,46,84,48,24,26,11,0,238,239,442,295,213,340,79,17,1630,432,350,186,116,116,30,8,1243,5,6,10,4,0,0,0,24,672,797,492,334,456,114,32,2901,75,145,134,102,198,46,11,717
LGA22910,4,12,4,7,10,0,0,35,0,4,9,8,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,4,16,12,20,14,0,0,66,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,16,12,20,14,0,0,68,0,9,3,5,0,3,0,22,0,0,0,0,0,0,0,0,3,20,15,24,16,4,4,91,3,10,10,3,16,0,3,47,22,55,41,23,30,0,3,169,4,3,3,3,3,0,0,14,0,0,0,0,0,0,0,5,24,66,50,26,53,0,7,234,0,3,3,0,0,0,0,11,0,10,3,0,4,0,0,16,0,17,10,4,3,0,0,31,28,84,61,32,58,0,6,271,62,43,29,14,10,5,0,176,0,0,0,0,0,0,0,3,92,127,91,46,69,6,12,443,5,20,16,12,25,3,3,85
LGA22980,0,3,3,6,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,5,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,6,0,0,25,0,0,0,3,3,0,0,8,0,0,0,0,0,0,0,0,0,4,11,11,6,0,0,34,7,3,3,3,4,0,0,19,0,7,11,8,6,0,3,36,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,4,9,9,17,16,0,3,63,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,3,0,0,0,0,0,7,3,16,16,17,14,3,3,67,25,14,13,8,11,4,0,81,0,0,0,0,0,0,0,0,32,31,31,23,27,7,3,151,7,6,8,8,13,0,0,38
LGA23110,18,55,37,31,57,32,23,260,4,13,6,5,10,4,6,46,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,10,32,68,45,41,64,40,26,318,0,5,0,0,4,4,0,16,0,3,5,0,0,0,0,5,0,9,10,0,4,4,0,26,32,78,53,41,65,44,27,337,8,13,9,14,27,13,3,82,0,0,0,0,0,0,0,3,45,94,63,50,95,56,34,429,81,175,140,86,177,98,55,808,95,218,132,102,155,65,43,805,9,3,0,0,5,4,0,28,4,0,3,4,0,0,4,17,188,402,269,195,338,169,94,1650,8,17,10,12,10,14,3,70,8,34,22,15,19,4,5,109,15,54,31,27,26,19,12,181,207,454,302,224,362,182,109,1836,275,260,131,100,103,49,24,943,4,9,3,4,3,0,0,21,481,717,441,327,472,231,132,2802,99,231,178,120,232,130,74,1065
LGA23190,3,13,13,15,12,3,0,53,0,8,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25,19,15,12,3,0,73,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,3,0,0,6,7,26,16,13,16,3,0,75,8,8,6,5,4,3,0,34,3,0,0,0,0,0,0,3,16,32,23,15,16,3,0,109,7,19,14,17,33,5,3,101,32,83,48,38,45,16,0,259,0,3,0,0,0,3,0,6,0,0,4,0,0,0,0,8,41,105,61,52,80,27,3,373,0,5,4,0,0,3,0,20,8,18,9,5,7,0,0,43,10,22,10,10,10,3,0,63,52,128,74,61,84,34,3,433,134,113,53,31,28,0,0,369,0,0,0,0,0,0,0,3,188,244,122,93,113,34,7,805,10,34,26,25,45,8,3,151
LGA23270,42,85,75,70,124,62,40,496,23,23,32,15,20,11,5,122,0,0,3,4,0,3,3,15,6,3,4,5,0,3,0,25,65,110,114,90,147,79,50,657,12,9,11,10,5,3,3,47,0,3,0,3,5,3,3,18,11,12,11,15,10,3,5,68,75,124,126,102,158,79,52,724,33,58,56,47,60,37,15,303,0,7,3,0,3,0,0,25,114,198,184,156,221,117,65,1053,162,324,258,222,344,183,102,1596,280,517,378,268,369,145,76,2040,30,14,22,10,13,12,3,108,13,25,22,12,24,10,9,119,485,892,683,520,754,349,194,3871,35,65,36,28,39,25,7,233,68,106,61,37,44,22,6,354,100,175,94,64,86,49,16,589,591,1060,773,589,836,399,207,4460,1131,1036,620,376,505,239,133,4039,14,24,15,10,5,0,6,69,1735,2123,1409,971,1347,634,344,8569,205,410,331,293,468,247,149,2094
LGA23350,4,14,11,6,23,5,3,63,0,3,5,4,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,5,19,9,13,27,5,3,81,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,21,9,11,25,5,3,82,4,7,4,0,3,0,0,17,0,0,0,0,0,0,0,0,11,24,18,10,31,5,3,99,8,27,22,14,26,3,0,105,27,60,41,22,37,6,3,192,3,10,0,0,0,0,0,11,3,0,0,0,3,0,0,5,38,90,63,45,69,9,4,318,0,3,0,0,3,0,0,7,4,5,3,3,5,3,0,23,4,6,3,3,7,0,0,29,44,100,69,49,78,12,4,344,43,27,18,19,22,3,0,132,0,3,0,0,0,0,0,3,88,124,88,60,97,16,3,484,17,34,30,25,50,12,3,165
