LGA_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
LGA20110,4,7,8,3,9,0,0,26,4,7,7,7,3,0,0,28,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,7,10,13,10,12,0,0,56,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,10,13,10,18,0,0,58,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,15,16,11,20,3,5,67,8,20,9,9,16,3,0,65,21,62,36,17,35,7,3,176,3,4,7,0,0,0,0,14,0,3,3,3,0,0,0,6,23,82,57,34,51,14,3,264,0,3,0,0,0,0,0,3,0,3,3,0,0,0,0,8,0,4,3,0,0,0,0,11,27,85,60,34,49,12,3,273,30,35,18,17,11,7,0,110,5,0,0,0,0,0,0,5,57,118,75,54,58,20,3,392,8,28,17,14,23,0,0,94
LGA20260,0,4,4,7,11,0,0,31,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,9,7,12,0,0,37,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,8,7,12,0,0,41,3,10,5,3,0,0,0,25,0,0,0,0,0,0,0,0,13,22,15,10,12,0,0,70,3,25,12,21,9,4,0,79,12,40,28,13,19,3,3,123,8,0,0,0,3,0,0,9,0,0,0,0,0,0,0,3,24,70,43,33,36,8,3,214,0,0,0,0,0,0,0,11,0,10,3,0,0,0,0,17,3,10,8,3,3,0,0,23,22,82,51,35,37,8,4,240,50,40,18,17,17,5,0,149,0,0,0,0,0,0,0,0,78,121,64,50,59,11,4,394,4,32,16,25,22,4,0,111
LGA20570,20,54,48,30,62,26,11,265,6,22,8,5,26,9,0,70,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,3,28,77,60,38,90,31,11,340,3,9,15,6,8,0,0,42,0,14,3,4,0,0,0,27,3,23,21,7,5,0,0,67,30,101,79,47,103,32,11,409,21,30,30,22,20,10,3,129,0,0,0,0,0,0,0,3,54,130,110,67,118,39,14,539,44,144,144,119,248,96,23,822,237,463,304,163,269,65,29,1530,30,29,16,11,10,6,0,113,3,5,12,7,11,0,3,41,309,645,481,302,539,173,59,2500,16,59,35,19,12,5,0,153,51,106,43,33,36,5,0,293,69,168,77,52,52,16,3,440,378,810,554,358,592,183,57,2936,658,535,267,194,178,44,9,1884,5,8,0,0,5,0,0,24,1047,1356,824,548,767,228,74,4844,67,202,195,152,313,128,38,1082
LGA20660,18,81,56,50,59,46,34,338,8,22,11,5,14,4,8,70,0,0,0,3,0,3,0,8,0,0,0,0,3,9,0,9,22,103,70,54,78,61,40,436,0,3,0,3,0,3,0,17,0,0,0,0,0,0,0,10,0,3,0,3,4,7,3,19,22,105,71,64,83,68,46,454,11,21,13,11,21,13,8,96,0,0,0,0,0,0,0,0,36,125,90,68,96,83,49,554,63,144,162,145,227,146,99,983,132,322,220,151,229,117,55,1222,14,7,6,3,7,4,6,43,7,7,8,7,6,6,3,39,208,472,398,301,474,275,157,2289,4,17,8,8,11,15,0,68,17,40,25,20,9,9,7,126,24,57,34,28,22,26,8,190,229,532,427,324,502,300,165,2485,264,284,161,104,117,71,34,1035,5,3,4,4,4,3,0,28,502,821,599,432,623,371,198,3545,74,223,217,194,290,195,127,1325
LGA20740,13,26,27,11,17,3,0,93,3,0,3,5,18,3,0,36,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,17,27,29,17,37,6,0,133,3,7,0,3,5,0,0,16,0,3,0,0,0,0,0,3,3,11,3,3,3,0,0,17,17,31,28,19,42,6,0,148,9,12,18,4,7,0,0,51,0,0,0,0,0,0,0,0,34,46,43,25,52,10,0,205,7,39,29,28,48,13,0,172,64,138,79,66,75,19,4,445,10,5,7,3,3,0,0,34,5,5,4,0,0,0,0,7,90,193,119,107,122,37,3,669,4,15,3,6,3,3,0,33,8,28,18,13,3,0,0,76,8,40,22,20,10,4,0,113,99,236,141,128,134,42,3,776,166,161,85,50,56,13,4,545,8,5,0,0,3,0,0,13,270,403,234,179,196,50,5,1332,23,66,52,37,67,16,0,266
LGA20830,16,27,19,27,47,10,3,147,5,6,11,3,5,0,0,27,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,17,34,33,34,55,13,3,183,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,24,34,33,34,58,12,3,188,10,24,10,3,11,7,0,67,0,0,0,0,0,0,0,3,29,52,41,40,67,19,3,260,25,60,61,45,108,36,8,333,74,183,123,73,101,21,11,585,15,12,3,3,7,0,3,37,4,4,0,0,3,0,0,18,118,255,177,128,215,65,19,977,0,13,5,7,8,3,0,42,17,29,11,6,8,3,0,77,19,39,24,17,20,3,0,122,131,297,199,143,238,67,19,1094,244,233,121,63,92,33,4,791,0,3,0,0,0,0,0,5,376,530,323,203,329,97,25,1887,39,80,77,77,153,40,10,482
LGA20910,15,46,31,31,61,37,24,252,3,6,9,12,18,6,3,55,0,0,0,0,3,0,0,6,0,0,0,0,0,3,0,10,25,51,44,46,79,50,34,325,0,3,0,0,3,4,0,13,0,3,0,0,0,0,0,3,0,8,0,0,3,4,0,14,25,55,44,46,81,53,32,338,4,11,17,9,7,6,11,68,0,0,0,0,0,0,0,0,28,75,57,58,88,56,43,408,39,139,148,101,199,130,69,826,68,194,149,102,145,88,45,793,4,10,8,4,4,5,6,41,3,5,3,4,3,0,0,18,114,345,307,211,362,227,116,1677,3,13,10,5,6,7,3,43,5,20,15,11,15,5,3,65,12,32,21,16,18,14,6,114,121,379,325,226,380,239,123,1789,118,114,82,66,87,48,35,550,7,3,3,0,0,0,3,13,242,491,414,294,463,286,156,2352,54,185,183,133,258,165,92,1077
LGA21010,3,5,5,9,11,0,0,43,0,0,3,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,11,14,15,4,0,50,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,6,5,12,15,14,4,0,56,5,6,12,3,5,0,0,28,0,0,0,0,0,0,0,0,12,12,24,16,21,7,0,92,4,27,19,20,13,3,0,91,29,45,42,23,40,4,0,183,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,34,74,62,43,62,8,0,286,0,12,6,3,0,0,0,16,5,8,5,0,4,0,0,27,8,21,9,3,4,0,0,41,45,89,68,44,62,8,0,322,100,83,30,26,27,9,0,287,0,0,0,0,3,0,0,6,145,174,102,72,89,18,0,613,6,36,25,30,24,11,0,134
LGA21110,7,84,63,52,103,67,29,413,3,14,8,16,18,18,9,82,0,0,0,4,0,0,0,8,0,3,3,0,0,0,0,5,14,98,80,66,126,88,39,518,0,5,0,4,12,4,0,21,0,6,5,3,3,7,0,20,0,11,3,8,15,7,0,39,21,107,84,76,134,100,39,561,7,22,16,13,8,9,10,89,0,0,0,0,0,0,0,3,24,130,98,93,144,106,56,655,65,216,194,175,304,225,134,1314,106,270,218,167,260,181,92,1289,14,8,6,10,8,7,3,58,0,9,3,4,3,4,3,32,189,503,422,351,573,423,242,2696,10,26,14,6,9,9,4,80,4,21,8,10,26,8,17,101,18,50,21,23,29,18,23,179,200,553,438,371,604,439,259,2872,162,226,199,151,241,135,100,1216,3,3,0,3,0,0,0,16,371,783,638,526,851,574,364,4103,76,300,261,224,408,293,167,1734
LGA21180,67,107,68,57,105,67,41,518,23,23,26,22,29,22,10,158,0,4,0,3,0,0,3,17,9,8,7,7,9,3,0,32,103,145,101,91,143,89,58,724,7,17,8,15,6,3,3,59,5,7,11,6,6,0,0,43,16,24,19,20,16,10,5,104,117,168,125,107,158,102,59,827,63,93,61,42,47,29,24,358,12,4,3,0,3,0,0,18,186,263,184,148,203,132,87,1208,176,360,295,185,352,209,143,1722,225,458,321,280,343,201,101,1931,39,14,7,10,14,10,3,101,21,28,22,13,29,15,9,130,470,856,651,488,733,431,257,3889,58,110,76,61,84,57,24,471,68,188,122,68,100,53,30,627,126,297,194,134,186,107,58,1100,594,1154,846,620,921,535,314,4988,1161,1127,559,391,533,280,171,4222,36,30,25,23,15,8,3,138,1791,2311,1430,1030,1465,825,483,9341,247,467,365,246,458,277,191,2236
