LGA_CODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
LGA20110,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,0,0,7,6,0,6,0,7,0,7,0,0,0,5,8,0,15,3,7,0,13,0,0,0,13,9,0,19,3,15,0,18,0,0,0,21,17,0,32,8,28,3,38,0,0,4,38,21,0,58,4,22,4,35,0,0,0,32,17,0,55,13,19,4,35,0,0,0,35,24,0,57,11,13,0,27,3,3,3,30,11,0,39,16,3,0,17,0,0,0,17,13,0,37,5,7,0,11,0,0,0,11,4,0,15,10,3,0,8,0,0,0,8,0,0,8,6,3,0,12,0,0,0,12,3,0,16,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,26,0,0,0,26,10,0,40,4,0
LGA20260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,4,4,6,0,8,0,4,0,4,0,0,0,5,8,0,19,0,7,0,4,3,3,6,12,25,0,36,3,21,0,21,0,3,3,30,27,0,50,18,15,7,36,0,0,0,38,26,0,60,13,12,3,23,0,0,3,25,25,0,52,15,13,3,29,0,0,0,28,13,0,45,16,6,3,26,0,0,0,26,11,0,39,12,6,0,16,0,0,0,16,3,0,20,7,0,0,8,0,0,0,8,4,0,6,11,0,0,16,0,0,0,16,4,0,23,3,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,7,10,3,24,0,0,0,26,12,0,39,3,0
LGA20570,4,0,0,9,5,3,8,17,40,0,57,0,6,0,6,0,0,3,6,16,0,17,4,21,5,26,11,13,24,51,63,0,117,0,37,4,41,16,15,33,75,124,0,196,13,81,11,104,20,43,63,169,221,0,393,32,194,16,240,27,48,79,318,284,3,603,80,182,15,280,13,23,35,319,321,3,641,128,185,9,325,9,15,26,351,235,0,583,154,150,11,319,7,12,20,344,167,0,510,165,97,9,267,7,0,6,269,90,0,367,129,50,8,185,0,3,3,194,68,0,255,115,27,7,147,0,0,0,151,29,0,183,110,35,12,162,0,0,0,161,32,0,189,44,9,0,53,0,0,0,56,9,0,65,16,6,0,19,0,0,0,19,0,0,24,21,3,0,22,0,0,3,29,6,0,38,16,3,0,22,0,0,0,26,5,0,30,141,108,9,252,17,15,34,283,129,16,424,11,14
LGA20660,0,0,0,3,10,3,19,21,67,0,88,4,9,0,14,4,3,11,25,28,0,51,5,27,0,35,10,10,21,50,69,0,117,7,37,0,44,5,12,20,60,80,0,138,8,57,9,79,4,10,15,93,138,0,226,29,92,14,132,11,18,27,157,175,0,330,54,140,11,204,4,16,26,233,191,0,419,89,152,9,253,3,6,10,268,193,0,462,155,154,17,321,6,5,12,338,200,3,542,168,105,8,284,3,4,8,290,153,0,447,180,83,3,265,0,3,3,268,108,0,374,140,64,0,198,3,0,3,204,77,0,277,241,65,8,311,0,3,3,317,95,0,409,96,26,0,128,0,0,0,127,35,0,165,53,9,3,65,0,0,0,69,11,0,82,60,6,4,67,0,0,0,67,5,0,75,52,9,3,62,0,0,0,62,22,0,87,223,111,24,356,7,9,9,371,162,12,539,16,8
LGA20740,0,0,0,0,0,0,0,0,17,0,17,0,3,0,4,3,0,0,11,4,0,14,3,10,0,14,3,0,4,22,22,0,39,0,23,4,27,0,9,13,38,34,0,79,7,33,0,44,6,15,22,61,66,0,127,19,71,7,92,10,10,22,110,76,0,193,13,60,9,86,6,5,12,95,103,0,196,18,52,3,72,0,3,3,76,83,0,162,43,43,4,92,3,3,8,95,71,0,168,19,20,9,51,0,0,0,50,29,0,79,18,19,0,35,0,0,0,40,20,0,51,28,3,3,35,0,0,0,35,3,0,41,19,9,0,28,0,0,0,30,5,0,34,3,0,0,6,0,0,0,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,6,0,0,11,0,3,0,3,0,0,0,3,0,0,5,41,42,0,86,4,0,6,91,55,13,160,5,3
LGA20830,5,3,0,3,0,0,0,10,23,0,28,0,5,0,5,0,5,3,12,11,0,22,0,11,0,14,8,6,12,30,41,0,73,0,13,3,15,3,8,10,29,49,0,80,7,36,0,47,5,12,10,58,66,0,119,7,64,6,84,5,11,17,99,117,0,218,39,70,4,115,3,6,9,127,92,3,224,48,80,8,134,4,0,11,141,79,0,225,65,56,6,124,4,3,8,134,90,3,231,77,36,0,114,0,0,0,116,43,0,160,60,27,14,102,0,0,0,104,23,0,127,40,14,0,50,0,0,0,50,17,0,72,48,12,0,68,0,0,3,71,23,0,86,18,6,0,23,0,0,0,23,3,0,31,6,0,0,8,0,0,0,8,0,0,4,4,0,0,4,0,0,0,3,3,0,7,11,3,0,13,0,0,0,13,0,0,14,53,38,19,112,6,0,6,120,69,3,190,3,3
LGA20910,4,8,0,6,10,4,11,19,84,0,106,4,4,3,10,3,3,4,16,12,0,24,0,21,0,23,3,7,13,31,38,0,70,8,23,0,26,4,3,8,36,38,0,74,6,23,3,34,6,11,11,51,78,0,128,14,75,8,88,8,3,8,100,90,0,195,28,71,5,100,4,0,7,111,92,0,203,55,100,3,158,0,3,4,162,94,0,259,72,84,5,163,5,5,12,169,120,0,293,81,60,6,146,3,7,12,151,84,0,238,107,49,6,155,0,0,3,157,62,0,221,85,37,3,124,0,0,0,131,40,0,171,176,56,5,244,3,0,3,245,63,0,313,51,15,3,73,0,0,0,72,29,0,107,25,14,3,40,0,0,0,40,12,0,57,101,26,3,132,3,0,3,134,11,0,147,84,19,10,113,0,0,0,113,31,0,144,151,87,9,248,4,0,9,257,98,3,364,15,3
LGA21010,4,0,0,4,0,0,0,4,3,0,3,0,0,0,3,0,0,0,3,7,0,7,0,3,0,3,3,3,5,12,10,0,20,0,4,0,11,3,0,5,15,20,0,37,0,16,3,17,3,3,3,26,33,0,57,3,24,0,32,3,0,5,35,37,0,77,16,31,0,39,3,3,8,47,44,0,93,10,17,3,37,0,0,0,35,37,0,70,23,19,0,38,0,0,0,44,18,0,64,14,3,0,22,0,0,0,22,8,0,34,16,7,0,20,0,0,0,20,4,0,22,10,0,0,11,0,0,0,11,6,0,14,10,9,0,19,0,0,0,19,5,0,18,6,0,0,10,0,0,0,10,3,0,12,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,4,0,0,8,3,0,0,3,0,0,0,3,3,0,6,18,13,3,35,0,0,3,36,25,0,55,0,0
LGA21110,10,19,5,31,10,14,25,58,275,0,329,3,31,3,38,3,8,7,47,56,0,102,15,34,0,51,3,9,16,65,69,0,133,14,34,3,55,0,6,4,59,69,0,124,18,50,3,74,9,12,16,88,88,0,176,41,91,3,132,11,8,18,145,123,0,269,44,86,10,138,14,7,20,157,108,0,270,72,128,9,209,7,5,7,216,152,3,373,132,137,9,277,3,14,16,292,145,0,440,131,102,3,242,5,3,7,250,115,0,365,134,89,3,226,3,4,6,231,87,0,321,138,63,5,208,4,3,6,214,70,0,283,308,83,16,405,8,3,12,418,115,0,532,113,29,8,151,3,0,5,154,64,0,225,49,13,0,67,0,0,0,68,25,0,92,165,37,4,209,5,0,4,210,34,0,241,133,34,3,179,0,0,0,174,50,0,227,182,96,16,304,16,5,17,322,177,16,504,8,10
LGA21180,0,8,0,8,40,34,67,79,301,0,386,3,20,5,29,12,6,20,52,77,4,126,10,81,8,98,48,68,117,213,273,3,488,10,87,9,111,32,33,68,176,286,0,466,17,132,12,165,41,52,101,263,384,6,653,99,195,19,315,30,48,78,397,450,3,847,152,213,27,391,33,34,63,450,468,9,923,259,214,22,495,34,35,66,562,490,0,1055,334,184,29,546,22,18,44,591,520,0,1115,292,143,16,459,21,22,40,500,326,3,829,236,99,4,340,17,12,26,363,214,7,583,179,61,4,239,14,10,17,263,171,3,435,237,73,17,328,13,9,22,356,172,0,528,132,35,3,174,6,6,11,184,92,0,268,65,14,0,77,0,0,0,81,35,0,116,37,8,4,43,0,3,3,48,25,0,75,48,8,0,58,3,0,3,62,28,0,93,197,133,42,376,36,27,60,437,422,31,893,24,29
