LGA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA20110,0,7,0,35,6,0,0,3,0,3,0,3,0,9,95,117,3,3,0,3,0,0,0,0,0,17,15,46,254,97,23,214,22,110,21,145,30,619,116,1650
LGA20260,0,6,0,31,3,0,0,0,0,4,0,7,0,14,60,86,8,0,0,3,0,0,0,0,0,11,10,38,247,62,16,180,11,118,21,113,22,496,91,1362
LGA20570,5,29,3,344,26,7,3,17,0,18,4,16,8,69,415,575,3,3,4,9,3,6,4,7,3,118,56,215,1867,436,81,1450,127,898,72,740,112,3508,522,9821
LGA20660,3,65,0,766,41,4,3,23,5,22,3,15,3,81,494,684,22,0,0,7,3,7,0,6,0,107,52,203,2598,485,75,1417,160,1118,70,851,90,4035,605,11497
LGA20740,0,23,0,95,4,3,3,0,0,6,0,8,0,36,205,272,14,5,0,3,0,7,0,3,0,55,43,137,447,254,47,476,53,273,35,369,59,1947,286,4239
LGA20830,4,15,0,201,17,6,0,9,3,17,0,9,3,41,232,334,12,6,8,5,0,9,0,4,0,60,37,140,949,277,54,742,81,520,47,420,66,2093,315,5577
LGA20910,7,228,0,1611,15,3,3,9,3,19,0,9,7,51,511,634,17,3,8,12,0,8,0,4,3,76,47,176,1880,460,61,1038,103,884,56,849,84,3052,587,9061
LGA21010,0,4,0,42,3,0,3,3,0,9,0,4,0,18,105,143,5,0,0,4,0,4,0,0,0,27,7,49,290,92,21,261,21,137,16,135,21,751,126,1861
LGA21110,27,362,8,2416,29,11,3,14,3,21,3,15,3,91,817,1023,28,6,6,15,3,6,0,12,0,97,65,237,3606,741,73,1764,173,1443,80,1279,150,4485,931,14723
LGA21180,5,20,5,262,20,9,3,27,13,47,5,30,11,138,521,815,17,4,10,9,3,20,0,13,9,213,182,478,2493,529,105,1519,163,1801,79,990,173,5818,816,14490
