LGA_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
LGA25900,0,50,0,50,..,308,6,317,3,317,..,573,21,595,3,598,..,95,7,100,3,104,..,65,10,76,0,76,..,99,15,119,3,124,..,131,16,150,0,152,..,1374,161,1539,27,1566,..,8621,1050,9666,89,9754,..,103,9,111,4966,5072,34474,8719,1059,9775,5056,49307,35484,..,..,..,..,35484,..,40,0,40,0,37,..,143,17,165,3,165,..,8,0,8,0,8,..,384,51,438,0,438,..,1082,210,1295,15,1310,..,75,16,95,0,96,..,1546,280,1822,16,1844,..,89,11,102,0,101,..,137,0,136,0,136,..,504,14,517,6,524,..,349,9,355,7,363,..,1060,320,1382,7,1387,..,41,0,40,0,40,..,305,14,316,3,316,..,39,4,47,0,47,..,42,0,47,0,47,..,26,0,26,0,26,..,216,15,233,3,236,..,678,40,714,7,722,..,666,47,711,9,717,..,179,37,212,3,217,..,108,17,124
LGA25990,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,3,15,0,15,..,63,7,74,0,74,..,8,0,10,661,668,3087,77,7,86,661,3831,3035,..,..,..,..,3035,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,3,0,7,0,7,..,3,0,3,0,3,..,8,0,6,0,6,..,9,0,9,0,9,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,3,0,3,..,6,0,6,0,6,..,0,0,0
LGA26080,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,23,9,33,0,33,..,3,0,3,108,110,1181,25,9,34,108,1325,1356,..,..,..,..,1356,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,3,0,3,..,0,3,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0
LGA26170,0,0,0,0,..,11,0,11,0,11,..,11,3,17,0,17,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,10,3,13,0,13,..,66,19,84,3,87,..,389,58,448,5,449,..,30,4,38,1037,1075,12534,423,59,483,1041,14059,12979,..,..,..,..,12979,..,6,0,6,0,6,..,0,0,0,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,16,3,17,0,17,..,0,0,0,0,0,..,16,5,26,0,26,..,5,0,5,0,5,..,46,0,48,0,48,..,6,0,12,0,12,..,49,3,52,0,52,..,12,3,16,0,16,..,0,0,0,0,0,..,3,5,4,0,4,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,15,5,15,0,15,..,112,20,130,0,134,..,8,0,7,0,7,..,5,0,7
LGA26260,0,3,0,3,..,18,0,18,0,19,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,3,4,0,4,..,40,13,52,0,52,..,177,18,196,0,195,..,19,0,19,426,444,7121,197,18,217,425,7759,7479,..,..,..,..,7479,..,15,0,15,0,15,..,9,0,9,0,9,..,4,0,4,0,4,..,4,4,6,0,6,..,16,0,16,0,16,..,0,0,0,0,0,..,20,6,25,0,25,..,3,0,3,0,3,..,14,0,14,0,14,..,7,0,7,0,7,..,18,0,18,0,18,..,3,0,3,0,3,..,3,0,3,0,3,..,6,0,6,0,6,..,4,3,4,0,4,..,0,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,14,0,21,0,21,..,7,0,7,0,7,..,3,0,3,0,3,..,4,0,4
LGA26350,0,35,0,35,..,409,14,421,0,425,..,434,28,465,4,469,..,104,0,104,0,104,..,96,27,123,3,122,..,107,15,127,0,123,..,223,34,254,0,254,..,958,108,1061,26,1090,..,9526,1336,10860,106,10965,..,108,7,119,3571,3686,34713,9638,1342,10978,3679,49371,37507,..,..,..,..,37507,..,52,0,49,0,49,..,173,21,192,3,198,..,0,0,0,0,0,..,740,125,868,4,867,..,2468,523,2992,12,3004,..,169,43,212,0,211,..,3381,685,4068,21,4083,..,62,7,70,0,72,..,79,0,79,0,85,..,420,20,438,4,444,..,235,0,235,3,240,..,1346,495,1842,14,1850,..,48,3,45,0,45,..,385,17,398,6,404,..,71,0,72,0,72,..,143,3,147,0,147,..,32,0,31,0,31,..,331,21,355,0,352,..,1014,39,1051,7,1062,..,559,50,612,8,619,..,229,35,266,0,263,..,148,27,173
LGA26430,0,3,0,3,..,11,0,11,0,11,..,3,0,3,3,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,24,0,24,0,27,..,142,11,155,3,158,..,9,0,11,389,404,4512,155,13,162,393,5074,4594,..,..,..,..,4594,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,13,8,19,0,19,..,0,3,3,0,3,..,15,10,27,0,27,..,0,0,0,0,0,..,4,0,4,0,4,..,10,0,8,0,12,..,13,0,13,0,13,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,7,0,7,..,13,4,17,0,17,..,4,0,4,0,4,..,5,3,4
LGA26490,0,0,0,0,..,30,0,30,0,30,..,26,0,27,0,27,..,0,0,0,0,0,..,0,0,3,0,3,..,3,0,3,0,3,..,4,0,10,0,10,..,93,19,114,3,112,..,505,46,550,9,559,..,20,0,20,827,848,13175,523,46,575,836,14582,13395,..,..,..,..,13395,..,15,0,15,0,11,..,10,0,6,0,7,..,4,0,4,0,4,..,9,0,8,0,8,..,9,0,16,0,16,..,0,0,0,0,0,..,21,3,20,0,20,..,15,3,15,0,15,..,23,3,29,0,29,..,42,0,43,0,43,..,66,5,64,5,71,..,35,3,42,0,42,..,0,0,0,0,0,..,8,0,8,0,8,..,7,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,4,0,5,..,26,3,26,0,26,..,70,6,72,0,76,..,19,0,17,0,17,..,5,0,5
LGA26610,12,30,0,29,..,70,21,96,0,94,..,4,0,3,0,3,..,4,15,23,0,29,..,17,6,22,0,22,..,4,0,4,0,4,..,53,54,98,3,104,..,267,119,385,12,400,..,884,325,1200,27,1229,..,41,10,51,1264,1312,7822,925,330,1258,1287,10368,7892,..,..,..,..,7892,..,17,0,17,0,17,..,10,3,13,0,13,..,0,0,0,0,0,..,23,8,37,0,37,..,56,44,101,0,101,..,0,0,4,0,4,..,83,54,137,0,137,..,0,0,0,0,0,..,11,0,11,0,11,..,17,0,17,0,17,..,10,0,10,0,10,..,29,7,40,0,37,..,4,0,4,0,4,..,11,0,11,0,11,..,54,16,68,0,74,..,8,4,12,0,12,..,5,0,5,0,5,..,4,0,4,0,4,..,90,21,109,0,109,..,158,32,190,6,196,..,0,3,3,0,3,..,14,0,14
LGA26670,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,4,22,0,22,..,64,10,73,3,75,..,3,0,5,223,230,2773,69,10,76,226,3077,2622,..,..,..,..,2622,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,13,0,13,0,18,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0
LGA26700,0,3,0,3,..,29,3,27,0,30,..,8,3,14,0,14,..,5,0,9,0,9,..,6,4,11,3,9,..,3,4,3,0,3,..,0,0,0,0,0,..,42,11,53,0,52,..,541,77,618,8,625,..,29,0,31,941,968,12051,568,80,649,948,13651,12865,..,..,..,..,12865,..,8,0,8,0,8,..,9,3,8,0,8,..,0,0,0,0,0,..,10,3,9,0,14,..,19,7,27,0,27,..,0,0,3,0,3,..,28,12,39,3,42,..,6,3,5,0,5,..,15,0,15,0,15,..,10,5,12,0,12,..,25,0,25,0,25,..,15,3,20,0,20,..,0,0,0,0,0,..,3,0,5,0,5,..,18,0,15,0,15,..,12,0,12,0,12,..,4,0,4,0,4,..,13,0,13,0,13,..,56,3,57,0,57,..,227,52,283,4,291,..,6,0,6,0,6,..,0,0,0
LGA26730,0,6,0,6,..,31,3,37,0,37,..,6,3,9,0,9,..,8,0,8,0,8,..,14,7,16,0,16,..,3,0,5,0,5,..,8,4,10,0,10,..,86,18,101,0,105,..,494,229,717,7,730,..,42,4,48,1087,1133,14294,539,236,772,1092,16157,15525,..,..,..,..,15525,..,8,0,8,0,8,..,26,6,35,3,33,..,3,0,3,0,0,..,18,3,23,0,23,..,68,69,136,0,140,..,5,8,17,0,17,..,93,82,170,0,176,..,0,0,4,0,4,..,15,0,15,0,15,..,26,0,24,0,24,..,14,0,20,0,20,..,13,0,11,0,11,..,0,0,0,0,0,..,18,4,18,0,19,..,8,3,6,0,6,..,28,3,36,0,36,..,0,0,0,0,0,..,7,0,7,0,8,..,65,7,74,4,76,..,14,0,15,0,15,..,26,3,27,0,27,..,10,12,23
LGA26810,0,8,0,8,..,69,9,76,0,76,..,12,3,15,0,15,..,14,7,25,0,25,..,12,0,11,0,14,..,3,0,4,0,4,..,17,9,28,3,31,..,114,14,131,0,131,..,661,94,747,13,765,..,45,0,45,2379,2426,18503,705,94,799,2393,21695,18855,..,..,..,..,18855,..,19,0,19,0,19,..,7,0,10,0,10,..,6,0,6,0,4,..,13,0,16,0,16,..,34,29,67,0,62,..,0,3,6,0,6,..,50,33,86,0,87,..,17,0,17,0,17,..,52,3,54,0,54,..,29,5,30,0,30,..,38,0,38,0,38,..,15,5,23,0,23,..,3,0,3,0,3,..,21,0,21,0,21,..,30,3,37,0,37,..,14,0,15,0,15,..,16,0,18,0,18,..,5,0,8,0,8,..,89,9,99,0,99,..,50,9,53,0,54,..,11,3,12,0,12,..,4,0,4
LGA26890,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,14,3,18,..,34,0,34,3,40,..,7,0,7,103,103,1825,37,0,38,99,1966,1784,..,..,..,..,1784,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,10,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
LGA26980,3,89,0,92,..,760,37,796,8,806,..,322,40,355,5,360,..,340,3,341,3,348,..,137,34,172,0,172,..,58,6,58,0,58,..,770,181,955,11,963,..,1436,303,1741,56,1794,..,22640,5287,27927,213,28137,..,142,44,187,2821,3012,46903,22781,5330,28109,3039,78051,49339,..,..,..,..,49339,..,86,0,90,0,90,..,217,39,256,3,259,..,3,0,7,0,7,..,3380,1170,4555,18,4565,..,7990,3317,11308,56,11362,..,558,268,826,0,829,..,11929,4758,16686,68,16755,..,114,16,130,3,137,..,111,0,115,0,114,..,250,11,261,3,260,..,342,8,352,0,350,..,1752,398,2150,13,2165,..,124,17,140,0,140,..,779,48,823,4,831,..,368,48,416,0,418,..,620,16,636,3,642,..,149,6,155,0,155,..,485,49,526,0,530,..,2519,172,2693,13,2711,..,1018,176,1196,12,1211,..,275,35,309,0,312,..,464,192,652
LGA27070,13,145,0,145,..,1110,54,1168,9,1174,..,376,39,420,8,427,..,1005,116,1121,21,1144,..,90,17,103,3,108,..,736,129,866,10,871,..,1548,644,2187,19,2208,..,3704,717,4417,101,4521,..,35918,6427,42340,556,42892,..,254,103,357,4346,4701,49942,36171,6525,42699,4900,97541,51054,..,..,..,..,51054,..,73,0,73,0,73,..,3857,978,4830,52,4885,..,16,0,16,0,16,..,546,253,797,9,803,..,1608,722,2325,11,2333,..,253,116,364,3,368,..,2405,1082,3491,22,3514,..,370,73,442,3,449,..,40,0,40,0,41,..,145,8,150,0,145,..,131,3,134,0,134,..,3020,746,3764,43,3815,..,159,17,183,0,185,..,1538,119,1658,19,1675,..,2445,381,2824,36,2866,..,895,75,970,4,974,..,454,69,520,5,530,..,730,77,806,8,814,..,6214,744,6959,80,7037,..,4285,933,5220,81,5297,..,82,16,94,0,94,..,86,35,123
LGA27170,0,11,0,11,..,77,5,80,0,80,..,21,3,21,0,21,..,7,0,7,0,7,..,7,0,9,0,9,..,0,0,0,0,0,..,8,0,6,0,6,..,213,37,253,14,266,..,975,128,1104,27,1125,..,32,8,38,1170,1207,16964,1008,127,1140,1195,19296,17614,..,..,..,..,17614,..,20,0,19,0,19,..,23,0,28,0,28,..,3,0,3,0,6,..,12,3,19,0,19,..,35,20,56,0,56,..,4,0,4,0,4,..,56,20,74,0,74,..,46,13,57,0,58,..,25,0,25,0,25,..,36,0,36,0,36,..,88,4,94,0,96,..,21,3,21,0,21,..,4,0,8,0,7,..,32,3,38,0,38,..,51,4,57,0,58,..,23,0,26,0,26,..,14,0,12,0,18,..,87,35,122,3,123,..,212,51,262,4,269,..,51,6,58,3,62,..,12,0,15,0,15,..,5,3,7
LGA27260,9,350,3,351,..,3150,102,3254,31,3283,..,819,76,896,21,918,..,924,59,982,12,995,..,156,32,182,3,185,..,162,21,183,0,184,..,781,215,994,7,1001,..,7568,1835,9398,178,9583,..,38211,5438,43642,499,44139,..,290,111,401,6457,6857,57803,38500,5548,44048,6954,108806,57528,..,..,..,..,57528,..,200,3,202,0,202,..,1783,295,2078,25,2106,..,3,0,3,0,3,..,887,265,1149,9,1157,..,2744,1176,3920,19,3938,..,186,78,266,4,270,..,3819,1517,5336,26,5360,..,280,40,328,6,326,..,63,4,72,3,71,..,299,16,315,5,323,..,183,4,190,0,193,..,587,79,665,11,675,..,1023,94,1123,3,1125,..,3554,234,3785,23,3812,..,3018,470,3490,28,3518,..,714,47,764,11,777,..,1513,224,1736,14,1749,..,1938,237,2171,22,2193,..,11751,1307,13064,102,13163,..,1298,223,1525,12,1539,..,184,27,212,0,212,..,303,129,435
LGA27350,4,52,0,56,..,202,12,211,0,218,..,387,24,412,3,419,..,49,0,49,0,49,..,88,15,104,0,104,..,92,23,111,3,115,..,993,431,1421,11,1433,..,1015,163,1176,31,1209,..,7027,1644,8676,110,8785,..,88,19,104,3738,3846,29411,7114,1669,8780,3848,42039,30160,..,..,..,..,30160,..,12,0,12,0,12,..,276,84,358,4,364,..,0,0,0,0,0,..,422,253,675,6,682,..,702,363,1069,11,1080,..,153,155,306,3,307,..,1274,776,2046,20,2069,..,82,12,96,0,96,..,83,0,83,0,83,..,304,15,319,4,325,..,209,3,214,5,213,..,837,382,1218,4,1222,..,19,0,19,0,19,..,88,0,88,0,89,..,24,5,25,0,25,..,30,0,29,0,29,..,28,0,26,0,26,..,62,0,64,0,64,..,247,9,252,3,251,..,666,157,814,14,831,..,144,28,175,0,173,..,66,18,82
LGA27450,0,22,0,22,..,157,5,161,0,162,..,144,14,151,0,155,..,23,0,23,0,23,..,42,7,56,0,56,..,18,0,21,0,21,..,62,10,73,0,72,..,819,340,1155,24,1184,..,4301,681,4984,63,5041,..,173,23,197,3422,3619,65158,4473,711,5181,3484,73819,66396,..,..,..,..,66396,..,93,0,97,0,97,..,89,12,100,4,98,..,28,0,30,0,36,..,100,28,135,0,133,..,347,111,462,3,469,..,26,3,27,0,27,..,476,144,620,7,629,..,48,16,66,3,64,..,409,11,421,3,424,..,163,0,169,3,170,..,466,11,474,3,477,..,160,23,180,0,178,..,3,0,3,0,3,..,98,9,99,0,99,..,67,9,74,4,76,..,68,3,68,0,70,..,7,0,9,0,13,..,51,13,66,0,65,..,296,30,325,9,328,..,543,103,650,9,662,..,96,11,108,0,109,..,18,10,29
LGA27630,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,15,0,15,..,63,10,75,0,77,..,12,3,14,254,263,3030,74,9,84,251,3366,2916,..,..,..,..,2916,..,0,0,0,0,0,..,3,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,3,5,0,5,..,0,0,0,0,0,..,3,3,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,6,0,6,..,7,0,7,0,7,..,0,0,0,0,0,..,3,0,3,0,5,..,5,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,6,0,12,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0
LGA29399,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,10,0,10,..,36,12,47,0,47,..,0,0,0,120,119,305,40,12,51,120,473,231,..,..,..,..,231,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,23,7,30,0,30,..,0,0,0,0,0,..,22,8,29,0,29,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,3,3,0,3,..,3,0,3
LGA29499,0,5,0,5,..,20,0,20,0,20,..,31,3,28,0,28,..,9,0,10,0,10,..,3,0,3,0,3,..,20,3,24,0,21,..,27,11,39,0,39,..,115,30,151,5,154,..,532,158,687,15,698,..,21,4,28,1236,1261,2372,555,162,714,1245,4331,1835,..,..,..,..,1835,..,0,0,0,0,0,..,22,21,41,0,41,..,0,0,0,0,0,..,27,9,36,0,36,..,84,37,124,0,124,..,8,9,19,0,19,..,124,57,177,0,177,..,0,0,0,0,0,..,3,0,3,0,3,..,14,0,14,0,14,..,13,0,13,0,18,..,15,3,18,0,18,..,6,0,6,0,6,..,4,3,4,0,4,..,9,0,12,0,12,..,3,0,3,0,3,..,3,0,7,0,7,..,6,0,6,0,6,..,34,5,44,0,44,..,24,7,28,0,30,..,4,0,5,0,5,..,8,6,17
LGA29799,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,3,3,18,7,0,7,3,28,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
