LGA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA20110,19,37,59,31,17,51,24,84,103,25,168,193,127,359,485,128,202,327,348,151,503,278,145,428,318,135,451,323,59,382,227,52,280,203,15,221,319,31,352,193,3,197,98,0,100,57,20,77,94,3,98,348,25,372,57,99,153,3218,1613,4832
LGA20260,19,26,44,14,16,32,30,87,122,13,138,153,125,302,426,107,168,275,316,149,468,264,142,405,287,117,408,273,63,333,159,54,209,169,31,200,268,40,306,168,6,175,83,3,88,62,21,83,79,9,83,308,15,320,59,118,174,2796,1499,4298
LGA20570,182,287,464,102,150,254,184,742,925,225,1178,1410,791,2560,3357,908,1305,2210,2318,1168,3480,1864,1272,3137,2277,1104,3382,2270,776,3044,1838,556,2396,1705,363,2071,3119,413,3535,1866,95,1958,1083,28,1106,621,181,800,1269,20,1286,2201,336,2536,437,666,1109,25249,13192,38449
LGA20660,293,349,644,143,145,289,203,576,776,176,920,1102,625,1748,2379,618,1037,1661,1762,962,2720,1614,974,2587,2259,1080,3335,2120,819,2933,1899,776,2675,2000,535,2536,4286,811,5095,3294,94,3391,2257,44,2295,1628,311,1939,3784,46,3825,3001,251,3253,465,526,990,32420,12007,44431
LGA20740,76,111,189,54,67,121,83,302,382,101,472,571,401,1075,1480,381,558,943,1038,447,1489,744,394,1142,971,307,1283,815,197,1010,548,132,684,525,76,601,721,92,814,384,10,398,217,3,214,137,56,190,237,3,245,837,48,886,202,332,527,8468,4699,13175
LGA20830,125,104,231,81,75,155,113,280,394,101,438,538,419,987,1401,382,497,880,1156,435,1598,948,478,1426,1225,414,1633,1119,245,1365,883,195,1078,908,121,1030,1470,153,1621,938,16,957,486,5,496,304,73,383,627,9,638,1202,57,1264,244,271,515,12743,4856,17605
LGA20910,248,259,506,102,139,241,120,371,493,107,653,758,363,1190,1549,373,868,1244,840,679,1514,821,763,1582,1222,765,1986,1170,606,1777,993,525,1524,1072,395,1472,2522,754,3282,2062,38,2101,1564,34,1596,2029,592,2623,6896,52,6941,2865,158,3018,369,457,833,25736,9300,35037
LGA21010,25,34,61,29,31,65,30,107,131,34,220,254,170,423,591,127,221,348,472,185,662,332,190,516,361,141,496,330,88,419,245,65,308,227,34,257,340,41,374,212,3,213,103,0,105,51,20,63,110,0,110,355,26,388,84,133,216,3635,1954,5594
LGA21110,726,800,1527,247,266,517,303,713,1020,210,871,1081,522,1553,2077,651,1365,2022,1151,1128,2284,1368,1308,2677,1944,1551,3488,2020,1356,3377,1662,1226,2886,1874,961,2834,4213,1680,5895,3494,280,3770,2634,159,2794,2814,1062,3874,11229,182,11405,4646,594,5238,523,556,1081,42244,17609,59849
LGA21180,774,548,1323,353,217,571,692,937,1623,501,1263,1769,1830,2375,4203,1648,1013,2662,3882,995,4873,3384,1190,4577,4378,1157,5539,4117,792,4911,3334,567,3900,3177,392,3572,5515,491,6004,3601,132,3733,2032,78,2108,1245,124,1372,1998,54,2054,4640,369,5014,1060,695,1747,48162,13402,61562
LGA21270,39,28,65,24,15,35,16,64,75,18,92,109,93,239,329,59,91,147,208,75,279,149,82,235,156,55,206,132,26,153,97,25,126,79,17,97,145,13,163,76,3,74,33,0,33,8,12,24,25,0,25,159,13,169,39,69,106,1547,911,2455
LGA21370,106,115,221,62,46,110,75,253,330,81,420,503,352,944,1293,320,424,743,1042,365,1404,732,394,1120,950,360,1310,975,170,1148,638,120,757,677,91,777,1085,104,1191,582,17,595,321,8,328,144,39,186,281,8,287,959,46,1006,224,319,537,9603,4248,13855
LGA21450,192,180,373,84,67,152,152,299,453,161,452,610,522,1058,1582,645,570,1216,1531,516,2049,1431,706,2137,1992,735,2721,2244,442,2682,1850,354,2207,2026,199,2225,3570,286,3853,2308,39,2352,1218,19,1240,728,60,790,1239,12,1251,2258,128,2388,382,348,730,24530,6481,31009
LGA21610,675,521,1201,328,172,499,544,744,1294,474,1135,1601,1588,2601,4185,1932,1289,3223,4542,1259,5798,4448,1720,6162,6305,1719,8024,6726,1200,7927,5997,839,6836,5891,570,6460,11418,670,12088,7024,138,7165,3845,72,3912,2317,210,2528,3843,72,3912,6953,388,7341,1138,833,1979,75980,16143,92127
LGA21670,42,43,82,21,33,56,39,158,196,43,274,319,211,596,804,188,209,400,535,147,686,358,161,518,388,107,497,308,58,366,186,44,224,169,17,183,247,30,278,121,3,123,57,0,56,24,15,34,42,0,44,298,24,318,99,162,262,3362,2081,5445
LGA21750,47,63,112,34,62,97,53,162,217,54,263,316,179,577,764,194,293,489,478,250,731,421,278,699,560,228,787,517,128,644,350,81,431,396,46,442,630,69,702,311,18,331,175,4,179,69,35,104,143,10,148,475,53,526,107,175,286,5216,2788,8005
LGA21830,65,42,113,42,33,84,41,126,166,37,195,234,180,418,593,131,209,340,393,141,529,326,179,510,460,163,625,362,83,449,241,66,302,253,33,284,423,45,473,248,10,257,117,0,117,64,36,98,176,0,176,420,16,438,112,144,250,4092,1936,6022
LGA21890,402,572,975,223,291,514,314,1088,1402,230,1547,1773,1027,2595,3624,902,1326,2230,2394,1276,3673,1925,1529,3458,2491,1848,4340,2536,1459,4000,2098,1228,3327,2110,929,3038,4273,1313,5590,3250,345,3588,2149,185,2338,1592,423,2013,3479,172,3653,3015,881,3897,563,743,1300,34989,19748,54736
LGA22110,112,147,254,84,108,196,115,371,485,120,638,761,533,1401,1937,460,655,1115,1499,487,1985,1064,501,1563,1307,381,1687,1181,224,1405,760,156,919,666,87,750,1075,95,1162,566,21,590,269,3,269,163,60,226,279,9,287,1190,58,1255,283,426,711,11717,5845,17564
LGA22170,265,394,662,142,171,310,231,716,949,244,1187,1432,835,2665,3503,1031,1402,2429,2350,1206,3557,2202,1550,3756,2916,1519,4435,2958,1031,3991,2572,696,3268,2433,462,2898,4894,528,5426,3201,93,3291,1757,48,1805,1063,161,1228,1714,20,1733,3327,303,3627,608,800,1403,34757,14930,49687
LGA22250,30,44,73,30,28,59,38,81,115,31,172,200,134,352,479,100,184,283,336,120,460,275,110,379,308,108,417,293,40,328,147,35,184,197,20,219,248,22,268,120,0,115,57,0,57,31,14,38,64,0,67,268,17,284,74,114,184,2761,1462,4219
LGA22310,446,783,1229,190,284,470,218,733,949,184,924,1109,603,2010,2617,631,1346,1978,1584,1161,2749,1472,1368,2838,2085,1548,3630,2118,1232,3347,1790,1043,2832,1981,829,2812,4160,1239,5402,3338,206,3544,2574,121,2693,2218,581,2799,6198,113,6312,3372,480,3852,512,630,1141,35674,16623,52296
LGA22410,29,70,100,32,48,87,58,188,237,51,257,305,181,594,777,181,249,431,530,198,722,401,204,603,498,192,698,436,109,547,321,76,396,317,56,374,547,88,637,359,11,370,174,0,181,108,36,141,165,0,172,510,21,536,134,197,329,5038,2608,7644
LGA22490,35,41,78,23,14,43,31,106,138,28,120,147,156,251,410,163,113,276,429,108,537,341,138,477,480,139,622,542,78,616,441,65,501,437,41,479,801,62,861,546,3,550,257,3,258,158,24,182,256,0,256,592,15,605,92,56,148,5817,1362,7184
LGA22620,165,243,410,142,173,316,200,725,924,221,1200,1415,855,2434,3288,954,1337,2287,2538,1206,3741,2157,1300,3451,2738,1119,3859,2698,803,3505,2050,535,2579,1932,383,2309,3399,461,3862,2148,73,2219,1182,37,1225,680,170,851,1108,22,1134,2485,293,2774,478,727,1203,28125,13234,41361
LGA22670,649,468,1115,234,173,412,470,784,1256,356,1261,1621,1394,2278,3675,1385,1046,2432,3203,1026,4223,2841,1077,3915,3668,1040,4712,3283,666,3949,2663,473,3138,2411,308,2718,4133,378,4510,2422,133,2558,1226,81,1310,779,116,893,1121,108,1230,3269,401,3673,605,621,1227,36124,12435,48563
LGA22750,474,635,1102,297,379,673,467,1508,1974,452,2465,2916,1881,5132,7008,1895,2767,4657,4874,2207,7085,4000,2451,6452,5180,2353,7528,5038,1599,6635,3981,1226,5212,4079,835,4917,7610,1049,8654,4907,168,5072,2901,84,2987,1717,362,2083,3438,78,3510,5436,564,5999,1055,1471,2528,59672,27321,86995
LGA22830,162,143,311,82,89,168,126,392,522,140,681,817,551,1247,1800,579,676,1262,1423,584,2006,1123,691,1815,1517,580,2091,1430,373,1797,1083,275,1360,1079,158,1239,1885,205,2091,1176,54,1225,566,21,589,313,76,392,622,18,644,1528,111,1636,353,464,814,15752,6836,22583
LGA22910,26,54,89,26,23,55,34,142,172,19,222,244,137,504,640,150,198,347,429,175,597,370,213,578,440,161,600,375,91,465,262,63,322,221,40,257,405,48,458,242,7,253,95,6,100,81,28,108,140,3,146,380,29,408,70,120,192,3912,2119,6029
LGA22980,24,16,35,12,11,29,14,56,70,11,113,121,57,216,274,56,76,134,193,74,265,127,71,204,155,42,199,150,29,180,75,20,98,98,17,116,144,17,159,82,3,84,35,0,35,21,16,31,33,0,37,146,8,149,31,51,80,1480,836,2320
LGA23110,244,277,522,126,135,260,197,481,680,133,772,903,589,1452,2046,538,636,1178,1388,572,1954,1245,751,2001,1544,881,2426,1563,607,2171,1381,543,1924,1387,415,1793,2839,600,3439,2134,88,2222,1583,50,1634,1187,258,1447,2644,59,2707,2161,213,2377,388,439,820,23279,9226,32508
LGA23190,41,48,87,24,40,63,38,141,178,43,268,308,168,533,708,173,292,467,433,216,649,428,259,684,529,196,723,529,137,670,377,100,472,374,62,434,600,68,666,333,12,348,176,7,180,79,27,109,182,6,189,502,32,531,84,170,255,5110,2612,7721
LGA23270,594,393,993,277,169,450,498,688,1192,426,974,1402,1568,1821,3386,1651,860,2510,3496,848,4344,3348,1148,4493,4350,1212,5558,4242,796,5042,3501,559,4061,3400,380,3777,6273,424,6699,3856,69,3928,2228,34,2267,1442,106,1552,2184,31,2217,4576,242,4819,867,581,1449,48787,11338,60129
LGA23350,19,37,54,21,22,51,33,95,124,27,169,194,114,305,418,112,162,274,379,129,506,290,153,447,386,144,525,397,111,504,275,74,352,295,51,341,556,31,587,365,0,367,198,0,194,112,17,126,175,3,182,436,32,467,75,100,177,4262,1635,5897
LGA23430,366,430,793,194,228,424,274,732,1001,236,1241,1477,908,2572,3482,798,1479,2283,2319,1242,3565,2129,1406,3538,2778,1527,4304,2891,1112,4001,2362,943,3305,2558,644,3198,5367,882,6249,4132,133,4261,2748,76,2827,1908,311,2223,3733,50,3789,3720,287,4009,586,723,1305,40014,16026,56036
LGA23670,347,376,726,162,155,321,252,521,769,195,914,1107,824,2034,2861,981,1080,2063,2475,1035,3509,2338,1203,3539,3208,1196,4401,3252,835,4090,2818,593,3417,2862,466,3335,5948,577,6522,4193,92,4286,2531,53,2585,1671,175,1840,3040,38,3080,3831,243,4075,594,551,1142,41525,12126,53657
LGA23810,146,248,395,95,160,260,183,706,891,212,1062,1279,766,1895,2662,809,890,1697,1849,767,2622,1355,766,2119,1614,695,2306,1499,456,1954,1141,349,1490,1166,274,1442,2067,343,2410,1304,41,1350,789,26,815,517,149,665,922,17,943,1805,121,1932,400,597,995,18636,9577,28211
LGA23940,31,37,65,25,24,54,18,87,100,15,128,148,98,318,422,68,89,162,249,68,321,173,103,270,205,60,268,168,31,197,123,20,146,110,11,123,146,12,156,74,0,74,35,0,35,16,7,19,44,4,43,215,10,223,47,88,134,1862,1108,2964
LGA24130,84,96,186,50,64,110,57,177,235,73,271,345,255,604,862,231,307,539,673,261,938,631,294,926,922,295,1216,890,207,1098,809,183,996,778,123,899,1607,193,1800,1171,14,1184,775,7,780,610,90,700,1179,14,1194,1310,54,1360,180,179,360,12279,3451,15728
LGA24210,554,442,1001,250,164,414,248,429,671,199,619,813,759,1263,2027,667,800,1467,1834,648,2477,1680,662,2340,2161,692,2857,2106,484,2588,1760,435,2191,1841,327,2174,3429,498,3920,2608,56,2667,1962,33,2000,1621,254,1878,4283,50,4337,3292,158,3454,485,321,801,31750,8325,40074
LGA24250,26,30,51,13,18,36,18,56,73,20,86,103,77,231,312,74,130,201,210,90,304,155,104,259,219,101,323,207,52,258,141,32,171,148,21,168,204,39,242,141,6,146,66,0,70,33,18,55,66,0,69,253,10,262,40,71,112,2111,1098,3207
LGA24330,243,400,642,111,194,302,215,630,840,159,796,961,476,1158,1635,498,605,1105,1079,685,1761,980,816,1801,1341,1050,2385,1245,852,2093,1165,696,1861,1205,549,1754,2443,874,3312,1959,228,2182,1410,126,1531,1099,289,1388,2141,122,2262,1574,514,2088,229,344,576,19553,10933,30481
LGA24410,251,274,523,116,149,267,200,436,635,146,766,907,589,1739,2333,630,1083,1715,1639,879,2514,1611,1016,2625,2160,1065,3224,2184,792,2975,1860,636,2501,2050,447,2499,4105,520,4626,3157,103,3264,1954,38,1997,1262,142,1400,2304,21,2330,2577,202,2781,376,485,854,29181,10787,39962
LGA24600,1308,6262,7568,264,900,1169,371,1431,1801,241,1299,1536,490,1434,1929,522,1374,1895,790,1468,2257,965,1899,2863,1385,2427,3812,1371,2136,3507,1257,1926,3183,1301,1589,2891,2991,2949,5937,2142,640,2782,1615,403,2023,1464,1613,3074,3741,621,4367,2007,1663,3668,214,542,757,24444,32571,57012
LGA24650,368,230,600,160,86,244,253,396,645,236,527,761,775,1112,1888,953,595,1550,2026,603,2624,1940,794,2731,2804,887,3692,2919,644,3564,2549,445,2995,2563,271,2839,5069,337,5406,3208,54,3265,1884,20,1902,1129,79,1204,1661,29,1687,2983,136,3118,570,423,991,34045,7660,41704
LGA24780,117,141,256,92,89,177,136,404,531,138,689,822,497,1315,1804,482,635,1114,1396,558,1949,1080,580,1660,1276,500,1779,1280,288,1568,916,208,1127,923,128,1047,1506,137,1638,849,27,874,437,19,452,240,75,308,421,8,430,1390,86,1480,359,419,776,13527,6292,19817
LGA24850,81,81,167,49,41,91,81,171,253,75,290,360,255,584,838,329,260,589,718,280,1000,661,319,977,851,345,1199,890,231,1126,756,156,912,784,124,908,1431,110,1543,939,28,966,493,11,501,263,35,304,474,9,483,1059,33,1094,213,210,421,10396,3326,13725
LGA24900,74,77,148,54,57,105,80,216,300,59,351,408,333,794,1125,259,348,609,848,288,1136,602,304,905,760,237,991,725,130,858,503,91,598,507,61,566,777,65,833,416,17,436,219,6,225,103,28,138,205,7,210,759,43,801,205,312,516,7471,3428,10899
LGA24970,918,1318,2243,378,363,746,437,813,1246,335,1160,1497,1175,2228,3396,1055,1308,2363,2746,1151,3902,2489,1227,3712,3476,1304,4778,3120,981,4102,2637,836,3479,2707,626,3340,5662,975,6641,4159,244,4408,2838,133,2971,2155,348,2505,4866,116,4979,4299,548,4849,528,551,1084,45977,16248,62221
LGA25060,309,432,739,174,210,381,255,666,918,163,1031,1190,771,1675,2444,596,979,1573,1714,955,2670,1415,1062,2475,1831,1207,3040,1781,1051,2832,1593,878,2475,1550,691,2235,3539,1012,4557,2844,176,3024,1976,102,2079,1725,427,2154,4335,83,4426,2795,407,3199,521,592,1106,29883,13630,43513
LGA25150,79,86,165,47,47,93,72,154,226,43,246,296,225,502,730,214,274,491,643,214,861,497,235,729,688,247,939,697,160,863,570,146,717,539,93,633,1143,104,1245,750,16,768,479,5,487,276,36,312,486,4,486,788,23,810,133,168,299,8385,2763,11145
LGA25250,446,647,1093,201,299,499,301,1130,1425,257,1522,1783,1106,2767,3877,909,1431,2343,2529,1272,3804,2068,1560,3630,2780,1952,4727,2737,1649,4386,2338,1432,3770,2414,1150,3563,5059,1700,6765,3901,475,4371,2702,255,2954,1825,564,2390,3605,239,3842,3440,1195,4637,585,774,1357,39197,22026,61218
LGA25340,344,461,810,199,222,422,235,806,1036,259,1415,1680,1068,3283,4350,1083,1966,3046,3284,1427,4709,2770,1481,4244,3539,1415,4948,3368,840,4208,2673,636,3303,2708,463,3164,4855,502,5359,3243,55,3295,1973,18,1994,1346,336,1688,3093,30,3122,4184,218,4400,853,1152,2002,41053,16738,57791
LGA25430,26,48,79,39,41,83,50,149,203,39,269,312,171,642,806,188,307,491,497,236,729,398,216,620,507,204,712,454,107,562,317,101,420,296,58,354,497,66,559,269,15,287,163,0,168,78,32,109,153,6,162,469,46,515,73,138,213,4691,2685,7374
LGA25490,50,43,96,27,33,60,35,90,124,32,158,189,150,284,428,134,175,305,345,152,494,311,149,462,380,144,527,425,71,503,306,56,364,346,37,380,504,39,543,306,3,306,165,0,164,91,22,117,189,10,202,425,23,452,80,105,187,4296,1599,5897
LGA25620,39,52,94,29,21,50,36,113,152,36,192,232,122,362,486,114,182,293,366,131,495,238,163,401,338,121,467,342,74,412,245,45,289,244,36,283,394,49,443,248,3,255,102,0,105,69,24,90,114,3,119,382,16,399,79,110,195,3542,1717,5263
LGA25710,104,87,186,61,51,111,73,142,213,52,210,256,199,453,652,236,287,524,536,261,805,614,261,875,935,281,1224,983,224,1211,917,187,1104,1013,139,1145,2195,189,2383,1858,20,1881,1411,6,1410,1009,84,1096,2467,5,2476,1829,59,1883,185,136,320,16680,3078,19759
LGA25810,32,35,64,19,27,52,36,114,147,25,176,201,124,438,560,111,182,292,339,143,488,264,176,437,312,104,415,313,59,374,184,46,225,192,22,213,275,48,328,155,8,161,93,3,95,31,8,41,73,5,80,277,23,301,75,135,210,2949,1743,4695
LGA25900,217,629,844,89,241,334,159,747,907,137,1126,1263,372,1515,1879,349,1053,1402,739,1173,1910,699,1561,2256,1066,1976,3042,1146,1842,2985,983,1820,2805,1126,1480,2613,2762,2634,5394,2309,411,2722,1720,270,1988,1769,1634,3400,5127,306,5438,2212,906,3116,239,574,812,23217,21896,45110
LGA25990,24,36,63,15,21,38,20,69,84,17,116,134,76,252,327,86,81,165,239,78,310,145,70,218,200,63,270,161,28,195,117,27,147,114,14,132,134,15,146,81,3,81,50,0,50,14,9,22,35,0,35,186,20,203,40,57,100,1766,957,2723
LGA26080,3,8,14,6,11,17,7,17,20,3,32,33,14,72,91,19,60,77,54,40,94,69,37,107,75,37,114,62,25,89,41,13,60,48,16,58,69,15,90,61,3,61,41,0,41,31,11,42,50,0,50,88,0,88,6,23,33,746,430,1181
LGA26170,66,95,161,60,59,115,56,249,312,58,359,418,312,774,1090,278,338,619,754,281,1036,661,263,925,750,270,1018,686,159,844,465,100,567,532,61,595,787,56,847,472,8,483,229,3,232,132,39,167,240,9,241,714,37,754,163,210,374,7428,3368,10796
LGA26260,27,45,76,27,31,54,29,148,182,25,215,246,154,466,617,144,243,390,423,170,598,350,212,558,428,160,585,406,103,508,331,74,398,266,47,318,423,45,464,254,5,262,146,3,151,63,21,86,141,3,143,442,17,465,83,148,226,4164,2161,6326
LGA26350,364,930,1291,140,215,362,153,608,756,104,860,965,352,1270,1623,321,982,1301,750,954,1705,699,1348,2044,1045,1636,2681,1108,1562,2672,993,1536,2533,1153,1150,2296,2574,2227,4802,2066,404,2465,1615,276,1893,1840,1477,3318,6378,356,6735,2566,876,3445,281,565,846,24489,19231,43724
LGA26430,29,48,77,26,23,44,29,105,134,26,134,158,128,329,456,97,172,267,281,129,410,213,131,338,266,93,363,249,58,306,180,46,222,181,27,210,247,40,283,162,3,166,75,0,80,41,15,51,99,0,95,294,8,303,83,110,191,2703,1467,4174
LGA26490,48,59,104,28,35,70,29,127,158,29,177,205,166,331,495,156,241,393,460,220,682,384,218,605,638,223,864,587,162,744,481,114,597,510,101,609,1000,141,1144,740,16,752,445,10,458,323,92,417,663,12,677,882,69,952,127,99,227,7703,2458,10163
LGA26610,42,57,103,27,35,60,44,116,163,39,242,281,199,465,663,162,229,388,472,233,704,369,186,553,491,213,701,494,101,597,321,79,403,361,45,405,525,68,593,292,16,304,143,8,153,94,26,122,166,7,172,486,32,517,139,177,312,4871,2325,7198
LGA26670,18,14,33,10,12,23,13,45,63,10,88,97,71,172,244,54,75,127,160,66,228,126,66,195,158,56,222,161,37,198,104,14,120,110,20,129,142,14,159,106,0,106,51,3,52,34,11,45,49,0,49,157,6,167,33,51,83,1574,755,2333
LGA26700,58,70,125,35,37,74,55,213,266,59,366,425,260,758,1022,242,381,620,701,325,1024,624,358,983,788,298,1086,684,166,851,519,106,621,483,73,557,871,82,951,508,14,522,246,3,253,154,36,190,243,7,247,700,41,742,156,262,419,7377,3601,10980
LGA26730,61,68,133,41,49,90,61,258,325,75,400,474,257,761,1014,286,465,748,718,381,1097,621,408,1024,768,358,1121,775,226,999,586,180,766,617,115,738,1093,115,1204,677,41,724,332,24,358,206,63,271,358,23,375,716,89,800,143,238,380,8377,4259,12637
LGA26810,103,124,233,80,87,169,79,356,435,83,534,614,388,1073,1458,353,510,862,1044,441,1486,835,447,1280,1054,421,1470,940,244,1182,680,177,863,730,126,859,1178,146,1319,692,27,721,387,7,396,276,86,363,543,10,558,1224,60,1281,214,321,533,10887,5195,16082
LGA26890,3,19,23,4,4,11,11,40,50,4,45,57,33,138,167,33,54,86,112,65,182,96,40,135,109,48,156,111,19,131,58,16,73,49,12,63,96,16,113,61,0,56,37,0,32,9,8,25,39,0,39,122,0,126,27,34,56,1024,564,1586
LGA26980,747,1126,1877,259,340,606,366,865,1232,263,1191,1450,956,2404,3358,875,1624,2501,2217,1254,3471,2180,1402,3583,3081,1392,4464,2808,1035,3844,2282,859,3147,2420,680,3101,4954,966,5923,3871,183,4053,2711,109,2817,2108,364,2468,4971,68,5044,3799,483,4282,460,634,1095,41326,16980,58308
LGA27070,595,488,1085,263,172,438,412,601,1013,330,975,1314,1589,1916,3508,1512,844,2356,3815,944,4764,3182,1249,4433,4277,1316,5595,4499,956,5450,3930,633,4559,3853,471,4317,7276,475,7754,4544,109,4652,2450,50,2499,1479,105,1589,2123,37,2162,4553,264,4821,856,518,1376,51550,12125,63678
LGA27170,42,71,118,44,43,83,71,236,307,95,371,463,294,751,1040,329,423,751,780,377,1161,672,430,1101,900,392,1292,961,264,1220,759,164,928,749,113,863,1402,156,1559,858,43,901,459,5,463,219,40,263,344,10,350,954,57,1013,168,229,394,10091,4173,14260
LGA27260,560,425,982,250,129,383,416,580,999,388,714,1098,1107,1454,2563,1450,848,2292,2818,890,3709,3288,1201,4488,4390,1354,5751,4666,1043,5709,4218,750,4968,4102,522,4621,8304,693,8999,5231,140,5368,3177,60,3237,2104,192,2298,3234,44,3282,4683,272,4953,743,507,1249,55128,11819,66946
LGA27350,197,400,596,114,196,303,262,703,963,163,872,1031,469,1180,1644,369,730,1094,681,758,1438,607,1006,1616,791,1273,2062,823,1209,2032,755,1235,1993,885,943,1831,2150,1960,4106,1916,521,2436,1603,394,1999,1438,1199,2639,4174,654,4826,1782,1204,2985,219,431,644,19384,16865,36254
LGA27450,251,281,532,159,167,327,246,581,827,213,936,1152,754,2174,2930,978,1202,2186,2407,1025,3427,2342,1120,3458,3168,1154,4324,3283,730,4013,2839,570,3409,2880,399,3282,5827,482,6304,3944,59,4000,2157,29,2183,1335,166,1500,2499,35,2528,3996,201,4195,733,597,1333,39998,11901,51905
