LGA_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
LGA20110,1010,72,46,7,0,0,10,1142
LGA20260,832,71,55,17,4,0,13,993
LGA20570,9116,740,476,73,13,7,39,10460
LGA20660,14743,723,314,106,9,0,34,15931
LGA20740,2433,185,156,26,0,4,16,2825
LGA20830,4566,387,257,36,4,3,34,5285
LGA20910,12533,625,226,54,6,3,21,13462
LGA21010,989,98,51,15,0,0,9,1166
LGA21110,20764,855,303,156,11,6,17,22119
LGA21180,22418,1192,679,482,40,28,121,24956
LGA21270,490,32,27,0,0,0,6,561
LGA21370,3246,267,179,26,3,0,24,3742
LGA21450,10880,951,650,118,15,10,65,12683
LGA21610,39305,2549,1566,625,55,36,126,44260
LGA21670,875,102,66,7,3,0,13,1063
LGA21750,1788,139,86,20,0,0,13,2042
LGA21830,1440,89,87,5,0,0,4,1635
LGA21890,14782,680,286,161,9,5,39,15959
LGA22110,3304,294,181,37,7,3,33,3866
LGA22170,13297,1318,738,153,31,9,61,15607
LGA22250,888,51,44,10,0,0,15,1004
LGA22310,16997,764,245,106,13,0,28,18154
LGA22410,1570,159,100,4,0,3,18,1860
LGA22490,2662,195,123,16,6,0,17,3015
LGA22620,9943,858,555,73,21,6,66,11516
LGA22670,16937,904,443,431,41,15,80,18850
LGA22750,22572,1756,925,162,30,12,117,25562
LGA22830,6002,431,290,71,10,3,43,6855
LGA22910,1206,102,59,9,0,3,8,1391
LGA22980,456,35,21,0,0,0,12,525
LGA23110,10336,551,259,96,8,5,28,11271
LGA23190,1744,130,127,14,3,0,12,2035
LGA23270,25385,1321,772,370,21,16,85,27969
LGA23350,1517,124,63,9,0,0,17,1732
LGA23430,17928,1095,491,157,17,3,36,19725
LGA23670,19440,1268,612,200,21,7,64,21616
LGA23810,6103,598,379,66,11,5,58,7223
LGA23940,571,35,18,5,0,0,4,633
LGA24130,5485,323,212,35,7,0,24,6084
LGA24210,15431,686,255,165,10,9,35,16586
LGA24250,692,54,22,5,3,0,4,776
LGA24330,7986,399,137,100,4,7,34,8661
LGA24410,13033,848,393,113,8,3,27,14422
LGA24600,5205,275,79,27,0,0,14,5607
LGA24650,17237,1075,707,235,22,15,67,19366
LGA24780,4627,423,262,55,9,6,33,5432
LGA24850,4227,375,257,50,8,4,26,4947
LGA24900,2379,189,130,22,3,4,20,2747
LGA24970,22006,873,323,283,18,8,50,23549
LGA25060,13431,626,250,77,10,4,23,14421
LGA25150,3428,279,189,45,3,0,29,3968
LGA25250,16490,697,317,135,15,3,28,17679
LGA25340,14845,1327,685,113,17,9,69,17072
LGA25430,1478,117,56,8,0,0,3,1672
LGA25490,1650,100,80,10,3,0,15,1857
LGA25620,1145,105,68,8,0,0,8,1341
LGA25710,8818,513,231,70,0,0,17,9655
LGA25810,903,75,46,9,5,0,7,1040
LGA25900,6791,434,119,18,7,0,11,7379
LGA25990,550,51,32,6,0,4,7,653
LGA26080,198,13,5,0,0,0,0,219
LGA26170,2484,210,133,25,0,3,18,2878
LGA26260,1460,82,63,14,0,0,12,1633
LGA26350,8634,449,131,46,5,0,17,9276
LGA26430,754,69,37,0,0,0,4,873
LGA26490,3356,205,111,14,0,0,4,3685
LGA26610,1793,123,77,27,0,0,15,2031
LGA26670,482,42,20,6,0,0,4,547
LGA26700,2500,189,136,30,4,0,27,2893
LGA26730,3025,216,146,17,3,0,18,3425
LGA26810,3675,322,219,28,3,5,37,4293
LGA26890,348,20,19,0,0,0,4,390
LGA26980,19553,851,351,158,8,3,38,20963
LGA27070,25983,1294,785,342,33,14,64,28515
LGA27170,3542,336,259,32,3,0,19,4188
LGA27260,29262,1617,1023,437,51,32,91,32496
LGA27350,5423,362,88,40,3,0,11,5931
LGA27450,16964,1463,796,174,31,11,61,19503
LGA27630,515,25,27,3,0,3,13,578
LGA29399,23,3,0,0,0,0,0,27
LGA29499,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0
