LGA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
LGA20110,1566,1097,392,31,3085,1279,109,4476,17,5,9,0,34,96,0,133,4,4,0,0,13,10,3,23,23,12,14,0,41,108,3,155,19,6,8,0,34,66,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,8,0,29,66,0,100,3,0,0,0,7,3,0,6,0,0,0,0,3,7,0,4,0,0,0,0,0,0,0,0,6,3,0,0,10,13,0,17,10,3,3,0,19,17,0,32,22,16,6,0,40,24,0,71,1631,1135,417,31,3218,1492,119,4832
LGA20260,1295,977,400,38,2717,1158,123,3995,13,6,4,3,18,99,6,121,0,0,0,0,0,0,0,0,13,6,4,3,18,99,6,121,12,7,8,0,29,70,4,110,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,10,0,34,71,4,113,3,0,0,0,10,12,0,15,0,0,0,0,3,9,0,11,0,0,0,0,3,3,0,8,4,0,4,0,8,10,0,18,12,4,6,0,18,26,0,43,9,0,0,0,15,7,0,25,1346,991,419,43,2796,1370,131,4298
LGA20570,8456,9664,4008,318,22446,7770,1371,31586,866,597,519,59,2032,2523,297,4855,116,69,80,5,276,171,59,506,986,659,599,63,2310,2692,356,5362,157,55,99,8,315,734,65,1117,13,9,3,0,25,36,12,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,63,105,12,337,770,79,1185,10,0,0,0,10,10,0,24,8,0,0,0,10,30,3,45,0,0,0,0,0,0,0,0,21,24,12,3,56,23,0,76,37,24,18,0,84,61,4,146,37,26,8,8,81,79,12,167,9681,10434,4732,401,25249,11378,1816,38449
LGA20660,8901,14085,3708,436,27131,6469,938,34541,865,671,480,72,2091,2149,186,4420,664,708,352,40,1770,649,127,2541,1526,1377,835,114,3855,2792,308,6962,480,311,213,46,1049,955,124,2139,74,15,17,4,112,94,28,232,113,27,28,4,172,182,18,373,3,0,0,0,3,3,0,7,663,354,258,58,1339,1245,171,2749,0,0,0,0,0,3,0,4,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,11,14,6,0,28,19,3,43,7,13,10,0,33,16,3,50,31,27,3,0,66,58,6,130,11135,15859,4818,614,32420,10581,1431,44431
LGA20740,3941,2742,1307,90,8078,3613,333,12019,115,17,27,3,166,398,6,569,43,16,18,0,77,58,9,146,154,36,48,3,241,457,19,714,33,4,9,0,46,119,9,173,0,0,0,0,4,13,0,13,4,0,0,0,3,5,0,9,0,0,0,0,0,0,0,0,40,6,13,0,54,135,9,192,12,0,3,0,15,51,0,66,21,0,5,0,26,60,0,88,0,0,0,0,0,3,0,3,0,5,3,0,12,6,0,18,32,12,11,0,53,124,0,176,21,20,4,0,42,20,4,69,4183,2811,1386,94,8468,4338,359,13175
LGA20830,5086,5174,1757,121,12146,3448,354,15945,109,31,64,5,206,384,16,608,9,3,5,0,13,28,0,47,111,37,69,5,218,415,21,655,212,19,50,6,286,469,21,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,19,50,6,286,469,21,776,8,6,0,3,18,36,0,58,16,3,3,0,26,55,0,81,0,0,0,0,0,0,0,3,4,3,0,0,5,3,0,15,29,9,7,4,52,97,3,155,24,21,5,0,41,36,0,80,5466,5257,1884,140,12743,4466,398,17605
LGA20910,5275,10788,1886,186,18138,3609,311,22051,1184,818,405,43,2453,1954,147,4545,1172,1311,375,31,2888,833,71,3789,2350,2128,784,74,5338,2784,213,8336,515,242,207,10,967,1027,110,2108,320,91,87,9,506,494,38,1042,341,93,101,19,552,542,46,1135,3,0,0,0,3,3,0,3,1178,424,392,34,2033,2073,195,4296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,24,26,0,116,61,14,189,61,29,26,0,119,61,14,193,39,55,16,0,110,40,10,154,8901,13430,3108,295,25736,8561,742,35037
LGA21010,1750,1137,558,45,3488,1465,133,5082,12,3,7,0,25,35,4,65,0,0,0,0,0,0,0,0,12,3,7,0,24,35,4,61,36,10,24,0,65,228,10,304,5,0,7,0,16,18,0,38,3,3,3,0,9,31,0,41,0,0,0,0,0,0,0,0,49,11,32,0,88,277,16,379,0,0,0,0,0,3,0,3,7,0,0,0,7,11,0,16,0,0,0,0,0,0,0,0,6,3,0,0,5,4,0,9,10,3,0,0,14,24,0,33,13,9,4,0,23,5,3,34,1827,1165,597,46,3635,1806,147,5594
LGA21110,7365,17128,2996,420,27906,4810,851,33568,1910,1846,700,115,4565,2756,388,7711,1207,1637,547,74,3463,874,222,4558,3118,3482,1241,185,8033,3632,606,12272,1391,686,383,120,2573,2414,674,5665,1231,424,188,121,1961,1814,657,4426,1049,263,139,91,1538,1687,301,3530,0,0,0,0,0,0,0,0,3664,1368,710,335,6078,5914,1628,13622,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,57,28,14,4,101,45,26,178,60,34,14,4,109,48,26,181,58,49,15,0,120,70,16,204,14256,22056,4976,951,42244,14473,3134,59849
LGA21180,10981,21269,7784,919,40956,8042,1486,50486,956,1433,788,109,3283,1550,227,5055,636,1063,506,83,2279,557,170,3005,1585,2494,1288,190,5561,2105,391,8056,433,505,329,76,1345,989,133,2463,33,23,10,3,73,65,7,149,20,22,12,3,53,43,10,108,5,6,3,0,16,13,3,34,497,553,356,82,1488,1114,149,2753,0,0,0,0,3,0,0,5,0,3,0,0,3,16,0,23,0,0,0,0,0,3,0,3,23,42,16,3,86,31,9,122,23,46,22,3,92,49,12,151,26,29,20,0,73,39,12,122,13115,24393,9467,1194,48162,11349,2052,61562
