LGA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
LGA20110,4476,10245,133,195,23,52,155,249,100,158,0,3,0,0,0,0,100,159,6,10,4,10,0,3,17,33,32,61,71,138,4832,10845,1633,..,6464,10845
LGA20260,3995,9261,121,165,0,0,121,165,110,180,3,5,0,0,0,0,113,185,15,23,11,11,8,11,18,30,43,73,25,33,4298,9721,753,..,5051,9721
LGA20570,31586,79889,4855,8827,506,1130,5362,9963,1117,1662,70,108,0,0,0,3,1185,1771,24,37,45,65,0,6,76,185,146,285,167,318,38449,92224,4506,..,42953,92224
LGA20660,34541,94752,4420,8197,2541,6051,6962,14252,2139,4097,232,407,373,621,7,16,2749,5143,4,7,3,4,0,4,43,102,50,119,130,261,44431,114521,3946,..,48375,114521
LGA20740,12019,27114,569,803,146,284,714,1079,173,241,13,19,9,17,0,0,192,282,66,87,88,120,3,0,18,38,176,251,69,169,13175,28896,11423,..,24597,28896
LGA20830,15945,41435,608,930,47,63,655,998,776,1154,0,0,0,0,0,0,776,1154,58,89,81,119,3,9,15,26,155,243,80,161,17605,43990,2135,..,19739,43990
LGA20910,22051,63663,4545,8654,3789,9272,8336,17927,2108,3690,1042,1761,1135,1919,3,8,4296,7385,0,3,0,4,0,0,189,402,193,407,154,391,35037,89772,4253,..,39290,89772
LGA21010,5082,11539,65,95,0,4,61,103,304,415,38,48,41,54,0,0,379,519,3,11,16,25,0,8,9,19,33,61,34,74,5594,12294,776,..,6367,12294
LGA21110,33568,102076,7711,16516,4558,11924,12272,28444,5665,10669,4426,8195,3530,6049,0,3,13622,24915,6,11,0,7,3,3,178,406,181,425,204,463,59849,156325,6488,..,66338,156325
LGA21180,50486,155941,5055,12648,3005,8779,8056,21427,2463,5476,149,283,108,250,34,71,2753,6076,5,13,23,28,3,3,122,357,151,405,122,290,61562,184136,4376,..,65941,184136
LGA21270,2324,5230,36,44,0,5,35,49,56,67,0,0,0,0,0,0,56,67,10,15,4,3,0,0,19,35,30,55,12,18,2455,5435,494,..,2947,5435
LGA21370,12443,30979,768,1146,17,30,786,1173,442,642,0,0,0,0,5,9,446,648,63,84,39,58,4,12,27,60,124,211,52,133,13855,33144,1988,..,15836,33144
LGA21450,28330,82831,1771,3456,556,1291,2330,4746,138,198,0,0,0,0,0,5,137,206,31,39,78,109,11,12,12,35,128,197,80,187,31009,88161,2418,..,33430,88161
LGA21610,82465,262516,6472,15287,1836,5117,8309,20408,903,1613,39,64,15,39,3,11,961,1729,42,59,98,142,3,12,119,329,263,534,133,335,92127,285516,5772,..,97900,285516
