LGA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA26430,0,3,45,10,28,34,134,3,0,5,0,5,0,10,7,33,48,10,7,4,110,60,10,64,3,7,3,144,55,9,37,0,0,3,106,106,0,40,0,4,0,157,66,0,13,0,0,0,80,26,0,5,0,0,0,31,3,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,6,14,0,18,4,37,341,56,276,22,76,51,817
LGA26490,4,4,55,0,12,57,131,3,4,3,3,0,0,15,10,16,28,3,5,0,67,21,11,52,7,3,0,88,26,7,54,0,6,0,82,78,3,72,3,6,0,157,221,0,115,0,10,0,348,521,0,121,0,11,0,650,316,0,61,0,3,0,381,78,0,7,0,0,0,85,16,0,3,0,0,0,16,7,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,3,0,0,0,5,14,3,39,3,11,3,66,1306,43,603,14,59,67,2097
LGA26610,0,21,77,10,50,51,212,6,25,8,6,9,0,61,90,117,63,19,34,6,335,176,93,122,24,33,6,461,147,31,110,3,12,3,302,245,19,82,0,9,3,357,108,4,36,0,11,3,166,46,0,24,0,3,0,70,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,6,14,21,28,3,22,4,86,849,331,559,63,185,87,2074
LGA26670,0,3,42,0,14,30,81,0,0,4,0,4,0,14,24,14,40,3,6,7,89,33,0,70,0,8,0,119,25,0,16,0,0,3,40,30,0,20,0,4,0,57,15,0,6,0,0,0,21,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,15,135,20,211,3,38,39,444
LGA26700,3,18,81,6,13,57,178,0,20,4,8,0,3,35,33,183,82,13,15,0,330,240,81,133,10,18,5,498,160,30,111,3,7,0,311,359,36,112,3,16,7,526,327,5,70,0,0,0,400,112,0,23,0,0,0,143,9,0,4,0,0,0,12,4,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,32,4,7,7,95,1262,409,651,54,71,79,2528
LGA26730,4,36,47,4,10,30,127,10,28,8,4,0,0,54,66,259,43,17,13,3,402,211,100,102,47,6,0,464,256,60,105,9,9,3,441,521,64,137,12,12,4,751,761,8,171,4,12,4,958,404,4,72,3,10,0,487,57,0,8,0,0,0,67,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,10,29,32,17,8,8,4,110,2320,594,723,107,87,50,3878
LGA26810,6,37,115,11,67,115,349,7,31,16,3,14,0,70,81,213,111,13,31,7,456,290,106,175,22,32,4,625,280,18,116,14,24,4,454,532,10,124,9,66,5,737,431,10,61,3,53,3,556,219,0,30,0,7,0,255,42,0,9,0,4,0,54,7,0,0,0,0,0,5,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,7,30,24,64,11,41,6,170,1932,437,822,79,328,139,3739
LGA26890,0,4,41,3,27,41,121,0,5,13,3,0,0,26,11,0,38,3,14,0,69,14,3,23,0,5,0,41,3,0,3,0,0,0,9,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,21,32,12,131,10,60,45,295
LGA26980,30,51,314,20,22,158,594,9,51,13,45,3,3,133,61,448,160,48,28,8,751,133,155,193,79,46,7,615,265,89,142,42,29,0,573,450,74,240,41,17,3,826,1931,69,474,26,47,10,2559,4759,53,686,15,56,10,5580,2016,13,325,12,40,11,2413,690,0,115,5,10,3,828,288,0,67,0,9,0,358,89,0,31,0,5,0,130,39,0,4,0,8,0,49,93,0,30,0,5,3,131,190,66,208,42,35,39,574,11052,1076,3003,377,354,258,16120
LGA27070,48,31,234,7,17,126,462,8,26,3,4,3,0,49,36,169,76,6,15,3,302,69,117,124,29,24,7,372,63,49,114,21,10,3,248,510,74,257,36,79,4,953,5611,82,874,39,130,18,6764,4328,51,432,4,70,18,4903,451,6,85,0,9,4,552,82,3,23,0,4,3,116,28,0,14,3,0,0,45,29,3,8,5,5,0,48,8,0,5,0,0,0,14,83,0,14,0,0,0,97,251,37,153,10,26,30,513,11608,652,2410,173,394,214,15442
LGA27170,3,42,45,9,7,22,122,0,26,0,7,3,0,42,58,365,47,8,6,3,485,295,166,99,13,10,8,599,326,134,130,5,21,3,620,697,54,172,4,184,9,1125,988,19,125,3,77,7,1218,586,6,42,0,9,3,646,41,0,12,0,10,0,61,7,3,0,0,0,0,15,5,0,0,0,0,0,5,3,0,3,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,3,44,46,23,3,13,3,139,3066,873,706,50,331,53,5085
LGA27260,50,24,208,7,9,102,402,12,20,11,4,3,0,43,24,189,82,11,17,10,324,90,115,161,23,34,4,418,167,54,196,19,30,3,479,1497,69,450,39,103,5,2164,7326,69,1005,12,115,20,8549,4563,18,401,4,37,12,5036,634,0,102,0,11,0,745,159,0,19,0,3,0,187,56,0,8,0,0,0,69,30,0,8,0,0,0,35,10,0,3,0,0,0,14,89,0,20,0,3,0,107,302,50,137,12,28,22,554,15017,603,2806,124,389,183,19120
LGA27350,23,174,156,16,13,84,462,10,212,13,14,0,0,248,25,1312,72,76,15,21,1517,76,585,88,77,15,4,845,86,307,60,77,5,0,531,411,274,144,41,8,3,880,1408,232,364,38,26,3,2084,3076,103,473,6,8,11,3678,2988,18,548,0,9,11,3576,2166,10,390,3,8,3,2574,1150,7,194,3,3,3,1352,580,4,99,0,3,3,687,307,0,58,0,3,0,371,358,0,65,0,0,3,431,214,169,101,32,11,20,551,12884,3399,2824,373,145,171,19789
LGA27450,13,30,169,15,30,142,390,8,10,17,22,7,0,65,29,164,101,31,11,0,348,77,66,141,27,38,0,348,124,30,202,6,19,0,378,399,23,223,16,24,9,695,1383,46,491,11,46,9,1990,1890,20,410,10,14,12,2348,375,0,88,3,6,3,470,83,0,13,0,0,0,101,23,0,5,0,0,0,28,15,0,6,0,0,0,27,5,0,0,0,0,0,5,12,0,9,0,0,0,27,102,31,121,16,26,17,313,4543,422,1996,150,230,188,7529
LGA27630,0,5,52,3,28,25,112,3,9,12,0,0,0,29,44,6,34,0,11,0,101,88,3,45,5,0,0,142,14,0,11,0,0,0,24,7,0,4,0,0,0,8,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,15,0,4,0,27,163,31,178,9,44,31,453
LGA29399,0,0,0,0,7,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,4,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,14,0,0,0,0,3,0,3,6,0,17,0,25,5,50
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
