LGA_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
LGA20110,..,26,4,28,0,28,..,0,0,0,0,0,..,8,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,15,0,20,0,20,..,26,0,28,0,28,..,376,58,433,5,439,..,15,0,12,0,12,..,0,4,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,10,..,10,3,12,0,12,..,0,0,0,0,0,..,3,0,3,0,3,..,19,0,20,0,20,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,30,0,30,0,30,..,18,0,20,0,20,..,4,0,4,0,4,..,8,0,8,0,8,..,0,0,0,0,0,..,9,0,5,0,5,..,84,23,105,0,105,..,816,117,937,6,943,..,34,3,38,967,1011,10386,855,119,975,973,12337
LGA20260,..,3,0,3,0,3,..,0,0,0,0,0,..,20,0,20,0,20,..,26,0,26,0,26,..,3,0,3,0,3,..,23,0,20,0,21,..,0,0,0,0,0,..,69,0,75,3,74,..,16,3,20,0,20,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,10,0,7,0,7,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3,..,35,0,39,0,39,..,9,0,9,0,9,..,17,0,17,0,17,..,3,0,3,0,3,..,58,0,60,0,60,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,3,4,6,0,6,..,11,4,16,0,16,..,39,11,49,3,53,..,347,67,416,10,424,..,29,5,36,1445,1478,9696,371,78,446,1461,11600
LGA20570,..,111,24,137,5,139,..,69,10,75,0,75,..,208,17,222,0,222,..,216,24,239,3,246,..,78,9,86,3,86,..,79,17,96,0,96,..,103,6,114,0,114,..,749,82,831,3,835,..,199,14,215,4,218,..,125,22,142,0,142,..,38,3,40,0,40,..,14,0,21,0,21,..,49,4,51,0,51,..,59,11,65,0,65,..,43,3,54,0,54,..,59,5,65,0,65,..,5,0,5,0,5,..,33,0,33,7,40,..,132,7,137,0,137,..,36,0,41,0,41,..,161,6,169,0,167,..,39,3,42,0,44,..,363,16,384,0,387,..,95,5,104,0,107,..,72,7,77,0,77,..,71,18,87,0,91,..,21,3,26,0,26,..,86,22,103,0,103,..,922,169,1085,38,1126,..,4731,689,5420,76,5499,..,284,19,303,5882,6188,89998,5018,710,5728,5961,101686
LGA20660,..,2235,284,2518,28,2547,..,69,3,69,0,69,..,638,23,660,7,665,..,261,17,278,8,289,..,414,21,430,3,437,..,163,4,170,0,170,..,311,16,331,0,333,..,1857,83,1943,15,1962,..,3213,369,3584,28,3612,..,338,33,367,3,371,..,173,53,224,6,225,..,765,87,852,5,853,..,105,4,110,0,110,..,511,84,598,3,600,..,265,15,278,0,279,..,255,36,294,0,295,..,70,7,80,0,80,..,243,47,293,0,294,..,173,3,180,0,178,..,156,17,174,3,174,..,222,9,228,3,230,..,116,3,116,0,117,..,661,31,697,7,705,..,513,43,563,11,570,..,402,19,422,5,429,..,192,21,218,3,221,..,102,13,114,0,117,..,702,142,845,13,857,..,2985,562,3542,108,3654,..,22515,3637,26150,279,26429,..,326,50,374,5165,5542,89897,22839,3689,26525,5443,121865
LGA20740,..,82,16,99,5,104,..,0,0,0,0,0,..,22,3,27,0,27,..,25,7,28,0,28,..,11,0,11,0,11,..,0,0,3,0,3,..,28,4,27,0,27,..,85,17,107,0,107,..,229,36,268,13,278,..,24,0,24,0,24,..,3,0,4,0,4,..,5,0,5,0,5,..,31,4,30,0,30,..,3,0,4,0,4,..,16,0,20,0,20,..,12,0,12,3,13,..,0,0,0,0,0,..,9,0,9,0,9,..,21,0,26,0,26,..,14,0,14,0,14,..,26,0,23,0,30,..,3,0,3,0,3,..,64,3,70,0,66,..,75,4,84,0,84,..,5,0,5,0,6,..,32,12,42,0,42,..,9,0,7,0,7,..,20,21,41,0,41,..,215,37,252,9,261,..,1340,205,1540,39,1578,..,77,6,84,2301,2382,28849,1416,210,1625,2332,32804
LGA20830,..,62,6,72,0,73,..,13,0,13,0,13,..,18,0,18,0,18,..,57,4,60,0,60,..,46,3,46,0,49,..,15,0,15,0,15,..,15,0,17,0,17,..,160,9,172,3,177,..,237,31,269,5,271,..,35,3,36,0,39,..,9,0,8,0,8,..,3,0,7,0,7,..,24,0,24,0,24,..,9,0,9,0,9,..,37,9,48,0,45,..,32,6,36,0,36,..,6,0,6,0,6,..,24,4,29,0,29,..,48,3,50,3,52,..,14,0,14,0,10,..,25,0,29,0,29,..,5,0,5,0,5,..,95,4,96,4,96,..,54,9,58,0,60,..,14,0,16,0,16,..,26,8,29,0,29,..,3,0,3,0,3,..,23,13,36,0,36,..,280,51,335,6,339,..,1667,236,1894,29,1928,..,106,10,115,3083,3197,43359,1770,241,2014,3110,48479
LGA20910,..,1821,248,2067,26,2091,..,22,0,26,0,26,..,265,7,272,0,272,..,94,4,98,0,105,..,68,0,76,0,76,..,25,0,25,0,25,..,73,0,73,0,73,..,553,16,569,0,568,..,1151,99,1244,11,1252,..,316,77,392,3,393,..,67,24,91,0,91,..,44,0,46,0,46,..,39,3,41,0,41,..,78,15,87,0,87,..,407,43,442,0,443,..,1057,194,1251,7,1261,..,6,0,9,0,9,..,179,13,195,0,195,..,37,4,43,0,43,..,71,4,79,0,79,..,61,0,59,0,59,..,39,3,48,0,46,..,218,12,230,0,231,..,476,22,497,6,501,..,63,5,65,0,68,..,96,13,100,0,100,..,135,20,164,0,165,..,152,27,178,0,176,..,1486,178,1668,35,1701,..,12426,1693,14113,114,14225,..,199,15,215,4772,4992,77872,12626,1710,14330,4883,97087
LGA21010,..,3,0,3,0,8,..,4,0,4,0,4,..,14,0,14,0,14,..,14,0,15,0,15,..,9,0,6,0,6,..,5,0,5,0,5,..,7,0,7,0,7,..,40,3,46,0,46,..,30,0,29,0,33,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,10,0,11,0,11,..,15,0,16,0,16,..,0,0,0,0,0,..,6,0,6,0,6,..,10,0,10,0,10,..,4,0,4,0,4,..,7,0,7,0,7,..,3,0,3,0,3,..,26,0,27,0,27,..,4,0,4,0,6,..,10,0,10,0,10,..,10,6,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,61,18,83,0,85,..,336,50,381,9,393,..,23,0,23,1096,1121,12352,362,50,410,1105,13861
LGA21110,..,4146,578,4725,32,4760,..,204,10,220,3,224,..,1349,37,1385,13,1398,..,292,4,296,0,296,..,624,19,645,3,644,..,223,15,239,3,238,..,1215,83,1296,11,1304,..,3912,162,4076,32,4105,..,2493,255,2754,23,2777,..,486,59,537,8,547,..,573,142,716,0,714,..,222,21,239,0,240,..,53,0,62,0,62,..,592,56,649,4,653,..,302,22,321,0,322,..,305,19,321,3,322,..,25,0,25,0,25,..,145,17,163,3,165,..,154,3,161,0,161,..,644,57,700,0,700,..,192,3,193,0,195,..,122,3,128,0,128,..,1118,64,1183,0,1182,..,877,88,960,8,969,..,574,18,591,3,596,..,353,43,392,3,395,..,194,22,216,0,222,..,1804,240,2042,13,2054,..,2403,323,2723,81,2805,..,38493,6745,45242,337,45581,..,327,47,372,7395,7770,113886,38827,6791,45618,7729,167231
LGA21180,..,4175,1069,5245,41,5288,..,541,47,590,9,602,..,2265,120,2387,14,2402,..,4983,585,5570,70,5634,..,948,40,994,6,997,..,1285,156,1436,8,1446,..,960,76,1036,12,1047,..,10976,1026,12009,116,12120,..,4133,705,4839,60,4906,..,113,11,124,0,124,..,107,43,146,0,152,..,3551,1038,4585,51,4633,..,4440,544,4982,71,5056,..,340,162,500,9,504,..,1078,253,1327,18,1349,..,171,24,190,0,190,..,1396,133,1523,38,1562,..,1242,338,1576,28,1602,..,2116,81,2193,18,2213,..,297,24,327,0,327,..,2944,134,3082,26,3107,..,317,44,366,6,373,..,5682,283,5963,53,6014,..,2333,460,2789,36,2829,..,978,314,1292,22,1314,..,328,71,399,6,405,..,1852,460,2311,24,2332,..,20049,11120,31169,289,31453,..,10806,3518,14321,279,14597,..,86413,25720,112132,1331,113457,..,644,267,908,10651,11559,69300,87053,25990,113040,11975,194319
