LGA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
LGA20110,53,411,270,3751,86,4572,0,0,0,3,0,3,45,5,4,35,0,86,28,6,0,9,3,42,123,34,19,64,3,246,731,403,255,3458,84,4936,42,0,3,4,3,56,40,7,0,27,0,78,202,47,21,347,9,621,42,8,0,13,3,70,24,3,0,0,0,29,29,4,4,4,0,37,121,81,41,1176,23,1444,600,109,56,406,22,1186,8,0,0,0,0,8,8,8,0,3,0,28,0,0,0,0,0,0,9,7,3,9,0,31,22,0,11,0,0,32,33,30,12,11,0,83,55,11,6,21,3,97,22,0,6,3,0,29,172,95,80,967,18,1336,12,0,0,0,0,13,7,0,3,0,0,15,30,3,5,3,0,37,7,0,0,4,0,9,0,0,0,0,0,0,3,3,0,0,0,3,27,9,4,38,0,78,365,71,50,136,11,636,25,3,8,83,898,1018,2390,790,516,7531,1109,12337
LGA20260,32,227,176,4059,80,4565,0,0,0,8,0,13,66,0,12,7,0,83,12,3,0,0,0,14,69,15,13,49,3,142,364,228,176,3584,93,4458,73,3,4,0,0,84,12,0,0,14,0,31,86,29,29,394,8,548,7,4,0,9,0,18,17,5,0,3,0,24,77,0,0,4,0,78,56,53,42,1089,23,1261,40,21,9,135,4,204,3,0,0,4,0,12,15,3,0,0,0,15,0,0,0,0,0,0,11,10,3,10,0,31,75,9,0,4,0,92,27,7,3,9,0,47,23,0,3,18,0,44,9,3,0,8,0,25,88,78,57,1109,17,1357,0,0,0,0,0,3,3,0,0,0,0,3,4,0,0,10,0,13,3,0,0,0,0,3,4,0,0,0,0,4,19,0,0,0,0,19,12,3,0,47,0,60,183,40,25,78,19,347,15,3,7,127,1381,1533,1182,443,334,8054,1588,11600
LGA20570,286,2636,1847,34791,726,40281,0,14,8,147,3,172,1166,43,58,348,17,1631,234,52,28,115,4,436,940,458,272,966,26,2661,3542,2522,1888,33783,724,42457,443,21,79,7,10,557,103,27,26,267,3,425,565,286,208,3278,56,4383,194,58,19,237,4,518,105,26,21,63,0,215,1032,38,22,28,7,1132,844,697,480,13810,225,16063,457,278,100,1654,30,2512,44,0,3,3,0,51,29,25,3,52,0,115,36,16,3,18,4,73,142,72,33,185,5,436,79,29,14,27,0,151,174,114,78,75,5,445,215,55,43,208,9,531,103,16,9,48,4,182,1013,739,507,10027,144,12431,49,15,4,16,3,92,101,24,6,14,3,151,96,16,19,104,0,246,121,20,20,19,0,171,18,12,0,4,0,35,96,6,10,3,3,120,135,51,39,413,11,643,2431,475,381,1038,44,4370,162,52,29,1018,5563,6833,12349,5151,3636,73403,7138,101686
LGA20660,785,4276,2918,26913,419,35306,0,9,3,105,0,120,6590,151,250,280,36,7312,753,105,51,222,9,1146,676,247,176,427,10,1538,5933,3592,2541,25979,457,38503,676,44,101,14,11,846,300,52,46,259,7,666,1147,377,288,2385,37,4240,2634,470,248,1245,38,4644,273,48,38,98,3,461,2677,90,68,40,20,2893,1786,1207,715,12153,167,16027,5800,1390,602,4359,116,12266,255,3,22,0,0,290,717,115,77,155,11,1077,980,170,73,297,13,1532,524,150,100,370,11,1161,119,24,26,17,0,185,434,180,139,75,3,825,632,110,88,232,12,1080,328,30,27,65,7,458,1659,941,701,7978,119,11406,341,43,17,39,3,442,265,55,41,20,8,384,352,52,29,93,5,531,769,49,39,48,6,908,152,31,9,14,0,202,904,16,57,17,4,1006,218,83,65,290,0,655,8433,997,824,1284,127,11670,332,50,47,581,5089,6096,41087,8931,6043,59403,6399,121865
LGA20740,152,1211,850,10596,271,13082,0,0,3,24,0,31,165,5,16,61,7,248,50,11,3,16,0,80,456,125,92,203,11,886,2596,1193,862,9008,277,13931,71,10,18,0,5,104,74,15,7,60,3,156,326,100,65,645,16,1150,134,19,12,58,9,231,48,13,6,16,0,89,137,6,7,14,4,170,488,257,158,2980,73,3951,553,170,67,701,19,1514,3,0,0,0,0,6,12,4,0,10,0,24,13,3,4,7,0,24,111,25,12,44,3,199,67,18,10,7,0,106,118,40,40,21,0,223,80,13,16,44,0,157,33,10,0,25,0,73,695,349,225,2666,57,3991,18,0,0,3,0,22,54,16,7,3,0,77,49,8,9,29,0,93,34,12,14,5,0,61,17,6,0,3,0,26,36,3,0,3,0,48,99,24,29,97,3,242,772,180,129,327,26,1434,62,20,21,283,2040,2421,6197,2266,1612,20068,2665,32804
LGA20830,211,1713,1190,17117,306,20540,0,0,0,45,0,46,221,6,18,78,6,327,96,22,9,21,6,153,732,215,146,538,20,1650,2791,1589,1243,14723,343,20690,124,3,28,8,8,167,76,3,9,131,3,226,475,163,122,1250,30,2051,94,29,8,96,0,226,90,7,14,37,0,148,183,25,9,14,0,225,566,375,257,4576,73,5845,514,209,72,838,23,1652,10,0,0,0,0,13,9,3,0,8,0,27,11,4,4,0,0,24,96,34,22,85,6,239,35,19,3,10,3,65,142,79,78,39,3,343,162,29,17,73,10,282,48,11,4,16,0,78,687,384,323,3910,80,5371,34,10,0,7,0,50,76,16,0,7,0,99,54,10,16,43,0,120,75,18,7,9,4,107,9,7,0,0,0,16,27,4,6,0,0,38,91,33,17,113,6,263,984,257,200,493,14,1949,70,29,14,474,2858,3450,7188,3127,2241,32344,3582,48479
LGA20910,637,4095,3211,20769,313,29027,0,4,3,21,0,30,3028,100,202,205,16,3556,387,56,25,110,3,571,837,241,129,332,8,1552,9368,3579,2779,20791,407,36932,230,12,69,13,3,323,484,73,69,236,10,870,1507,416,286,1827,41,4081,2066,348,196,1074,31,3717,383,54,25,87,6,562,1101,70,47,40,9,1272,2480,978,742,8899,122,13222,2213,647,299,1837,44,5032,115,3,5,6,0,132,204,56,31,84,0,377,85,19,18,38,0,160,192,60,40,92,3,383,115,21,4,5,5,151,629,153,151,43,8,993,1139,179,130,270,13,1735,977,62,76,78,9,1209,2456,953,679,6913,82,11090,234,27,13,51,0,325,753,54,55,21,6,896,276,38,24,55,4,396,284,61,51,37,3,433,205,28,14,9,0,259,226,8,13,4,3,253,375,62,35,286,3,761,6271,990,885,1155,54,9357,212,48,36,335,4704,5339,31954,7822,5976,45723,5623,97087
LGA21010,50,347,253,5062,125,5839,0,0,0,13,0,10,61,0,11,31,3,105,3,3,0,0,0,13,125,42,15,58,4,238,518,368,282,4426,109,5706,33,0,11,0,0,41,17,3,3,31,0,50,153,41,35,446,8,679,20,16,0,11,0,47,14,0,0,5,0,28,66,3,0,0,0,69,114,91,43,1629,22,1901,71,25,4,209,6,320,0,0,0,0,0,0,11,0,0,3,0,17,6,0,0,0,0,6,19,5,11,23,5,63,16,0,0,0,0,20,14,20,8,8,3,43,57,7,7,30,4,98,15,4,0,6,0,21,127,114,75,1425,27,1762,6,3,0,3,0,11,7,0,0,7,0,9,3,0,0,8,0,11,10,0,0,6,0,20,0,0,0,0,0,0,0,0,3,0,0,3,20,4,6,58,0,85,240,57,38,127,6,470,25,4,7,118,998,1144,1487,696,486,9943,1250,13861
LGA21110,986,5343,4336,30184,371,41216,0,9,3,49,3,61,23045,462,818,583,144,25051,431,93,69,178,3,766,912,364,206,593,6,2088,8777,4916,3770,31607,430,49494,571,19,121,13,5,730,623,135,114,393,11,1273,1564,521,396,2990,40,5516,4388,698,390,2129,41,7634,451,80,57,151,8,747,5320,189,134,98,37,5778,2459,1482,1189,15835,176,21150,4499,1105,574,3880,64,10119,824,13,34,16,12,903,298,68,47,170,4,584,346,42,52,137,3,578,342,101,59,200,3,709,139,28,17,7,0,198,800,264,178,64,6,1315,979,194,125,400,12,1709,505,53,74,106,4,748,2449,1398,1103,11523,145,16619,249,38,18,30,3,337,556,99,78,24,9,759,412,27,51,111,4,596,1301,104,94,69,13,1581,269,21,13,14,0,319,2275,50,112,20,17,2483,296,113,68,517,3,1004,11024,1325,1338,1991,83,15759,378,60,39,441,7332,8241,67629,11290,9041,70688,8585,167231
LGA21180,3601,3064,2113,14747,510,24043,117,29,7,112,10,282,11861,136,217,142,182,12537,3804,299,182,533,60,4874,440,134,76,171,10,835,7233,2017,1487,11494,547,22779,7066,98,303,68,88,7621,320,22,27,98,3,473,1649,288,183,1160,58,3322,4804,672,306,1218,77,7083,444,46,29,57,9,587,9154,133,90,51,103,9529,1174,540,348,4187,97,6347,7250,1249,644,3309,213,12668,177,0,10,0,9,194,1510,228,112,138,17,2007,4589,376,182,474,69,5699,7651,862,567,1882,119,11077,827,60,46,40,35,1009,499,88,76,33,15,714,2087,143,104,289,27,2647,325,22,33,32,6,415,1145,461,357,2925,55,4944,1668,98,65,109,22,1966,118,19,22,6,0,169,1502,68,49,73,16,1706,1476,37,19,34,13,1578,2025,232,77,138,36,2507,29775,235,469,172,447,31099,88,36,24,117,0,261,33730,1277,985,1035,553,37576,2489,104,91,367,10210,13252,135018,8307,5899,31954,13143,194319
