LGA_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
LGA20110,30,0,0,0,32,3,0,36,0,0,0,0,0,0,0,0,0,0,0,0,227,41,5,3,277,7,0,7,282,12,0,292,35,13,0,0,46,0,0,0,46,3,0,49,70,12,0,0,79,0,0,0,83,3,0,82,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,104,26,0,0,136,0,0,0,132,3,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,106,27,0,0,136,0,0,0,133,3,0,141,10,3,3,0,20,0,0,0,22,3,0,26,3,0,0,0,3,0,0,0,3,0,0,3,122,31,4,0,155,0,0,0,158,11,0,169,75,18,0,0,87,0,0,0,87,7,0,95,88,16,0,0,107,3,0,3,107,3,0,114
LGA20260,34,4,0,4,36,11,0,49,0,0,0,0,0,0,0,0,0,0,0,0,192,34,6,4,235,8,7,12,244,14,0,257,39,6,0,0,47,0,0,0,47,0,0,49,41,7,4,0,55,3,0,3,52,3,0,58,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,86,11,3,0,97,3,0,3,102,3,0,105,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,83,9,3,0,100,5,0,5,107,3,0,107,11,4,0,0,15,0,0,0,15,7,0,27,0,0,0,0,0,0,0,0,0,0,0,0,97,13,3,0,116,4,0,4,122,15,3,139,52,12,0,0,59,0,0,0,61,0,0,67,69,4,4,3,83,7,0,7,93,10,0,100
LGA20570,380,18,4,26,403,85,4,494,0,0,0,0,0,0,0,0,0,0,3,6,1923,253,26,38,2233,56,9,67,2304,179,7,2486,403,47,4,0,459,5,0,4,466,14,3,481,575,62,6,7,646,9,5,11,659,17,0,678,18,0,4,0,17,3,0,3,19,0,0,24,3,0,0,7,12,0,0,0,12,0,0,13,999,107,17,11,1131,18,8,23,1156,39,3,1200,8,0,0,0,8,3,0,3,8,0,0,10,16,3,0,0,22,0,0,0,22,3,0,21,23,3,0,0,28,3,0,3,28,6,0,34,1021,112,17,17,1163,16,8,26,1182,43,3,1230,156,24,3,3,191,10,3,11,204,58,3,268,0,0,0,0,0,0,0,0,0,0,0,3,1183,132,21,14,1354,27,7,34,1390,105,9,1497,568,56,7,3,627,14,5,23,649,35,0,686,748,85,12,4,844,18,3,19,865,44,0,906
LGA20660,540,9,0,13,556,62,0,623,5,0,0,0,11,0,0,0,11,0,3,12,2569,252,30,49,2893,50,11,62,2956,134,13,3104,468,54,13,6,540,9,9,21,555,25,0,587,762,65,12,4,842,6,3,10,854,23,0,879,14,0,0,0,20,0,0,0,15,0,0,22,16,0,0,6,25,0,0,0,25,0,0,22,1255,122,25,18,1420,16,14,28,1453,53,0,1501,12,3,0,0,12,3,0,3,16,0,0,13,20,3,0,0,29,3,0,3,31,3,0,38,30,6,0,0,43,8,0,8,43,3,0,48,1290,132,25,18,1463,28,14,35,1496,50,0,1554,230,38,0,6,278,5,3,11,290,51,0,338,3,0,0,4,6,0,0,0,6,0,0,8,1522,170,24,32,1749,31,16,50,1790,102,3,1900,698,100,9,7,811,17,5,24,836,44,0,883,998,90,13,7,1109,16,3,17,1126,46,0,1171
LGA20740,75,3,3,7,82,19,0,101,0,0,0,0,0,0,0,0,0,0,0,3,496,100,13,14,618,18,3,21,637,56,4,691,108,13,0,0,122,0,0,0,125,14,0,141,146,30,0,0,183,10,0,10,195,10,0,198,8,0,7,0,10,0,0,0,13,0,0,13,3,0,0,0,4,0,0,0,4,0,0,4,268,53,8,4,326,7,0,7,338,21,0,356,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,7,0,0,0,4,0,0,4,8,0,0,0,10,0,0,0,12,0,0,12,270,52,8,4,330,9,0,9,344,21,0,367,26,14,0,0,37,0,0,0,41,16,0,54,3,0,0,0,3,0,0,0,3,0,0,4,297,62,10,4,375,14,0,14,386,35,0,424,163,20,4,0,188,0,0,0,186,11,0,199,196,42,3,4,251,4,0,4,258,11,0,266
LGA20830,221,9,3,13,232,26,0,260,0,0,0,3,3,0,0,0,3,0,0,0,1008,116,21,23,1165,24,6,24,1186,69,3,1265,195,15,3,0,211,0,0,3,214,9,0,221,304,34,3,5,345,3,0,3,348,10,0,364,13,0,0,0,10,0,0,0,9,0,0,14,0,0,3,4,11,0,0,0,11,0,0,8,505,54,11,11,580,3,0,7,583,23,0,609,4,0,0,0,4,0,0,0,4,0,0,4,11,0,0,0,10,0,0,0,13,0,0,12,12,0,0,0,16,0,0,0,19,0,0,20,522,55,11,11,596,3,3,5,602,30,0,630,111,20,3,6,136,3,4,9,148,29,0,177,0,0,0,0,0,0,0,0,3,0,0,3,633,72,16,13,734,11,7,17,746,54,0,806,306,24,3,0,333,3,3,4,341,15,0,356,411,43,3,8,466,4,0,4,468,20,0,489
LGA20910,629,13,4,14,640,33,3,673,3,0,0,0,4,0,0,0,4,0,7,8,2818,201,21,34,3077,48,13,54,3134,122,9,3261,551,51,3,0,607,16,0,16,622,19,0,642,811,61,0,4,878,12,0,12,889,17,0,903,11,3,7,0,20,0,0,0,21,0,0,25,14,0,0,10,23,3,0,3,25,0,0,25,1390,113,6,10,1522,27,0,27,1552,39,0,1590,14,0,0,0,15,3,0,3,23,0,0,23,33,0,0,0,33,6,0,6,40,0,0,40,51,0,0,0,50,7,0,7,60,0,0,60,1439,114,6,13,1571,33,0,33,1611,39,0,1650,307,30,3,3,349,9,0,9,359,23,0,388,3,0,0,0,3,0,0,0,3,0,0,3,1751,148,10,14,1924,44,0,46,1972,64,3,2041,785,68,3,4,857,20,3,23,881,32,3,914,1103,100,3,6,1218,20,0,25,1244,34,0,1275
LGA21010,40,3,0,3,44,18,0,62,0,0,0,0,0,0,0,0,0,0,0,0,211,16,7,9,243,9,0,9,256,28,0,282,47,7,0,0,54,0,0,0,54,3,0,59,63,10,0,0,73,0,0,0,73,0,0,70,4,0,0,0,3,0,0,0,3,0,0,5,3,0,0,0,3,0,0,0,3,0,0,3,115,14,3,0,128,0,0,0,128,7,0,139,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,5,3,0,0,0,3,0,0,0,3,0,0,5,116,14,3,0,137,0,0,0,137,10,0,144,23,3,0,0,28,3,0,3,28,9,0,37,0,0,0,0,0,0,0,0,0,0,0,0,144,13,3,0,165,3,0,3,168,13,0,183,82,9,0,3,86,0,3,4,94,8,0,98,81,11,3,0,98,0,0,0,98,3,4,99
LGA21110,931,34,11,39,973,86,3,1060,4,3,0,3,16,0,0,0,16,0,3,19,4287,407,47,53,4789,99,28,123,4912,227,5,5144,902,102,9,3,1016,27,7,29,1047,49,4,1093,1244,112,10,14,1376,28,5,28,1403,34,3,1447,26,3,3,0,33,0,0,0,33,0,0,36,18,3,0,16,34,3,0,3,43,3,0,40,2190,222,19,33,2465,54,12,64,2523,89,3,2614,37,0,0,0,35,8,0,8,43,0,0,43,53,3,0,0,59,0,0,0,63,0,0,63,90,4,0,0,98,8,0,10,102,0,0,103,2280,225,21,30,2557,61,11,72,2626,89,3,2726,502,63,14,4,578,20,3,21,599,64,0,667,3,0,0,6,8,0,0,0,8,0,0,8,2790,287,28,38,3148,76,13,94,3240,154,7,3396,1334,132,14,9,1491,41,7,42,1530,94,0,1627,1643,165,10,11,1829,37,7,37,1870,63,0,1936
LGA21180,1145,71,11,81,1222,324,3,1550,4,3,0,8,20,0,0,0,20,9,33,54,2916,640,64,113,3733,181,47,230,3961,532,41,4537,633,81,10,3,728,16,8,21,756,49,0,803,683,139,11,10,845,17,6,18,864,66,3,928,25,3,4,0,26,0,0,3,27,0,0,29,13,6,0,17,36,3,0,3,38,0,4,48,1354,228,21,31,1637,34,14,45,1681,117,4,1801,24,14,0,0,42,15,0,16,61,8,0,63,43,28,3,0,68,14,8,15,84,9,0,91,65,42,4,0,115,26,6,34,147,15,0,156,1420,275,23,33,1749,60,18,78,1832,129,4,1964,496,145,7,25,672,58,4,56,729,223,3,955,3,0,0,8,7,0,0,0,13,3,14,29,1914,418,30,63,2435,118,22,142,2571,357,22,2946,934,111,10,18,1070,31,8,36,1110,86,4,1200,909,198,15,22,1139,21,5,33,1169,87,3,1260
