LGA_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA20110,..,28,23,11,21,21,10,5,0,112,..,15,32,39,82,166,212,162,92,791,10,12,11,12,17,40,26,18,10,154,872,463,427,663,811,934,741,414,151,5476,..,17,280,674,909,1154,916,454,88,4493,..,62,203,205,220,145,70,16,0,923,..,12,47,111,119,67,25,22,13,422,1780,..,..,..,..,..,..,..,..,1780,..,448,..,..,..,..,..,..,..,448,..,275,103,42,37,30,0,0,0,488,..,24,16,11,3,32,18,14,7,130,..,18,18,0,6,0,3,3,0,57,..,45,46,29,37,43,32,9,0,242,..,27,94,117,207,340,349,232,127,1495,10,43,38,22,42,56,43,29,19,292,1791,978,833,1219,1582,1865,1454,783,263,10771
LGA20260,..,36,30,5,23,23,16,3,3,136,..,12,40,32,78,124,157,161,88,693,15,15,12,8,10,24,21,10,4,125,815,475,470,535,703,743,609,358,144,4858,..,16,323,553,738,927,768,380,71,3778,..,111,224,163,169,90,44,11,0,814,..,12,63,105,126,51,23,18,21,431,1654,..,..,..,..,..,..,..,..,1654,..,344,..,..,..,..,..,..,..,344,..,296,95,46,41,22,4,0,0,510,..,48,13,14,10,25,23,23,9,165,..,24,32,3,4,0,0,0,0,68,..,65,65,31,44,59,39,14,3,318,..,43,104,106,197,285,283,225,132,1368,21,47,50,31,28,42,35,24,9,284,1677,1006,972,1049,1362,1502,1222,700,251,9731
LGA20570,..,943,448,106,138,154,71,37,11,1907,..,252,577,489,725,1327,1445,1199,721,6734,202,343,180,93,84,117,122,73,40,1261,8954,6258,6230,6108,6306,5775,4535,2580,1084,47840,..,183,4223,6570,6619,6419,5095,2389,498,31999,..,1169,2768,1518,1215,693,291,76,11,7736,..,228,767,1233,1418,600,227,203,141,4819,18017,..,..,..,..,..,..,..,..,18017,..,4362,..,..,..,..,..,..,..,4362,..,2863,1156,445,341,158,27,3,0,4993,..,442,250,103,153,227,157,94,53,1491,..,329,219,74,71,39,14,8,0,758,..,1876,1101,264,299,285,166,71,24,4080,..,507,1251,1131,1539,2231,2201,1605,914,11372,393,631,439,238,210,211,200,105,58,2491,18406,12598,12174,11571,11867,10869,8372,4554,1694,92114
LGA20660,..,475,507,135,107,133,82,24,15,1471,..,135,527,527,692,1140,1356,1198,784,6350,132,159,200,112,103,86,125,78,43,1048,10288,6575,7743,8472,8024,7207,5536,3200,1424,58466,..,158,5659,10776,9667,8791,6982,3268,809,46111,..,492,2894,1850,1271,739,298,46,9,7601,..,64,332,941,1558,999,434,380,233,4937,20878,..,..,..,..,..,..,..,..,20878,..,7032,..,..,..,..,..,..,..,7032,..,3148,2787,796,600,309,57,0,0,7696,..,642,497,172,173,293,270,230,164,2433,..,391,387,94,84,62,29,10,4,1057,..,1005,1220,344,269,262,183,57,23,3368,..,261,1018,1190,1426,1969,2069,1619,1024,10575,254,291,403,248,226,152,184,111,58,1929,21138,13486,15192,16422,15275,13566,10503,5709,2329,113622
LGA20740,..,50,59,32,54,75,45,13,9,352,..,43,116,106,244,517,654,469,237,2378,31,49,58,30,54,89,94,47,17,457,2443,1244,1379,1653,1996,2377,2339,1140,428,15001,..,48,913,1603,2041,2490,2776,1207,271,11355,..,242,660,479,447,394,187,37,4,2442,..,53,186,363,384,205,95,71,60,1411,4929,..,..,..,..,..,..,..,..,4929,..,1082,..,..,..,..,..,..,..,1082,..,682,325,133,111,68,12,0,0,1330,..,77,42,29,41,67,60,48,26,386,..,65,46,17,21,18,3,3,0,183,..,96,136,77,109,152,84,38,14,706,..,88,243,289,576,985,1096,712,350,4343,78,121,125,81,101,172,162,69,24,931,5011,2548,2675,3072,3833,4548,4482,2184,753,29097
LGA20830,..,82,80,38,61,78,49,17,4,405,..,44,148,124,262,522,559,525,292,2475,88,104,76,46,53,73,67,38,22,562,4308,2514,2566,2649,3132,3135,2521,1285,472,22584,..,114,2034,3025,3646,3844,3394,1411,269,17733,..,408,1134,674,650,442,171,43,4,3521,..,83,277,478,555,274,110,95,64,1938,8583,..,..,..,..,..,..,..,..,8583,..,2216,..,..,..,..,..,..,..,2216,..,1572,589,221,154,89,9,0,0,2635,..,146,69,28,61,110,96,93,28,632,..,120,70,30,34,16,12,4,0,300,..,169,174,84,127,137,96,30,6,827,..,110,360,375,606,973,912,758,379,4463,163,230,187,98,115,133,118,72,24,1135,8746,5167,4897,5019,5938,6027,4908,2501,778,43979
LGA20910,..,92,213,93,97,110,64,40,18,715,..,101,302,401,521,909,1285,1079,928,5533,82,92,108,60,65,87,66,67,39,657,8651,5046,3925,6309,7854,6074,4599,2526,1546,46534,..,41,2510,8114,10649,7893,5761,2469,806,38250,..,200,1458,1325,1224,774,348,86,19,5439,..,26,119,557,1101,704,267,162,213,3149,17331,..,..,..,..,..,..,..,..,17331,..,6993,..,..,..,..,..,..,..,6993,..,2159,1686,362,292,206,43,0,0,4743,..,350,167,65,72,144,149,169,131,1245,..,162,142,33,36,34,17,3,3,443,..,208,471,214,188,205,130,70,33,1514,..,188,606,743,1043,1498,1827,1459,1184,8559,167,187,205,133,133,153,106,100,48,1235,17504,10519,7369,11560,14738,11605,8655,4518,2439,88902
LGA21010,..,24,19,13,21,17,20,11,0,134,..,26,53,44,113,207,237,187,143,1005,22,28,27,11,18,22,24,9,8,170,963,609,588,625,928,1030,867,488,225,6321,..,30,392,624,935,1217,1047,542,133,4914,..,123,233,164,176,171,82,27,3,986,..,36,96,143,171,77,40,30,23,605,1970,..,..,..,..,..,..,..,..,1970,..,495,..,..,..,..,..,..,..,495,..,327,125,65,37,36,6,0,0,599,..,46,17,17,15,31,26,19,17,184,..,48,22,11,4,13,3,0,0,94,..,61,44,21,46,45,41,24,3,283,..,60,116,114,259,372,414,276,189,1809,48,66,56,23,42,41,43,19,8,343,2018,1284,1103,1188,1689,1995,1702,940,379,12277
LGA21110,..,1356,1558,262,122,139,115,59,21,3637,..,429,1048,917,822,1296,1758,1551,1213,9039,122,266,277,112,91,123,108,72,62,1240,13451,11578,10629,10501,12140,9254,6696,3841,1997,80100,..,184,6238,13198,16424,12598,8523,3892,1080,62146,..,840,4004,1793,1386,775,356,98,29,9282,..,54,181,942,1902,1087,390,311,219,5083,27299,..,..,..,..,..,..,..,..,27299,..,12936,..,..,..,..,..,..,..,12936,..,3118,3103,642,506,217,40,0,0,7630,..,1237,804,150,170,326,318,274,190,3475,..,810,651,114,78,60,17,7,10,1745,..,2699,3260,592,293,268,223,111,38,7474,..,1014,2073,1683,1585,2047,2457,2059,1553,14477,233,523,553,223,210,204,178,116,87,2328,27532,23417,20882,19344,22551,17587,12498,6857,3207,153871
LGA21180,..,373,466,194,183,200,108,38,14,1574,..,154,509,485,624,1010,1317,1141,567,5811,254,311,362,213,149,218,211,143,52,1905,16688,12404,14349,12539,11988,10840,7346,3771,1293,91212,..,1008,11820,14568,14470,13735,9868,3866,700,70046,..,572,2614,1952,1358,738,229,53,6,7523,..,223,1147,2397,2838,1824,855,586,289,10163,33623,..,..,..,..,..,..,..,..,33623,..,12047,..,..,..,..,..,..,..,12047,..,6742,6753,2166,1105,398,51,0,0,17215,..,2020,1695,595,753,1029,664,562,263,7585,..,1178,1342,454,392,249,86,22,7,3732,..,1402,2080,756,519,449,233,73,31,5543,..,347,1238,1425,1739,2056,2152,1628,759,11351,493,584,826,549,412,384,341,221,77,3874,34118,26123,29518,24866,23589,20859,14476,7026,2128,182701
