LGA_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
LGA23110,0,18,0,97,34,27,14,13,4,218,0,11,7,58,53,123,166,198,86,697,0,5,3,12,0,0,0,0,0,25,0,5,0,26,3,0,0,0,0,33,4,8,31,247,119,56,56,13,7,536,0,11,14,83,23,25,5,8,0,164,0,0,0,18,36,113,215,150,22,550,0,5,3,28,4,14,3,3,3,61,0,3,13,68,24,6,13,5,3,137,0,0,30,49,0,0,0,0,0,79,3,3,0,13,16,15,23,12,12,99,13,66,108,460,167,103,40,6,0,967,0,0,0,14,6,7,6,10,3,49,6,11,51,141,4,3,0,0,0,210,0,0,0,8,4,0,0,0,0,12,4,20,38,156,51,61,28,4,3,369,0,0,3,34,8,28,18,8,15,118,0,3,6,38,57,61,50,34,14,262,4,8,5,28,10,18,0,0,0,69,6,8,12,84,27,22,13,0,5,179
LGA23190,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,9,5,7,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,14,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,6,11,3,0,21,0,3,3,12,3,14,7,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,4,11,4,12,3,0,0,0,0,33,0,0,0,0,0,3,3,0,0,7,0,0,0,3,4,5,3,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,13
LGA23270,0,9,9,53,25,22,21,14,7,165,0,7,12,77,176,420,574,333,78,1676,0,0,3,4,0,3,0,0,0,15,0,3,4,24,7,0,3,0,0,35,21,51,89,793,366,292,150,52,9,1814,7,13,29,65,32,21,21,4,0,184,0,0,11,18,43,149,238,103,13,576,0,3,7,45,14,14,13,0,0,102,0,0,0,8,8,6,3,7,0,35,3,42,61,180,7,0,0,0,0,293,0,0,0,9,13,18,39,22,12,111,71,378,334,518,211,131,52,12,0,1711,0,0,0,9,12,14,27,9,0,73,45,99,270,790,93,27,11,3,0,1344,0,0,10,17,11,0,0,0,0,41,13,86,154,392,217,148,42,15,0,1063,0,0,0,24,14,47,25,10,11,137,0,5,6,29,53,63,68,44,7,283,3,20,33,42,24,19,11,0,0,150,0,14,19,55,31,27,18,3,0,167
LGA23350,0,0,0,0,3,4,0,0,0,10,0,0,0,0,3,0,12,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,5,0,33,0,0,3,12,12,12,6,3,0,55,0,0,0,0,0,4,4,0,0,6,0,3,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,5,3,13,15,0,0,32,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,5,0,0,7
LGA23430,5,29,12,147,56,28,41,20,9,346,0,5,13,64,57,111,213,224,68,753,3,28,7,36,23,4,3,6,0,111,0,15,20,66,17,12,0,3,0,134,0,3,8,29,31,34,24,10,7,143,3,10,24,121,43,63,30,11,5,316,0,0,0,3,5,21,18,20,3,76,0,4,8,82,48,52,61,32,9,300,0,0,0,16,5,3,3,7,0,39,0,3,10,43,0,3,0,0,0,66,3,3,8,29,12,34,58,38,16,197,12,77,139,440,236,169,75,32,9,1191,0,0,0,24,23,23,17,23,7,115,0,8,39,91,13,6,6,0,0,165,0,0,3,8,17,0,0,0,0,37,3,35,64,220,95,70,31,6,0,531,3,0,3,69,40,60,53,13,16,262,3,14,20,99,86,85,76,55,26,464,3,13,15,41,18,20,9,8,0,116,3,59,58,234,128,67,48,15,5,625
LGA23670,8,18,4,42,31,38,31,29,18,203,0,0,0,24,66,135,173,122,43,568,0,15,6,10,12,4,0,0,0,49,0,27,34,127,44,13,3,0,0,256,0,0,0,20,20,27,18,7,5,97,14,84,181,486,244,298,159,45,8,1507,0,0,0,3,4,26,33,9,3,78,0,3,9,28,35,41,31,13,0,162,0,0,12,22,15,4,3,3,0,64,0,0,16,35,9,4,0,0,0,67,3,6,3,15,28,69,140,104,35,405,9,110,113,270,175,130,86,25,6,924,0,0,4,14,14,21,17,14,9,100,0,8,10,45,27,11,3,0,0,104,0,0,0,9,12,3,0,0,0,25,0,35,55,199,91,79,40,3,4,502,0,3,3,55,26,68,45,10,19,231,0,5,8,45,46,106,110,58,15,398,6,68,80,101,75,71,29,8,3,436,4,25,57,147,106,88,67,19,4,512
LGA23810,0,3,0,14,4,14,12,9,9,69,0,0,0,0,24,61,88,85,48,307,0,0,0,6,0,0,0,0,0,13,0,3,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,14,5,11,3,0,0,42,0,0,0,5,11,31,89,39,16,194,0,0,0,4,0,6,0,0,0,8,0,0,0,3,0,0,0,0,0,9,0,0,0,7,4,0,0,0,0,14,0,0,5,16,14,67,135,95,21,347,0,12,23,84,60,70,52,14,3,319,0,0,0,5,3,12,22,9,3,49,0,0,3,15,3,3,0,0,0,25,0,0,0,6,3,0,0,0,0,10,0,10,18,32,15,10,3,0,0,99,0,0,0,4,4,15,9,3,6,44,0,0,3,11,24,63,92,44,10,257,0,0,4,3,0,3,0,0,0,12,0,11,10,21,15,12,7,4,0,74
LGA23940,0,3,0,3,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,12,0,0,3,12,3,12,9,0,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,9,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5
LGA24130,0,0,0,28,9,10,7,7,4,60,0,0,0,7,12,43,42,22,10,135,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,3,10,10,4,0,0,0,27,0,0,0,3,4,37,42,12,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,7,40,16,4,96,3,18,11,79,79,54,24,13,0,278,0,0,0,9,3,6,8,7,0,37,0,0,0,3,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,11,4,5,3,17,4,0,0,0,0,36,0,0,0,4,0,3,3,0,3,13,0,3,3,22,26,26,39,13,10,137,0,3,0,3,3,4,0,0,0,17,0,4,8,20,18,14,8,6,0,73
LGA24210,0,5,3,14,15,16,14,14,3,90,3,8,11,44,78,196,536,480,175,1542,0,7,11,18,14,12,11,3,0,77,4,40,52,135,62,31,18,6,0,354,0,0,4,25,37,68,41,15,10,193,13,121,253,567,262,284,203,89,14,1816,0,0,0,4,7,11,26,38,4,93,0,0,0,15,3,6,9,3,0,33,0,0,3,0,3,0,4,3,3,21,0,0,0,8,0,0,0,0,0,14,0,0,3,6,16,20,36,26,19,133,4,59,97,150,86,76,42,29,9,549,0,0,0,0,13,8,8,5,3,41,13,19,29,122,22,5,10,3,0,220,0,0,0,14,7,4,0,0,0,28,0,17,22,61,10,19,6,7,0,140,0,0,0,17,0,23,19,11,12,83,0,3,5,18,23,31,46,26,13,165,7,44,72,108,74,50,44,19,0,426,5,48,111,123,119,90,45,25,5,567
