LGA_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
LGA21270,0,0,0,0,0,0,0,0,153,13,0,0,166,0,0,0,166,5,0,173,401,37,17,3,458,3,3,5,465,3,8,475,20,3,0,0,24,0,0,0,24,0,0,28,7,0,0,5,14,0,0,0,14,3,0,15,584,51,14,12,664,3,3,5,668,15,8,690,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,5,0,0,0,5,3,0,7,5,0,0,0,5,0,0,0,11,0,0,10,590,51,14,12,669,9,3,10,681,16,8,705,169,7,4,0,186,3,0,3,182,50,6,242,5,0,0,0,9,0,0,0,9,0,6,7,760,66,22,13,863,9,3,8,867,64,14,954
LGA21370,37,0,0,0,37,0,0,37,1213,115,20,7,1359,7,0,8,1364,67,3,1433,2136,209,60,17,2424,21,8,30,2450,68,7,2526,183,17,50,3,252,0,3,3,254,6,0,260,32,0,0,21,57,0,0,0,57,6,5,65,3564,340,132,55,4084,25,9,42,4126,145,20,4293,34,0,0,5,38,4,0,4,43,4,0,45,65,16,0,0,81,0,0,0,78,3,0,85,94,17,0,5,116,4,0,4,122,8,0,135,3661,359,132,61,4202,32,9,43,4251,150,20,4425,876,119,38,28,1056,32,0,32,1091,162,0,1259,12,0,0,3,10,0,0,0,10,0,26,41,4548,474,164,88,5272,67,9,76,5353,321,48,5719
LGA21450,358,4,3,11,366,53,3,418,3702,390,30,26,4157,76,14,87,4237,218,6,4470,7167,609,77,52,7908,78,23,103,8014,198,7,8218,555,61,84,10,711,4,0,4,719,32,0,749,94,15,0,90,195,5,0,5,200,16,3,217,11520,1082,194,177,12978,157,30,193,13166,466,19,13648,117,17,5,3,150,21,0,21,168,18,0,185,318,44,3,3,373,20,3,23,391,20,0,412,441,63,6,10,519,37,3,45,557,39,0,598,11959,1147,203,182,13490,200,38,232,13727,507,15,14249,4298,507,106,119,5032,130,37,165,5191,536,17,5742,23,0,3,25,55,0,0,0,55,11,43,106,16283,1654,311,330,18574,323,73,397,18973,1055,76,20103
LGA21610,1699,37,20,56,1759,342,6,2105,13218,1676,141,99,15127,319,99,418,15549,816,23,16385,18507,2484,252,195,21438,364,61,422,21863,773,27,22665,1527,183,186,17,1917,17,3,19,1933,62,0,1995,262,56,6,305,622,33,5,44,662,49,22,738,33513,4398,586,612,39104,728,174,899,40008,1703,76,41785,756,135,16,27,926,166,9,170,1100,105,6,1209,1237,180,12,27,1460,111,33,143,1606,78,13,1697,1997,312,33,53,2393,272,43,317,2704,187,21,2907,35507,4709,612,670,41498,1004,212,1220,42718,1886,90,44695,15143,2806,286,467,18703,683,144,824,19521,3504,83,23112,90,24,0,70,188,4,0,7,188,26,226,446,50744,7531,903,1206,60387,1694,353,2044,62430,5423,395,68245
LGA21670,12,0,0,0,12,0,0,15,219,30,3,0,261,0,0,0,263,28,0,289,490,68,12,7,586,10,3,14,599,45,0,640,24,13,0,3,41,0,0,0,41,6,0,44,5,0,0,10,11,0,0,0,11,0,0,11,740,117,17,19,889,10,4,16,908,74,0,982,3,0,0,7,15,3,3,6,18,0,0,16,11,4,0,0,17,0,0,0,17,5,0,25,15,5,0,7,25,3,3,6,31,10,0,39,757,121,17,27,917,14,4,18,938,85,0,1020,277,67,9,0,354,20,9,34,387,116,0,508,0,0,0,0,0,0,0,0,0,0,0,0,1030,185,30,27,1271,35,16,53,1321,203,0,1529
LGA21750,19,0,0,0,19,0,0,23,613,101,13,9,733,10,3,13,747,20,4,771,1370,127,20,18,1532,8,5,11,1546,38,0,1586,75,5,18,3,106,0,3,3,105,5,0,113,7,0,0,16,25,0,0,0,25,0,0,25,2072,226,50,45,2394,14,8,31,2421,62,3,2490,3,5,0,0,4,0,0,0,7,0,0,7,16,8,0,0,26,4,0,4,31,0,0,31,25,13,0,0,35,3,0,3,33,0,0,33,2096,237,50,45,2427,22,8,33,2460,62,3,2528,479,84,18,29,617,25,0,27,641,57,0,698,4,0,0,0,4,0,0,0,4,0,18,23,2579,321,72,78,3048,47,15,56,3104,118,27,3247
LGA21830,15,0,0,0,15,3,0,20,645,54,12,0,716,4,0,4,722,15,0,729,1012,95,9,12,1129,5,0,7,1135,33,3,1168,63,12,16,0,83,3,3,3,88,0,0,93,9,0,0,16,30,0,0,0,30,7,0,37,1733,163,36,28,1958,10,5,15,1975,50,3,2031,4,0,0,0,4,0,0,0,6,0,0,6,16,3,0,0,15,8,0,8,19,0,0,25,15,3,0,0,20,10,0,10,34,0,0,32,1756,161,36,31,1983,20,5,25,2010,52,3,2062,416,62,4,20,501,25,0,25,527,86,0,614,4,0,0,0,4,0,0,0,4,0,7,13,2177,223,39,49,2494,49,5,54,2542,132,14,2694
LGA21890,611,18,11,25,633,118,0,756,3938,725,62,34,4758,103,31,134,4886,354,3,5245,7508,1184,67,57,8817,114,51,161,8976,308,9,9287,608,106,74,7,793,10,0,16,807,17,0,825,76,16,0,98,190,8,0,8,194,10,0,204,12125,2026,199,199,14556,231,78,311,14866,690,14,15566,159,39,3,9,209,53,10,64,269,3,0,272,365,67,3,7,444,32,26,54,497,16,0,510,523,107,3,14,644,86,32,119,766,20,0,789,12652,2135,203,216,15202,315,111,426,15628,709,14,16352,3718,755,106,123,4709,200,83,277,4988,1287,7,6283,28,0,0,15,49,3,0,3,52,7,52,107,16402,2889,314,360,19960,522,189,711,20668,2000,79,22745
LGA22110,23,0,0,0,23,0,0,28,878,125,28,8,1046,18,11,28,1070,80,5,1158,2019,322,60,34,2431,26,9,36,2466,137,0,2603,168,32,38,3,240,0,0,0,240,10,0,247,23,6,0,26,50,0,0,0,56,4,0,63,3081,491,121,64,3762,43,17,66,3827,234,4,4065,22,19,0,0,43,4,0,4,45,6,0,56,32,8,0,3,43,4,0,3,45,0,0,52,58,28,0,3,82,7,0,13,94,9,0,104,3137,514,124,70,3844,51,23,73,3921,247,4,4170,932,160,26,34,1145,43,8,56,1204,265,0,1468,6,4,0,4,11,0,0,0,11,0,20,35,4075,679,147,112,5006,99,32,125,5134,511,27,5672
LGA22170,427,7,6,9,439,63,3,500,3875,526,45,26,4479,82,15,98,4575,304,6,4887,7895,796,77,59,8828,102,12,121,8945,283,3,9236,698,81,131,5,913,11,0,11,925,16,3,942,63,15,0,58,137,6,0,6,146,0,9,154,12528,1416,256,156,14357,205,34,238,14592,606,20,15215,141,32,0,6,181,25,0,23,204,12,0,213,376,31,4,16,423,22,10,29,454,26,0,478,520,60,5,23,609,46,11,50,655,33,0,691,13047,1477,257,176,14960,246,42,289,15251,638,20,15909,4291,513,85,110,4996,157,30,186,5177,680,16,5876,26,10,0,19,49,0,0,0,49,4,36,94,17361,1994,341,306,20005,401,71,470,20478,1325,74,21881
