LGA_CODE_2016,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
LGA22250,6,0,0,0,6,0,0,6,316,16,9,0,336,3,0,8,346,11,0,353,637,32,5,16,691,0,0,0,690,35,0,727,44,8,10,0,62,0,0,0,62,0,0,62,7,0,0,10,13,0,0,0,13,0,3,18,995,53,18,30,1105,7,0,11,1110,43,3,1159,9,0,0,0,9,3,0,3,17,3,0,18,15,3,0,0,14,0,5,5,17,3,0,18,26,3,0,0,25,3,5,8,34,4,0,38,1022,63,18,30,1127,7,3,11,1143,50,3,1192,270,44,5,7,326,3,0,3,327,56,3,392,4,0,0,0,4,0,0,0,4,0,6,6,1291,107,24,37,1457,12,3,17,1475,108,12,1596
LGA22310,987,17,8,30,1015,104,3,1124,6129,691,64,34,6917,159,37,195,7114,344,4,7469,10303,1072,69,106,11555,157,31,189,11743,285,21,12046,731,97,97,7,938,20,0,20,954,28,0,984,109,20,0,104,236,9,0,9,243,9,9,262,17276,1877,230,257,19640,348,72,419,20056,660,34,20757,201,15,3,0,220,41,3,44,264,12,0,280,510,52,3,3,566,11,6,20,584,15,0,596,711,69,7,3,784,56,13,64,850,30,0,880,17980,1947,234,257,20427,402,77,480,20908,687,34,21637,4486,526,70,109,5198,106,14,126,5319,469,0,5793,26,6,0,36,69,0,0,0,69,3,46,118,22491,2481,309,403,25690,511,93,603,26295,1167,82,27538
LGA22410,10,0,0,0,10,4,0,16,461,36,4,3,506,12,0,12,519,27,0,543,966,118,25,8,1116,13,3,12,1129,40,0,1176,61,11,14,0,87,0,0,0,87,0,0,87,7,0,0,25,33,3,0,3,34,0,0,36,1499,166,46,35,1749,27,3,23,1771,69,0,1842,18,0,0,0,19,4,0,4,23,8,0,29,16,3,0,0,23,0,0,3,21,7,0,28,29,7,0,0,41,10,0,10,49,13,0,61,1529,168,46,40,1787,30,4,35,1817,80,0,1900,504,75,23,27,628,19,10,32,656,99,0,756,11,0,0,0,11,0,0,0,11,5,12,24,2047,247,66,63,2415,56,14,65,2486,190,12,2684
LGA22490,54,0,0,0,56,3,0,61,824,102,10,11,950,14,0,16,969,58,7,1028,1923,202,33,20,2176,10,8,15,2188,58,8,2244,156,13,24,4,200,4,0,4,200,10,0,209,22,0,0,25,47,0,0,0,47,10,0,52,2925,320,71,61,3369,21,6,29,3403,129,10,3537,18,3,0,0,19,0,0,0,21,3,0,21,63,8,9,0,72,0,0,0,72,5,0,78,78,9,9,0,95,0,0,3,93,10,0,108,3003,328,72,61,3465,20,7,29,3496,136,10,3638,884,136,26,50,1102,10,0,13,1107,97,3,1209,16,4,4,5,29,0,0,0,29,0,0,31,3906,464,106,114,4591,29,11,38,4638,234,12,4884
LGA22620,203,7,3,9,209,18,0,223,3110,442,62,32,3648,57,17,74,3720,196,5,3915,6614,806,127,81,7629,72,10,84,7710,231,5,7952,575,101,92,10,776,13,0,13,788,10,0,799,69,9,0,44,121,3,0,3,125,7,3,134,10368,1360,278,166,12173,141,32,169,12343,444,15,12804,96,21,0,5,124,17,0,17,136,16,0,151,244,28,3,7,274,18,17,31,306,29,0,333,339,45,3,8,401,34,17,48,447,38,0,488,10708,1409,282,173,12571,176,46,219,12786,483,15,13291,3050,481,77,70,3678,143,48,190,3871,636,12,4518,33,0,0,0,33,0,0,0,33,3,18,55,13789,1888,356,248,16279,317,97,408,16691,1122,46,17861
LGA22670,780,35,15,52,834,283,3,1126,4736,761,36,33,5564,173,34,207,5770,462,10,6238,4036,1143,21,61,5266,127,48,176,5438,384,11,5827,383,67,64,7,515,13,0,15,527,36,0,562,122,40,0,144,304,16,0,17,316,30,11,356,9276,2010,120,239,11646,326,82,407,12051,912,23,12992,332,80,3,13,427,141,4,150,570,79,3,654,389,113,14,18,533,75,60,135,674,53,0,723,719,192,17,27,957,220,64,284,1246,130,3,1378,9996,2203,142,269,12607,546,150,695,13296,1045,27,14371,6029,1773,105,281,8189,548,150,704,8893,3277,38,12200,46,14,3,43,113,0,0,0,113,21,133,258,16074,3989,250,590,20905,1094,298,1391,22294,4342,191,26835
LGA22750,769,15,4,16,786,98,3,892,6234,863,110,51,7261,157,42,200,7460,446,15,7926,14596,1524,192,106,16421,194,36,230,16650,470,11,17137,1277,119,189,16,1602,18,0,18,1619,50,0,1665,137,25,0,129,291,0,3,4,294,13,3,306,22244,2534,492,307,25576,371,84,447,26026,972,37,27033,216,43,3,5,275,46,0,46,315,18,0,338,576,54,8,4,641,42,13,59,701,19,8,728,790,98,13,14,918,86,13,105,1022,44,8,1070,23036,2633,502,314,26492,457,94,557,27046,1015,38,28102,6733,958,188,176,8050,269,74,345,8398,1209,20,9617,56,0,3,25,82,0,0,0,82,5,72,157,29819,3592,697,510,34618,725,171,898,35520,2228,132,37874
LGA22830,71,4,3,3,76,25,0,96,2037,241,35,10,2329,44,12,57,2380,140,3,2521,3450,406,64,44,3964,45,3,48,4018,135,0,4152,274,16,54,0,341,6,0,11,355,8,0,367,42,8,0,39,93,3,0,3,93,7,4,102,5806,678,151,99,6726,100,21,123,6849,295,6,7148,71,9,8,8,95,42,4,47,137,10,0,148,119,15,3,5,137,10,11,21,154,0,0,159,194,25,9,11,232,49,15,60,294,13,0,309,5999,700,161,103,6956,150,35,183,7142,305,6,7451,1703,406,79,71,2260,109,42,153,2409,954,6,3376,18,0,0,9,30,0,0,0,30,4,38,69,7721,1103,241,182,9249,261,71,337,9586,1266,50,10898
LGA22910,18,0,0,0,18,3,0,22,248,57,8,4,318,3,10,12,327,25,0,357,670,158,15,3,842,11,3,12,855,47,0,902,59,12,9,0,80,0,0,0,80,4,0,87,13,0,0,9,27,0,0,0,27,0,0,27,989,220,34,19,1258,15,15,24,1280,81,0,1367,0,4,0,0,3,3,0,3,11,0,0,9,24,4,0,0,25,0,0,0,25,0,0,25,26,7,0,0,33,3,0,3,38,0,0,36,1014,227,34,17,1291,12,15,26,1316,81,0,1404,362,81,17,14,475,13,3,14,486,74,0,563,4,0,0,0,4,0,0,0,4,3,0,12,1381,307,44,38,1772,25,18,45,1813,154,4,1973
LGA22980,4,0,0,0,4,3,0,9,164,3,6,0,171,0,0,3,173,4,0,182,285,22,3,6,314,3,0,3,320,23,0,341,16,3,0,0,24,0,0,0,24,0,0,24,3,0,0,0,3,0,0,0,3,0,0,3,464,35,13,5,518,7,0,8,519,25,0,551,3,0,0,0,3,0,0,0,3,0,0,3,9,0,0,0,9,3,0,5,11,3,0,15,13,0,0,0,13,3,0,5,19,3,0,20,475,36,13,5,527,3,4,10,540,29,0,568,181,15,3,3,202,10,0,10,211,42,0,255,0,0,0,0,0,0,0,0,0,0,0,0,659,51,15,12,735,11,4,18,748,75,0,818
LGA23110,478,16,3,17,493,71,3,568,3195,437,39,38,3702,75,20,95,3795,237,5,4037,5041,560,67,41,5696,64,17,81,5782,189,7,5972,516,67,78,9,667,3,0,4,668,22,0,689,45,11,0,40,95,0,0,0,101,7,7,111,8796,1069,177,122,10170,138,39,181,10350,451,17,10812,128,15,0,0,147,31,0,31,175,16,0,186,231,33,0,5,266,27,9,33,300,24,0,320,359,43,8,5,408,54,9,67,477,36,0,511,9156,1114,184,129,10580,200,43,244,10821,485,17,11325,3001,588,96,64,3749,149,36,187,3933,666,16,4614,28,6,0,18,56,0,0,0,56,8,47,108,12177,1711,279,211,14381,347,81,433,14815,1159,81,16044
LGA23190,12,0,0,0,12,0,0,12,531,48,12,3,590,6,0,10,596,20,0,618,1311,146,15,16,1492,13,0,13,1504,24,0,1527,104,9,9,3,131,0,0,0,131,6,0,136,10,0,0,9,19,3,0,4,17,0,10,24,1950,202,38,35,2221,25,3,25,2252,48,10,2306,10,0,6,0,17,0,0,0,17,0,0,17,30,0,0,0,30,5,3,4,40,8,0,43,41,0,6,0,46,5,3,4,54,8,0,58,1992,206,40,35,2273,25,4,31,2303,52,10,2369,515,83,13,10,626,19,3,22,647,75,0,722,3,0,0,0,3,0,0,0,3,0,8,10,2516,288,48,46,2898,45,11,60,2959,125,16,3100
LGA23270,1064,58,16,73,1135,403,8,1544,6669,898,77,69,7724,248,53,296,8019,662,8,8694,9080,1403,118,115,10712,223,50,276,10987,600,28,11619,842,96,87,15,1035,13,0,13,1052,42,0,1088,154,45,0,192,393,17,0,18,408,65,23,498,16748,2442,277,394,19858,501,105,613,20469,1363,60,21895,400,120,10,10,540,118,0,114,658,80,9,745,567,160,5,24,756,105,40,141,899,100,12,1005,967,277,12,36,1295,220,41,258,1556,178,16,1749,17715,2725,296,429,21154,723,149,870,22024,1541,73,23646,9269,2873,206,458,12807,742,257,997,13801,5657,124,19580,68,23,0,60,145,5,3,4,153,29,186,366,27051,5613,494,947,34105,1466,405,1877,35983,7226,384,43589
LGA23350,16,0,0,0,16,3,0,20,570,92,7,8,675,4,9,13,686,34,0,725,936,137,29,8,1108,11,0,11,1117,41,3,1167,76,14,18,4,111,3,0,3,114,3,0,120,10,0,0,16,33,0,0,0,31,0,0,31,1593,241,48,41,1926,18,9,26,1954,80,3,2039,4,0,0,0,7,11,0,11,15,3,0,23,24,3,0,0,31,0,0,0,31,0,0,30,28,3,0,0,33,11,0,11,47,4,0,48,1622,245,48,41,1961,32,9,35,1997,82,3,2084,324,57,9,16,405,19,0,19,420,55,3,483,3,0,0,0,5,0,0,0,5,0,4,6,1952,301,60,51,2372,44,9,54,2423,139,13,2572
LGA23430,865,31,3,31,904,100,3,1000,6011,740,64,27,6840,159,37,199,7039,315,7,7360,10424,968,96,106,11601,147,12,158,11760,293,16,12068,795,59,127,13,996,16,3,18,1016,31,0,1046,108,13,3,97,221,4,3,8,225,18,7,249,17340,1778,292,244,19663,327,56,383,20038,656,25,20722,186,33,0,3,223,29,0,29,251,20,0,267,386,27,0,4,425,32,17,50,469,16,0,489,572,62,0,3,642,61,17,79,724,39,0,759,17919,1840,292,244,20304,387,71,456,20761,691,25,21479,4513,507,103,93,5218,105,32,133,5357,658,19,6030,30,3,0,24,58,0,0,0,56,0,33,91,22461,2355,401,367,25580,492,103,599,26178,1347,79,27598
LGA23670,1109,22,3,28,1137,156,5,1295,5857,629,68,72,6633,168,53,219,6843,416,0,7258,10441,1073,122,62,11700,174,35,201,11905,363,15,12284,853,77,107,8,1045,12,0,12,1055,28,0,1084,100,14,0,78,189,6,0,6,193,13,15,223,17251,1794,294,222,19558,349,83,434,19994,823,28,20850,151,37,3,4,203,36,3,34,236,22,3,267,522,69,4,14,603,26,14,40,646,28,0,675,671,101,10,22,809,56,15,73,878,57,3,938,17926,1892,309,241,20363,406,103,511,20874,884,35,21792,5545,744,113,107,6516,172,43,215,6727,690,6,7426,15,5,0,26,46,0,0,0,46,0,49,93,23494,2642,423,373,26925,577,141,724,27652,1574,81,29312
LGA23810,113,8,0,8,118,25,3,144,1511,198,16,8,1735,66,16,82,1817,114,0,1932,3804,368,77,36,4284,100,11,113,4397,208,4,4605,341,43,40,7,435,17,0,17,450,11,0,459,46,3,0,32,88,3,0,3,87,8,0,92,5706,607,135,89,6536,184,29,216,6750,340,3,7092,64,25,0,0,98,29,4,36,133,11,0,143,162,33,3,3,201,24,12,41,235,12,4,257,222,57,8,3,291,58,12,72,369,28,7,400,5934,667,144,94,6828,249,45,291,7122,365,6,7492,1779,252,48,71,2148,178,31,204,2352,472,5,2825,7,0,0,9,14,0,0,0,14,6,24,49,7719,922,192,167,8990,426,69,494,9491,836,40,10368
LGA23940,5,0,0,0,5,0,0,5,223,14,4,0,234,0,0,0,239,6,0,247,380,40,3,4,428,0,3,3,426,25,0,457,32,0,0,0,34,0,0,0,34,0,0,34,6,0,0,11,24,0,0,0,24,0,0,24,640,46,11,22,711,0,3,5,721,33,0,752,8,3,0,0,4,0,0,0,4,9,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,12,0,0,0,12,8,0,14,643,51,11,22,725,0,3,5,726,44,0,774,167,20,6,5,203,10,6,21,226,50,3,277,3,0,0,0,3,0,0,0,3,0,4,6,814,70,15,23,931,17,10,22,958,96,7,1053
LGA24130,161,3,0,3,166,9,0,177,1727,198,37,17,1974,43,13,54,2033,81,3,2114,3695,421,47,41,4207,43,17,60,4269,104,0,4367,288,50,37,0,373,0,0,0,372,5,0,381,48,0,0,41,81,3,0,3,83,6,0,89,5755,673,118,101,6646,84,30,115,6755,199,5,6954,45,0,0,3,52,0,0,0,52,0,0,50,144,9,3,0,157,3,4,6,162,3,0,168,195,9,3,3,204,3,4,6,212,5,0,218,5950,681,123,104,6846,91,32,124,6970,203,5,7177,1641,172,63,26,1903,20,0,18,1924,143,9,2068,17,9,3,3,28,0,0,0,28,0,32,58,7602,861,185,128,8771,106,32,143,8917,340,39,9300
LGA24210,1104,38,12,43,1149,164,5,1323,4408,570,42,30,5048,166,39,202,5250,336,5,5595,7299,983,62,76,8419,123,32,153,8573,297,7,8876,470,60,58,0,589,5,0,5,599,26,3,625,82,15,4,104,196,4,0,4,199,17,9,222,12260,1627,165,200,14249,301,68,368,14621,677,25,15319,162,20,0,3,185,36,0,39,224,14,0,241,368,41,5,8,422,54,5,65,483,23,0,511,534,55,5,12,605,88,10,102,705,40,0,746,12788,1684,166,210,14857,390,79,469,15324,716,23,16066,4328,563,48,94,5031,161,25,186,5222,669,4,5893,39,4,3,12,59,0,0,0,59,0,34,93,17157,2250,219,324,19945,551,100,654,20601,1391,59,22049
LGA24250,0,0,0,0,0,4,0,7,229,41,0,0,271,10,0,12,279,29,0,308,445,97,8,3,551,9,0,9,557,19,6,577,21,6,8,0,30,0,0,0,30,0,0,30,6,0,0,6,15,0,0,0,15,0,0,15,702,143,17,12,869,19,0,22,888,47,6,936,3,0,0,0,3,0,0,0,3,3,0,6,7,6,0,0,13,0,0,0,13,0,0,13,12,6,0,0,21,0,0,0,21,3,0,19,717,146,17,12,885,19,0,22,908,47,6,958,165,34,3,0,205,11,3,11,215,31,0,246,3,3,0,4,5,0,0,0,5,0,7,13,881,176,20,13,1098,26,5,34,1125,81,9,1216
LGA24330,308,18,4,19,322,56,0,375,2479,352,40,18,2888,105,26,135,3018,188,7,3212,3529,528,38,30,4118,89,27,111,4227,174,0,4407,472,53,53,4,581,0,4,4,582,25,0,608,32,10,0,26,77,0,0,0,79,4,8,89,6517,941,130,78,7661,197,51,253,7908,389,11,8316,102,25,3,3,124,34,7,42,173,13,0,179,202,50,3,7,260,24,23,49,309,13,0,324,301,73,6,8,387,59,31,89,476,25,0,501,6815,1014,133,80,8050,260,83,341,8388,419,11,8814,2105,437,49,65,2655,138,46,181,2834,500,11,3345,16,10,0,6,32,0,0,0,32,0,19,49,8936,1461,188,155,10734,389,128,516,11251,919,40,12208
LGA24410,676,18,4,23,695,55,3,754,3719,452,55,46,4274,103,21,125,4401,225,3,4624,8467,749,112,76,9398,85,19,107,9510,185,3,9698,718,65,68,4,850,9,0,9,856,8,0,867,83,8,0,66,154,0,3,6,163,0,3,167,12983,1267,235,194,14683,205,46,249,14927,417,7,15354,116,30,3,0,147,33,5,34,185,10,0,192,326,35,3,3,368,23,8,36,403,8,0,412,439,69,5,4,518,59,10,71,591,16,0,604,13428,1343,239,200,15202,262,53,315,15519,425,7,15956,3797,481,61,64,4403,150,18,165,4574,535,3,5111,25,3,0,20,48,0,4,4,50,0,23,77,17249,1831,302,283,19658,416,77,490,20149,967,38,21150
LGA24600,166,5,0,4,172,41,3,215,1541,173,22,7,1748,58,10,72,1816,125,11,1954,1502,262,12,13,1786,33,3,39,1826,68,3,1897,257,37,53,7,355,4,0,4,357,19,0,377,10,3,0,32,51,3,0,3,48,0,0,52,3309,472,90,65,3930,102,22,118,4052,210,15,4280,104,6,0,0,111,13,3,13,126,8,0,136,100,18,0,3,120,18,4,23,138,9,0,151,203,21,0,3,232,31,4,36,262,22,4,285,3510,496,91,63,4162,128,28,153,4315,235,21,4569,1557,327,33,35,1954,85,41,124,2080,426,4,2505,6,0,0,7,19,0,0,0,19,16,31,58,5079,832,120,111,6132,213,63,279,6416,667,50,7137
LGA24650,588,30,6,39,621,79,4,701,6389,569,77,52,7090,189,42,227,7319,391,3,7718,8412,941,85,116,9555,146,29,174,9733,382,11,10132,806,74,108,9,996,13,3,14,1018,24,0,1036,125,33,0,161,321,15,4,22,336,19,3,364,15737,1613,268,348,17965,361,79,435,18402,823,21,19245,299,46,0,14,364,96,5,104,469,23,0,493,584,91,3,27,710,52,30,83,794,26,8,825,886,140,7,46,1078,156,36,189,1269,54,8,1324,16621,1756,276,391,19044,517,116,625,19672,875,29,20572,6528,1050,169,235,7985,359,61,414,8402,1489,39,9925,43,13,0,33,84,3,0,3,83,3,94,184,23193,2817,441,655,27111,874,174,1045,28157,2364,164,30683
LGA24780,54,0,0,3,56,8,0,67,1568,202,28,6,1805,37,4,46,1852,84,3,1935,2799,268,54,25,3150,64,9,68,3218,133,4,3357,206,29,35,3,277,6,0,6,283,11,0,292,38,0,0,49,88,0,0,0,88,5,0,96,4614,498,119,83,5315,108,16,120,5434,236,4,5677,54,3,0,0,61,21,7,31,88,13,0,104,95,12,0,0,106,27,5,36,142,15,0,158,148,17,0,0,163,53,11,70,231,28,0,255,4758,515,119,83,5480,159,30,193,5672,260,4,5934,1358,207,32,52,1645,138,43,180,1828,454,6,2292,18,0,0,3,19,4,0,4,23,4,26,59,6135,723,145,144,7149,300,73,375,7521,722,43,8283
LGA24850,92,3,0,4,90,13,0,107,1425,168,22,7,1629,30,3,30,1660,107,3,1772,2387,287,57,32,2765,24,9,37,2795,53,3,2850,235,15,38,4,297,0,0,4,294,15,5,314,21,0,0,27,48,0,4,4,56,3,0,55,4077,466,120,74,4734,59,18,77,4806,174,16,4997,73,0,0,0,76,20,0,20,91,10,0,105,127,5,3,0,139,0,0,0,142,4,0,148,204,5,3,3,212,24,0,24,231,15,0,247,4275,475,123,71,4944,75,18,95,5042,189,16,5240,1627,228,35,64,1959,69,4,76,2031,214,3,2247,12,0,0,3,13,0,0,0,13,8,9,37,5916,704,160,140,6914,146,26,170,7085,409,29,7531
LGA24900,18,0,0,0,18,9,0,27,1000,72,12,3,1085,8,3,17,1102,35,3,1142,1570,124,37,17,1746,16,3,25,1771,58,0,1830,146,12,26,0,180,4,3,5,182,4,0,191,30,3,0,39,63,0,0,0,63,6,0,77,2739,212,75,55,3081,30,11,45,3121,104,4,3236,14,5,0,3,20,3,0,3,26,4,0,32,37,10,3,0,46,3,4,5,55,7,0,60,53,11,3,3,72,3,4,9,83,12,0,94,2795,219,78,59,3152,38,17,50,3200,116,4,3322,618,79,19,35,741,30,7,45,787,160,13,955,5,0,0,0,5,0,0,0,5,0,9,12,3416,296,94,92,3905,70,23,90,3998,273,23,4294
LGA24970,1326,57,13,70,1402,192,7,1598,7479,879,66,60,8481,267,47,312,8791,506,6,9304,9526,1381,79,64,11047,200,59,263,11306,359,4,11668,690,73,102,9,871,13,0,14,884,28,0,912,130,18,6,103,256,0,0,0,257,6,6,269,17824,2353,240,230,20647,483,109,588,21237,897,14,22151,333,50,4,3,391,86,11,104,492,23,0,521,579,120,0,0,697,59,43,97,791,45,0,837,911,165,4,4,1091,145,53,197,1289,72,0,1355,18739,2513,248,237,21737,631,161,788,22523,966,14,23508,5773,883,119,119,6892,226,68,299,7188,1010,24,8220,21,4,3,20,41,0,0,0,41,4,45,92,24529,3403,370,369,28669,859,231,1084,29758,1986,83,31826
LGA25060,794,16,4,15,809,96,5,910,4556,467,48,27,5097,102,29,130,5226,231,3,5464,7706,667,71,54,8496,107,21,130,8621,223,8,8855,684,55,93,8,835,15,0,15,850,8,0,862,67,6,0,100,177,0,0,0,176,6,6,192,13008,1202,214,183,14602,224,44,270,14878,475,16,15369,105,32,0,9,144,34,9,43,191,12,3,201,266,52,0,3,322,19,7,25,344,21,0,369,373,81,0,11,469,51,13,71,540,34,3,577,13382,1286,212,192,15072,281,60,338,15410,514,21,15942,3403,422,66,93,3991,149,17,165,4153,502,3,4663,18,10,0,18,43,3,0,3,45,14,38,103,16800,1713,280,308,19103,429,79,507,19613,1028,65,20708
LGA25150,101,0,0,0,101,11,0,109,1163,143,17,15,1345,23,3,22,1369,64,0,1434,2105,214,27,14,2358,36,0,36,2397,67,0,2459,145,10,30,0,186,3,0,3,190,9,0,200,19,4,0,27,56,0,0,0,56,4,0,58,3433,378,76,56,3948,63,4,68,4013,142,0,4148,40,7,0,0,50,0,0,0,49,0,0,49,85,0,0,3,85,9,0,9,89,4,0,102,123,7,3,3,135,10,0,10,144,10,0,153,3556,388,83,59,4076,71,4,75,4148,146,0,4304,1257,146,41,28,1469,51,4,56,1519,140,3,1668,6,0,6,4,12,0,0,0,12,0,9,23,4814,532,123,89,5559,117,13,131,5688,285,17,5994
LGA25250,644,20,11,27,672,124,6,800,4267,662,60,26,5023,140,36,177,5195,357,8,5563,7645,1112,118,62,8936,128,54,183,9122,307,14,9439,789,94,100,10,992,27,3,30,1025,15,0,1036,93,17,0,73,188,3,0,4,195,34,5,232,12800,1888,284,175,15141,292,96,389,15536,715,21,16275,172,53,3,8,224,51,3,58,281,10,0,295,355,84,0,11,448,59,26,80,531,39,0,571,520,134,3,19,679,108,27,133,811,50,0,864,13321,2021,283,190,15818,404,118,526,16345,769,25,17138,4949,1054,123,220,6339,266,80,347,6687,1390,26,8102,50,14,0,38,99,5,0,5,103,10,69,181,18311,3098,407,448,22258,674,202,879,23139,2167,116,25426
LGA25340,494,6,0,8,500,47,0,547,4465,559,45,28,5104,81,13,96,5201,259,11,5473,10202,1112,112,90,11517,104,10,115,11631,370,16,12022,618,45,116,6,783,0,0,0,787,30,3,821,108,8,8,86,217,5,3,8,219,8,3,232,15394,1729,287,218,17622,191,29,219,17845,664,31,18542,125,4,0,0,129,18,0,18,142,8,0,151,350,57,3,6,423,36,0,36,455,20,0,474,478,62,3,6,546,50,0,50,597,33,0,630,15869,1793,286,226,18176,242,29,268,18440,697,31,19173,4276,505,92,97,4967,117,11,124,5095,495,13,5599,33,0,0,3,47,0,0,0,47,0,58,99,20182,2300,377,327,23189,359,37,394,23579,1189,103,24876
LGA25430,27,0,0,0,27,0,0,31,366,82,3,0,449,14,4,18,471,55,3,527,775,232,25,3,1036,4,0,4,1036,46,3,1090,67,13,3,3,88,0,0,0,88,0,0,88,21,0,0,16,35,0,0,0,35,0,0,35,1222,331,27,22,1603,17,4,26,1627,104,4,1738,6,0,0,0,6,6,0,6,12,0,0,12,23,4,0,0,31,0,0,0,32,5,0,38,31,4,0,0,37,8,0,8,43,5,0,48,1254,337,27,22,1640,26,4,30,1675,108,4,1788,401,100,15,12,529,14,3,16,549,68,0,610,0,0,0,3,4,0,0,0,7,0,0,6,1657,439,45,39,2174,38,11,53,2220,177,8,2411
