LGA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
LGA20110,0,11,0,11,291,34,330,0,12,0,13,199,21,235,124,23,4,146,264,46,454,312,14,16,347,234,55,632,247,25,6,283,510,101,894,45,61,0,113,865,104,1081,4,66,0,70,698,90,860,3,14,0,20,363,54,437,0,0,0,0,114,35,153,746,224,32,1000,3529,541,5074,4,25,0,24,265,42,334,13,21,0,40,137,16,193,190,26,20,234,205,42,480,410,26,32,470,215,60,743,210,52,13,276,573,80,926,21,151,3,177,796,93,1068,9,111,0,118,650,84,861,0,25,0,30,377,66,479,0,6,0,6,176,46,237,859,444,66,1372,3403,531,5307,4,36,0,37,558,73,665,14,35,3,49,337,41,427,312,46,18,378,470,83,935,727,36,52,814,440,116,1376,461,74,18,554,1078,177,1815,68,218,0,289,1664,197,2142,10,178,0,192,1349,180,1718,6,43,0,50,740,128,915,0,6,0,10
LGA20260,0,13,0,15,267,33,315,14,14,0,28,220,56,303,184,17,4,211,290,219,714,265,24,11,292,220,248,765,179,38,8,222,449,190,860,24,83,0,108,681,161,953,0,63,0,65,578,127,768,0,13,0,17,328,79,422,0,0,0,0,110,18,127,670,270,27,962,3132,1133,5232,3,25,0,33,223,37,291,37,19,0,60,155,21,231,236,36,19,290,184,41,521,340,23,19,382,162,49,594,141,94,7,244,465,47,752,14,165,0,180,598,58,828,0,101,0,101,536,73,712,3,14,0,18,321,73,413,0,0,0,3,169,55,225,770,485,50,1304,2812,456,4572,9,37,0,44,485,69,606,51,38,0,87,373,71,533,424,54,27,507,475,257,1235,598,48,23,676,384,302,1360,324,128,19,465,911,230,1608,34,248,3,288,1279,221,1784,3,162,0,166,1112,198,1476,3,33,3,37,642,157,840,0,0,0,3
LGA20570,21,135,0,157,2906,302,3362,172,122,3,297,3161,281,3737,1930,208,61,2204,3789,441,6429,3207,148,105,3464,2050,396,5910,1822,235,54,2110,3559,418,6084,249,610,14,868,4392,396,5659,39,655,3,695,3383,455,4536,14,135,3,147,1877,332,2356,3,4,0,9,659,141,806,7463,2257,242,9963,25780,3145,38889,50,255,3,311,2647,283,3237,340,322,14,676,2850,278,3802,2759,414,182,3353,2908,421,6686,3863,245,258,4360,1783,361,6502,1730,622,105,2461,3900,437,6797,148,1543,7,1697,4271,448,6419,40,1134,4,1175,3521,487,5186,9,194,0,203,2390,501,3097,4,14,0,19,1340,241,1601,8943,4744,574,14257,25614,3466,43329,77,394,5,468,5550,583,6603,518,453,14,978,6008,554,7544,4687,620,246,5561,6705,858,13120,7073,390,362,7818,3833,760,12416,3552,859,159,4565,7463,854,12884,390,2156,20,2572,8664,847,12080,78,1785,4,1874,6904,947,9723,23,327,8,354,4261,830,5449,6,22,0,25
LGA20660,5,135,3,141,3145,237,3518,49,118,3,169,3449,212,3825,1517,195,26,1736,5805,433,7975,4712,138,105,4952,3108,433,8488,2807,135,58,3000,4346,443,7782,477,559,16,1047,5443,360,6847,65,1082,4,1150,3940,366,5455,15,268,3,293,2259,291,2839,3,13,0,21,977,195,1188,9651,2639,207,12498,32466,2960,47926,15,175,4,189,2912,210,3308,102,196,0,293,3117,174,3582,2441,348,98,2888,4942,437,8269,5601,282,314,6187,2334,360,8887,2817,357,105,3278,4765,398,8436,236,1551,16,1806,5522,363,7691,55,1774,7,1836,3786,434,6058,23,323,3,346,2828,451,3627,3,30,0,34,1665,373,2066,11282,5025,548,16857,31879,3192,51928,22,307,4,334,6056,445,6834,151,311,3,460,6564,384,7410,3961,544,123,4624,10752,866,16248,10305,413,413,11136,5438,791,17375,5625,498,160,6281,9110,837,16224,715,2105,26,2852,10970,722,14542,120,2847,15,2985,7726,800,11511,37,595,3,635,5090,744,6470,10,42,0,48
LGA20740,0,36,0,39,665,125,827,37,18,3,66,457,41,560,465,49,16,528,749,112,1394,843,38,20,903,544,102,1553,602,69,21,692,1175,191,2061,117,221,0,336,1936,204,2480,18,275,0,299,2002,262,2565,3,40,0,46,1031,216,1285,3,4,0,9,341,92,446,2093,755,63,2909,8900,1349,13158,12,62,0,75,610,78,761,106,48,6,157,354,42,561,706,91,35,828,548,112,1490,1065,61,94,1218,436,132,1790,530,172,25,730,1283,165,2174,48,522,5,583,1926,201,2707,21,420,3,442,2039,264,2741,3,42,0,47,1086,246,1379,9,3,0,17,530,152,695,2503,1427,168,4098,8817,1388,14301,11,97,0,113,1277,201,1587,147,70,6,222,811,88,1127,1178,137,47,1363,1297,224,2882,1911,100,115,2125,983,237,3337,1129,242,45,1418,2457,355,4233,165,743,8,916,3865,404,5190,36,697,4,742,4043,526,5304,9,82,0,94,2111,455,2667,7,9,3,24
LGA20830,4,74,0,82,1310,163,1551,70,51,0,129,1040,98,1263,903,93,24,1021,1335,168,2528,1419,56,59,1539,844,189,2561,894,126,25,1052,1805,244,3090,147,321,3,468,2468,267,3211,41,339,0,383,2131,282,2797,3,72,0,79,1145,200,1422,0,7,0,7,307,95,403,3478,1145,122,4745,12390,1705,18841,22,129,3,157,1163,136,1451,152,112,6,264,884,101,1245,1288,180,91,1553,1037,150,2743,1746,114,135,2000,667,199,2867,818,320,47,1177,1975,239,3390,87,798,6,894,2317,298,3506,22,532,3,554,2069,308,2934,6,75,0,83,1154,269,1507,3,7,0,16,543,150,706,4141,2274,285,6696,11818,1835,20347,25,207,3,232,2473,298,3003,223,163,4,392,1922,197,2510,2187,277,111,2577,2375,320,5269,3164,174,196,3536,1512,386,5432,1710,449,69,2228,3781,478,6486,230,1122,15,1366,4791,566,6718,57,871,7,937,4202,587,5728,7,150,0,160,2301,463,2925,3,9,0,16
LGA20910,8,111,0,123,2902,196,3212,15,67,0,79,2306,150,2538,610,78,8,698,2786,270,3745,3313,96,67,3474,1876,346,5693,3370,100,68,3538,3512,432,7489,627,353,14,995,4698,361,6058,84,942,10,1025,3249,293,4573,18,284,3,305,1851,219,2377,4,15,0,18,1060,151,1228,8058,2040,168,10264,24241,2426,36928,3,172,0,176,2612,178,2964,37,121,3,155,2091,132,2381,1089,215,28,1337,2626,263,4232,4427,182,257,4864,1524,332,6721,3600,252,153,4008,3923,437,8364,305,1077,17,1400,4810,367,6581,69,1724,16,1807,2977,353,5141,11,355,3,375,2280,309,2968,3,26,0,35,1997,366,2393,9549,4132,472,14155,24850,2745,41741,16,281,0,301,5509,372,6178,49,186,3,237,4397,289,4919,1700,301,42,2036,5415,529,7980,7743,274,318,8339,3404,673,12418,6971,351,224,7544,7439,870,15855,933,1428,26,2389,9515,734,12636,152,2663,18,2836,6228,650,9718,38,639,3,682,4129,532,5344,8,43,0,48
LGA21010,0,15,0,19,330,60,404,20,19,0,35,272,33,339,178,27,9,210,303,58,572,304,24,6,343,225,52,617,181,26,0,215,549,82,838,44,97,0,149,844,94,1083,13,84,0,92,786,108,984,5,20,0,22,423,83,531,0,3,0,3,170,29,207,748,321,16,1084,3899,599,5579,6,33,0,36,279,58,378,40,26,3,73,197,34,303,281,31,22,335,251,47,636,393,34,25,449,188,62,693,218,96,3,318,619,86,1027,27,213,0,243,837,101,1180,8,135,0,146,745,112,1005,0,23,0,24,457,90,572,3,3,0,9,269,47,323,968,605,49,1623,3843,641,6113,8,43,0,55,609,120,777,61,46,4,109,467,66,645,460,58,28,547,554,105,1209,694,60,29,788,416,111,1316,398,123,3,526,1163,168,1865,74,312,0,389,1675,198,2259,18,221,0,240,1534,219,1991,3,47,0,46,878,172,1101,3,4,0,9
LGA21110,19,218,0,237,5419,319,5968,21,131,3,161,6286,366,6813,1257,218,17,1489,8902,718,11111,5273,134,91,5499,3535,531,9568,5009,134,89,5238,5406,632,11276,939,464,13,1418,7137,480,9034,154,1419,10,1578,4520,384,6483,26,441,0,467,2732,315,3508,6,33,0,44,1428,156,1627,12700,3192,227,16126,45356,3897,65383,14,325,0,340,5307,292,5940,60,278,6,344,5853,334,6532,2059,490,65,2612,8138,680,11426,6963,334,298,7591,3040,533,11168,5494,360,208,6068,6201,559,12823,499,1404,28,1930,7513,505,9949,106,2488,17,2609,4371,489,7468,26,601,9,633,3447,441,4526,9,32,0,43,2797,369,3208,15234,6308,631,22171,46663,4207,73046,37,539,0,574,10720,613,11910,81,413,8,502,12135,704,13346,3318,707,77,4099,17042,1397,22544,12234,464,388,13090,6576,1064,20736,10503,495,303,11306,11607,1190,24102,1443,1868,44,3354,14647,978,18983,258,3902,29,4189,8890,866,13951,52,1042,9,1099,6177,756,8031,12,67,0,82
LGA21180,47,202,5,251,5421,581,6251,163,259,14,433,7064,667,8158,2946,341,28,3317,11423,1388,16128,5673,206,76,5950,6209,926,13079,3227,222,37,3488,7862,913,12260,695,787,24,1513,8357,808,10670,129,1070,3,1199,5726,760,7684,24,228,5,252,2888,483,3620,10,15,0,20,858,176,1053,12905,3331,190,16421,55801,6694,78919,52,341,3,393,5048,558,6003,427,411,15,859,5621,513,6991,5471,610,116,6200,7923,1059,15182,7303,349,171,7822,4542,879,13237,3120,731,95,3948,7826,856,12624,379,2256,45,2678,8009,807,11497,113,1606,24,1748,5317,832,7892,32,253,0,280,3426,537,4242,10,21,0,25,1527,318,1866,16903,6574,473,23948,49234,6353,79538,95,541,12,642,10468,1139,12254,586,672,31,1292,12683,1176,15155,8419,952,145,9513,19348,2451,31313,12973,553,243,13768,10747,1802,26317,6346,957,133,7431,15681,1769,24883,1082,3045,65,4190,16365,1614,22171,244,2670,27,2941,11042,1592,15576,50,480,5,533,6315,1013,7863,16,34,0,46
