LGA_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA20110,47,46,58,39,7,3,220,0,19,57,64,82,45,5,4,265,27,185,257,196,244,151,50,11,1114,33,93,160,212,222,178,67,28,984,141,265,353,411,430,248,111,31,1991,11,23,23,15,34,17,7,0,130,11,15,28,43,52,37,16,8,211,169,306,411,467,517,296,130,36,2329,3,4,10,12,16,19,11,9,84,110,89,124,205,240,243,169,92,1267,338,712,1057,1204,1368,968,435,180,6264
LGA20260,17,22,21,16,3,0,96,0,17,23,42,38,33,4,0,157,47,163,144,130,162,74,21,9,749,33,91,129,167,165,138,42,9,769,108,266,282,331,320,199,88,16,1620,19,14,22,21,15,4,0,0,106,12,18,24,29,40,37,7,3,164,140,305,331,379,371,243,99,20,1893,6,16,5,12,11,16,6,3,75,149,275,325,257,271,244,181,72,1776,377,877,977,1002,1043,763,355,117,5524
LGA20570,635,608,515,268,81,10,2747,30,372,521,555,503,238,57,6,2275,782,2883,2547,1712,1361,873,308,83,10556,449,1235,1378,1458,1197,830,347,81,6969,1894,3384,2656,2564,2092,1291,588,175,14646,298,228,175,130,136,61,12,6,1048,116,206,230,232,215,158,90,31,1270,2301,3815,3063,2932,2439,1509,686,209,16964,30,57,60,75,90,90,49,26,479,1121,938,885,1000,1096,1238,1040,565,7876,4779,9863,9097,8340,7204,5044,2571,982,47868
LGA20660,2106,1426,1099,638,174,28,7472,43,650,946,897,783,366,66,15,3767,1411,5391,5410,3486,2701,1497,496,160,20555,605,1744,2031,1915,1659,1110,454,165,9683,1170,2403,2234,2485,2014,1457,811,278,12859,148,103,125,120,115,78,14,10,709,111,184,286,334,322,269,133,56,1693,1430,2696,2645,2934,2449,1803,963,338,15261,39,97,125,138,117,128,89,28,757,743,930,906,954,937,1066,927,723,7180,4409,13375,14163,11746,9740,6606,3172,1459,64676
LGA20740,85,91,133,121,21,3,532,10,64,97,115,146,118,31,0,583,59,441,481,399,521,435,141,40,2531,78,294,378,436,507,513,200,68,2466,304,875,883,1004,1088,810,353,112,5421,53,56,50,57,43,39,13,0,319,18,56,85,110,127,131,44,27,589,369,986,1017,1170,1259,981,410,138,6327,10,19,25,30,32,54,35,13,218,297,244,286,440,533,683,548,297,3337,824,2132,2369,2690,3139,2905,1378,564,15998
LGA20830,172,173,201,98,32,3,808,9,121,178,177,230,142,22,4,881,171,814,813,644,735,439,127,29,3771,171,564,641,732,654,515,186,45,3502,859,1783,1453,1677,1284,887,380,77,8404,88,84,90,80,67,47,11,3,480,66,111,103,128,136,143,37,15,733,1014,1980,1648,1889,1491,1079,421,91,9616,10,34,20,29,37,59,31,15,240,499,351,442,584,686,734,507,235,4038,1881,3982,3921,4218,4043,3059,1325,422,22849
LGA20910,1656,2042,1344,724,202,64,7010,22,248,617,897,767,381,99,31,3068,1088,3051,4948,5084,3433,1946,788,327,20665,326,823,1383,1932,1602,1350,658,313,8392,454,868,932,1421,1130,770,436,232,6248,76,48,82,83,73,65,29,8,463,63,86,171,283,294,250,121,95,1367,601,996,1180,1790,1499,1087,586,337,8073,20,55,116,140,137,128,89,54,737,609,564,725,955,875,853,711,697,5990,2737,6649,10621,12851,9658,6470,3135,1815,53935
LGA21010,25,38,58,23,9,0,182,0,27,35,42,61,47,8,0,224,35,170,166,164,205,131,51,22,939,47,126,138,208,240,188,83,28,1053,203,362,344,440,428,292,123,48,2249,43,30,23,27,23,18,4,9,174,22,21,40,33,46,43,12,8,221,272,404,410,494,499,354,135,63,2641,3,5,3,17,17,16,8,3,72,171,111,133,204,270,281,214,101,1483,525,878,911,1169,1350,1039,509,211,6592
LGA21110,3936,4005,2721,1579,510,160,17023,72,879,1217,1605,1377,680,182,57,6066,3596,9765,8508,8501,5925,3448,1485,659,41894,875,1753,1773,2481,2128,1798,901,467,12170,963,1576,1040,1505,1158,797,478,263,7790,142,85,67,123,99,64,28,12,626,114,146,202,355,358,306,174,130,1788,1227,1814,1316,1988,1616,1168,684,407,10211,81,176,196,224,206,188,129,85,1282,1238,1397,1146,1299,1141,1163,982,792,9156,7388,19575,18092,20101,15114,10016,4879,2627,97790
LGA21180,1334,539,310,136,18,3,4398,92,485,474,341,218,77,17,6,1716,2259,7012,4661,2619,1701,740,163,37,19191,1438,3999,2834,2126,1459,621,166,44,12681,2239,4351,3841,3774,2966,1750,673,184,19776,269,329,303,268,190,79,19,4,1465,244,483,535,538,437,225,66,19,2543,2756,5169,4683,4577,3590,2051,755,210,23781,103,317,217,188,185,118,30,19,1183,2292,2593,2043,2002,2029,1963,1216,628,14767,9134,21428,16248,12396,9495,5703,2367,937,77721
