LGA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA20110,87,0,3,0,0,92,47,0,3,0,0,48,46,0,3,0,0,51,94,3,0,0,0,96,128,3,0,0,5,139,309,6,4,3,5,323,271,0,0,0,0,271,178,4,0,4,8,190,70,0,0,0,0,69,49,0,0,0,0,54,26,0,0,0,0,26,63,0,0,0,0,65,1364,23,12,7,19,1434
LGA20260,79,0,0,0,0,80,76,0,0,0,0,76,74,3,0,0,0,78,129,3,0,0,0,138,169,0,0,0,3,175,291,0,0,4,0,293,153,0,0,0,3,157,92,0,0,0,0,97,22,0,0,0,0,25,25,0,0,0,0,25,20,0,0,0,0,21,53,0,3,0,0,59,1187,5,9,6,5,1219
LGA20570,490,34,4,3,0,534,353,30,0,0,0,383,333,29,5,0,0,368,619,64,9,3,3,700,1039,91,3,3,0,1139,2897,246,21,5,11,3171,2488,171,15,3,5,2686,1883,89,4,5,6,1995,582,23,0,3,0,609,381,23,0,3,0,407,235,7,0,0,0,243,430,25,0,0,0,458,11731,828,74,33,37,12696
LGA20660,800,85,14,0,3,900,285,47,14,0,0,344,244,32,8,0,0,284,369,54,18,0,0,437,541,78,13,0,0,636,1522,264,68,0,0,1861,1710,364,64,0,3,2143,2697,503,99,3,3,3313,1694,248,52,0,3,2004,1562,143,34,0,3,1746,1039,73,22,0,4,1132,605,64,11,0,0,683,13066,1951,420,10,20,15467
LGA20740,180,4,0,0,0,179,141,0,3,0,0,138,116,6,0,0,0,116,236,4,0,0,0,242,290,0,3,0,0,294,824,15,4,3,0,845,691,3,7,0,7,710,555,13,0,0,0,572,177,0,0,0,0,179,122,0,3,0,3,127,91,3,0,0,3,98,202,0,0,0,4,208,3616,47,17,7,19,3705
LGA20830,352,8,3,4,0,369,180,6,3,0,0,186,156,3,0,0,0,158,307,3,0,0,0,312,452,13,9,0,3,470,1401,17,12,0,3,1437,1378,3,3,0,3,1387,1137,0,0,4,3,1143,373,0,0,0,3,379,266,0,0,0,0,268,157,0,0,0,0,158,315,5,3,0,0,327,6478,56,33,14,19,6600
LGA20910,547,126,40,4,4,716,141,42,12,0,0,199,113,38,7,0,0,161,154,61,17,0,0,234,209,73,30,0,0,313,617,192,98,7,4,923,564,210,108,9,5,902,1128,373,194,20,14,1723,757,331,90,10,3,1197,1306,387,90,11,8,1802,2282,376,71,4,18,2747,521,100,34,0,3,655,8347,2311,788,59,57,11565
LGA21010,79,0,0,0,0,87,72,0,0,0,0,72,51,0,8,0,0,58,147,0,3,0,0,146,190,0,3,3,0,191,414,0,5,0,4,423,263,0,3,0,0,267,189,0,0,0,3,193,65,0,0,0,0,66,34,0,0,0,0,36,24,0,0,0,3,27,97,0,0,0,0,93,1623,3,22,6,13,1662
LGA21110,1102,232,115,3,3,1450,203,69,27,0,0,302,188,52,41,0,0,285,220,63,60,0,0,338,251,93,71,0,0,416,856,267,236,3,3,1365,689,243,378,5,3,1313,1389,469,567,3,0,2429,834,353,278,7,4,1470,1678,547,214,3,8,2445,3789,627,129,5,12,4555,731,140,52,0,3,934,11925,3148,2159,31,37,17305
LGA21180,1051,121,21,3,0,1201,489,55,9,0,0,555,429,47,4,0,0,477,743,79,17,0,0,849,986,142,33,0,0,1156,2972,492,121,10,0,3590,3589,560,96,0,4,4263,4030,489,52,4,3,4580,1372,95,10,6,0,1485,1024,107,11,3,0,1138,530,57,3,0,0,593,1029,109,26,0,0,1166,18253,2347,405,28,21,21054
