LGA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA21270,794,1569,12,46,79,396,14,56,285,1194,391,1696,19,66,64,211,82,256,169,527,561,2220,0,5,10,43,0,5,67,194,80,244,8,22,22,45,74,152,96,213,185,456,21,44,1558,4287
LGA21370,4413,8741,82,423,424,1989,117,514,1889,7655,2512,10581,185,760,314,1007,727,2246,1228,4012,3742,14599,22,78,104,390,46,166,600,1636,766,2270,61,179,129,281,501,1083,691,1543,1463,3814,108,216,9720,27361
LGA21450,8165,16335,258,1482,1216,5882,347,1560,7289,28809,9105,37730,727,3099,865,2988,1993,6384,3583,12478,12683,50206,64,316,319,1151,156,567,1647,4556,2187,6591,185,589,381,879,1247,2720,1812,4190,3998,10782,277,572,25127,77899
LGA21610,21983,44358,952,5676,4573,22182,1156,5425,23917,94094,30612,127372,2700,11652,3524,12485,7426,24465,13648,48594,44260,175962,244,1207,989,3730,448,1711,4260,11839,5935,18478,695,2309,1178,2756,4365,9774,6237,14842,12171,33323,1083,2318,79494,255954
LGA21670,1629,3247,21,138,112,534,30,132,515,2045,681,2854,49,204,86,282,247,757,384,1249,1063,4097,3,28,30,129,21,73,271,778,331,1005,26,75,60,136,258,538,344,752,673,1754,36,77,3407,9176
LGA21750,2310,4559,37,192,219,1011,53,246,1099,4516,1407,5963,87,364,156,498,387,1208,634,2064,2042,8025,24,92,56,195,27,94,322,885,419,1269,24,88,69,142,314,645,410,874,830,2147,87,184,5275,14912
LGA21830,1858,3660,35,183,191,953,31,143,829,3422,1088,4706,85,348,162,526,303,930,549,1802,1635,6508,4,21,32,127,25,87,200,602,265,835,29,89,51,100,231,469,308,661,574,1490,55,121,4118,11784
LGA21890,13261,26455,139,785,1354,6193,235,1089,9499,35657,11228,43732,791,3346,1302,4652,2638,8547,4731,16542,15959,60270,51,233,270,890,122,425,1718,4342,2158,5890,244,777,654,1486,2464,5419,3365,7677,5521,13572,1002,2108,35748,102403
LGA22110,6137,12061,53,308,377,1751,100,448,2117,8373,2653,10881,161,636,295,934,758,2309,1216,3882,3866,14762,14,78,152,541,54,181,701,1884,925,2690,57,182,153,326,589,1225,799,1734,1721,4427,128,272,11854,31521
LGA22170,12058,23974,237,1299,1325,6110,425,1957,8445,32390,10430,41756,869,3599,1170,3952,3141,10120,5175,17677,15607,59437,92,401,486,1661,239,821,2583,6782,3393,9664,392,1220,747,1683,2745,5912,3880,8807,7275,18475,604,1278,35552,103159
LGA22250,1406,2788,18,114,145,694,28,121,474,1948,668,2876,42,163,87,280,213,654,343,1102,1004,3974,4,17,22,97,7,33,119,329,158,475,9,25,30,71,128,267,167,363,322,836,33,73,2771,7674
LGA22310,12927,25695,156,904,1769,8107,159,687,10457,40001,12549,49703,976,4022,2082,7300,2548,7994,5604,19313,18154,69021,21,113,299,963,56,187,1377,3397,1753,4652,245,724,758,1746,1655,3491,2659,5961,4409,10615,696,1450,36183,106775
LGA22410,2370,4702,39,211,203,926,51,223,951,3723,1247,5087,76,302,177,563,360,1115,616,1978,1860,7063,7,41,45,141,31,89,321,864,402,1135,17,44,92,201,284,593,389,838,790,1976,62,125,5084,13863
LGA22490,2238,4437,64,373,336,1576,91,396,1640,6628,2132,8975,172,708,206,711,505,1612,886,3031,3015,12001,11,56,54,185,18,65,246,675,326,979,21,60,72,153,225,469,318,688,644,1663,45,87,5939,18188
LGA22620,11327,22444,210,1156,1179,5561,298,1371,6386,25233,8072,33316,498,2058,991,3272,1959,6093,3450,11425,11516,44740,61,304,425,1529,172,615,2170,5852,2835,8297,222,677,517,1126,1642,3452,2378,5256,5211,13556,464,958,28521,81707
LGA22670,11414,23366,350,2125,1774,8732,439,2093,9905,38300,12462,51250,1119,4903,1582,5631,3690,12211,6388,22744,18850,73991,137,681,500,1946,225,824,2274,6320,3135,9769,381,1327,780,1891,2890,6553,4055,9765,7194,19537,1012,2234,38473,119126
LGA22750,23674,46885,341,1866,2419,11142,503,2323,14067,54724,17328,70056,1380,5691,2293,7752,4565,14239,8238,27686,25562,97740,141,631,764,2731,327,1148,3925,10454,5159,14968,479,1547,1170,2567,3642,7786,5293,11896,10451,26862,872,1815,60567,173308
LGA22830,6197,12288,146,832,818,3972,182,868,3644,14495,4790,20166,327,1381,533,1760,1202,3780,2064,6921,6855,27088,41,206,245,894,97,330,1155,3242,1541,4679,104,344,279,603,877,1879,1259,2824,2800,7500,206,432,16060,47309
LGA22910,1945,3840,21,118,115,517,51,228,764,2992,952,3857,41,168,100,327,300,917,438,1414,1391,5268,9,44,39,126,17,61,223,558,285,795,17,52,49,101,235,491,307,644,591,1438,35,76,3962,10623
LGA22980,770,1528,4,27,68,317,10,50,267,1062,346,1456,31,109,64,196,86,264,179,572,525,2020,0,0,18,70,11,26,54,156,81,253,5,17,17,35,71,147,88,197,174,451,22,43,1492,4042
LGA23110,8163,16286,132,770,934,4354,178,783,6375,24174,7620,30082,636,2672,1005,3524,2012,6526,3651,12719,11271,42800,24,113,230,778,77,284,1182,3110,1516,4293,193,624,436,998,1679,3708,2316,5334,3836,9628,510,1068,23780,69788
LGA23190,2237,4401,43,219,193,855,53,217,1160,4638,1450,5934,98,401,153,472,338,1035,590,1911,2035,7843,8,31,58,211,22,71,379,1023,465,1338,20,62,72,158,242,514,339,727,807,2065,70,148,5150,14455
LGA23270,13258,26784,738,4408,2957,14717,829,4046,14057,56386,18588,79558,1938,8674,2081,7456,5360,18015,9379,34142,27969,113704,187,886,700,2687,359,1336,2971,8485,4216,13397,581,1941,802,1879,3536,8085,4924,11909,9140,25307,780,1683,51143,167480
LGA23350,1990,3914,31,168,173,777,36,151,961,3790,1202,4884,78,296,152,468,309,958,530,1715,1732,6599,8,32,54,190,15,45,215,549,294,813,33,87,64,135,177,374,272,593,564,1409,36,77,4321,11997
LGA23430,14261,28417,206,1114,1718,7687,299,1300,10780,40991,13005,51098,1175,4884,1857,6492,3698,11776,6728,23153,19725,74252,36,174,374,1261,128,422,1794,4477,2334,6332,330,1048,837,1852,2676,5759,3843,8658,6179,14989,680,1421,40850,119072
LGA23670,14126,28253,316,1694,2027,9256,405,1751,10226,39270,12973,51972,1589,6710,2284,8062,4775,15460,8643,30238,21616,82208,67,312,420,1440,177,602,1858,4942,2529,7295,427,1349,796,1839,2638,5810,3853,9002,6381,16298,576,1216,42699,127977
LGA23810,7651,15136,112,598,679,3126,171,742,3781,14899,4742,19373,350,1407,616,2015,1513,4698,2485,8117,7223,27488,53,240,278,1007,139,495,1642,4454,2111,6206,143,450,338,732,1143,2378,1627,3556,3744,9760,239,497,18854,52879
LGA23940,982,1936,12,76,88,434,15,60,316,1326,434,1890,18,77,60,196,117,358,202,630,633,2522,6,20,18,55,11,30,78,214,109,321,10,24,21,40,104,218,135,280,238,598,21,41,1877,5100
LGA24130,4812,9502,110,578,639,2884,136,609,3295,13091,4177,17154,317,1313,542,1819,1049,3291,1904,6425,6084,23577,24,121,132,457,40,154,461,1249,663,1979,83,261,182,407,549,1146,815,1814,1481,3796,95,201,12474,37086
LGA24210,11609,23148,144,760,1649,7442,212,898,7414,28524,9423,37636,1308,5469,2172,7707,3691,11802,7168,24979,16586,62615,40,160,262,877,59,196,1080,2747,1428,3985,235,715,638,1510,1789,3867,2663,6089,4092,10066,481,1036,32771,96861
LGA24250,1071,2100,9,60,68,313,12,56,460,1865,556,2290,25,104,59,185,139,392,224,680,776,2971,0,8,15,51,9,32,112,284,140,378,7,21,29,66,85,178,127,260,268,643,21,35,2132,5745
LGA24330,7624,15269,77,446,636,2946,104,475,5588,20631,6402,24502,374,1581,675,2370,1213,3955,2255,7898,8661,32399,32,184,200,724,69,262,1008,2596,1312,3762,149,494,386,918,1235,2742,1767,4153,3072,7911,681,1456,20044,57039
LGA24410,10240,20388,198,1102,1375,6402,230,1016,7842,30248,9645,38769,922,3853,1269,4479,2599,8347,4780,16677,14422,55452,39,203,323,1101,103,356,1455,3713,1923,5367,266,852,609,1385,1868,3993,2744,6236,4665,11603,452,958,29783,88399
LGA24600,14514,28494,20,115,327,1566,38,174,3929,13494,4314,15351,165,663,516,1659,609,1832,1291,4149,5607,19499,14,70,142,508,37,122,826,2023,1017,2714,104,321,567,1221,769,1610,1434,3158,2453,5869,2040,4267,24609,58130
LGA24650,9361,18835,369,2197,1994,9517,525,2491,11173,44043,14060,58247,1055,4549,1268,4502,2985,9883,5310,18934,19366,77179,125,628,491,1902,244,905,2495,7231,3351,10665,331,1114,506,1194,1936,4397,2777,6709,6132,17371,464,981,35323,114372
