LGA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA22670,174,339,266,187,267,148,81,1463,21,9,3,7,9,4,11,70,14,19,14,14,13,18,7,103,410,675,534,400,585,412,216,3234,45,72,39,20,56,29,12,276,42,78,61,33,44,37,9,300,91,146,100,52,95,59,27,576,502,819,636,451,685,471,244,3811,829,725,445,337,416,254,152,3169,17,23,14,11,17,0,4,94,1345,1577,1105,803,1115,728,401,7073
LGA22750,474,816,615,432,595,210,87,3230,65,41,29,10,45,9,8,210,9,18,16,12,16,11,3,84,740,1357,1072,822,1282,503,221,5997,33,102,64,51,58,14,6,325,75,133,84,42,54,15,3,411,104,238,146,85,117,28,14,741,846,1591,1219,914,1401,531,233,6735,1186,1112,536,417,475,160,74,3957,24,31,18,9,12,6,3,99,2049,2734,1780,1338,1884,698,312,10790
LGA22830,118,232,154,110,174,38,5,828,16,13,7,7,12,4,3,69,0,13,6,4,8,0,0,34,216,394,304,221,393,88,26,1642,13,33,18,13,15,3,0,102,31,63,29,19,17,6,0,160,49,94,49,33,26,12,0,265,261,491,352,255,419,101,22,1905,445,388,207,137,135,34,12,1354,11,14,12,4,3,0,0,41,719,887,566,394,559,137,38,3301
LGA22910,22,53,41,30,33,0,3,191,4,3,3,3,3,0,0,14,0,0,0,4,3,0,0,10,27,78,62,47,68,3,8,304,3,3,3,0,0,0,0,12,0,10,3,0,4,0,0,19,3,14,10,4,3,0,3,34,31,95,70,52,74,3,9,339,62,55,36,17,19,9,4,192,0,0,0,0,0,0,0,3,100,150,106,69,88,13,11,535
LGA22980,0,7,11,8,6,0,3,36,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,4,15,18,19,18,3,3,84,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,4,0,0,0,0,0,7,3,15,22,23,18,4,3,89,23,21,16,14,14,4,0,90,0,0,0,0,0,0,0,0,31,33,37,37,38,6,3,181
LGA23110,99,232,134,108,159,66,43,843,9,3,3,3,5,3,0,32,3,4,3,4,0,0,3,24,218,465,321,235,404,206,122,1970,10,21,17,12,12,17,6,88,8,41,26,15,19,4,5,116,22,56,37,27,31,18,10,210,234,525,359,266,430,223,135,2175,283,278,147,108,129,56,30,1022,4,10,3,3,3,0,0,23,521,810,505,374,564,282,165,3224
LGA23190,32,97,53,38,45,16,0,274,0,3,0,0,0,3,0,5,0,0,4,0,0,0,0,8,49,128,77,63,90,30,3,440,3,5,4,0,5,3,0,18,8,18,5,9,7,0,0,46,6,27,8,13,11,3,0,66,55,151,88,78,101,32,3,513,143,120,56,34,33,4,0,401,3,0,0,0,0,0,0,6,205,279,146,111,131,39,5,916
LGA23270,296,543,409,285,391,150,81,2167,36,16,29,17,17,12,4,129,20,31,22,19,23,17,12,144,558,1005,794,613,900,426,244,4531,40,75,44,37,47,31,10,280,69,110,61,40,52,25,9,373,110,185,103,79,98,56,19,655,667,1187,902,694,996,478,263,5186,1161,1099,680,424,567,271,145,4341,19,33,13,8,10,3,6,90,1847,2324,1594,1123,1570,750,413,9619
LGA23350,27,56,47,25,39,6,3,204,3,10,0,0,0,0,0,12,4,7,3,0,3,0,0,13,41,111,74,53,93,19,4,397,0,3,0,0,3,0,0,14,4,5,3,3,5,3,0,23,6,11,3,3,11,0,0,35,51,115,79,55,102,21,4,428,45,31,25,15,29,3,0,153,0,3,0,0,0,0,0,0,100,148,107,72,129,19,5,586
LGA23430,160,409,280,225,275,155,64,1569,10,15,14,8,16,8,4,74,3,14,7,9,17,10,7,71,306,747,584,471,713,442,221,3480,3,20,9,14,28,18,7,93,14,55,32,11,22,8,11,157,18,74,43,24,50,25,16,251,325,824,627,493,763,469,231,3726,308,268,178,118,140,93,61,1159,9,11,3,0,0,0,3,28,636,1102,809,610,899,559,295,4916
LGA23670,195,423,327,285,337,154,81,1807,29,15,18,10,18,11,8,105,8,14,8,3,13,5,0,49,358,750,612,528,829,425,244,3745,14,20,17,15,17,11,8,107,23,62,39,17,26,10,5,185,39,80,56,28,50,21,16,294,393,831,675,556,872,445,262,4037,453,380,212,167,220,105,74,1608,3,8,6,0,0,3,0,26,856,1222,895,723,1094,548,337,5675
