LGA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA24850,62,124,102,82,88,36,7,498,9,12,7,4,5,3,0,40,5,0,3,3,5,0,3,22,129,214,194,164,232,75,23,1039,7,19,8,12,11,0,3,71,14,14,11,10,7,0,0,56,24,38,24,19,14,0,3,126,158,251,217,188,247,77,25,1162,258,244,105,79,80,23,5,789,0,0,3,3,0,0,0,10,417,494,321,265,332,103,33,1956
LGA24900,71,131,78,51,58,16,0,406,7,3,0,5,11,4,0,30,3,7,3,0,0,0,0,14,95,189,133,103,141,31,3,689,5,18,7,6,11,3,0,53,7,12,6,4,7,0,0,42,15,35,18,15,16,3,0,97,105,225,148,114,154,33,6,786,174,157,67,50,61,10,4,518,0,13,7,3,3,0,0,24,284,391,226,164,222,42,6,1332
LGA24970,120,304,284,198,259,200,115,1474,25,9,7,3,9,13,10,84,12,8,3,11,10,13,13,63,275,623,549,434,681,540,329,3432,11,28,21,12,31,30,6,143,25,45,27,29,22,36,14,199,39,75,46,39,50,59,25,341,319,701,599,474,732,597,350,3771,307,362,235,172,302,216,113,1714,0,3,10,7,4,0,3,22,629,1062,842,651,1043,816,465,5509
LGA25060,111,233,189,122,179,119,63,1020,14,9,9,4,7,0,0,49,9,8,8,11,9,10,4,63,193,481,371,277,447,298,196,2261,12,19,7,14,20,19,8,96,14,37,16,15,15,12,10,129,30,62,29,26,35,29,16,228,220,540,402,304,486,324,212,2488,292,265,174,122,141,73,44,1114,4,5,3,7,6,0,0,27,513,815,572,431,631,400,264,3626
LGA25150,55,121,71,67,78,27,9,432,4,7,3,4,6,0,0,24,3,3,3,3,0,0,0,14,91,201,143,115,154,57,28,781,5,23,12,5,4,3,0,51,9,13,15,17,7,3,0,64,13,35,29,17,15,7,0,112,102,233,173,129,168,65,24,895,175,160,78,46,52,17,7,531,3,3,3,3,3,0,0,16,283,398,257,175,224,77,31,1443
LGA25250,176,340,214,139,185,124,69,1244,22,25,7,5,7,8,3,78,8,8,0,10,8,5,3,44,304,616,454,329,475,325,161,2671,15,39,24,9,28,13,6,133,25,53,35,28,24,16,4,177,35,88,54,37,51,29,8,306,342,705,508,371,531,350,171,2982,348,313,253,149,222,115,64,1464,15,6,6,7,6,0,0,41,702,1025,768,528,757,466,235,4482
LGA25340,262,628,467,303,414,112,53,2230,21,28,17,13,19,9,4,115,14,13,15,10,15,0,0,73,397,963,749,554,828,268,116,3878,13,35,31,20,34,7,5,139,37,83,53,30,23,11,3,234,50,114,85,52,53,15,4,369,442,1080,833,609,882,283,123,4253,528,521,283,185,208,52,20,1795,8,17,9,8,11,0,0,55,982,1615,1127,805,1099,342,140,6100
LGA25430,18,76,55,35,54,9,4,245,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,3,27,103,87,60,95,34,6,401,0,7,8,0,3,0,0,16,0,7,3,0,5,4,0,20,0,7,10,4,11,5,0,40,28,111,101,68,104,35,6,444,72,67,36,23,34,13,0,253,0,0,0,0,0,0,0,3,101,177,136,92,139,49,4,701
LGA25490,32,41,48,35,32,5,0,193,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,10,44,68,72,51,61,14,6,316,0,4,0,3,3,0,0,9,0,11,7,4,3,3,0,26,0,12,6,7,8,3,0,35,42,83,77,60,63,20,6,346,41,52,19,15,11,0,0,144,0,0,0,0,0,0,0,0,82,135,99,77,81,22,3,497
LGA25620,7,38,19,13,18,7,0,102,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,3,17,70,39,35,41,18,4,219,0,7,6,3,5,0,0,25,3,14,6,0,0,0,0,31,3,19,17,4,9,3,0,51,16,88,54,42,52,15,4,269,34,41,19,16,17,7,0,130,3,0,0,0,3,0,0,5,53,132,74,53,64,19,3,404
LGA25710,43,149,123,92,112,66,36,623,5,5,3,5,4,3,0,26,0,11,3,0,4,3,0,20,87,281,223,202,295,174,97,1366,0,3,3,4,8,0,0,22,4,23,10,3,6,0,3,49,4,25,13,4,9,0,3,67,93,308,238,211,305,180,101,1432,65,103,58,39,30,23,16,340,3,3,0,0,0,0,0,10,164,417,299,251,341,200,115,1778
LGA25810,11,33,25,21,32,5,0,128,3,4,3,0,3,0,0,20,0,0,0,0,0,0,0,3,19,65,45,45,64,10,0,247,0,3,3,0,3,0,0,8,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,8,19,61,51,47,69,10,0,258,56,45,24,19,21,5,0,166,0,0,0,0,0,0,0,0,74,108,79,65,89,15,0,430
LGA25900,87,163,113,71,104,62,29,627,14,7,3,5,6,3,6,34,0,0,4,4,3,0,5,20,173,352,232,168,251,159,97,1431,5,20,12,10,17,5,0,76,11,28,17,13,7,7,8,84,22,47,32,17,23,15,9,162,195,399,262,186,268,175,103,1592,138,134,82,69,94,49,24,589,8,3,3,3,0,0,0,19,334,536,348,253,366,231,134,2194
LGA25990,8,16,17,5,10,4,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,18,15,11,3,0,83,0,3,5,3,0,0,0,17,0,8,4,3,3,0,0,14,3,10,8,3,6,0,0,24,17,40,22,15,17,3,0,112,26,18,14,11,11,3,0,87,0,0,0,0,0,0,0,3,39,60,41,26,28,4,0,207
LGA26080,0,12,8,6,14,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,13,6,17,4,0,58,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,4,3,21,13,6,17,4,3,58,3,5,3,3,0,0,0,14,0,0,0,0,0,0,0,0,4,24,14,12,19,4,3,77
LGA26170,33,92,59,40,62,17,4,310,3,9,3,0,3,0,0,16,3,0,0,4,0,0,0,11,52,135,101,85,138,33,10,546,0,14,5,3,8,0,0,40,13,14,12,3,12,0,0,49,10,30,17,5,21,3,0,83,64,163,119,86,156,37,11,635,111,129,44,35,38,13,0,373,0,0,3,3,0,0,0,12,176,295,166,129,195,44,13,1015
LGA26260,22,62,48,39,48,17,0,229,8,3,0,0,8,0,0,21,0,0,3,0,3,0,0,3,31,81,77,58,90,22,0,352,0,0,3,6,3,0,0,9,3,9,0,4,4,0,0,20,3,8,5,4,5,3,0,31,35,89,86,59,95,22,0,383,58,39,29,19,18,0,0,162,0,0,3,0,0,0,0,3,90,127,114,78,113,25,0,554
LGA26350,72,153,97,63,102,79,60,628,7,3,0,6,4,5,3,25,0,3,3,5,9,0,0,20,150,308,217,175,284,217,161,1513,3,10,3,3,6,7,3,44,7,13,13,10,14,0,9,62,12,28,14,13,17,13,11,105,161,342,231,183,301,225,173,1612,115,157,107,74,104,64,49,676,0,3,3,0,0,3,0,10,271,504,342,259,404,295,221,2298
LGA26430,23,21,31,15,25,0,0,120,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,26,54,59,29,45,4,3,218,0,7,3,3,0,0,0,15,7,7,3,0,0,0,0,19,4,10,7,3,0,0,0,29,29,64,72,33,45,4,3,251,49,32,12,13,21,3,0,132,0,0,0,0,0,0,0,3,81,102,84,48,69,10,3,386
LGA26490,41,100,77,40,61,16,15,352,3,6,3,3,4,0,0,24,0,0,0,0,0,0,0,4,65,159,118,92,132,44,28,629,0,3,9,5,4,0,0,19,0,11,7,3,5,0,0,27,0,17,18,9,11,0,3,49,64,171,137,96,138,40,32,676,39,43,33,10,30,11,0,167,0,5,4,3,3,0,0,12,100,214,171,113,169,53,30,852
LGA26610,35,79,33,25,34,9,0,216,3,0,0,3,3,0,0,8,4,3,0,3,3,0,0,14,64,123,79,64,88,23,7,452,5,5,9,3,4,0,0,25,4,11,0,4,3,0,0,27,10,17,9,13,11,0,0,55,73,133,91,68,100,26,7,508,115,124,54,46,36,3,3,385,3,0,6,3,3,0,0,19,199,268,151,123,140,28,7,908
LGA26670,6,15,7,0,14,0,0,46,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,6,26,26,13,28,4,3,102,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,22,26,13,32,4,3,110,18,23,3,4,6,0,0,51,0,0,0,0,0,0,0,3,27,45,37,12,43,4,3,164
LGA26700,53,119,65,58,67,16,4,381,10,15,3,0,4,0,0,34,3,0,0,3,0,0,0,10,79,182,109,109,130,35,7,643,4,16,9,3,6,0,0,39,8,24,14,8,3,0,0,58,10,37,24,11,8,0,0,97,96,222,132,121,135,33,7,738,140,111,84,44,59,13,3,452,9,4,6,3,0,0,0,16,234,336,216,169,196,47,10,1215
LGA26730,76,170,116,80,109,31,7,587,19,7,5,6,12,0,0,51,0,6,0,0,3,0,0,15,113,241,188,133,235,58,12,985,4,8,6,8,5,3,0,34,3,24,9,6,7,4,0,52,6,30,18,13,14,4,0,89,121,275,204,148,245,63,12,1077,199,159,71,40,49,13,3,536,9,9,3,0,4,3,0,22,323,442,274,191,299,84,15,1637
LGA26810,96,145,91,79,114,34,0,558,11,3,5,3,0,0,0,28,3,3,0,6,3,0,0,17,148,219,151,146,217,57,6,951,3,9,12,9,15,0,0,48,10,40,14,5,11,0,0,89,16,47,33,15,25,0,0,140,165,262,182,163,245,57,6,1090,234,215,91,72,75,21,0,711,0,3,3,3,0,0,0,13,400,484,279,238,323,79,9,1808
LGA26890,6,11,12,11,14,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,14,12,21,0,0,67,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,3,0,0,0,0,0,6,6,20,14,14,21,4,0,77,16,8,5,5,4,0,0,42,0,0,0,0,0,0,0,0,18,32,19,22,26,4,0,122
LGA26980,116,322,255,187,329,193,98,1500,15,6,12,3,7,10,8,55,4,4,10,4,10,10,5,52,226,594,538,404,741,479,287,3263,6,14,19,11,33,15,12,112,14,28,14,23,17,19,11,132,28,46,42,29,47,31,19,242,249,636,575,431,788,513,308,3505,250,295,171,166,242,130,95,1354,5,3,3,6,0,3,3,24,512,932,747,603,1032,651,408,4881
LGA27070,309,609,435,315,366,150,74,2261,47,37,19,3,19,11,8,134,17,28,22,11,14,11,3,115,585,1065,826,630,833,436,241,4617,44,57,36,32,42,27,10,233,50,98,68,34,36,18,3,306,93,153,101,68,73,44,15,544,683,1223,922,694,906,479,253,5163,971,959,526,317,356,177,113,3424,25,22,20,11,6,0,0,85,1678,2205,1471,1023,1270,659,363,8672
LGA27170,106,208,136,83,105,26,4,665,16,7,0,3,3,0,0,36,6,4,6,3,7,0,0,26,173,354,237,174,257,66,20,1278,17,26,21,16,12,0,0,95,25,35,17,11,5,3,3,95,44,59,29,21,24,4,4,187,221,405,272,200,278,70,19,1464,268,280,137,82,67,23,5,867,7,3,3,0,0,0,0,17,498,687,414,287,345,91,25,2343
LGA27260,347,623,417,267,340,151,69,2222,56,34,19,15,19,9,4,147,27,33,22,17,20,12,5,145,795,1295,925,636,940,485,235,5315,66,148,81,56,72,27,9,463,85,161,98,40,54,27,6,472,148,311,185,95,129,54,14,935,943,1608,1108,734,1074,541,247,6250,1249,1154,578,380,447,169,79,4051,43,32,11,12,20,11,4,135,2230,2795,1701,1128,1535,726,330,10439
LGA27350,69,106,63,69,82,55,29,469,7,7,5,4,8,10,3,44,3,0,0,0,9,3,0,15,129,221,166,138,180,147,103,1083,12,13,9,10,24,7,12,77,15,36,16,11,25,12,4,122,23,53,28,22,47,16,17,203,156,273,192,157,231,167,117,1283,334,294,144,95,137,78,47,1133,13,4,11,3,3,0,0,26,497,569,346,256,371,242,165,2447
LGA27450,255,574,406,257,413,149,51,2096,26,23,13,11,24,10,3,98,9,11,7,3,15,4,3,54,384,895,715,513,858,371,148,3878,8,26,24,18,19,8,3,114,43,61,41,17,24,4,3,187,52,91,62,38,47,13,5,304,435,981,777,552,905,384,155,4188,475,450,263,166,217,88,30,1683,0,8,9,4,10,5,4,41,916,1440,1049,725,1129,476,182,5908
LGA27630,15,20,22,13,12,3,0,75,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,18,28,27,20,20,3,0,112,0,5,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,10,15,36,27,17,19,3,0,130,33,39,28,10,21,4,0,136,0,3,0,0,0,0,0,8,47,76,58,31,45,12,0,269
LGA29399,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,0,0,0,15
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
