LGA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
LGA20110,152,180,368,493,695,669,219,38,9,2817,3,12,8,20,35,48,19,8,0,153,0,0,0,0,0,0,0,0,0,0,14,5,15,22,33,28,3,0,0,118,0,0,3,0,3,4,0,0,0,12,0,0,11,14,15,9,0,0,0,48,0,0,5,3,17,3,0,0,0,25,60,14,24,53,91,66,10,0,0,327,55,35,62,95,90,76,23,0,0,449,0,3,5,10,12,16,0,0,0,51,0,3,0,3,0,3,0,0,0,15,0,3,10,11,14,8,0,0,0,48,4,3,11,9,17,8,3,0,0,56,0,0,17,37,39,21,11,0,0,129,0,7,17,20,23,30,5,0,0,108,4,0,20,37,33,13,8,0,0,121,12,12,33,85,74,93,11,0,0,313,7,26,68,88,152,159,29,0,0,522,4,3,3,8,9,8,3,0,0,39,3,6,8,10,24,9,4,0,0,61
LGA20260,151,188,412,421,553,540,187,44,6,2505,5,8,13,50,23,55,39,13,0,200,0,0,0,0,0,0,0,0,0,0,22,19,42,35,40,25,9,0,0,195,0,0,0,0,3,0,0,0,0,3,0,0,3,3,4,5,0,3,0,21,0,3,3,7,3,4,0,0,0,24,43,26,37,34,56,30,6,0,0,241,45,13,27,27,31,30,7,0,0,174,0,0,0,10,10,8,4,0,0,34,3,0,3,6,3,0,0,0,0,18,0,0,9,3,12,8,3,0,0,31,0,0,4,3,6,11,0,0,0,21,0,4,12,10,12,17,3,0,0,69,3,3,12,8,13,14,7,0,0,53,0,5,22,53,75,36,14,0,0,210,3,4,46,44,56,50,7,0,0,208,3,33,90,100,167,125,19,5,0,537,7,5,7,0,8,4,0,0,0,25,7,8,14,13,14,12,0,0,0,72
LGA20570,1248,2376,5013,4704,4697,3579,931,126,17,22687,6,15,22,30,40,23,30,5,0,169,3,0,7,15,14,4,0,0,0,47,74,75,168,220,209,135,20,0,0,891,0,0,23,28,29,15,0,0,0,92,6,27,82,105,114,69,5,0,0,416,11,18,35,43,47,29,8,3,0,205,456,538,536,441,504,322,64,0,3,2867,597,454,306,248,231,148,30,0,3,2020,3,30,57,61,89,77,18,0,0,340,20,42,108,79,65,31,5,0,0,340,0,45,99,99,104,59,10,4,0,417,7,43,53,53,63,27,9,0,0,252,18,119,289,277,217,127,33,3,0,1084,9,43,113,125,154,118,17,7,0,597,16,64,294,369,348,239,38,7,0,1378,49,217,679,800,876,619,105,0,0,3344,55,495,1325,1273,1389,1146,162,9,4,5851,44,80,94,78,80,50,16,0,0,446,30,100,176,146,153,107,20,0,0,723
LGA20660,1145,2568,6499,7272,6467,4838,1427,171,21,30404,3,10,11,23,12,13,4,0,0,64,0,0,4,13,8,7,0,0,0,31,66,62,176,249,229,170,41,4,0,998,0,6,36,73,21,15,3,0,0,160,7,40,120,166,164,94,18,3,0,613,13,51,133,176,175,97,17,3,0,665,430,557,547,387,489,378,88,7,0,2881,421,325,254,183,179,94,20,0,0,1481,6,41,99,127,137,82,13,0,0,511,28,40,122,144,107,57,3,0,0,501,8,61,323,354,248,137,29,4,0,1167,5,56,134,110,91,70,21,9,0,486,17,176,632,708,529,312,79,5,0,2457,4,64,199,210,206,138,29,6,0,851,18,64,387,523,486,328,57,3,0,1865,87,259,893,1097,1148,961,165,7,0,4612,40,408,1504,1553,1605,1339,326,16,0,6785,81,103,120,91,89,61,16,3,0,574,35,80,245,203,210,137,36,7,0,953
LGA20740,322,394,1087,1211,1484,1391,479,84,21,6481,0,3,32,38,48,49,47,21,0,238,0,0,4,3,0,0,0,0,0,7,19,19,15,33,39,30,12,0,0,179,0,0,13,17,9,11,3,0,0,52,0,3,30,32,46,10,13,0,0,134,0,3,20,16,21,21,0,0,0,81,121,63,119,168,189,183,27,0,0,864,128,75,119,85,123,113,23,0,0,664,0,0,6,10,28,32,7,0,0,90,3,0,8,9,15,11,0,0,0,49,0,3,32,36,27,12,6,0,0,109,5,10,26,26,42,29,5,0,0,141,4,10,46,53,74,62,16,0,0,265,3,11,26,49,66,28,23,0,3,212,0,4,51,80,74,63,16,0,0,291,10,21,120,168,182,147,22,0,0,678,11,52,193,224,376,377,61,0,4,1300,15,17,49,51,54,58,17,0,0,264,6,22,50,44,52,48,6,0,0,235
LGA20830,640,927,2106,2082,2470,2138,705,132,30,11218,10,34,105,130,133,155,94,36,0,695,0,0,8,4,3,3,0,0,0,16,29,44,84,62,80,48,11,4,0,357,0,0,5,10,14,4,0,0,0,47,3,13,56,62,54,38,7,0,0,237,8,13,28,29,51,28,4,0,0,163,142,141,210,180,241,167,20,4,0,1100,259,155,114,103,123,80,8,0,0,849,0,8,17,32,39,46,9,0,0,158,8,5,22,18,22,18,0,0,0,97,3,16,63,53,56,28,5,0,0,223,7,21,40,26,24,16,5,0,0,140,9,39,104,109,109,91,27,3,0,492,10,17,43,60,90,66,16,0,0,299,6,26,120,142,173,102,25,0,3,591,23,55,276,355,439,332,40,3,0,1529,27,167,420,416,575,486,72,3,0,2163,15,19,22,27,23,28,3,0,0,142,21,47,86,83,108,81,20,0,0,436
LGA20910,909,1783,3104,4983,6458,4437,1738,259,35,23704,0,4,4,8,7,6,7,0,0,35,0,0,9,16,15,6,0,0,0,48,62,39,104,204,230,111,39,0,0,800,0,9,25,45,38,17,0,0,0,137,3,18,74,112,154,80,27,3,0,465,8,45,97,168,226,102,34,4,0,684,312,401,325,379,442,315,119,8,0,2295,363,291,167,137,134,72,31,0,0,1190,0,16,53,94,128,61,19,0,0,374,19,39,91,129,154,65,12,0,0,524,5,51,204,408,356,164,34,3,3,1223,11,39,98,115,199,84,44,6,0,598,19,180,462,786,795,428,143,14,0,2822,10,41,113,198,221,125,54,6,0,774,3,23,166,270,314,199,40,0,3,1014,94,155,366,572,1009,867,196,10,0,3275,30,189,568,754,1183,933,231,16,0,3903,72,73,61,100,121,60,22,3,0,514,42,63,114,134,200,97,31,4,0,684
LGA21010,147,251,436,474,633,683,250,45,13,2926,3,6,12,21,35,55,37,11,0,184,0,0,0,3,0,0,0,0,0,3,10,10,11,22,31,25,3,0,0,115,0,0,0,0,3,0,0,0,0,5,0,0,16,9,17,11,3,0,0,54,3,4,6,9,13,4,0,0,0,40,40,25,47,48,72,47,10,0,0,292,75,35,35,35,44,28,6,0,0,268,3,0,7,5,20,10,3,0,0,54,0,0,4,0,0,10,0,0,0,15,0,3,4,9,15,9,0,0,0,44,0,0,8,5,5,5,0,0,0,28,7,5,12,20,23,21,6,0,0,88,0,3,17,12,19,24,6,0,0,84,0,4,21,32,57,53,15,0,0,178,0,19,66,61,111,81,18,0,0,352,9,35,94,119,183,211,37,0,0,686,6,6,5,9,15,9,3,0,0,48,3,12,15,22,20,17,3,3,0,87
LGA21110,1497,4300,8956,8188,9520,6542,2503,394,56,41955,8,7,16,19,33,13,21,5,0,123,0,0,16,30,26,4,3,0,0,75,98,92,249,315,325,167,46,7,0,1303,0,6,75,75,58,15,3,0,0,239,0,35,139,181,188,79,35,6,0,668,30,109,223,293,303,122,46,5,0,1112,525,978,792,627,756,402,112,14,0,4194,633,652,517,298,291,115,33,8,0,2530,4,31,117,167,156,94,9,3,0,587,51,95,277,222,199,95,22,0,0,954,11,132,604,671,603,242,64,3,0,2322,19,81,208,194,210,107,53,6,3,892,45,476,1302,1168,1189,646,195,15,0,5024,22,113,302,216,257,178,74,11,0,1180,10,82,356,447,489,347,81,11,0,1822,162,411,1070,928,1522,1316,339,32,3,5778,71,574,1712,1537,2049,1604,468,34,7,8049,124,154,196,139,137,76,41,8,3,879,55,149,261,183,250,189,62,4,0,1158
LGA21180,1578,4966,11813,9948,8898,6214,1216,87,13,44742,3,20,61,47,64,35,0,0,0,229,0,0,6,8,3,5,0,0,0,19,56,129,449,673,690,400,36,3,0,2435,0,20,74,55,42,15,0,0,0,206,3,49,156,176,141,96,14,0,0,641,17,81,214,242,248,151,18,0,0,963,492,996,1006,743,860,466,60,5,0,4618,699,562,647,378,429,242,36,0,0,2989,13,125,416,438,423,249,17,0,0,1677,29,55,137,108,66,20,3,0,0,423,12,166,590,434,276,111,12,3,0,1607,25,77,161,119,89,48,10,0,0,520,14,178,612,419,306,159,28,0,0,1721,18,149,460,365,406,298,44,3,0,1755,8,82,364,442,431,319,51,0,0,1699,79,325,848,786,840,547,73,3,0,3505,58,542,1730,1421,1387,1013,158,5,3,6316,58,108,157,100,73,49,11,0,0,563,32,173,405,320,307,167,25,0,0,1426
