LGA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA20110,84,77,162,375,351,725,97,79,172,21,18,35,490,447,935,236,237,477,79,89,165,34,46,80,349,372,724,11,17,28,3,9,16,40,25,62,23,41,64,0,0,3,75,94,172,17,36,46,9,19,29,3,3,7,23,46,73,0,0,0,48,109,158,8,8,19,18,39,54,0,0,0,20,49,70,564,593,1157,1632,1746,3375
LGA20260,75,76,145,312,336,646,82,68,155,9,6,17,401,407,814,135,129,260,143,174,320,8,6,15,291,313,598,4,4,8,3,11,16,28,9,31,6,26,31,0,3,3,40,45,86,23,34,60,11,18,25,5,17,25,14,46,59,0,3,3,54,115,170,0,3,3,10,26,38,0,0,0,10,33,44,1154,484,1640,2029,1473,3499
LGA20570,878,857,1731,2699,2516,5219,1206,1199,2401,470,493,960,4377,4209,8584,1431,1448,2871,1199,1072,2272,690,750,1436,3311,3263,6582,161,152,313,67,123,182,216,150,371,237,305,542,14,9,21,695,735,1435,1164,1536,2702,384,547,931,113,180,295,400,738,1138,9,11,21,2077,3010,5084,128,113,241,184,302,483,6,3,10,316,422,734,3309,3680,6987,14966,16171,31139
LGA20660,1097,1115,2218,3461,3282,6745,1225,1139,2366,320,340,658,5010,4756,9767,2148,1865,4012,1030,1021,2049,635,705,1338,3812,3591,7399,228,215,445,116,196,314,291,115,399,302,324,621,8,5,17,952,853,1799,1813,2017,3829,627,722,1351,194,200,395,559,852,1412,14,12,26,3202,3805,7008,177,134,311,208,439,647,11,8,19,398,580,972,2980,3353,6335,17454,18044,35499
LGA20740,243,217,460,883,874,1757,141,131,280,158,172,326,1184,1180,2362,585,546,1127,56,91,149,211,254,469,850,890,1741,37,43,77,17,38,53,70,41,110,73,113,187,0,3,5,201,236,433,38,67,108,36,59,88,6,10,18,45,167,212,0,0,0,127,304,432,35,36,71,46,95,141,0,3,6,78,135,217,1360,1457,2822,4046,4426,8471
LGA20830,383,380,758,1513,1371,2886,397,434,828,263,246,508,2170,2051,4221,898,886,1778,312,342,656,296,337,634,1511,1563,3070,74,89,163,23,78,102,164,93,259,88,210,300,0,0,3,354,469,816,170,314,484,56,177,229,33,53,92,104,271,379,0,5,9,368,818,1186,41,65,106,65,141,205,3,5,5,106,212,316,1755,1950,3702,6642,7441,14084
LGA20910,953,850,1809,2537,2572,5104,912,956,1869,1034,1017,2048,4479,4546,9027,926,885,1812,661,776,1439,2259,1937,4195,3847,3605,7449,107,79,193,44,102,144,137,51,186,121,211,331,5,6,7,416,448,863,1590,1621,3216,245,325,567,178,154,329,385,639,1027,11,28,40,2412,2767,5179,58,54,113,141,339,482,3,6,6,197,399,596,2623,2951,5571,14922,15565,30488
LGA21010,81,80,162,280,246,528,154,134,286,44,47,95,477,424,906,241,207,449,119,142,255,63,66,127,418,413,833,15,24,36,5,17,24,35,25,64,19,60,81,0,0,4,83,124,208,17,36,54,7,19,24,3,9,16,16,48,56,0,0,3,35,113,148,11,12,24,15,19,36,0,0,0,27,36,70,615,664,1283,1752,1855,3605
LGA21110,1440,1331,2772,4558,4117,8679,1389,1269,2655,1181,1446,2627,7132,6829,13958,2141,2193,4331,1515,1232,2747,2933,3155,6091,6588,6581,13172,306,209,516,216,285,500,175,73,242,326,404,731,7,6,6,1026,977,2008,4918,4798,9709,1338,1399,2741,405,435,839,993,1429,2425,19,28,43,7669,8094,15761,192,234,430,300,580,875,9,16,26,500,825,1326,4112,4377,8485,28468,29014,57488
LGA21180,1342,1247,2590,4661,4245,8913,2133,2153,4282,573,574,1146,7369,6977,14343,3999,3778,7776,1452,1962,3408,682,647,1330,6131,6385,12523,635,536,1169,387,578,962,422,209,631,415,483,902,28,25,58,1882,1834,3715,3115,3281,6397,973,1067,2039,333,304,635,500,616,1113,23,44,69,4944,5302,10249,686,820,1513,617,1107,1726,21,32,52,1325,1966,3284,7325,7205,14531,30315,30925,61236
LGA21270,38,28,65,191,185,374,67,53,121,0,0,3,258,237,501,220,194,415,4,3,7,3,3,3,226,201,427,4,3,11,0,4,6,7,8,13,7,10,24,0,0,0,31,22,51,11,10,28,0,3,3,4,0,3,10,34,40,0,0,0,25,46,73,3,3,7,0,7,15,0,0,0,4,16,18,322,317,636,904,869,1776
LGA21370,260,247,507,985,875,1860,427,436,866,101,101,200,1515,1414,2930,700,602,1308,388,400,795,148,142,291,1239,1149,2391,35,36,71,11,41,49,123,73,196,64,131,193,3,9,11,236,284,519,69,123,188,17,62,79,11,23,33,30,131,165,0,0,3,124,336,465,22,36,54,24,98,123,0,0,3,48,129,179,1606,1702,3309,5030,5263,10292
LGA21450,1073,920,1995,3118,2953,6066,846,835,1678,723,772,1490,4682,4556,9237,1842,1748,3586,616,664,1283,853,827,1677,3309,3236,6543,206,242,448,71,153,229,395,185,577,244,382,625,9,13,24,933,972,1900,567,835,1405,148,310,460,74,157,228,224,484,706,4,3,9,1008,1784,2797,101,141,242,157,379,535,3,7,8,265,525,783,2984,3054,6041,14254,15043,29297
LGA21610,2699,2490,5192,10515,9798,20318,2608,2569,5181,1846,1803,3649,14968,14173,29141,7033,6564,13599,2222,2305,4530,2001,2101,4106,11264,10977,22234,825,898,1726,415,690,1107,957,513,1471,813,1201,2015,35,16,53,3046,3319,6363,3106,3609,6715,747,1063,1815,343,502,843,742,1291,2030,15,38,51,4954,6499,11453,545,723,1263,649,1445,2094,23,31,58,1214,2204,3415,8821,8889,17703,46967,48545,95512
LGA21670,74,86,163,368,318,687,98,107,200,16,8,22,477,428,906,251,236,486,47,42,94,81,71,155,385,353,734,16,18,32,3,14,16,21,13,34,13,24,45,5,0,5,61,70,138,22,34,57,8,19,25,5,14,19,19,35,54,0,0,4,62,98,160,9,19,33,19,33,50,0,0,3,25,51,80,533,569,1099,1624,1655,3276
LGA21750,179,161,339,519,459,979,358,317,671,8,6,13,883,781,1670,299,278,577,318,319,642,8,15,24,628,611,1243,18,25,40,4,17,23,57,34,90,43,78,122,3,0,3,127,159,283,26,61,87,17,36,52,9,24,33,31,75,107,0,0,0,85,196,275,12,14,28,27,54,80,0,0,0,42,65,109,881,844,1727,2823,2819,5645
LGA21830,121,115,238,483,389,869,201,220,424,9,13,22,696,620,1315,376,283,657,191,198,387,7,11,19,571,491,1063,20,26,48,4,9,11,47,27,76,18,48,73,3,3,8,94,116,212,25,75,102,6,17,27,6,6,13,30,47,72,0,0,0,63,145,206,10,14,26,8,32,44,0,3,4,28,51,75,747,740,1492,2319,2276,4598
LGA21890,1122,1035,2162,3619,3299,6920,1130,1131,2260,306,351,661,5063,4778,9838,2074,1784,3860,935,1048,1980,457,442,901,3465,3278,6742,309,317,624,342,459,794,230,112,338,423,507,926,12,8,22,1310,1398,2706,2831,3476,6308,1697,1764,3459,214,274,490,862,1396,2259,16,20,38,5613,6938,12551,320,326,638,327,611,937,3,4,3,649,938,1585,5331,5730,11065,22558,24093,46647
LGA22110,299,302,598,1152,1110,2257,311,308,617,149,110,262,1608,1524,3133,736,702,1439,385,390,771,98,89,185,1223,1177,2396,44,76,118,21,73,90,90,70,162,84,155,234,3,6,6,240,376,617,41,97,136,14,71,87,10,26,38,68,205,277,0,3,3,133,403,539,23,37,62,48,113,162,3,4,6,80,157,235,2163,2338,4505,5742,6281,12024
LGA22170,1285,1097,2380,4352,4178,8525,690,657,1349,429,413,845,5470,5251,10720,2941,2813,5761,533,548,1083,529,598,1124,4006,3953,7962,217,322,546,146,262,405,499,259,758,413,596,1016,9,10,22,1288,1455,2740,849,1238,2088,228,463,691,101,195,295,331,768,1101,7,13,20,1524,2675,4195,161,189,351,237,523,765,9,9,19,412,721,1134,4546,4802,9351,18531,19953,38485
LGA22250,65,72,142,279,219,493,85,109,197,27,28,54,390,358,746,271,270,544,26,31,61,31,36,69,324,343,668,9,10,18,3,5,6,27,17,42,12,22,41,0,0,0,51,59,110,20,22,43,0,11,12,0,3,4,4,31,36,0,0,0,25,70,100,3,6,9,5,13,16,0,0,0,6,19,32,448,461,912,1319,1392,2710
LGA22310,1411,1279,2695,3636,3223,6853,1025,992,2015,1453,1458,2903,6108,5668,11777,1951,1706,3657,832,891,1719,1698,1717,3415,4479,4314,8790,272,214,479,212,294,505,197,75,274,300,401,703,7,5,12,984,988,1968,3035,3497,6530,1064,1199,2258,245,263,505,708,1041,1754,10,16,31,5063,6012,11080,214,237,453,297,502,795,7,11,15,518,748,1265,3580,3728,7310,22147,22734,44884
LGA22410,122,116,234,560,488,1048,114,115,229,56,43,96,737,644,1378,447,442,891,69,96,170,89,81,168,611,619,1231,18,18,34,4,10,20,51,39,95,26,87,109,0,0,0,96,161,261,32,55,82,12,29,44,3,15,18,31,86,114,0,0,0,77,183,265,9,28,38,30,66,95,0,3,8,47,96,144,945,910,1853,2627,2735,5356
LGA22490,225,192,413,921,850,1774,124,136,253,152,122,268,1194,1102,2299,391,382,770,246,253,495,215,176,390,853,811,1661,30,25,56,7,17,24,68,32,106,35,93,134,5,3,9,153,175,325,102,138,237,20,61,83,23,28,51,61,128,188,0,3,3,199,355,555,14,26,36,27,69,95,0,0,4,45,95,138,729,706,1431,3392,3439,6835
LGA22620,944,818,1765,3099,2852,5954,1269,1188,2456,367,369,740,4737,4410,9149,2182,2110,4296,924,852,1775,485,474,959,3593,3435,7029,213,254,469,117,205,329,297,191,492,236,415,651,10,7,15,880,1077,1954,802,1401,2200,219,397,617,79,139,223,294,565,865,6,14,19,1403,2512,3917,93,115,208,167,303,473,10,5,13,270,427,698,4227,4430,8656,16052,17115,33164
LGA22670,1020,960,1980,3862,3577,7434,1131,1134,2264,486,480,971,5479,5189,10665,3381,3031,6415,848,1027,1870,515,489,1010,4746,4548,9294,748,605,1351,460,535,1002,272,160,428,432,489,924,22,11,35,1937,1801,3738,2451,2310,4758,934,855,1791,210,265,482,380,468,844,22,22,45,4004,3918,7921,591,666,1251,597,931,1531,17,21,35,1202,1613,2816,5596,5212,10807,23985,23242,47224
LGA22750,1975,1743,3714,6193,5957,12151,2110,2051,4160,1023,1015,2041,9325,9024,18345,3811,3315,7124,1861,2256,4113,1849,1619,3468,7522,7183,14704,433,505,940,199,409,605,667,381,1047,618,822,1446,8,21,30,1939,2140,4078,2640,3218,5861,917,1038,1951,266,386,652,703,1395,2100,11,22,40,4540,6061,10603,288,365,653,465,822,1283,15,20,34,766,1207,1970,8391,8082,16470,34455,35426,69884
LGA22830,497,458,956,2017,1799,3819,691,659,1353,150,136,290,2865,2598,5459,1169,1179,2353,758,730,1492,305,260,566,2230,2171,4404,98,157,249,82,149,224,192,104,301,136,292,426,9,4,13,511,702,1211,166,300,465,64,148,208,30,72,102,129,284,415,4,8,12,387,815,1196,92,100,192,95,201,294,7,0,9,192,299,487,3185,3025,6207,9864,10065,19931
LGA22910,115,104,217,367,387,760,89,110,196,59,53,107,518,548,1063,255,239,492,57,82,138,46,39,87,353,364,712,13,10,18,8,9,13,28,19,48,41,43,85,0,4,4,90,78,175,33,49,80,28,52,84,12,10,20,38,114,150,0,0,0,106,236,340,13,21,35,12,35,52,0,0,0,28,55,80,747,845,1588,1955,2233,4182
LGA22980,23,34,56,147,136,284,5,17,24,35,37,71,190,183,377,182,178,357,4,3,10,10,9,15,188,191,382,3,3,8,3,3,3,10,4,18,6,11,16,0,0,0,24,28,48,10,17,26,3,10,10,4,5,12,4,22,21,0,0,0,21,51,68,3,6,9,6,22,28,0,0,0,15,25,41,212,239,451,665,752,1418
LGA23110,777,736,1516,2477,2277,4754,807,853,1661,244,311,557,3525,3437,6965,1357,1237,2592,733,816,1546,388,385,773,2481,2432,4909,147,127,274,95,123,219,173,87,259,209,272,481,9,5,15,629,613,1245,1099,1096,2198,366,466,833,100,143,243,322,685,1009,14,9,25,1899,2399,4301,140,178,317,201,407,612,6,7,16,344,590,939,2702,2819,5521,12357,13033,25395
LGA23190,156,140,290,578,544,1120,139,113,252,166,151,317,881,814,1695,392,377,772,198,169,370,32,44,76,624,600,1222,24,21,45,11,21,26,40,26,65,34,40,78,0,0,0,108,110,210,29,69,99,24,40,60,7,33,42,50,87,141,0,0,0,112,233,346,13,23,41,28,62,86,0,4,3,48,85,132,649,663,1310,2565,2637,5210
LGA23270,1662,1547,3209,5990,5477,11465,2067,2058,4126,1210,1227,2439,9267,8760,18028,4254,4247,8499,1549,1576,3128,1292,1397,2683,7087,7219,14312,678,578,1256,369,583,949,562,283,841,490,640,1124,27,16,48,2125,2096,4220,2310,2839,5150,688,795,1486,256,335,588,496,784,1281,20,31,57,3769,4785,8560,551,695,1247,485,949,1439,23,19,43,1066,1665,2728,6840,6844,13680,31816,32919,64733
LGA23350,125,125,252,469,465,935,128,135,265,73,87,152,674,680,1352,337,350,685,132,135,267,66,85,149,540,566,1104,15,19,35,4,29,34,58,40,99,40,80,122,0,0,0,123,167,282,22,57,83,13,30,49,5,11,16,28,102,129,0,0,0,73,204,275,3,10,10,16,43,59,0,0,3,22,48,69,744,586,1328,2295,2376,4669
LGA23430,1368,1270,2634,3997,3789,7779,1757,1537,3294,465,498,961,6213,5817,12035,2417,2476,4894,1329,1208,2531,731,829,1566,4475,4515,8985,409,296,708,193,264,456,395,165,560,407,463,873,14,7,18,1414,1199,2613,1872,2118,3992,549,688,1235,193,252,449,511,945,1457,20,17,40,3150,4022,7169,228,209,441,309,554,865,4,20,25,540,783,1328,4100,4506,8603,21265,22103,43373
LGA23670,1248,1175,2421,4631,4233,8857,1035,990,2026,591,495,1089,6264,5714,11977,3127,3271,6399,1366,1195,2560,831,798,1631,5326,5262,10585,324,342,663,160,265,426,520,239,757,427,556,977,16,6,25,1442,1405,2850,2022,2218,4233,431,563,994,219,285,507,474,787,1263,7,13,16,3151,3866,7020,167,234,399,304,652,951,4,12,14,474,899,1368,3365,3520,6888,21269,21846,43112
LGA23810,481,465,951,2066,1890,3956,713,723,1434,167,175,345,2950,2787,5733,1343,1408,2749,552,524,1074,255,283,534,2146,2212,4357,114,155,270,56,130,185,231,151,385,155,251,405,11,8,16,564,697,1263,321,517,833,134,222,355,40,97,141,160,327,492,3,4,4,659,1172,1826,90,67,159,106,253,354,8,5,13,205,325,523,3202,3385,6589,10213,11031,21242
LGA23940,44,38,79,202,228,429,23,37,63,20,7,31,249,267,513,162,188,351,18,16,30,23,36,62,206,236,444,4,3,8,0,6,7,4,3,5,0,16,19,0,0,0,11,29,45,10,27,40,4,10,12,3,3,4,3,22,22,0,0,0,25,55,81,5,11,14,7,14,23,0,0,0,11,25,35,462,412,876,1019,1059,2077
LGA24130,471,395,864,1527,1389,2917,528,549,1080,170,176,345,2228,2115,4344,720,720,1438,602,556,1158,355,343,690,1675,1614,3290,37,63,102,13,40,47,153,72,223,91,125,213,3,6,8,298,297,598,259,400,664,64,129,190,33,52,82,119,289,409,0,0,3,478,873,1355,24,35,62,66,168,227,0,6,4,92,206,293,1650,1784,3432,6883,7280,14169
LGA24210,914,851,1764,3135,2869,6008,978,871,1850,458,426,883,4570,4168,8738,2273,2077,4346,920,867,1791,1010,1018,2030,4207,3961,8167,231,184,412,141,199,340,243,90,331,233,302,535,7,6,15,853,783,1631,2305,2386,4690,498,574,1075,215,211,424,396,584,985,16,30,46,3429,3784,7214,150,167,321,280,497,777,4,10,14,434,676,1107,2497,2815,5310,16905,17034,33939
LGA24250,76,67,138,173,180,360,109,121,231,44,47,100,333,353,684,191,178,365,10,7,24,98,127,232,300,317,613,3,8,9,4,6,11,21,9,38,12,23,38,3,0,3,44,52,98,16,20,32,6,13,17,0,9,13,8,40,49,0,0,0,27,84,113,4,4,10,13,27,42,0,0,0,13,30,48,409,394,804,1206,1289,2494
LGA24330,655,579,1230,1780,1690,3474,633,649,1284,139,164,302,2553,2505,5056,1103,1020,2122,456,511,973,200,183,381,1762,1717,3481,245,197,445,255,292,547,109,84,192,277,285,564,11,5,17,896,867,1765,1973,1759,3728,1085,895,1977,127,168,291,599,815,1413,15,13,31,3796,3643,7438,223,342,566,262,457,716,8,5,18,496,804,1301,3188,3111,6302,13345,13230,26578
LGA24410,1018,983,2003,3307,3125,6432,748,730,1476,547,531,1077,4600,4393,8987,2068,1931,3999,748,661,1405,874,838,1718,3700,3429,7131,235,243,478,153,195,351,415,139,555,305,396,707,7,6,11,1120,980,2101,1133,1321,2460,318,446,761,144,201,344,402,723,1129,6,16,24,2007,2707,4717,177,188,362,242,487,727,10,6,11,427,677,1109,2481,2848,5328,15343,16024,31369
LGA24600,402,376,777,961,888,1845,203,208,408,189,231,425,1347,1335,2686,724,626,1350,143,163,309,390,459,845,1260,1248,2511,687,760,1449,695,910,1601,157,115,272,434,545,977,7,7,16,1969,2345,4314,10713,13996,24707,3288,3333,6618,287,363,647,1013,1284,2298,39,40,83,15345,19012,34363,728,1064,1798,710,887,1594,5,17,22,1443,1973,3418,8282,7967,16247,30050,34259,64309
LGA24650,1348,1344,2690,4895,4677,9578,1576,1686,3262,830,818,1646,7298,7183,14482,3138,2913,6055,1087,1203,2289,713,697,1413,4930,4822,9754,259,233,493,145,236,381,345,155,496,298,396,695,8,6,9,1050,1028,2078,1171,1529,2701,277,483,758,142,234,379,345,586,935,11,8,21,1944,2842,4788,249,314,560,302,639,945,11,17,28,559,963,1529,5191,4955,10142,22324,23138,45460
LGA24780,516,435,951,1708,1553,3259,371,363,736,178,176,354,2255,2090,4346,1304,1280,2587,334,388,726,87,89,179,1734,1752,3486,111,101,214,43,79,126,144,120,262,167,228,395,4,9,13,472,530,1001,105,252,359,49,129,177,29,58,85,93,226,322,0,10,8,273,671,948,55,62,113,64,145,205,4,7,10,117,212,330,2604,2581,5185,7973,8272,16239
