LGA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA25710,568,538,1111,2283,2180,4454,475,449,928,221,243,463,2979,2865,5845,1535,1370,2909,596,698,1291,491,433,928,2619,2503,5129,124,97,220,27,53,81,321,90,415,140,167,310,5,4,4,620,407,1028,816,1014,1831,147,213,358,88,122,211,216,434,648,0,3,3,1270,1788,3059,56,58,111,99,169,273,0,0,0,150,230,381,1396,1409,2807,9616,9742,19356
LGA25810,74,67,139,288,262,555,79,96,172,7,8,11,373,363,741,269,260,529,66,82,152,9,14,20,351,352,702,10,6,16,3,3,10,29,11,37,12,25,41,0,0,0,52,45,100,7,28,28,14,27,33,0,9,11,12,46,61,0,4,4,31,104,136,16,9,25,10,24,36,0,0,0,29,36,67,462,489,951,1367,1463,2836
LGA25900,633,593,1228,1566,1523,3085,286,303,591,511,435,946,2362,2256,4620,677,609,1280,189,228,418,644,657,1297,1504,1490,2993,122,137,255,188,250,444,74,85,161,283,368,653,5,10,16,685,850,1529,1151,1365,2519,710,945,1654,123,181,306,792,1192,1986,13,13,26,2794,3699,6489,169,181,352,289,506,797,5,7,18,463,700,1163,5191,5209,10399,13627,14797,28422
LGA25990,51,51,96,208,197,408,38,30,67,9,22,35,258,257,507,120,128,247,38,31,69,27,35,63,179,195,379,3,4,12,0,0,0,11,10,20,11,17,25,0,0,0,25,32,63,17,38,50,4,14,14,3,8,4,16,20,31,0,0,0,32,69,110,4,5,10,7,19,27,0,3,3,13,24,43,699,315,1022,1266,952,2211
LGA26080,15,14,29,51,32,81,36,26,64,4,8,14,89,69,158,22,20,41,28,25,56,24,29,55,70,78,151,3,0,8,0,0,0,5,0,5,4,3,7,0,0,0,19,5,22,16,21,37,7,10,14,3,3,8,8,19,34,0,0,0,36,58,93,0,0,0,4,3,10,0,0,0,3,3,7,126,139,264,352,377,728
LGA26170,222,216,438,910,883,1790,165,160,326,53,69,124,1135,1112,2247,620,611,1232,194,188,384,60,72,135,874,882,1750,25,40,64,12,35,54,83,45,134,50,105,150,0,0,3,172,226,405,66,88,147,22,56,78,8,30,36,40,145,180,0,3,3,131,316,443,28,28,54,32,73,105,5,0,4,65,106,169,1228,1306,2527,3827,4157,7986
LGA26260,132,124,256,438,382,821,93,78,178,128,115,239,665,577,1239,225,196,422,191,210,401,134,130,259,545,534,1080,23,24,42,6,9,14,43,20,66,33,59,98,0,0,3,106,114,222,19,39,53,14,19,33,5,8,14,28,61,86,0,0,0,56,122,184,7,12,24,24,37,58,3,0,3,33,52,88,562,596,1157,2099,2121,4219
LGA26350,697,640,1339,1388,1302,2694,532,533,1068,886,983,1868,2817,2820,5633,285,382,665,528,524,1061,1429,1473,2901,2243,2384,4622,175,164,342,163,228,392,93,80,177,242,298,537,3,5,11,678,785,1458,2470,3214,5691,979,1111,2087,214,287,501,800,1036,1829,7,16,26,4470,5662,10132,110,167,281,215,425,634,0,11,10,321,598,927,3875,4196,8067,15098,17085,32184
LGA26430,70,70,138,231,218,446,110,117,226,11,6,21,348,344,694,191,167,360,44,51,95,30,26,60,268,249,516,11,18,23,7,8,11,22,21,44,21,40,60,0,0,0,59,89,146,9,22,28,7,18,20,3,10,7,16,40,53,0,0,0,31,87,117,6,6,18,11,29,41,0,0,3,22,37,60,465,525,990,1260,1390,2655
LGA26490,302,290,594,1052,946,2001,253,243,494,159,134,295,1469,1323,2793,516,429,941,214,267,486,322,301,622,1053,993,2047,30,37,69,18,34,45,94,34,131,79,100,172,0,0,0,218,203,416,179,243,427,59,122,178,25,35,62,89,188,284,0,3,3,363,587,950,24,22,46,46,98,144,0,3,4,70,118,193,909,929,1836,4379,4445,8823
