LGA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
LGA20110,1892,997,849,1278,1660,1925,1496,828,344,11261,3,3,4,0,3,3,5,0,0,19,38,24,26,37,33,30,24,5,0,222,307,145,170,239,189,149,121,36,12,1361,66,14,28,58,34,28,12,4,0,245,20,14,32,18,10,13,6,4,0,113,0,3,9,9,11,5,3,0,0,40,11,0,4,0,8,3,4,0,0,28,4,7,13,3,3,0,0,0,0,32,0,3,4,0,3,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,442,209,288,366,284,226,171,53,12,2057,443,206,291,371,288,231,176,52,12,2073,2336,1204,1139,1647,1952,2153,1672,874,358,13334
LGA20260,1760,1036,1159,1299,1540,1648,1319,769,339,10862,0,4,4,0,4,6,0,5,5,22,3,3,5,8,3,6,3,0,0,28,38,78,99,57,62,46,30,22,16,442,0,4,3,0,4,0,0,0,0,11,0,5,12,12,14,8,4,0,0,60,4,0,0,3,3,3,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,44,95,128,76,86,70,35,22,16,570,43,97,132,76,90,72,37,23,19,593,1804,1130,1286,1374,1634,1725,1357,791,355,11454
LGA20570,18843,13219,12385,11896,12274,11266,8724,4937,2228,95765,10,31,14,3,11,13,13,7,10,117,0,27,12,20,17,22,26,7,0,127,432,937,605,379,346,368,310,196,121,3691,4,7,8,13,13,27,19,0,0,88,4,11,9,8,11,13,9,8,3,74,3,0,0,6,10,5,4,0,0,34,0,0,3,3,8,15,15,4,0,49,5,8,5,3,3,7,0,0,0,31,0,0,3,0,4,3,0,3,0,15,0,0,0,0,0,0,0,0,0,0,453,989,649,429,412,457,386,213,125,4116,464,1021,668,432,427,465,398,222,139,4237,19304,14240,13048,12330,12698,11729,9127,5160,2362,100000
LGA20660,21548,13782,15472,16752,15586,13917,10708,6046,3070,116883,14,17,11,5,14,14,11,10,9,95,0,13,30,8,16,26,14,8,3,121,314,442,508,361,368,372,318,320,194,3198,10,26,40,13,19,17,15,8,3,154,3,8,4,5,9,4,9,0,0,42,7,4,8,6,3,8,8,0,0,45,0,0,5,6,14,8,9,4,0,42,0,6,12,0,3,3,0,0,0,24,0,3,4,0,3,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,337,497,611,405,436,442,370,348,199,3647,351,509,626,411,444,450,377,354,207,3737,21904,14293,16092,17165,16032,14374,11084,6398,3279,120622
LGA20740,5167,2529,2675,3145,3967,4610,4560,2383,1057,30089,5,7,9,3,4,3,7,5,4,51,7,0,4,3,11,7,19,0,0,56,172,178,217,159,206,291,274,90,55,1639,6,5,11,6,18,13,11,3,0,73,0,3,0,3,3,3,0,0,0,11,9,3,5,5,0,3,3,0,0,30,0,0,3,0,3,3,3,6,0,19,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,192,189,242,177,235,328,319,102,55,1838,195,201,250,180,242,331,324,106,61,1887,5366,2725,2924,3319,4203,4941,4889,2486,1110,31979
LGA20830,9036,5196,4947,5211,6174,6260,5098,2672,1039,45632,12,11,7,3,6,3,13,3,0,62,0,0,5,0,7,0,16,0,0,32,159,257,220,98,154,140,109,79,37,1251,11,4,14,10,14,12,10,0,0,63,3,0,0,4,0,3,0,0,0,19,4,0,3,3,3,3,0,0,0,22,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,175,261,238,125,181,160,138,86,44,1407,186,276,247,125,188,165,151,87,43,1472,9223,5472,5194,5331,6365,6430,5248,2760,1086,47108
LGA20910,17934,10735,7575,11868,15168,11970,8962,4847,3385,92449,5,7,3,0,8,10,4,11,8,52,11,6,19,14,19,29,26,9,3,144,223,270,307,213,196,252,201,150,131,1939,11,8,14,11,14,9,18,8,3,99,0,7,6,3,4,10,11,4,0,48,0,6,3,7,12,8,10,3,3,42,0,0,3,0,6,3,3,4,0,25,0,0,0,0,3,3,0,0,0,15,0,0,3,0,0,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,247,304,354,253,258,313,273,185,147,2325,249,308,357,255,265,324,275,193,152,2384,18183,11046,7929,12117,15435,12292,9240,5042,3540,94831
LGA21010,2111,1307,1129,1244,1760,2091,1774,998,496,12903,5,4,7,0,0,3,0,0,3,17,4,3,4,3,3,8,4,0,0,34,51,98,70,54,50,64,50,22,20,481,3,0,0,4,4,3,4,0,0,16,0,0,0,3,5,0,0,0,0,13,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,52,108,85,66,65,80,55,31,23,562,59,114,90,67,65,80,55,31,19,579,2169,1420,1216,1307,1821,2173,1831,1032,517,13483
LGA21110,28119,24350,21403,19899,23193,18073,12990,7503,4535,160051,7,17,11,12,11,10,8,6,10,88,19,36,51,48,46,44,36,20,0,285,393,617,715,396,357,405,335,275,153,3652,13,28,35,32,37,31,27,0,5,201,5,14,16,7,14,18,16,4,0,96,0,12,14,15,15,14,16,7,0,92,3,9,5,4,4,15,13,0,0,58,5,7,0,0,0,0,3,0,0,21,0,10,5,4,3,5,8,6,0,42,0,3,0,0,0,0,0,0,0,3,442,736,846,498,483,530,444,314,165,4455,450,748,854,513,496,540,452,323,179,4546,28564,25099,22257,20409,23684,18613,13435,7826,4713,164600
LGA21180,35145,26622,30118,25456,24231,21492,14905,7453,2771,188195,26,59,56,45,44,25,38,15,9,310,8,7,29,19,19,15,7,12,0,112,633,617,983,656,511,430,312,282,164,4587,7,6,17,4,17,25,3,3,0,84,5,3,9,7,9,11,9,0,0,57,3,6,9,9,7,11,4,0,0,50,3,0,4,4,3,0,4,3,0,28,0,0,3,0,4,0,0,0,0,14,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,651,646,1066,693,574,500,344,301,165,4936,671,704,1114,737,614,524,382,314,177,5248,35816,27325,31234,26195,24852,22013,15288,7764,2945,193449
