LGA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA21270,7,13,22,324,383,706,0,0,0,34,38,73,0,0,0,836,789,1628,3,5,3,5,10,19,3,0,3,0,5,6,18,15,28,0,0,0,6,5,7,11,14,29,97,108,207,5,3,7,0,0,0,529,610,1133,45,53,104,3,5,11,1924,2050,3970,9,8,14,0,0,0,0,0,0,0,0,0,0,0,0,7,9,15,3,9,12,827,646,1470,5,7,15,0,4,4,834,654,1485,359,326,687,3138,3066,6201
LGA21370,69,100,173,3003,3283,6280,0,0,0,148,198,340,4,0,4,4260,4619,8874,25,41,61,51,46,99,24,37,64,22,24,48,77,76,152,8,4,7,34,44,77,255,216,468,748,831,1579,71,129,205,14,22,33,1427,1755,3183,324,363,686,7,10,20,10497,11699,22195,35,29,64,45,34,81,0,3,7,0,5,5,9,7,15,18,44,65,25,55,81,5747,5021,10768,45,39,81,19,23,39,5813,5078,10890,1806,1760,3567,18293,18765,37061
LGA21450,649,759,1408,5266,6409,11671,0,0,0,822,920,1739,27,28,53,9789,10613,20397,64,78,136,443,455,899,122,135,254,166,170,340,141,205,343,84,89,167,154,161,312,551,606,1158,1013,1154,2160,74,85,163,155,195,345,1424,1806,3228,1506,1706,3215,49,63,109,21829,24865,46690,587,548,1133,490,458,944,36,39,79,0,3,3,446,365,805,117,170,290,557,535,1097,17780,16275,34053,178,144,324,59,106,167,18021,16520,34539,4190,4048,8240,46358,47773,94128
LGA21610,6550,7087,13642,10887,12835,23717,7,10,16,1895,2231,4123,86,80,166,34517,37038,71557,240,263,501,3927,3921,7853,356,469,825,753,849,1604,333,400,736,907,926,1826,720,805,1524,2785,3055,5843,2590,3130,5719,180,257,436,632,698,1324,2817,3622,6437,5294,5752,11042,108,149,260,69029,76490,145516,6507,6002,12515,11685,10516,22202,102,125,221,3,3,13,3384,2979,6360,505,555,1063,3888,3544,7431,38481,34260,72741,344,261,605,152,198,351,38975,34716,73697,12286,11793,24076,149024,150274,299301
LGA21670,28,35,61,1121,1317,2438,0,0,0,50,52,98,0,0,0,1134,1245,2379,34,49,77,25,23,47,32,43,70,3,10,12,21,28,54,0,0,0,11,21,31,50,52,102,244,237,484,44,59,103,5,8,18,460,585,1044,78,81,157,0,0,0,3315,3803,7120,16,13,30,14,8,21,3,0,0,3,0,5,9,8,11,24,37,61,35,47,79,2372,2068,4439,19,5,24,9,15,26,2397,2087,4483,608,592,1201,6412,6580,12995
LGA21750,56,58,116,1063,1248,2314,0,0,0,81,94,173,0,0,0,2611,2653,5265,3,8,13,54,52,104,29,42,67,3,3,12,27,31,65,6,0,5,20,23,41,50,70,124,441,457,898,22,24,44,8,9,16,711,955,1659,156,171,328,8,13,14,5292,5857,11149,15,19,39,86,34,116,3,9,9,0,0,3,9,10,13,21,22,35,25,25,52,3843,3450,7290,36,27,61,19,19,40,3900,3493,7392,1111,993,2102,10485,10489,20972
LGA21830,30,34,66,889,1032,1919,0,0,0,97,102,196,0,0,0,2039,2222,4259,0,4,5,8,14,30,23,26,51,3,4,8,45,57,105,0,0,0,10,10,21,31,40,65,508,510,1017,11,27,35,8,5,10,732,879,1616,123,122,238,0,0,3,4534,5044,9578,9,0,7,8,11,19,3,0,3,0,3,3,0,0,0,10,12,26,12,16,31,2610,2041,4653,14,9,20,3,4,9,2626,2060,4689,859,800,1657,8082,7970,16051
LGA21890,1875,2396,4274,2283,3126,5416,34,41,74,319,420,738,3,3,3,16235,19010,35241,47,86,137,6574,6999,13573,101,175,282,53,38,87,105,159,263,104,114,220,159,177,343,216,275,487,507,623,1129,76,112,185,30,39,75,707,1002,1709,1284,1525,2812,34,37,69,28876,33960,62838,2320,1738,4063,3554,3093,6646,99,125,218,8,15,26,684,507,1195,206,266,470,900,787,1680,25498,25879,51380,348,299,655,115,194,313,25971,26383,52346,7309,7345,14652,70903,75816,146719
LGA22110,117,165,287,3629,4185,7821,0,0,0,274,301,575,63,67,130,3590,4117,7708,10,23,36,71,56,122,124,165,290,14,17,33,72,85,160,9,4,11,27,44,76,176,238,418,752,785,1533,59,78,138,50,71,124,1054,1361,2417,426,471,894,17,25,43,10414,12099,22518,62,39,95,20,22,41,11,13,22,0,5,8,19,9,27,54,86,137,76,102,175,8679,7768,16440,68,66,138,27,40,70,8775,7876,16643,2639,2619,5259,22107,22932,45040
LGA22170,670,973,1643,7253,9216,16470,0,0,0,696,841,1536,8,3,8,12650,14486,27137,83,137,220,1280,1244,2520,211,256,465,266,286,557,228,249,476,112,111,228,208,239,452,654,793,1454,1595,1928,3529,95,135,225,140,126,261,1432,1998,3429,1818,2138,3952,72,81,152,28798,34276,63070,681,703,1380,467,437,902,123,121,249,0,0,3,142,91,233,248,334,583,389,432,821,27260,24900,52160,270,231,494,129,209,341,27654,25339,52998,6627,6449,13075,65418,68727,134143
LGA22250,23,17,37,918,995,1912,0,0,0,178,180,357,45,47,95,1053,1124,2181,10,10,18,10,16,29,3,3,3,0,0,4,15,31,43,3,4,6,4,9,16,24,30,51,187,212,397,3,5,12,0,0,4,555,640,1198,94,109,209,0,0,0,3117,3412,6522,14,12,26,3,0,3,0,0,0,0,0,0,5,7,13,10,9,17,12,14,24,1577,1354,2935,9,4,12,4,3,5,1589,1367,2951,502,484,986,5257,5293,10549
LGA22310,1261,1705,2965,3707,4690,8397,7,0,7,385,442,826,0,0,3,11189,13284,24471,35,56,88,3778,4142,7915,96,119,214,24,25,52,161,230,387,108,109,218,131,157,291,172,223,396,702,863,1565,20,30,49,28,36,71,1120,1593,2710,796,989,1787,54,54,110,22514,27042,49549,3117,2570,5682,514,432,947,11355,12296,23658,0,0,0,232,186,413,228,222,449,458,405,860,22414,21601,44013,239,206,440,105,143,251,22758,21952,44706,6165,6335,12503,68140,72735,140875
LGA22410,38,76,117,1254,1427,2677,0,0,0,164,164,329,0,6,6,1487,1618,3102,20,31,47,17,12,31,30,34,61,8,7,20,226,262,485,3,0,5,24,19,41,67,89,160,519,508,1022,25,46,70,3,12,17,894,1034,1928,194,241,437,0,0,3,4936,5522,10453,17,19,37,14,16,36,3,3,3,0,6,6,0,0,4,23,36,58,29,41,71,3546,3038,6581,27,22,48,18,19,37,3589,3074,6662,1118,1056,2169,9749,9809,19557
LGA22490,46,60,102,1209,1358,2568,0,0,0,150,186,332,0,0,0,2437,2495,4933,40,40,82,75,64,137,29,28,53,8,9,14,100,97,192,0,0,3,17,24,37,90,77,168,438,476,913,28,35,60,28,27,53,587,640,1227,282,291,574,3,4,6,5520,5839,11358,11,7,15,25,14,37,0,3,7,3,3,4,3,0,6,29,43,70,40,45,86,4314,3769,8082,21,24,49,5,16,24,4343,3807,8152,1032,899,1929,11019,10675,21688
LGA22620,479,596,1079,6498,7926,14425,0,0,0,1075,1188,2262,74,72,142,11467,12935,24394,72,96,165,194,175,366,124,150,272,78,95,177,193,218,411,46,40,87,99,102,203,466,591,1061,1119,1342,2463,99,153,249,92,114,208,3272,4289,7559,1149,1308,2458,17,19,38,26133,30814,56947,249,249,495,238,221,466,21,24,41,5,11,17,105,85,193,110,199,303,221,296,515,20624,19092,39714,171,154,321,47,103,153,20840,19346,40179,5418,5343,10763,53587,56891,110477
LGA22670,10477,12087,22562,2523,2869,5395,0,4,5,689,781,1470,8,3,15,14557,15737,30297,84,106,196,3317,3507,6820,194,262,458,172,208,382,106,134,242,257,287,542,354,370,727,822,923,1742,835,968,1799,48,86,128,217,258,472,849,1149,1998,1966,2200,4165,68,43,111,27067,29885,56953,4219,3353,7573,10700,8241,18943,88,88,174,0,3,8,3152,2253,5409,319,301,621,3476,2560,6031,14093,11603,25701,127,89,211,87,85,179,14305,11779,26086,7214,6512,13728,77550,74506,152050
LGA22750,1006,1350,2360,11120,14169,25294,0,0,0,2066,2382,4450,87,80,166,27652,31609,59258,166,219,391,1827,1832,3659,269,354,626,123,145,271,806,1046,1849,48,43,96,247,339,589,679,782,1454,3032,3599,6636,236,319,557,112,149,264,5042,7023,12065,2705,3255,5957,79,113,191,56308,67456,123767,998,686,1685,1417,1110,2530,52,49,104,10,3,12,387,334,716,271,337,611,664,678,1343,40700,37792,78484,410,276,686,179,250,423,41285,38312,79596,11476,10573,22045,113214,120217,233429
LGA22830,201,299,496,3360,3969,7325,0,0,0,187,199,387,52,43,93,7650,8126,15777,78,72,150,380,382,757,88,131,217,49,77,130,75,117,198,29,16,43,69,66,140,397,467,872,1032,1161,2193,48,70,115,39,47,79,1751,2177,3923,607,676,1284,18,15,35,15903,17809,33715,271,236,505,1860,1666,3524,8,3,12,8,3,13,440,367,809,55,105,159,507,478,982,9118,8181,17298,72,61,128,36,40,75,9230,8282,17513,3746,3346,7090,31713,32125,63837
LGA22910,67,132,206,797,953,1753,0,0,0,48,57,104,0,0,0,1294,1475,2770,18,16,34,66,48,118,14,17,28,9,7,13,20,35,56,3,0,3,13,28,44,27,27,52,203,214,411,20,19,43,19,22,38,394,454,846,125,133,262,0,9,9,3069,3519,6588,23,22,41,20,16,29,17,6,18,0,3,4,5,9,12,54,64,112,57,67,125,3152,3118,6271,22,32,52,15,42,59,3191,3187,6380,944,995,1937,7382,7944,15330
LGA22980,22,15,41,339,386,726,0,0,0,54,51,109,0,0,0,300,348,652,3,4,9,12,4,17,0,0,0,3,0,6,359,381,739,4,0,7,0,9,5,27,27,49,69,65,134,17,22,42,8,5,14,536,592,1128,69,74,148,3,7,9,1808,1977,3786,12,9,23,7,3,17,0,0,0,0,0,6,0,0,0,0,3,9,4,3,11,730,590,1321,3,0,3,6,9,15,742,601,1343,246,262,509,2848,2872,5721
LGA23110,870,1229,2102,2722,3509,6228,0,0,3,477,533,1013,0,0,0,11245,12856,24101,49,64,114,2478,2562,5037,103,98,204,56,66,121,182,248,431,94,92,182,171,201,371,253,260,512,605,762,1371,59,79,135,52,51,99,785,1079,1859,946,1114,2056,16,28,45,20290,23585,43883,1091,831,1924,2326,2078,4408,40,38,78,0,0,3,444,299,743,97,135,229,546,430,975,14402,13008,27411,140,101,242,53,93,145,14598,13198,27795,3868,3756,7622,43631,45146,88778
LGA23190,30,49,78,914,1148,2063,0,0,0,56,44,93,0,0,0,1600,1711,3310,134,181,311,27,17,39,9,9,12,5,10,23,799,898,1698,8,3,11,14,10,19,145,159,305,198,214,413,30,48,77,19,27,40,1373,1730,3102,164,206,368,10,9,12,5491,6408,11900,37,37,74,43,32,74,5,4,5,0,3,3,8,10,15,21,21,39,25,31,61,3085,2701,5779,22,11,35,10,14,17,3112,2721,5832,828,779,1610,9576,10067,19642
LGA23270,2264,2567,4839,4882,6067,10946,1017,1043,2058,523,587,1103,73,80,157,29690,31440,61134,81,114,196,3123,3176,6300,286,304,595,407,479,885,171,209,380,485,493,982,341,347,690,758,817,1578,996,1139,2128,105,151,258,135,155,298,1531,1968,3500,2433,2611,5049,39,55,101,47090,51246,98334,2905,2622,5530,16458,16036,32490,24,27,54,9,15,27,2518,2130,4647,274,303,584,2811,2448,5252,17798,15694,33494,154,125,276,77,92,170,18022,15916,33938,8696,8249,16947,98273,99102,197376
LGA23350,50,63,114,1367,1595,2959,0,0,0,98,107,199,3,3,3,1594,1703,3294,7,11,14,3,3,7,15,29,45,4,7,15,66,104,169,0,0,0,40,34,75,30,39,70,253,235,491,20,20,44,13,18,32,463,567,1029,190,224,412,3,4,12,4175,4693,8869,14,11,21,5,6,18,0,3,3,0,0,0,0,0,0,14,32,41,14,32,41,2697,2581,5280,25,26,50,15,15,31,2737,2624,5358,870,659,1532,7859,8097,15952
LGA23430,1885,2497,4382,6195,7915,14115,0,0,3,591,678,1266,4,6,12,18309,20592,38902,120,178,295,4686,5002,9687,181,225,406,135,131,266,207,244,452,202,209,419,192,226,420,445,549,992,1235,1533,2766,43,80,118,69,105,171,1641,2213,3855,1385,1640,3025,50,47,102,35698,41570,77262,1810,1554,3360,1138,1068,2209,711,755,1467,3,0,8,666,465,1129,211,272,479,883,737,1619,24837,22769,47607,194,159,349,103,163,267,25135,23090,48224,6378,6487,12858,73637,77753,151389
LGA23670,2691,3172,5864,6489,8028,14514,3,4,9,1659,1982,3644,105,97,197,15567,17621,33183,217,279,497,1885,1882,3763,146,182,333,255,276,533,374,492,861,360,355,714,421,488,910,1335,1483,2821,1595,1844,3436,180,224,401,202,218,421,2112,2793,4902,2415,2880,5293,180,195,376,35491,41315,76809,2036,1952,3990,852,875,1724,78,97,176,3,0,3,431,392,824,335,389,727,764,785,1553,27184,24560,51748,218,178,403,101,136,237,27505,24877,52387,5888,5723,11609,75317,78793,154110
LGA23810,254,320,579,4863,5858,10720,0,0,0,314,363,675,41,67,108,7895,8946,16844,18,32,47,357,357,714,161,221,381,87,99,186,133,171,300,10,12,23,87,107,196,313,382,701,1112,1313,2427,106,151,263,56,70,126,1040,1436,2473,715,866,1582,25,31,50,17343,20476,37815,140,120,257,179,145,323,6,12,18,5,4,10,36,22,57,77,129,208,112,159,276,13674,12148,25819,140,111,250,40,84,124,13853,12338,26192,3909,3895,7797,35788,37469,73257
LGA23940,22,27,51,608,703,1312,0,0,0,92,98,190,0,0,0,643,607,1248,20,25,43,13,14,23,0,0,4,7,10,12,9,12,29,0,0,0,4,14,18,24,20,42,158,165,324,9,10,17,7,5,14,358,367,723,68,84,156,8,7,18,2031,2146,4177,7,9,13,0,4,4,3,0,3,3,0,5,0,0,0,11,18,32,15,22,35,1189,975,2164,6,3,10,3,4,9,1199,983,2190,559,481,1044,3848,3668,7516
LGA24130,120,171,295,2790,3342,6134,0,0,0,219,238,455,55,55,111,5846,5901,11743,42,62,107,154,168,320,32,48,80,35,31,65,84,106,185,0,4,6,45,54,104,118,128,251,505,554,1064,23,31,54,23,27,57,896,1261,2154,374,420,797,11,8,22,11269,12437,23704,40,26,67,43,35,86,16,26,40,0,0,0,14,12,27,39,72,106,57,86,141,8818,8237,17050,82,77,160,45,50,100,8945,8362,17310,2189,2271,4466,22685,23415,46100
LGA24210,2045,2621,4670,3723,4751,8475,4,3,4,1209,1494,2702,7,8,10,12351,13780,26127,138,174,312,4931,5240,10172,61,82,141,51,54,112,249,280,528,381,394,781,400,449,847,669,726,1394,993,1169,2158,79,87,167,68,80,147,1419,1960,3387,1454,1697,3150,35,45,81,28217,32486,60704,867,864,1736,1335,1255,2587,171,189,357,3,3,3,308,292,596,314,358,665,625,645,1274,18514,17228,35743,131,89,214,70,86,155,18713,17400,36111,4334,4492,8823,56306,59953,116255
LGA24250,13,45,56,612,785,1396,0,0,0,23,21,47,0,0,0,901,960,1863,0,3,7,18,9,31,3,0,3,5,3,4,22,26,40,0,0,0,12,12,25,23,24,44,130,138,265,7,3,9,18,13,25,216,274,486,88,93,177,0,6,5,2068,2366,4434,5,9,12,11,3,11,7,4,7,0,0,0,9,5,17,7,16,23,14,19,34,1647,1413,3064,14,11,25,10,10,23,1670,1439,3115,485,424,908,4272,4314,8584
LGA24330,3037,3785,6829,1291,1721,3014,0,0,0,416,466,875,0,0,0,7865,8770,16632,41,32,70,1669,1809,3477,47,54,104,34,37,72,63,72,138,183,164,348,174,179,352,250,296,545,288,366,652,21,20,39,41,50,100,446,598,1039,782,885,1668,28,18,44,13626,15545,29178,1922,1174,3099,2175,1399,3579,23,43,68,0,0,0,177,133,314,121,124,243,302,259,560,15590,14337,29926,172,156,325,64,79,145,15822,14570,30399,4482,4098,8580,41405,40883,82288
LGA24410,903,1227,2130,4849,6267,11107,0,0,0,2212,2455,4667,21,19,40,10394,11681,22074,219,290,510,697,783,1486,84,126,214,153,150,297,460,593,1050,63,65,126,230,265,501,724,881,1603,1079,1294,2374,160,227,391,186,217,405,1732,2444,4178,1939,2398,4335,183,235,420,25379,30389,55765,733,674,1410,362,305,668,46,49,94,3,10,12,299,279,577,220,284,509,525,568,1096,20881,19140,40023,228,183,405,68,117,191,21178,19437,40617,4276,4330,8603,53398,56979,110376
LGA24600,4014,5351,9372,2191,2665,4851,12,8,16,419,496,914,5,0,3,8231,9329,17558,40,45,83,767,808,1575,25,42,65,28,40,68,123,173,300,120,134,259,261,316,570,488,656,1143,667,753,1416,22,23,46,38,39,71,762,961,1724,1082,1474,2556,22,34,62,15296,17996,33285,3139,2355,5499,2720,2568,5288,222,252,473,4,3,5,131,128,261,221,258,475,359,386,744,29685,30764,60449,309,246,554,83,76,159,30080,31086,61163,10309,9829,20139,66137,69823,135959
LGA24650,1640,1977,3617,3980,4794,8773,27,26,51,667,760,1431,89,70,160,21498,23046,44551,67,68,134,3056,3107,6160,305,372,677,244,279,527,183,229,412,658,674,1334,312,353,663,947,1086,2029,773,913,1687,67,100,169,223,255,479,1112,1405,2513,2439,2606,5049,44,47,95,36692,40187,76880,1847,1840,3690,2739,2681,5424,26,25,57,0,4,3,1380,1156,2539,170,208,376,1551,1366,2923,15488,14194,29681,142,96,237,66,111,179,15701,14399,30095,6685,6069,12755,66890,68549,135443
LGA24780,236,296,536,2916,3494,6410,0,0,0,167,161,327,3,4,10,5687,6225,11911,127,166,295,281,255,537,70,117,185,64,85,151,305,384,687,12,5,13,107,102,209,288,356,648,607,658,1262,99,137,232,140,179,320,1559,2023,3583,498,596,1086,45,39,88,12969,14984,27958,130,96,220,538,404,942,12,6,20,12,8,22,111,98,213,25,54,80,155,165,323,9452,8567,18021,64,47,109,19,22,41,9533,8639,18175,2905,2797,5708,26481,27398,53878
LGA24850,144,189,333,2625,2977,5599,4,6,6,144,144,291,0,0,0,5696,5979,11675,14,21,30,269,230,502,24,32,58,32,50,78,70,83,153,5,5,5,58,62,118,75,83,160,557,591,1149,61,67,122,19,25,44,629,813,1438,365,368,737,3,9,9,10649,11534,22182,97,89,186,193,167,366,8,5,10,0,0,0,94,75,172,77,116,195,177,186,366,7032,6014,13044,52,40,89,24,26,50,7104,6081,13192,2191,2091,4282,20570,20350,40918
LGA24900,75,83,162,2189,2404,4591,0,0,0,82,103,186,48,41,91,4024,4331,8356,44,58,97,57,42,100,25,36,55,14,21,32,36,51,90,0,0,4,29,39,70,70,111,180,566,611,1177,25,34,57,18,20,35,1168,1312,2478,173,187,362,3,4,6,8562,9400,17964,47,43,86,103,82,183,0,3,4,0,0,0,67,51,118,17,29,51,90,75,166,4098,3465,7563,17,14,34,6,22,28,4125,3502,7627,1512,1396,2915,14514,14598,29112
LGA24970,5805,6587,12390,4579,5914,10498,9,13,20,1405,1711,3118,13,12,30,16380,18186,34567,169,204,373,6515,6854,13370,102,144,249,90,104,192,228,316,545,518,573,1088,389,481,862,797,998,1801,1417,1681,3095,68,94,163,98,124,221,2259,3096,5357,2092,2490,4577,75,88,165,37200,43093,80294,5028,4545,9575,2293,1955,4249,328,348,678,4,3,8,908,633,1544,384,424,805,1293,1064,2355,29873,27534,57413,224,173,401,89,116,209,30193,27825,58021,7587,7469,15053,89722,92890,182618
LGA25060,1173,1684,2862,2871,3605,6480,27,22,48,384,496,878,0,0,3,20948,23475,44428,49,56,107,3006,3162,6163,90,138,219,34,32,70,108,202,310,253,308,559,147,174,317,269,345,614,582,711,1292,28,48,73,25,43,70,1058,1489,2543,842,1066,1915,15,21,38,30741,35389,66132,1335,1096,2433,1725,1700,3430,53,35,83,3,0,3,234,177,417,143,147,288,383,321,702,15673,14572,30246,183,124,311,50,80,131,15908,14778,30688,5074,5274,10349,56394,60280,116671
LGA25150,68,133,204,1744,2142,3884,0,0,0,142,174,316,3,3,8,4406,4640,9047,16,21,41,169,126,293,39,58,97,14,25,38,77,107,178,4,0,4,37,42,78,84,97,176,324,378,701,27,21,45,31,41,74,592,771,1362,302,337,638,12,11,20,8001,8983,16985,70,55,125,37,24,55,6,7,15,7,5,8,62,36,93,33,57,98,102,105,204,5889,5257,11151,50,43,93,19,29,56,5962,5334,11294,1500,1440,2938,15744,16073,31818
LGA25250,1463,1923,3387,2584,3414,5990,82,82,158,334,435,771,3,3,6,20520,23441,43962,39,44,82,5017,5419,10438,147,197,343,95,81,170,155,186,336,155,138,289,170,208,376,252,328,579,545,671,1223,64,64,124,20,31,51,819,1203,2023,986,1228,2212,32,27,63,32008,37197,69201,2701,2098,4801,8611,7241,15851,95,116,207,4,12,13,485,310,791,231,297,529,726,614,1337,25923,25941,51866,393,342,736,99,164,267,26418,26447,52870,7490,7419,14905,79507,83051,162558
LGA25340,456,756,1212,11218,14143,25370,7,0,6,893,1104,1994,3,4,6,14839,16974,31814,134,173,308,1024,928,1950,254,333,585,183,194,374,232,304,536,37,24,58,161,227,388,291,362,656,1988,2343,4331,110,163,277,27,40,66,2488,3470,5957,1393,1634,3026,50,73,120,35339,42495,77826,143,147,289,106,88,199,104,89,196,3,4,4,44,30,74,148,256,399,192,291,478,31377,28791,60169,215,214,428,105,211,314,31698,29215,60913,6845,7045,13884,74875,80125,154999
LGA25430,94,126,225,899,1182,2081,0,0,0,90,117,213,48,39,86,1058,1148,2208,57,52,108,48,39,90,3,14,19,7,4,4,30,34,59,0,0,0,11,12,26,38,54,93,192,214,404,22,24,48,4,4,6,434,604,1042,167,185,347,10,17,21,3108,3741,6852,19,22,46,9,11,14,10,17,25,0,4,4,7,7,17,42,64,109,51,78,130,4288,4181,8470,45,30,78,33,48,82,4360,4262,8623,1739,1115,2856,9389,9375,18761
LGA25490,23,37,56,844,1002,1842,0,0,0,117,122,241,0,0,0,2295,2367,4664,8,7,13,19,13,36,11,10,19,3,4,6,109,119,229,0,0,0,10,18,26,22,31,57,508,495,1006,11,8,19,6,25,31,517,585,1094,164,148,312,3,0,3,4646,4946,9599,3,3,12,7,0,7,0,0,4,0,0,0,0,0,0,22,23,44,22,20,44,2629,2346,4978,19,12,31,8,11,23,2652,2375,5027,898,857,1757,8255,8245,16495
