LGA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA26490,74,104,179,1507,1847,3352,0,0,0,238,254,495,0,0,0,2980,3235,6214,14,17,34,88,96,187,43,56,102,6,5,17,95,109,210,0,3,3,20,24,44,46,58,106,331,350,682,29,28,58,7,14,25,717,973,1686,233,281,508,5,6,16,6359,7370,13731,28,27,57,16,13,29,10,15,27,0,0,0,7,5,14,30,40,72,31,54,88,6605,5877,12481,37,43,84,17,38,57,6657,5964,12617,1403,1266,2671,14582,14818,29397
LGA26610,191,228,422,1127,1241,2370,0,0,0,53,58,106,69,79,150,2420,2581,5002,92,129,214,56,53,110,7,11,22,29,32,69,41,43,84,0,0,0,82,64,143,63,87,150,305,303,611,18,21,39,9,28,35,793,956,1747,178,206,387,0,4,3,5347,5900,11243,68,41,102,225,103,325,3,0,3,3,3,3,98,70,170,9,10,17,108,81,189,2950,2523,5470,21,12,33,6,11,21,2976,2552,5524,1453,1321,2774,10368,10217,20584
LGA26670,14,14,24,679,674,1355,0,0,0,65,63,125,0,0,0,533,560,1090,0,3,3,0,6,5,12,17,36,0,0,0,22,21,47,0,0,0,3,3,3,17,14,33,104,106,208,0,3,4,4,7,11,205,242,448,79,88,167,0,3,0,1733,1802,3535,4,0,6,4,0,6,0,0,0,0,0,0,0,0,0,4,4,13,4,9,12,956,772,1725,10,5,12,9,9,16,967,786,1752,345,298,643,3077,2907,5985
LGA26700,77,103,178,2010,2369,4385,0,0,0,114,123,237,46,36,85,3608,4030,7642,6,24,33,53,42,94,57,68,123,14,27,37,78,90,170,0,5,7,96,119,222,88,89,175,448,517,970,32,38,71,13,27,42,677,923,1606,248,269,520,7,4,6,7605,8806,16413,54,37,91,33,23,58,5,12,20,0,0,3,13,9,26,32,30,58,45,43,84,4369,4063,8425,36,24,58,13,16,34,4414,4106,8519,1423,1530,2951,13651,14665,28310
LGA26730,111,142,253,1201,1572,2771,0,0,0,215,264,477,24,34,59,4658,5490,10151,55,54,116,46,49,97,26,49,74,13,12,25,147,180,323,9,4,11,19,44,63,91,116,204,880,1106,1984,51,74,125,16,35,55,608,847,1456,340,371,714,0,3,3,8399,10313,18714,56,51,107,40,42,86,8,10,20,4,3,9,8,15,22,27,33,59,37,49,82,5722,5070,10800,57,34,94,26,23,48,5808,5132,10939,1696,1760,3457,16157,17502,33655
LGA26810,127,183,310,3797,4408,8204,0,0,0,240,290,526,28,33,56,4074,4470,8541,16,16,27,70,69,135,58,65,118,32,26,62,68,72,132,8,10,19,51,41,91,84,94,183,632,627,1256,31,45,70,32,42,77,1071,1331,2399,374,428,796,16,8,25,10653,12065,22721,75,59,133,46,43,91,9,9,19,0,0,0,33,27,57,43,70,119,76,96,176,7542,6581,14126,64,67,137,29,40,63,7633,6692,14324,3076,2143,5214,21695,21287,42983
LGA26890,8,9,16,275,304,583,0,0,0,8,6,16,0,0,0,330,349,677,8,12,29,7,4,15,5,3,7,5,0,3,67,73,144,0,3,4,0,3,12,8,15,27,98,92,193,12,13,25,3,5,9,302,347,643,32,37,72,0,3,3,1174,1280,2457,3,4,6,11,5,14,0,0,0,0,0,0,0,3,6,6,4,12,4,5,15,597,453,1050,3,6,11,3,3,9,606,466,1071,167,169,332,1966,1941,3903
LGA26980,3630,4414,8040,5483,7062,12540,3,0,3,1975,2392,4369,4,8,14,13900,16374,30272,310,378,684,2917,3173,6088,81,109,193,98,108,206,368,445,817,138,127,258,430,528,958,670,820,1493,1346,1719,3063,228,340,567,172,229,403,2410,3487,5900,2081,2574,4653,66,77,147,32679,39948,72624,2337,2031,4371,1175,964,2133,113,143,252,0,0,0,542,452,997,304,341,648,853,797,1646,30703,28991,59692,243,230,476,109,160,272,31054,29380,60438,6216,6358,12571,78051,84032,162078
LGA27070,3001,3565,6566,4545,5601,10151,63,70,129,713,768,1484,33,30,69,26313,29062,55371,43,74,117,9884,10193,20073,245,289,535,194,213,399,132,148,286,593,551,1148,269,333,601,1059,1196,2258,1174,1290,2458,118,172,290,135,201,333,1177,1489,2665,3826,4059,7888,45,39,84,50562,55778,106338,4438,3831,8271,7469,7052,14527,32,23,55,8,10,16,3131,2644,5772,268,315,592,3405,2972,6378,20777,18893,39669,156,128,277,82,117,203,21020,19139,40153,7609,7586,15202,97541,99952,197491
LGA27170,140,177,315,2816,3333,6149,0,0,0,301,364,672,8,6,10,4615,5115,9729,21,23,42,80,88,167,93,135,231,27,33,56,314,355,662,8,9,19,51,74,126,231,259,488,482,557,1037,52,70,117,37,37,71,732,1002,1741,459,554,1018,8,16,30,10340,12025,22370,181,186,365,86,43,131,6,8,16,5,3,6,69,52,123,48,74,119,119,125,243,6547,5695,12242,67,55,127,12,35,49,6626,5789,12413,1794,1704,3498,19296,20050,39351
LGA27260,2730,3167,5894,6639,7838,14480,3,3,3,2120,2252,4379,88,86,170,24991,27111,52107,145,168,307,2671,2611,5282,310,391,702,413,477,890,422,469,893,451,456,912,714,802,1521,1505,1749,3253,1464,1754,3219,132,181,310,195,215,412,1779,2104,3878,3429,3682,7110,113,153,264,47592,52493,100084,9677,8967,18641,8079,7824,15900,67,49,114,9,5,10,4019,3342,7357,398,488,878,4421,3827,8249,26045,23222,49263,220,166,387,104,130,239,26367,23522,49893,9880,8466,18343,108806,108319,217122
LGA27350,1399,2028,3424,1997,2380,4372,0,0,0,203,215,424,3,3,7,6452,7671,14116,12,29,40,1410,1634,3041,23,30,58,19,16,33,94,128,225,72,73,151,75,110,188,127,181,308,302,350,650,19,45,61,15,19,32,436,648,1092,498,662,1157,23,31,56,11787,14225,26015,299,265,566,966,1028,2001,235,256,485,3,0,7,32,28,60,137,131,266,171,154,329,21304,20882,42191,318,251,573,85,122,207,21715,21261,42975,5464,5390,10860,42039,44619,86657
LGA27450,595,891,1489,7354,8896,16247,0,0,0,1614,1801,3416,126,127,250,12828,14223,27047,235,271,512,547,526,1071,236,269,499,169,180,349,407,472,881,21,14,37,261,297,557,763,919,1682,1540,1904,3444,149,199,347,417,482,902,2190,2964,5161,2700,3072,5774,164,204,367,31706,36828,68537,262,244,510,161,145,303,86,78,165,9,4,12,93,86,178,251,426,678,349,523,868,33410,29943,63356,355,278,637,138,255,392,33908,30474,64383,6746,6535,13275,73819,75717,149537
LGA27630,7,12,15,434,486,922,0,0,0,35,43,76,0,0,0,543,559,1096,5,9,13,12,13,24,0,3,3,11,7,17,260,270,528,0,0,4,7,3,8,32,40,69,77,78,153,3,10,9,3,3,9,543,577,1120,56,66,118,0,0,0,2020,2153,4172,10,9,14,3,7,7,3,0,3,0,0,0,4,5,11,3,18,20,8,17,27,965,761,1724,3,0,7,3,7,12,974,764,1737,343,346,691,3366,3305,6674
LGA29399,9,4,15,20,29,46,0,0,0,0,0,0,0,0,0,45,33,78,0,0,0,4,3,3,0,0,0,0,0,0,0,3,7,0,0,0,0,0,3,0,0,0,3,5,5,0,0,0,0,0,0,14,15,24,4,3,6,0,0,0,98,88,181,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,3,3,7,3,3,7,218,181,393,3,3,7,0,0,0,218,183,403,146,125,266,473,409,876
LGA29499,77,76,156,216,206,416,0,0,3,29,32,62,3,0,3,508,440,947,3,4,11,44,42,90,10,8,14,12,9,20,10,16,23,8,0,8,22,12,27,30,38,69,64,56,122,7,3,9,11,10,19,66,58,125,82,73,149,0,0,0,1125,999,2129,66,35,99,137,113,247,10,6,15,3,0,4,13,6,19,13,20,35,24,28,54,1410,1106,2512,23,17,46,9,18,34,1441,1142,2591,1451,838,2289,4331,3238,7565
LGA29799,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,3,0,3,28,4,29
