LGA_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
LGA20110,0,0,0,9,5,3,0,7,0,5,0,0,0,0,0,34,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,11,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,35,37,6,5,6,9,0,0,0,3,0,0,0,6,112,0,4,4,5,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,3,0,5,9,0,0,3,0,4,0,0,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,4,0,0
LGA20260,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,7,0,13,10,8,5,0,0,0,0,0,0,0,0,0,5,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,9,0,0,0,3,0,0,6,37,0,0,0,7,5,0,8,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3
LGA20570,0,0,7,12,4,9,18,14,0,4,0,0,3,0,3,95,0,0,3,0,6,22,116,162,29,39,52,69,76,104,42,717,0,5,51,47,3,4,3,3,0,0,0,0,0,0,3,119,0,4,3,3,0,3,9,13,0,0,0,0,6,0,0,34,0,3,0,4,8,12,7,8,0,10,4,5,0,3,3,68,0,128,54,25,21,13,13,11,0,3,3,0,0,3,11,288,0,10,29,15,3,3,0,0,0,0,0,0,0,0,4,65,0,0,0,5,7,12,8,10,0,0,0,0,3,0,6,45,0,6,5,23,7,19,109,393,43,53,61,39,52,36,34,860,0,9,0,3,3,4,6,12,0,4,0,6,0,0,0,54,0,0,0,0,3,4,10,20,7,7,12,0,0,0,0,60,0,0,0,0,0,0,5,15,0,0,0,3,4,0,0,32,0,14,9,25,9,17,19,9
LGA20660,0,3,4,24,25,25,50,34,14,3,9,0,8,3,6,207,0,9,29,17,31,483,811,877,152,165,197,238,221,140,107,3471,0,10,75,208,3,46,14,0,0,0,0,0,4,0,15,371,0,16,58,49,16,37,17,11,4,0,5,3,3,0,13,234,0,0,3,5,13,28,16,3,9,0,4,0,0,5,0,85,8,183,112,57,38,24,50,48,9,7,3,11,8,7,18,565,5,142,469,290,37,22,7,7,8,11,9,9,3,0,48,1075,3,3,6,24,69,123,72,37,3,14,8,17,9,10,3,409,0,10,3,92,47,147,349,511,99,107,130,170,182,121,49,2025,0,7,8,3,12,47,84,30,7,5,3,4,4,6,3,222,0,4,0,7,14,58,52,138,64,58,84,29,22,16,14,564,0,0,0,3,4,12,36,18,0,0,6,4,4,0,3,97,0,13,19,73,43,88,59,49
LGA20740,0,0,0,7,5,6,3,9,0,3,3,0,0,3,0,41,0,3,6,0,0,4,5,29,0,0,7,3,7,0,3,73,0,3,6,9,3,0,0,0,0,0,0,0,0,0,0,24,0,7,3,3,0,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,3,11,0,0,0,0,0,3,0,0,0,16,4,63,49,22,8,7,18,5,0,7,0,3,0,0,8,194,0,9,24,20,3,0,3,0,0,0,0,0,0,0,3,71,0,0,0,0,3,6,3,3,0,0,0,0,0,0,0,21,0,7,9,16,0,8,9,51,3,8,3,9,8,3,3,128,0,3,0,0,0,3,4,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,21,11,4,7,4
LGA20830,0,0,3,9,13,4,7,3,0,0,0,0,0,0,0,40,0,0,3,0,3,9,9,17,0,4,3,7,4,3,11,76,0,0,5,29,3,0,0,0,0,0,0,0,0,0,0,47,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,20,0,0,3,0,0,7,9,5,0,3,0,0,0,0,0,25,0,79,74,25,21,5,8,5,0,0,0,0,0,3,5,236,0,3,11,11,3,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,3,3,3,0,0,0,0,0,0,0,9,20,0,4,3,15,3,11,22,73,3,0,8,11,10,4,4,168,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,24,8,8,7,9
LGA20910,0,0,12,45,34,30,79,61,6,13,23,13,32,14,9,379,3,13,22,20,30,255,310,379,80,100,127,166,155,58,68,1795,0,7,40,59,9,15,13,0,3,0,8,0,0,0,4,152,0,29,58,59,11,19,15,14,0,0,0,0,0,0,3,204,0,0,0,11,16,17,13,3,0,3,0,3,0,0,3,68,17,148,114,56,60,62,91,57,17,16,17,18,25,8,23,732,7,62,286,237,12,10,8,3,3,10,9,5,6,3,26,686,0,0,10,19,32,38,48,22,5,3,18,6,9,8,3,218,3,17,21,118,50,113,138,164,11,17,16,43,28,35,26,812,0,9,4,10,6,12,21,17,3,3,3,5,4,3,3,95,0,0,0,0,17,15,14,21,0,11,4,0,5,5,0,98,0,0,0,0,3,0,9,0,0,0,0,5,0,0,0,19,3,10,37,49,42,70,95,114
LGA21010,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,8,0,3,0,0,5,0,4,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,39,39,0,9,0,5,0,0,0,0,0,0,0,3,97,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,21,3,4,0,3,5,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,0,0,9,6,0,7,0,0
LGA21110,0,0,13,45,52,54,70,47,14,17,20,20,19,14,12,404,10,29,71,97,172,1789,1983,2228,466,599,759,953,959,490,462,11063,3,17,59,79,3,11,11,5,0,0,0,0,0,0,4,192,0,31,48,57,25,35,10,25,0,3,7,0,10,3,9,263,0,6,9,15,27,37,28,19,0,3,8,16,3,4,4,190,15,186,79,61,53,39,87,38,11,10,19,18,18,18,16,671,3,212,886,336,36,14,11,4,6,9,7,5,14,3,60,1605,3,12,44,127,307,521,318,133,29,38,54,50,47,27,55,1763,3,23,34,215,154,287,623,971,134,223,267,347,427,255,80,4050,0,11,14,29,55,92,210,101,22,19,31,43,63,34,12,743,0,0,0,5,68,92,57,119,36,64,55,50,56,25,15,646,0,0,0,3,8,8,16,3,4,19,34,42,35,3,3,175,4,21,52,52,43,76,52,94
LGA21180,0,0,6,4,4,24,16,23,0,8,7,0,3,3,0,104,0,7,9,7,75,388,624,709,97,79,88,79,90,57,82,2395,0,40,339,1338,113,198,140,13,7,0,10,3,3,0,79,2285,0,36,111,185,71,181,118,116,24,18,60,19,17,9,39,1012,0,0,0,8,59,191,123,104,8,12,24,10,25,10,24,598,0,482,173,64,47,21,60,24,7,3,3,3,8,0,45,935,0,206,884,760,102,50,40,13,8,33,21,11,16,3,86,2222,0,0,0,21,75,220,96,54,5,10,10,5,3,4,17,522,0,4,8,313,186,441,1098,3507,241,305,593,973,759,529,315,9284,0,0,5,3,44,102,126,65,5,4,13,9,9,3,7,392,0,0,0,10,9,29,39,38,103,124,203,5,13,13,14,596,0,0,0,10,25,49,67,61,30,25,46,31,34,72,19,475,0,10,30,40,14,23,16,26
