LGA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA25900,32047,33478,65530,1622,1731,3349,422,434,858,5766,6225,11988,332,364,692,90,86,180,196,179,369,62,61,117,35,37,65,46,45,90,0,0,0,6945,7420,14367,1822,1955,3775,126,94,223,10516,11201,21715,6156,6308,12461,48723,50986,99702
LGA25990,2787,2734,5520,82,99,185,11,19,23,185,184,363,4,10,15,4,5,10,3,3,6,0,0,0,4,0,6,0,0,0,0,0,0,203,224,424,0,10,15,3,4,6,295,338,630,725,321,1042,3805,3388,7190
LGA26080,1051,1215,2265,31,44,76,0,6,7,80,83,162,3,6,14,3,3,6,4,0,6,0,0,0,3,3,3,0,0,0,0,0,0,93,102,193,5,11,13,0,0,0,131,154,280,140,154,292,1320,1522,2836
LGA26170,11099,11468,22567,625,711,1332,29,19,49,758,861,1622,39,35,74,9,3,12,8,13,20,3,3,6,8,6,12,0,0,0,0,0,0,849,950,1799,43,46,89,16,20,40,1539,1727,3262,1267,1310,2577,13899,14506,28409
LGA26260,6291,6578,12872,410,441,846,30,29,53,313,346,656,23,25,46,29,24,57,18,12,27,3,9,11,3,5,13,3,0,7,0,0,0,412,455,870,34,37,69,10,15,31,869,946,1814,513,572,1090,7679,8094,15771
LGA26350,34041,37310,71345,1283,1511,2789,384,450,835,5863,6553,12411,274,319,591,91,118,210,210,206,413,47,47,96,31,15,41,61,77,134,0,0,4,6955,7787,14743,1786,2188,3971,114,89,199,10132,11578,21701,4741,5117,9852,48909,53999,102904
LGA26430,4015,4079,8092,214,224,437,18,28,43,249,286,531,21,27,44,0,0,0,7,9,14,3,0,7,3,3,7,0,0,0,0,0,0,302,354,651,17,28,42,8,13,17,546,614,1159,472,472,949,5036,5164,10195
LGA26490,11185,11444,22632,814,859,1672,40,33,76,1035,1021,2059,32,32,67,17,13,26,19,28,45,6,8,15,16,22,35,9,5,10,0,0,0,1180,1152,2334,95,102,198,20,12,39,2107,2126,4234,1105,1090,2196,14397,14670,29063
LGA26610,7713,7659,15371,513,559,1076,66,63,129,380,388,770,19,23,39,20,15,31,6,5,18,3,0,6,8,8,12,0,0,0,0,0,0,499,504,1001,93,75,165,18,16,28,1122,1151,2273,1383,1302,2688,10225,10110,20328
LGA26670,2451,2344,4793,121,123,240,63,62,125,110,82,197,6,5,15,0,3,5,0,3,4,0,0,3,3,3,10,3,3,4,0,0,0,191,161,353,3,3,10,4,3,9,319,295,611,266,250,521,3042,2891,5927
LGA26700,10852,11567,22426,724,791,1519,68,79,149,580,643,1218,39,44,83,9,10,15,20,19,43,0,0,3,9,8,16,3,3,4,0,0,0,729,807,1529,40,57,100,27,24,49,1517,1678,3195,1133,1273,2408,13499,14522,28018
LGA26730,12175,13199,25378,758,817,1580,38,46,82,1137,1311,2451,50,59,108,33,45,75,33,36,68,10,15,18,16,18,35,3,5,6,0,0,0,1313,1534,2844,205,141,340,31,29,66,2308,2526,4830,1471,1570,3047,15958,17299,33255
LGA26810,16239,16512,32746,1031,1189,2224,95,93,187,1017,1040,2056,73,66,144,34,26,55,46,40,86,9,11,16,26,27,52,21,14,37,0,0,0,1323,1317,2638,102,113,213,41,43,85,2496,2661,5153,2729,1914,4639,21460,21083,42545
LGA26890,1668,1614,3280,60,82,142,5,6,15,52,44,94,13,7,20,29,26,55,0,0,3,0,0,3,3,0,3,0,0,0,0,0,0,101,90,187,3,0,3,7,0,10,166,170,337,112,137,249,1950,1918,3863
LGA26980,60524,65814,126343,1426,1523,2940,230,237,466,7277,7372,14649,154,163,312,110,113,221,106,116,215,34,52,84,19,18,34,41,41,91,4,0,4,7967,8117,16084,2679,2847,5522,124,80,206,12193,12562,24753,4546,4909,9452,77260,83284,160550
LGA27070,75819,77814,153635,1948,1871,3825,286,304,591,9313,9424,18730,214,211,429,123,109,230,121,117,237,33,32,65,53,40,95,20,23,42,0,0,3,10160,10262,20422,1651,1859,3513,127,102,226,13887,14099,27989,6255,6453,12707,95967,98361,194323
LGA27170,14174,14823,28994,917,978,1895,536,558,1096,1282,1330,2615,233,174,402,48,47,92,56,56,107,24,25,51,20,14,35,39,32,66,0,0,0,2231,2235,4465,99,123,225,30,33,62,3279,3366,6649,1564,1613,3178,19018,19806,38821
LGA27260,80939,81721,162659,2775,2896,5669,656,631,1285,10156,10003,20159,368,356,723,215,208,423,208,211,422,72,65,136,57,73,128,66,65,139,0,0,0,11801,11617,23418,2498,2906,5397,165,139,302,17239,17557,34795,8520,7169,15685,106695,106449,213139
LGA27350,27593,29377,56975,1178,1222,2400,393,424,814,5410,5892,11299,284,296,584,105,93,199,196,187,389,45,49,96,38,32,74,72,63,137,3,0,3,6545,7050,13590,1372,1554,2926,113,109,221,9202,9938,19138,4760,4854,9611,41559,44165,85718
LGA27450,60804,62062,122871,1292,1416,2712,114,125,244,5133,5520,10652,116,130,244,21,24,48,71,56,124,16,17,29,18,21,41,14,9,25,0,0,0,5500,5907,11412,343,382,723,116,93,213,7258,7797,15058,4931,5018,9950,72999,74877,147874
LGA27630,2757,2683,5439,108,110,215,6,11,16,126,132,257,3,3,7,3,3,3,11,12,15,3,4,4,3,0,3,0,3,3,0,0,0,153,165,318,9,9,17,17,6,24,282,292,571,293,308,601,3335,3280,6614
LGA29399,263,202,470,16,15,35,5,0,9,34,27,57,11,5,17,5,4,6,0,4,3,0,0,3,0,0,0,0,0,0,0,0,0,56,42,96,8,17,25,0,0,0,81,78,156,122,123,243,463,398,868
LGA29499,810,544,1354,300,188,486,94,89,185,1046,961,2005,103,111,216,28,24,54,57,42,106,16,15,31,10,15,28,5,11,18,0,3,3,1368,1270,2645,331,340,666,94,64,159,2095,1859,3954,1374,795,2164,4279,3200,7480
LGA29799,13,0,12,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,12,0,11,3,0,3,28,4,29
