LGA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
LGA20110,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,13,14,19,25,17,3,81,16,61,31,105,112,127,88,43,24,590,256,739,564,1088,894,1081,860,437,153,6074,0,0,0,0,0,0,0,0,0,0,235,618,460,942,712,788,558,299,138,4752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,12,0,0,0,0,0,0,0,0,0,3
LGA20260,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,0,0,0,0,10,0,0,3,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,4,0,0,0,3,0,0,0,0,0,6,0,0,0,8,6,0,0,0,0,15,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,25,7,4,14,6,5,69,24,46,36,101,71,78,68,41,11,475,306,621,615,1481,860,953,768,422,127,6152,0,0,0,0,0,0,0,0,0,0,235,537,461,850,623,700,566,330,178,4488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA20570,0,0,0,0,3,8,7,9,0,22,0,7,3,35,7,4,5,0,0,62,0,0,3,23,0,0,0,0,0,21,0,6,13,10,5,0,0,0,0,35,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,0,0,0,0,13,0,18,9,30,18,20,24,0,0,117,3,0,7,17,6,3,0,0,0,42,0,0,0,6,0,6,8,9,4,41,0,0,3,10,0,3,3,0,0,21,7,42,64,130,56,45,33,38,15,432,181,288,416,815,449,408,427,238,99,3318,3445,6539,7103,12341,6084,5659,4536,2356,806,48864,0,0,0,0,0,0,0,0,0,0,2963,5762,6184,10872,5615,5234,3950,2295,1260,44145,0,3,3,19,0,0,0,0,0,26,0,0,0,0,0,3,3,0,0,8,0,3,0,0,0,0,0,0,0,9,0,0,3,23,6,5,3,0,0,41,0,0,0,3,0,0,3,0,0,10
LGA20660,0,0,0,6,10,22,30,15,3,85,3,16,38,130,55,65,51,15,7,378,5,4,10,45,3,9,3,0,0,75,3,10,19,28,10,3,3,0,0,79,0,3,3,26,38,48,51,23,0,188,0,0,0,10,15,12,3,0,0,44,5,42,17,71,38,25,18,13,0,238,5,18,48,120,51,40,12,5,4,307,0,0,3,10,5,5,9,3,0,40,0,0,5,24,4,4,3,0,0,41,24,96,130,621,246,181,152,120,60,1630,163,243,289,790,414,356,321,230,133,2949,3950,7354,7347,16459,7782,6847,5455,2839,1188,59222,0,0,0,7,0,0,0,0,0,5,3521,6113,5532,11332,5907,5196,3735,2005,1189,44526,0,0,3,15,0,0,0,0,0,23,0,0,0,16,18,12,9,4,3,66,0,0,0,12,0,0,0,0,0,14,0,3,12,53,21,16,0,0,0,104,0,3,0,15,11,3,11,0,0,37
LGA20740,0,0,0,0,0,3,3,5,0,11,0,0,0,5,0,3,10,3,0,20,0,0,0,3,0,0,0,0,0,5,7,5,4,9,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,3,3,8,3,3,11,3,0,36,0,0,0,12,7,0,0,0,0,15,0,0,0,0,4,4,10,9,0,32,0,0,0,0,0,0,0,0,0,3,3,3,16,23,22,21,41,21,6,160,50,108,84,231,214,249,260,150,70,1411,886,1851,1387,2939,2061,2480,2565,1285,446,15897,0,0,0,0,0,0,0,0,0,0,727,1661,1180,2623,1634,2000,1831,883,447,12980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,7,0,3,0,0,18,0,0,0,3,0,0,4,3,0,12
LGA20830,0,0,0,0,3,3,3,6,0,13,0,3,0,20,4,4,4,3,0,44,0,0,4,16,0,0,0,0,0,21,4,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,4,0,4,3,9,8,7,19,0,0,55,0,0,0,7,6,0,0,0,0,6,0,0,3,0,3,6,12,4,0,22,0,0,3,8,0,3,0,0,0,17,0,6,13,44,35,27,39,31,7,196,83,170,165,356,282,289,270,157,50,1823,1484,3223,2819,5094,3090,3211,2797,1422,403,23543,0,0,0,0,0,0,0,0,0,0,1360,2869,2416,4654,2662,2655,2039,996,523,20182,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,8,0,0,0,3,3,8,3,0,3,17,0,0,0,3,0,0,0,0,0,5
LGA20910,0,0,0,8,18,15,7,3,0,56,0,3,0,34,23,17,20,13,3,116,0,3,0,18,3,0,0,0,0,29,3,14,13,7,4,0,0,0,0,43,0,0,0,3,3,8,4,0,0,16,0,0,4,11,16,7,11,3,0,64,9,110,58,77,79,48,29,6,3,420,0,0,7,34,10,9,4,0,0,64,0,3,3,21,16,13,12,3,3,75,0,0,0,14,13,10,7,0,0,43,19,84,94,406,306,251,244,145,66,1615,97,249,237,568,428,360,282,192,110,2526,2546,6757,5753,9447,7489,6058,4573,2377,1228,46229,0,0,0,0,0,0,0,0,0,3,2198,5430,4228,6825,5318,4319,3231,1753,1609,34914,0,0,0,4,3,0,0,0,0,5,0,0,0,12,4,4,3,0,3,31,0,0,0,11,5,0,0,0,0,21,8,21,20,75,50,19,11,3,0,202,0,0,0,17,16,4,6,0,0,56
LGA21010,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,11,11,7,4,43,38,60,66,106,81,114,102,47,25,639,362,777,748,1196,838,1083,984,531,207,6720,0,0,0,0,0,0,0,0,0,0,271,666,609,1095,833,948,760,435,258,5882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
LGA21110,0,0,0,12,10,8,9,12,3,48,3,13,89,252,96,84,45,34,3,611,9,12,32,192,33,37,29,9,0,344,3,15,32,72,9,4,0,0,0,139,0,0,3,12,9,17,17,8,5,68,0,5,11,29,22,16,10,3,0,90,21,112,82,134,77,45,31,11,0,519,7,16,168,323,181,136,40,12,9,892,0,0,0,19,19,11,9,5,3,68,0,3,7,18,16,8,4,0,0,60,36,106,247,672,243,176,169,132,97,1883,151,337,511,1128,595,449,347,264,126,3907,4004,10757,12787,20680,11276,9034,6483,3508,1627,80145,0,0,3,4,3,0,0,0,0,16,3305,8417,8889,11957,7730,6074,4333,2507,2102,55319,0,7,10,43,8,0,0,0,0,62,0,0,0,6,12,4,0,3,0,22,0,0,4,20,15,4,0,3,0,48,13,15,20,95,41,23,18,4,3,228,0,0,0,18,10,9,8,0,5,50
LGA21180,0,0,9,46,44,98,81,62,11,352,6,63,158,568,173,105,49,16,3,1150,0,3,10,47,0,9,3,0,0,70,5,24,38,91,12,3,4,0,0,174,3,14,29,206,268,423,428,120,29,1520,0,3,19,120,84,67,45,9,6,353,3,22,27,40,25,10,4,0,0,143,67,234,785,3532,2499,1871,583,176,54,9802,0,0,0,0,9,5,9,3,0,29,0,0,3,19,4,8,0,0,0,31,43,292,645,1980,1088,908,753,361,144,6221,452,723,860,2087,880,877,734,377,129,7122,6676,11643,14415,29207,12260,10670,7684,3620,1053,97239,0,8,29,61,16,6,3,0,0,124,5407,8687,8394,10484,4302,3248,1547,612,408,43086,4,9,24,138,18,9,3,0,0,204,0,0,42,201,153,118,66,41,3,631,0,0,0,32,32,23,8,6,3,117,0,9,10,29,9,3,0,0,0,61,0,6,11,92,87,90,88,20,7,402
