LGA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA20110,5,0,5,22,19,34,0,0,0,0,0,0,3,0,4,1721,1531,3252,120,156,274,41,0,41,24,6,30,38,23,60,31,16,49,201,177,375,2204,1927,4132,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,3,3,0,0,0,3,0,3,8,3,8,26,12,41,33,15,55,0,3,3,0,0,0,0,0,0,0,4,7,247,240,490,297,440,734,39,38,82,2817,2668,5488
LGA20260,5,0,6,6,4,9,0,0,0,0,0,0,3,0,7,1605,1400,3002,142,126,273,43,3,41,9,0,13,27,0,32,18,7,25,160,119,282,2017,1662,3677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,4,21,14,9,27,3,0,3,0,0,0,3,0,3,3,0,3,220,169,383,220,339,557,32,31,64,2505,2202,4708
LGA20570,335,201,532,157,216,370,10,0,12,0,11,8,58,47,107,16557,14700,31259,1042,1226,2268,220,4,221,81,7,92,249,53,303,115,49,166,688,634,1317,19518,17154,36672,10,11,23,0,0,0,18,13,37,102,58,166,12,11,24,22,4,30,172,108,278,0,0,0,0,0,0,7,12,16,13,34,46,4,3,8,25,39,68,135,88,219,331,235,568,60,60,115,10,10,14,9,0,9,71,64,137,749,975,1719,1783,3399,5186,227,203,433,22687,22028,44716
LGA20660,3248,2635,5883,394,439,831,8,6,15,52,81,126,65,36,103,18994,16236,35231,744,1228,1971,256,4,265,202,38,237,541,96,640,171,87,258,669,685,1350,25341,21571,46915,348,229,575,0,0,0,209,195,402,524,440,967,95,140,236,82,31,111,1259,1026,2288,0,0,0,27,31,62,20,5,25,12,25,40,3,3,11,64,71,139,190,121,313,1516,1225,2741,263,266,525,8,9,15,12,10,21,276,281,559,1082,1441,2518,1951,3763,5716,247,221,466,30404,28505,58915
LGA20740,17,7,26,31,16,52,0,0,0,9,0,15,4,4,11,4447,3807,8251,246,248,496,94,3,99,24,6,34,74,27,93,46,24,73,241,245,486,5245,4382,9629,0,0,3,0,0,0,0,0,0,14,3,21,0,0,0,0,0,0,21,4,20,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,0,10,39,13,54,65,16,77,3,3,9,3,0,3,3,0,3,10,3,14,396,479,879,644,1092,1737,119,81,203,6481,6064,12537
LGA20830,161,118,278,43,16,63,0,0,3,4,5,5,17,7,24,7846,6572,14423,443,462,908,215,5,217,53,14,67,31,11,43,85,39,127,353,267,619,9250,7524,16772,13,12,25,0,0,0,10,4,8,48,34,77,9,12,22,6,4,9,90,63,146,0,0,0,0,0,0,6,3,6,3,4,4,0,0,4,9,9,21,83,29,114,177,96,280,36,30,63,0,0,0,3,0,3,41,30,67,763,756,1514,859,1500,2357,127,136,266,11218,10034,21255
LGA20910,2803,2199,4999,126,148,272,3,0,8,57,40,98,43,35,84,14199,12288,26489,458,850,1309,96,0,96,144,20,159,570,140,704,184,91,271,465,582,1047,19152,16387,35536,279,159,442,0,0,0,157,177,332,376,308,685,62,80,146,100,41,139,983,754,1746,0,0,0,3,7,8,5,7,13,9,13,23,3,3,4,26,25,48,162,120,279,1171,903,2077,164,157,318,5,0,9,21,9,28,187,166,354,1560,2052,3616,1482,2621,4105,155,154,309,23704,22283,45993
LGA21010,3,3,4,6,8,11,3,4,3,0,5,5,6,0,6,2026,1738,3763,127,125,250,61,7,68,15,0,14,31,16,44,36,9,38,121,135,252,2432,2037,4470,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,3,3,18,7,22,19,12,35,0,0,0,0,0,0,0,0,4,4,0,3,210,207,416,234,415,649,31,52,83,2926,2728,5659
LGA21110,4585,3824,8409,761,736,1499,7,0,7,1742,1985,3732,106,57,160,22926,19871,42800,856,1742,2597,123,7,126,274,34,305,1284,291,1579,256,156,414,1375,1562,2942,34292,30274,64566,196,195,394,0,0,0,691,659,1346,366,305,669,68,99,174,101,54,154,1426,1316,2738,0,0,0,139,138,278,28,37,65,16,23,40,14,3,18,202,202,403,369,272,640,1991,1788,3779,281,248,536,24,18,48,19,16,37,332,281,617,2411,2915,5325,2681,4762,7443,241,278,524,41955,40305,82260
LGA21180,2992,3297,6284,308,416,727,8,8,16,16,45,60,181,45,229,32157,20921,53075,1826,2576,4400,514,13,525,170,10,183,190,49,232,272,116,390,320,404,724,38943,27893,66843,473,549,1025,0,0,0,161,188,351,620,529,1148,91,209,302,42,16,58,1393,1492,2888,0,0,0,6,3,5,45,22,64,19,37,60,9,7,17,74,79,149,305,164,466,1770,1732,3501,365,487,859,5,9,13,5,3,13,377,501,878,614,1090,1708,2355,3567,5920,683,500,1180,44742,35291,80034
LGA21270,0,0,4,3,0,4,0,0,0,0,0,0,0,0,4,793,603,1395,37,41,77,36,3,33,5,0,5,14,5,23,44,5,52,138,151,297,1077,814,1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,8,3,9,0,0,0,0,0,0,0,0,0,0,0,0,188,137,327,83,146,229,14,13,27,1369,1115,2486
LGA21370,8,7,13,20,14,39,0,3,3,0,3,7,9,11,15,5748,4908,10652,316,314,630,143,7,148,97,21,119,82,32,117,77,27,104,412,376,789,6906,5716,12630,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,3,52,19,77,59,21,87,3,0,3,0,0,0,0,0,0,7,0,7,654,567,1222,638,1125,1765,135,109,243,8401,7545,15950
LGA21450,783,592,1377,67,62,125,4,0,7,4,5,13,24,12,36,17775,14109,31883,947,892,1837,520,15,533,121,9,132,57,21,79,116,84,198,297,290,585,20712,16092,36804,125,96,220,0,0,0,28,23,49,201,164,363,30,38,68,32,4,35,411,327,741,0,0,0,0,0,0,8,5,16,11,6,20,0,0,0,24,15,39,166,61,229,605,399,1009,112,106,217,3,3,6,8,6,14,126,115,244,839,1361,2203,1472,2766,4241,244,213,455,24000,20952,44955
LGA21610,2986,2545,5534,381,531,907,24,10,33,15,14,27,142,52,196,56999,41779,98774,3080,3655,6735,1323,26,1348,321,21,344,136,23,158,449,201,652,493,544,1032,66356,49395,115751,493,484,978,0,0,0,72,86,158,996,597,1597,102,243,349,38,20,59,1707,1430,3136,0,0,0,0,0,0,44,30,77,46,81,126,11,4,12,97,118,215,526,241,765,2329,1790,4115,483,496,984,15,4,20,27,3,32,523,507,1031,1637,2983,4618,4009,7098,11105,749,541,1288,75599,62315,137913
LGA21670,3,0,3,3,3,4,3,0,3,0,0,0,3,5,3,1602,1368,2969,98,121,216,33,0,36,6,4,7,21,11,31,16,4,18,135,82,214,1919,1593,3519,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,18,11,5,21,0,0,0,0,0,0,0,0,0,0,0,0,120,103,225,200,333,533,28,37,64,2290,2068,4352
LGA21750,10,5,15,19,7,27,0,0,3,3,0,3,6,8,8,3418,2809,6224,197,226,425,66,0,66,35,5,39,77,18,99,41,14,61,294,247,544,4161,3348,7516,0,0,0,0,0,0,0,0,0,4,0,6,3,0,3,0,0,0,7,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,17,55,46,20,63,6,0,6,0,0,0,4,0,4,10,0,10,392,351,743,402,681,1085,66,66,131,5079,4471,9545
LGA21830,3,8,7,12,4,15,3,0,3,0,0,0,6,0,6,2185,1837,4022,126,102,231,80,6,83,63,15,83,25,11,37,65,18,84,312,237,553,2889,2237,5127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,17,4,25,23,9,27,0,0,0,0,0,0,3,0,3,3,0,3,639,480,1121,258,504,758,75,51,127,3876,3282,7164
LGA21890,3984,4072,8061,465,564,1034,16,0,21,1406,2112,3517,105,51,153,19105,15934,35042,834,1378,2214,281,4,287,350,59,411,2112,1122,3231,194,114,309,738,890,1631,29594,26311,55910,389,378,765,0,0,0,497,526,1021,336,390,722,68,114,187,154,90,245,1446,1496,2940,0,0,0,142,236,379,14,22,34,15,35,52,11,17,25,182,305,493,320,348,666,1948,2157,4098,307,353,661,20,28,45,23,12,38,342,394,743,1114,1434,2548,2242,4124,6364,364,283,643,35606,34704,70311
