LGA_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
LGA20110,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,14,14,33,3,3,4,0,0,0,0,57,0,0,0,0,0,0,0,0,0,3,15,26,0,4,0,0,0,0,0,53,3,0,0,0,0,0,0,0,0,4,61,136,20,25,13,12,9,17,3,292,0,0,0,0,0,0,0,0,0,0,34,19,15,15,7,3,4,5,0,110,41,29,27,18,13,16,3,3,4,154,184,24,455,38,16,26,118,113,16,986,3,0,7,6,0,3,9,3,0,27,11,0,6,6,3,4,13,9,0,54,4,0,7,0,0,0,5,8,0,27,17,7,9,4,0,4,15,6,0,61,397,278,550,120,55,69,169,168,35,1838,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,7,14,45,0,4,5,0,0,4,0,78,3,6,0,0,0,0,0,0,0,10
LGA20260,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,11,6,0,5,3,0,0,0,0,20,0,4,0,0,0,0,0,0,0,3,4,11,0,3,0,0,0,0,0,21,3,3,0,0,0,0,0,0,0,4,63,89,9,13,6,8,3,13,0,203,0,0,0,0,0,0,0,0,0,3,43,18,5,22,9,3,4,4,3,109,25,13,12,24,5,3,3,5,3,98,171,21,256,109,7,24,68,98,13,773,6,0,3,3,0,3,3,9,0,24,14,5,3,12,0,0,7,11,0,50,4,0,3,0,0,0,0,10,0,25,20,3,15,9,0,3,5,20,5,86,356,181,320,201,30,54,97,169,26,1441,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,7,25,0,5,3,4,0,0,0,34,0,3,0,0,0,0,0,0,0,3
LGA20570,10,24,0,0,0,0,0,0,0,30,23,189,3,3,0,0,0,3,0,228,198,430,38,23,37,23,17,14,8,785,11,27,0,3,0,0,0,3,0,48,82,277,17,43,23,10,7,13,0,474,21,40,3,12,4,3,0,0,3,87,620,1833,187,230,173,106,57,118,55,3368,0,3,0,0,0,0,0,0,0,8,182,220,128,98,62,55,55,42,10,858,223,223,229,163,103,86,57,74,17,1174,803,228,3420,368,246,340,610,693,92,6816,13,8,30,36,12,35,27,59,3,216,46,29,48,41,18,31,49,42,6,307,18,24,20,8,7,8,10,3,7,108,50,37,90,23,18,47,69,65,37,440,2307,3593,4208,1049,714,745,958,1135,240,14946,5,33,0,0,0,3,0,0,0,40,13,157,3,3,3,0,0,0,0,176,143,617,9,37,62,15,3,7,8,901,5,56,0,4,3,0,0,0,0,80
LGA20660,3,31,0,0,4,3,0,0,0,44,81,575,8,10,14,4,3,3,3,687,598,1182,100,64,147,71,35,60,37,2302,33,53,0,3,15,6,3,0,0,115,174,458,32,47,63,16,3,18,10,823,33,49,12,21,15,3,3,3,3,133,1542,3704,457,369,600,362,132,212,75,7464,5,3,0,7,0,0,0,0,0,19,301,378,216,147,135,89,48,59,11,1392,355,376,348,196,168,114,62,95,24,1743,785,306,3404,376,311,273,395,495,98,6435,23,18,24,28,20,21,12,21,0,175,72,37,54,54,48,47,45,49,12,426,20,66,31,15,23,12,13,14,10,201,55,71,69,28,25,27,31,47,56,411,4086,7311,4761,1369,1582,1052,793,1097,322,22374,6,52,0,4,8,0,0,0,0,70,44,448,5,7,21,0,0,0,3,530,332,1500,31,85,258,52,5,27,28,2311,22,99,0,10,16,0,0,0,0,153
LGA20740,0,0,0,0,0,0,0,0,0,5,5,17,0,0,0,0,0,0,0,24,28,57,6,0,8,0,3,4,3,111,3,3,0,0,0,0,0,0,0,10,11,60,6,16,0,0,0,3,0,91,6,5,0,3,0,0,0,0,0,14,141,324,48,48,23,20,5,23,5,637,3,3,0,0,0,0,0,0,0,7,49,49,41,24,11,16,7,19,8,214,65,50,65,54,17,20,7,26,3,306,373,48,1182,91,50,107,208,274,47,2388,4,0,18,4,0,9,9,14,0,55,17,13,21,16,3,17,13,15,0,118,6,5,6,7,0,0,0,0,0,37,38,9,42,15,5,21,26,40,24,205,755,644,1417,274,128,210,279,424,93,4222,3,6,0,0,0,0,0,0,0,9,5,14,0,4,0,0,0,0,3,23,26,108,3,7,5,4,0,0,0,160,0,5,0,3,0,0,0,0,0,9
LGA20830,0,5,0,0,0,0,0,0,0,10,9,54,3,0,0,0,0,0,0,59,52,129,9,8,7,4,3,5,4,209,0,7,0,0,0,0,0,0,0,14,33,95,0,16,7,0,3,0,0,162,4,14,4,3,3,0,0,0,0,31,230,557,65,54,62,24,9,41,8,1047,3,0,0,3,0,0,0,0,0,4,100,85,59,38,25,12,13,25,3,376,146,93,82,75,27,25,21,39,4,516,670,98,1991,140,121,136,488,522,57,4219,14,5,17,8,7,11,16,19,0,95,25,10,30,11,0,11,36,18,3,142,10,6,5,3,0,0,11,8,3,46,61,15,56,14,6,23,38,51,30,279,1360,1168,2325,371,272,256,626,722,115,7211,0,10,0,0,3,0,0,0,0,19,9,42,0,3,0,0,0,0,0,56,40,186,3,18,23,3,0,4,0,280,0,21,0,0,3,0,0,0,0,26
LGA20910,20,33,3,0,0,0,0,0,0,58,104,394,4,5,11,3,0,0,7,534,977,1061,41,33,129,63,5,14,32,2362,56,62,0,3,7,3,0,0,4,137,203,320,13,19,41,15,6,8,4,629,28,24,4,20,3,4,0,0,0,91,2490,3749,275,255,469,436,52,94,111,7934,5,3,0,0,0,0,0,0,0,10,395,417,131,60,70,119,24,35,18,1266,403,292,141,108,90,124,29,38,19,1247,620,184,1346,162,143,198,111,212,45,3027,22,6,11,13,6,20,7,13,0,95,79,61,26,25,22,51,17,22,3,308,66,68,16,12,10,11,3,10,4,195,72,63,44,15,20,28,10,10,39,306,5539,6745,2060,738,1034,1079,264,452,295,18203,14,41,3,5,9,3,0,0,0,72,69,344,0,6,13,3,0,0,9,441,470,1258,19,60,165,56,0,8,13,2061,30,103,4,3,18,3,0,0,4,161
LGA21010,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,11,13,23,0,0,4,3,0,0,0,46,0,0,0,0,0,0,0,0,0,0,12,17,0,3,3,0,0,0,0,38,0,3,0,0,0,0,0,0,0,4,52,138,8,8,14,7,3,7,3,237,4,0,0,0,0,0,0,0,0,5,40,26,21,14,3,8,3,8,3,123,45,9,21,25,16,7,4,15,0,143,190,25,485,44,43,40,105,113,12,1047,4,0,6,0,0,0,4,10,0,29,11,4,11,5,0,4,12,3,0,58,0,0,3,0,0,0,3,0,0,12,12,3,21,4,4,6,24,22,4,102,388,258,582,104,83,74,160,172,28,1846,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,5,20,51,0,3,4,0,0,0,4,83,0,5,0,0,0,0,0,0,0,5
LGA21110,26,74,3,3,3,5,0,0,0,112,193,1343,11,5,27,11,7,5,12,1612,1607,2843,162,96,387,206,35,87,85,5510,75,134,3,6,16,12,4,0,4,263,354,766,35,36,95,34,6,13,19,1351,54,84,4,11,10,5,0,0,5,175,3802,8223,619,539,1043,808,149,320,224,15719,9,5,4,0,3,0,0,0,0,26,464,527,205,108,135,166,34,72,12,1732,421,384,252,180,151,186,47,94,17,1727,745,284,1475,230,197,290,114,217,74,3628,37,16,18,19,16,27,3,12,0,143,85,64,42,52,31,52,22,21,9,374,94,143,34,16,26,24,9,19,15,372,82,115,51,32,25,36,11,31,63,448,8049,15008,2909,1335,2168,1859,439,891,543,33202,16,97,0,4,17,3,0,0,0,144,126,927,3,5,43,3,0,0,12,1122,913,2888,69,159,529,164,9,32,60,4813,57,190,0,11,31,4,0,0,0,288
LGA21180,4,17,4,3,5,0,0,0,0,26,28,108,10,0,11,0,3,5,0,167,259,675,109,99,154,112,144,126,26,1699,15,26,3,3,10,4,7,5,0,68,54,191,9,21,29,17,22,11,0,348,6,44,3,9,7,3,0,3,0,76,931,2493,713,415,807,418,589,528,136,7030,3,3,5,3,4,3,12,8,0,48,271,250,409,171,195,125,261,187,34,1896,341,301,599,263,241,177,391,343,36,2701,738,275,4280,466,470,354,1395,1211,155,9345,35,12,43,46,34,33,82,68,10,366,60,40,95,81,61,67,161,121,25,716,42,57,78,26,36,21,82,44,12,395,73,84,199,69,58,57,221,198,138,1089,2858,4565,6559,1672,2107,1394,3367,2865,575,25966,8,29,0,0,3,3,0,0,0,46,3,93,0,9,3,5,0,3,0,112,113,685,36,124,213,87,11,77,12,1361,9,60,6,6,19,3,0,0,0,99
