LGA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA24650,419,1538,508,543,78,3533,381,301,1767,1246,1414,193,5299,25,8,132,121,214,35,536,45,16,156,257,1044,54,1570,69,17,263,262,691,276,1570,2391,1219,9660,7089,15167,1740,37274
LGA24780,226,760,283,279,32,1682,160,140,752,541,750,95,2440,6,0,20,21,74,4,123,4,3,38,76,442,30,593,8,7,34,59,280,121,500,420,517,2776,2236,6504,843,13297
LGA24850,171,420,190,195,21,1107,75,95,378,419,485,70,1521,3,3,20,39,88,9,163,10,3,34,72,408,28,559,12,11,40,65,269,81,469,402,414,1856,2112,5847,649,11285
LGA24900,104,278,112,129,16,688,46,67,310,273,327,63,1085,4,3,13,12,47,3,73,4,0,18,31,232,15,301,3,5,24,32,153,51,265,159,242,1179,1176,3622,480,6859
LGA24970,752,2722,658,453,116,6923,1277,573,3879,1348,1120,266,8461,103,41,339,130,175,19,816,195,54,485,369,838,74,2015,391,55,993,393,461,285,2583,11084,2933,24675,8990,9929,1983,59581
LGA25060,773,2215,515,380,94,5221,920,472,2522,795,710,177,5583,78,49,421,152,204,32,947,97,50,303,239,621,47,1356,156,43,458,214,369,196,1439,5425,2592,16777,6450,9060,1340,41638
LGA25150,141,442,185,194,28,1140,80,109,377,280,378,37,1266,5,0,30,37,60,3,143,10,12,41,52,275,14,394,10,9,45,50,203,41,357,488,389,1907,1614,4380,425,9208
LGA25250,1262,3191,643,470,145,8172,1528,788,3393,1195,1080,206,8189,234,88,851,233,251,42,1705,221,78,554,362,843,70,2135,280,64,719,316,511,328,2228,9691,3980,23986,8723,11343,1921,59642
LGA25340,713,2277,760,637,138,5212,601,522,2341,1613,1977,315,7374,42,36,231,207,355,52,932,51,24,201,321,1260,50,1908,72,49,328,330,822,292,1883,2488,2086,10667,8610,18927,2091,44864
LGA25430,131,246,69,55,14,680,109,114,318,214,225,38,1015,15,13,45,23,15,11,124,8,8,29,22,127,7,205,13,13,36,30,82,27,195,516,417,1421,818,1782,261,5210
LGA25490,58,224,71,68,6,490,59,59,244,184,221,40,805,4,4,13,10,19,3,56,3,3,5,23,113,7,158,3,0,24,22,64,34,157,201,191,1021,866,2230,300,4808
LGA25620,82,173,84,90,20,497,30,26,164,132,155,30,531,3,4,7,10,24,9,60,8,0,10,19,123,11,170,3,3,19,25,94,32,170,147,161,734,715,1862,265,3884
LGA25710,526,1423,358,273,48,3239,457,333,1314,675,604,101,3485,36,27,165,91,120,14,447,52,32,134,165,546,32,962,53,23,225,135,303,77,822,2223,1519,7385,4019,7045,723,22922
LGA25810,31,126,40,40,7,260,18,24,154,137,208,45,596,0,0,22,10,25,0,60,3,0,5,10,69,4,96,0,0,5,11,51,22,91,70,94,534,487,1426,214,2825
LGA25900,606,1776,380,226,65,4458,1225,493,2500,637,415,147,5416,196,79,720,252,220,36,1497,134,56,390,275,498,36,1393,266,53,714,250,279,197,1758,8156,2839,21128,6381,6605,1290,46412
LGA25990,17,54,22,21,3,132,3,17,73,66,79,13,254,0,0,5,6,6,0,25,0,0,3,3,38,3,52,0,0,11,5,29,12,57,51,53,281,299,766,110,1560
LGA26080,9,58,12,5,3,118,25,11,50,27,10,0,126,0,4,9,3,0,0,18,3,0,6,5,8,0,26,4,6,7,3,4,0,25,96,59,294,147,169,23,785
LGA26170,109,329,107,111,16,748,67,90,337,268,363,52,1166,10,4,32,24,54,7,131,3,3,18,35,252,7,318,5,3,28,43,165,69,311,260,322,1457,1246,3825,460,7578
LGA26260,75,218,69,98,13,524,43,64,296,179,271,36,892,0,0,10,8,26,3,46,3,3,22,24,141,5,191,5,0,11,16,64,28,124,187,195,994,779,2205,257,4617
LGA26350,500,1719,345,172,59,4205,1431,511,3210,579,359,166,6255,138,57,616,178,165,29,1184,96,35,324,241,406,26,1127,282,67,775,239,206,168,1743,8334,2617,22735,5547,4975,1202,45421
LGA26430,37,125,43,38,7,276,16,23,111,100,128,18,400,0,0,13,16,48,10,80,4,3,10,16,60,4,94,3,3,15,15,50,31,116,108,106,568,526,1241,181,2730
LGA26490,195,678,181,114,33,1453,167,145,674,304,251,55,1600,17,8,58,55,59,12,205,9,11,55,71,206,9,363,15,12,91,51,111,48,336,808,563,3371,1805,3323,390,10263
LGA26610,92,270,72,116,7,589,38,46,241,185,244,33,792,0,0,8,8,30,0,57,0,0,5,26,193,5,236,3,0,18,26,106,45,198,100,171,948,810,2411,331,4782
LGA26670,30,76,31,28,8,192,17,14,78,86,101,3,299,0,0,0,3,9,0,14,0,0,3,3,72,0,81,4,0,4,9,30,15,64,56,66,324,303,865,117,1728
LGA26700,133,400,129,127,20,898,120,158,574,398,482,72,1808,0,3,21,24,38,7,100,10,4,28,47,236,7,339,6,4,24,45,143,45,273,342,407,1805,1524,3723,385,8191
LGA26730,138,586,145,192,19,1242,144,186,757,410,548,92,2138,9,5,25,32,71,10,148,11,7,26,59,287,19,407,7,7,40,32,142,50,274,439,471,2446,1575,4267,449,9640
LGA26810,182,527,172,218,28,1216,144,139,582,398,602,87,1950,9,3,26,21,47,0,109,3,6,37,64,355,16,479,3,3,40,51,250,76,424,396,474,2216,1859,5690,631,11270
LGA26890,15,55,13,16,0,108,4,11,51,41,58,14,176,0,0,6,0,0,0,9,0,0,0,0,25,0,31,0,0,7,3,11,7,30,24,41,199,205,492,64,1033
LGA26980,956,2875,688,453,107,6958,1300,769,3955,1403,1070,258,8755,96,48,348,150,144,28,801,254,94,543,406,764,66,2122,300,63,721,325,435,191,2029,9434,3551,23145,8546,9453,1513,55639
LGA27070,649,2068,791,789,136,5277,802,483,3227,2033,2411,369,9320,37,14,156,158,194,31,584,104,26,312,464,1595,113,2606,171,28,507,409,1011,443,2565,4797,1898,15185,10946,20596,2809,56235
LGA27170,168,463,185,213,25,1217,163,155,669,494,712,64,2250,6,0,12,20,44,7,80,8,3,27,81,371,18,511,3,3,43,38,196,76,366,507,491,2300,2250,5775,468,11794
LGA27260,566,2026,826,743,121,5427,964,524,3224,2166,1991,308,9183,103,31,382,223,337,39,1115,116,39,341,439,1295,78,2310,320,43,649,451,960,459,2882,9363,2320,19482,12422,20131,2786,66508
LGA27350,664,1790,269,149,40,4735,1426,520,2849,489,352,104,5733,200,92,725,168,142,31,1356,167,51,372,166,341,28,1129,200,74,618,169,176,122,1356,8197,2870,20434,4463,4549,832,41343
LGA27450,835,2330,867,805,124,5781,478,532,2105,1868,2094,264,7343,50,32,232,186,272,29,803,88,43,251,369,1786,78,2612,70,39,349,332,1113,327,2231,2646,2254,11057,9291,21732,2009,48992
LGA27630,19,92,27,29,0,180,6,18,79,93,152,21,371,0,0,3,0,8,0,7,0,0,7,8,52,0,66,0,0,0,3,28,18,57,33,47,280,273,796,105,1536
LGA29399,0,8,3,3,0,12,4,0,14,0,0,0,19,0,0,3,3,6,0,15,0,0,0,0,0,0,0,0,0,0,0,3,7,12,20,9,80,44,104,20,270
LGA29499,6,38,9,7,7,99,22,17,51,39,34,9,168,4,3,20,7,7,0,47,3,0,14,10,30,4,67,12,0,14,8,27,21,79,138,57,428,187,437,87,1337
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,12,0,22
