LGA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA20110,27,25,9,5,13,3,0,88,24,46,30,16,25,3,0,146,37,38,22,15,24,7,3,145,327,407,249,137,217,40,8,1387,0,4,0,0,0,0,0,6,417,523,312,176,282,49,16,1778,3,10,3,3,3,0,0,20,6,12,10,11,6,0,3,53,3,6,9,0,0,3,0,17,45,99,64,45,64,15,0,336,12,7,5,0,3,0,0,25,68,133,90,56,80,16,3,458,489,658,406,237,359,73,19,2233
LGA20260,27,33,22,12,5,0,0,106,13,19,8,0,4,3,0,54,20,23,7,9,6,0,0,64,361,361,236,124,183,32,9,1305,0,3,3,0,0,0,0,7,427,432,277,148,205,33,5,1535,3,9,4,0,0,0,0,11,3,9,11,9,4,0,0,32,0,3,6,0,3,3,0,17,80,124,62,53,62,9,7,388,0,6,3,3,0,0,0,11,83,144,77,67,68,12,7,459,511,576,354,207,280,52,14,1993
LGA20570,423,340,186,108,131,59,22,1264,229,245,136,84,125,30,7,860,244,219,112,78,92,33,9,791,4040,3924,2154,1285,1741,612,238,13987,26,22,17,14,11,0,0,86,4966,4744,2596,1566,2103,738,274,16990,32,59,38,31,36,11,9,215,64,84,51,50,60,21,9,337,17,45,27,18,30,12,8,163,942,1257,796,504,749,227,68,4536,45,38,23,16,14,0,0,144,1100,1488,939,617,890,269,90,5388,6068,6230,3533,2182,2992,1002,364,22378
LGA20660,1496,1247,592,350,551,390,234,4869,689,664,326,195,272,197,112,2450,662,556,252,153,197,125,84,2032,3838,3802,2043,1273,1796,1095,544,14393,31,17,13,3,5,0,0,66,6719,6285,3229,1977,2820,1814,975,23808,120,152,113,78,128,104,68,775,53,130,90,57,80,51,26,482,44,44,49,40,65,46,28,319,301,589,410,314,436,242,126,2422,22,32,13,16,7,8,3,97,537,948,687,502,722,452,248,4100,7256,7232,3909,2483,3542,2267,1223,27912
LGA20740,67,58,32,22,36,6,0,230,100,110,48,28,42,9,4,345,86,93,44,28,33,3,0,295,974,1039,574,359,482,113,22,3571,10,8,10,0,3,0,0,30,1241,1306,714,447,597,144,29,4467,8,7,14,6,11,3,0,55,26,44,19,22,13,10,0,132,11,40,13,16,17,7,0,94,236,342,218,155,190,45,9,1190,17,17,13,3,5,0,0,58,299,445,274,204,246,64,10,1540,1539,1752,992,644,842,202,36,6003
LGA20830,103,120,62,52,65,23,9,436,134,161,77,44,78,17,9,523,97,133,76,56,75,25,6,455,1934,2109,1101,695,933,326,103,7204,7,12,9,9,3,0,0,34,2275,2520,1325,853,1149,398,117,8652,9,17,12,4,25,8,3,77,25,37,25,18,21,10,5,147,20,19,10,12,19,11,5,95,341,500,311,211,325,94,17,1785,17,13,5,0,4,0,0,44,405,590,368,249,397,117,30,2148,2688,3105,1695,1098,1549,518,147,10801
LGA20910,866,1178,700,420,653,380,226,4419,584,657,404,260,308,191,127,2521,585,740,407,234,327,176,108,2578,2361,3030,1961,1266,1707,1077,614,12009,12,14,8,3,3,4,3,42,4403,5615,3483,2177,2991,1823,1075,21565,52,117,87,69,127,83,40,569,34,81,77,48,90,53,40,418,39,53,49,39,58,29,26,286,136,300,246,193,275,182,96,1429,13,12,13,3,11,0,0,54,276,561,476,350,557,345,198,2755,4674,6181,3953,2522,3549,2171,1277,24329
LGA21010,19,24,19,4,3,0,0,73,6,18,0,11,5,0,0,47,38,23,12,6,19,0,0,102,374,421,258,162,262,51,11,1537,4,0,0,0,0,0,0,3,437,489,293,189,288,54,9,1756,5,3,0,3,0,0,0,11,9,9,6,10,7,3,0,52,4,7,3,4,8,0,0,18,123,160,109,71,98,19,3,580,17,13,3,3,0,0,0,30,157,191,122,95,113,26,3,700,595,681,421,277,398,80,11,2464
LGA21110,2137,2256,1320,905,1288,980,563,9442,690,837,524,346,460,321,189,3370,810,959,556,332,470,348,191,3664,3232,4528,3104,2061,2821,1991,1192,18937,20,21,15,6,9,4,6,79,6880,8599,5518,3642,5056,3646,2141,35486,168,354,287,210,412,289,147,1867,55,113,85,81,108,79,50,572,25,98,53,59,66,52,38,398,135,324,304,266,404,255,173,1860,14,14,7,7,6,0,6,57,391,909,738,616,995,684,420,4754,7279,9506,6256,4260,6047,4331,2559,40235
LGA21180,5957,5004,2751,1791,2615,1964,1159,21242,779,638,397,231,309,207,114,2663,749,593,277,171,257,155,91,2293,2478,2166,1199,821,1103,589,254,8613,105,99,59,23,24,9,3,316,10070,8496,4679,3037,4305,2920,1616,35125,972,1354,868,676,1010,655,412,5944,194,209,106,84,110,57,29,794,170,165,104,58,85,42,23,651,501,703,443,304,405,166,87,2608,141,150,89,58,64,31,14,547,1983,2571,1611,1183,1674,956,575,10544,12046,11065,6293,4223,5979,3879,2193,45674
