LGA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA20110,64,52,23,45,31,16,3,14,0,256,65,67,36,90,49,44,6,18,5,390,230,36,509,149,80,60,127,146,19,1367,14,6,8,17,15,9,8,13,0,86,27,0,15,22,28,12,13,13,3,131,5,8,7,3,4,0,5,11,0,39,33,18,14,16,15,16,15,21,7,155,651,756,656,453,303,202,186,291,46,3551
LGA20260,69,47,17,61,31,5,4,4,0,243,45,30,22,70,39,18,7,17,6,252,201,54,311,248,70,56,68,141,19,1161,13,4,4,11,5,11,4,10,0,70,17,3,7,39,9,7,7,13,0,106,12,3,5,3,3,3,0,14,3,44,35,9,22,22,8,14,9,30,8,162,539,580,398,523,213,131,107,268,45,2808
LGA20570,311,509,163,320,292,115,61,76,27,1874,361,480,297,723,522,231,59,122,42,2841,992,439,3858,1453,1093,758,648,943,115,10300,41,25,53,106,135,126,32,106,3,628,71,46,70,162,129,94,47,75,6,705,23,64,29,30,34,22,10,15,7,237,74,98,112,112,85,106,78,135,74,873,3443,9040,4982,3822,3223,1814,1035,1708,406,29471
LGA20660,496,801,271,434,551,205,63,99,25,2932,587,716,457,694,703,288,76,141,54,3708,941,479,3729,1155,937,515,415,604,128,8904,40,27,43,89,116,58,16,36,0,425,111,92,84,187,247,101,55,83,11,974,44,122,39,45,83,38,14,22,15,420,92,176,98,113,118,74,35,64,100,873,6292,16570,5639,4140,5305,2235,873,1480,584,43124
LGA20740,95,130,54,74,84,48,5,26,10,533,123,116,93,236,132,78,14,53,4,833,441,111,1318,409,232,218,228,349,53,3368,21,11,22,45,24,26,7,25,0,175,37,20,25,72,47,36,16,38,0,295,20,13,14,10,13,10,0,8,4,93,59,27,54,61,38,57,27,61,41,412,1157,1773,1651,1121,711,565,306,619,136,8047
LGA20830,176,241,78,137,123,41,13,59,8,875,230,244,128,376,249,80,30,85,20,1437,817,193,2229,671,520,317,518,664,70,5998,38,14,28,48,61,38,16,54,4,297,49,16,48,99,57,44,37,42,6,404,19,21,9,14,17,10,9,18,3,113,92,40,62,57,61,52,44,75,42,528,2035,3270,2706,1701,1387,669,681,1111,186,13753
LGA20910,598,839,185,252,412,231,25,53,35,2627,613,574,221,376,499,259,32,57,28,2665,755,295,1505,507,461,367,121,252,61,4314,42,18,13,55,68,40,4,15,0,272,129,109,36,111,182,96,16,32,12,732,88,137,27,24,56,35,3,9,12,397,100,141,54,61,103,72,11,18,85,649,8386,14299,2554,2331,3862,2201,299,624,502,35070
LGA21010,64,66,24,50,29,19,5,15,7,267,77,64,41,93,57,13,6,24,0,383,229,55,548,197,138,93,111,141,22,1530,8,3,14,19,21,17,4,21,0,99,17,9,22,25,13,17,12,15,0,129,0,9,3,7,5,7,3,0,0,39,22,16,28,22,17,13,28,31,12,195,599,801,691,473,350,191,177,265,52,3603
LGA21110,805,1081,287,375,609,350,41,96,38,3683,720,728,359,563,768,424,50,141,44,3791,935,455,1722,682,635,508,120,269,86,5405,65,36,27,67,84,60,6,25,4,365,162,132,63,153,242,121,26,37,17,946,158,280,44,51,96,55,7,25,25,741,146,263,56,80,137,79,9,51,125,943,12944,30335,3773,3967,7440,3799,505,1304,949,65012
LGA21180,424,518,496,479,599,271,294,287,54,3424,602,642,802,1135,944,481,444,513,77,5639,957,474,4762,1730,1266,788,1546,1578,212,13313,64,31,59,148,153,111,102,127,18,816,103,69,132,342,270,182,189,209,43,1551,62,102,98,84,111,49,97,80,14,704,116,182,248,230,205,166,254,348,239,1988,4444,10465,7773,5772,6423,3324,3794,4268,929,47198
