LGA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
LGA20110,49,1300,562,200,1322,0.7,1002,2.2
LGA20260,46,1022,556,185,1263,0.7,991,2.3
LGA20570,38,1350,590,250,1489,0.8,1160,2.4
LGA20660,39,1950,728,350,2033,0.8,1655,2.6
LGA20740,50,1315,507,250,1192,0.7,922,2.2
LGA20830,42,1465,585,250,1462,0.8,1196,2.5
LGA20910,44,2500,897,450,2765,0.8,2145,2.6
LGA21010,49,1192,537,200,1232,0.7,946,2.2
LGA21110,38,2500,869,406,2652,0.9,2083,2.6
LGA21180,35,1599,487,300,1358,0.9,1263,3
LGA21270,51,693,473,120,1110,0.7,839,2.2
LGA21370,45,1300,561,200,1349,0.8,1081,2.4
LGA21450,34,1733,680,320,1700,0.8,1497,2.8
LGA21610,34,1733,640,340,1655,0.9,1554,3.1
LGA21670,50,975,452,195,1001,0.7,775,2.2
LGA21750,45,1300,574,210,1362,0.8,1057,2.3
LGA21830,46,1083,542,170,1301,0.7,1043,2.4
LGA21890,36,1950,650,339,1784,0.9,1423,2.5
LGA22110,50,1293,506,220,1192,0.7,935,2.2
LGA22170,38,1621,660,306,1649,0.8,1331,2.5
LGA22250,49,977,498,150,1188,0.7,908,2.2
LGA22310,37,2143,780,390,2248,0.9,1741,2.5
LGA22410,47,1083,536,182,1362,0.7,1043,2.3
LGA22490,39,1550,628,260,1630,0.8,1448,2.8
LGA22620,39,1387,604,250,1452,0.8,1184,2.4
LGA22670,35,1600,475,300,1260,1,1168,2.9
LGA22750,40,1517,600,280,1576,0.8,1244,2.4
LGA22830,39,1300,588,220,1417,0.8,1163,2.5
LGA22910,50,1300,532,235,1287,0.8,996,2.2
LGA22980,50,780,497,140,1217,0.7,907,2.2
LGA23110,38,1900,704,330,1921,0.9,1567,2.6
LGA23190,42,1200,617,200,1408,0.7,1110,2.3
LGA23270,33,1650,529,320,1473,0.9,1379,3.1
LGA23350,46,1400,641,210,1540,0.8,1265,2.4
LGA23430,40,1993,704,351,1938,0.9,1537,2.5
LGA23670,39,1733,664,351,1820,0.8,1561,2.7
LGA23810,41,1200,544,200,1415,0.8,1078,2.3
LGA23940,51,809,467,125,1116,0.8,826,2.2
LGA24130,42,1733,702,315,1932,0.8,1638,2.7
LGA24210,43,2050,629,415,1895,0.8,1642,2.8
LGA24250,48,1352,580,231,1338,0.7,1062,2.3
LGA24330,33,2000,703,330,1913,1,1551,2.5
LGA24410,38,1800,696,341,1895,0.8,1544,2.6
LGA24600,28,2000,642,450,2062,1.1,1354,2
LGA24650,33,1704,658,300,1683,0.9,1542,3
LGA24780,40,1200,555,210,1340,0.8,1064,2.4
LGA24850,37,1582,648,265,1620,0.8,1391,2.7
LGA24900,47,1235,524,200,1283,0.8,1014,2.4
LGA24970,37,2000,569,391,1809,0.9,1512,2.7
LGA25060,38,2000,744,350,2098,0.9,1635,2.5
LGA25150,40,1559,635,260,1670,0.8,1391,2.6
LGA25250,34,1950,680,355,1843,0.9,1503,2.5
LGA25340,46,1733,630,310,1621,0.8,1276,2.4
LGA25430,49,1300,550,250,1311,0.8,1002,2.2
LGA25490,43,1300,620,180,1486,0.8,1225,2.5
LGA25620,48,1400,553,220,1388,0.8,1071,2.3
LGA25710,41,2000,784,369,2307,0.8,2098,3
LGA25810,48,953,513,170,1257,0.7,931,2.2
LGA25900,36,2167,1087,400,2559,1,1842,2
LGA25990,50,1066,472,160,1148,0.7,876,2.3
LGA26080,60,1623,671,300,1571,0.6,1173,2
LGA26170,47,1300,537,214,1320,0.7,1039,2.4
LGA26260,46,1082,576,175,1370,0.7,1043,2.3
LGA26350,35,2200,1042,400,2680,1,1944,2.2
LGA26430,52,1170,546,190,1293,0.7,962,2.2
LGA26490,42,1842,722,363,1876,0.8,1571,2.6
LGA26610,40,1130,580,185,1358,0.8,1094,2.4
LGA26670,50,1083,535,150,1340,0.7,1043,2.3
LGA26700,45,1300,595,210,1386,0.7,1085,2.3
LGA26730,40,1430,618,250,1503,0.8,1182,2.4
LGA26810,43,1300,562,210,1409,0.7,1101,2.3
LGA26890,48,657,555,80,1302,0.7,987,2.2
LGA26980,38,2000,619,376,1916,0.9,1507,2.6
LGA27070,34,1798,591,331,1569,0.9,1444,3
LGA27170,36,1430,674,250,1550,0.8,1273,2.5
LGA27260,32,1733,685,320,1714,0.9,1620,3.1
LGA27350,33,2167,1039,421,2509,1,1958,2.1
LGA27450,40,1733,667,325,1770,0.8,1501,2.7
LGA27630,50,665,491,130,1179,0.7,885,2.2
LGA29399,31,775,741,285,1430,1,1087,2.1
LGA29499,34,0,398,0,0,0,0,0
LGA29799,49,0,3000,0,0,0,0,0
