LGA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
LGA20110,0,6,300,306,3,19,164,187,119,90,174,384,297,99,155,548,426,109,214,749,575,89,250,914,486,38,170,693,267,10,84,361,57,3,41,103,2223,472,1552,4240,0,3,285,295,10,32,115,156,160,112,143,416,374,110,163,651,480,114,200,791,570,64,260,895,425,36,252,720,185,10,200,392,33,0,110,144,2239,489,1729,4458,0,10,587,598,16,52,274,346,274,203,318,800,668,214,318,1196,905,227,410,1544,1141,156,506,1811,912,80,424,1412,455,15,288,755,93,3,155,244,4460,960,3276,8696
LGA20260,0,4,276,282,4,37,179,220,137,118,207,464,248,88,163,492,360,87,198,646,454,57,234,738,397,39,163,596,226,6,89,325,44,0,52,103,1867,426,1567,3869,0,10,243,254,9,57,131,205,179,108,173,463,300,90,142,524,373,86,227,690,466,46,206,718,363,12,207,589,155,4,185,349,24,3,112,140,1870,424,1635,3929,0,14,522,539,16,92,309,420,318,228,376,921,544,175,308,1023,728,177,427,1333,919,99,443,1460,758,50,376,1184,382,14,276,672,74,3,163,238,3737,851,3204,7793
LGA20570,0,25,2879,2904,60,445,2647,3150,1851,1420,2421,5683,3142,777,1404,5318,3221,622,1586,5438,3209,400,1386,4997,2608,186,968,3764,1363,64,507,1933,337,8,254,593,15781,3947,14050,33781,3,57,2625,2683,112,655,2464,3230,2327,1396,2322,6052,3377,791,1845,6012,3337,650,2233,6224,3159,334,2162,5660,2449,137,1823,4409,1008,29,1474,2510,161,3,884,1045,15933,4063,17824,37828,3,83,5505,5593,170,1101,5107,6378,4177,2814,4743,11738,6517,1568,3249,11336,6556,1272,3822,11657,6368,737,3542,10653,5057,328,2790,8173,2366,97,1982,4447,493,13,1135,1641,31720,8012,31876,71609
LGA20660,0,6,3300,3308,38,183,3255,3477,2430,1425,3394,7248,5192,944,1687,7820,4694,705,1727,7131,4341,442,1515,6296,3661,206,1037,4904,1858,36,587,2480,532,11,345,891,22745,3959,16829,43542,0,18,3108,3123,110,296,2892,3293,3180,1515,2850,7547,5510,992,1856,8355,4876,658,2380,7915,4363,384,2371,7119,3271,148,2000,5417,1388,33,1699,3116,271,3,1105,1378,22964,4039,20265,47267,3,26,6400,6426,152,480,6144,6767,5611,2941,6245,14791,10693,1937,3542,16176,9578,1359,4110,15047,8706,825,3887,13412,6928,353,3036,10319,3248,65,2286,5601,800,14,1452,2268,45714,7999,37094,90809
LGA20740,0,10,746,753,13,81,381,475,392,337,496,1226,729,244,401,1369,977,238,577,1785,1208,205,674,2088,1414,120,527,2065,702,29,298,1021,177,3,135,312,5607,1258,4237,11103,0,15,691,705,32,143,320,494,510,331,482,1323,857,258,510,1621,1045,233,667,1944,1271,208,813,2296,1333,93,816,2248,493,17,576,1093,97,0,319,416,5637,1299,5194,12127,0,18,1441,1459,44,221,702,967,898,670,979,2544,1589,497,911,2995,2020,466,1243,3732,2471,416,1491,4383,2753,211,1346,4313,1198,50,869,2112,270,3,454,727,11240,2559,9436,23233
LGA20830,0,8,1420,1432,34,164,898,1100,892,557,775,2222,1415,341,554,2310,1719,340,677,2736,1888,249,698,2827,1773,102,471,2340,853,27,298,1185,183,0,117,300,8756,1793,5911,16456,3,25,1311,1335,71,219,783,1073,1123,590,771,2488,1574,370,664,2608,1880,348,854,3083,1938,217,908,3064,1609,76,763,2453,556,19,678,1249,85,7,359,455,8840,1870,7091,17805,3,32,2730,2764,107,376,1682,2172,2019,1150,1547,4708,2989,711,1217,4922,3607,686,1529,5819,3825,464,1603,5891,3383,184,1231,4794,1407,46,976,2433,269,4,479,757,17601,3661,13004,34262
LGA20910,0,4,3054,3054,14,75,2232,2323,1003,690,1650,3339,3715,662,795,5170,5108,653,1059,6820,3995,423,1040,5459,3037,228,749,4013,1414,63,481,1955,529,17,339,885,18816,2810,11401,33028,0,9,2766,2775,25,113,2045,2184,1495,783,1543,3822,4348,714,1185,6253,5488,627,1683,7793,3846,401,1747,5993,2698,144,1690,4537,1033,42,1382,2455,275,10,1218,1503,19215,2849,15247,37308,0,12,5815,5828,35,188,4274,4508,2496,1470,3194,7166,8070,1376,1977,11425,10599,1275,2738,14612,7839,823,2790,11448,5738,378,2433,8546,2449,103,1859,4412,803,30,1562,2393,38027,5653,26649,70330
LGA21010,0,6,345,346,11,49,234,288,173,111,205,486,293,92,156,541,423,83,236,738,585,97,260,943,540,54,223,813,303,24,109,444,87,0,63,153,2411,519,1821,4748,0,13,315,329,21,60,177,254,214,122,217,556,330,78,206,622,510,101,298,910,621,82,305,1007,493,46,304,848,232,6,240,478,40,3,176,222,2461,511,2238,5211,0,19,664,677,28,109,405,538,392,233,425,1049,623,174,367,1158,928,181,530,1646,1206,180,568,1951,1036,94,529,1655,538,34,349,913,129,7,231,373,4870,1032,4065,9966
LGA21110,5,23,5443,5463,57,327,5735,6115,2700,2032,5244,9976,6068,949,1709,8724,7896,752,1645,10293,6419,463,1367,8249,4482,240,1011,5731,2238,81,656,2970,726,25,442,1188,30580,4885,23249,58715,4,14,5406,5426,112,489,5280,5888,3520,2003,4837,10360,7067,904,2415,10390,8429,729,2889,12050,6090,400,2638,9129,3985,179,2429,6592,1626,38,2100,3767,354,10,1572,1931,31186,4771,29568,65527,9,36,10849,10895,168,815,11015,11998,6218,4035,10084,20333,13142,1852,4118,19114,16328,1483,4535,22340,12509,867,4003,17380,8462,418,3441,12323,3862,119,2759,6740,1076,31,2016,3121,61769,9655,52818,124247
LGA21180,14,17,5862,5890,244,241,7069,7556,4947,1328,8433,14711,7018,1071,3905,11991,7111,885,3348,11340,6815,570,2462,9854,5287,258,1461,7000,2350,68,770,3180,486,11,315,808,34261,4436,33621,72328,24,29,5603,5648,700,326,5421,6443,6674,1487,5822,13988,7317,1118,3897,12327,7021,812,4000,11839,6630,455,3540,10624,4356,198,2580,7135,1474,33,2114,3626,205,7,1031,1244,34403,4464,34013,72876,35,37,11467,11544,938,565,12496,13998,11627,2810,14258,28694,14332,2197,7795,24322,14132,1699,7349,23176,13448,1025,6006,20479,9638,460,4041,14132,3822,101,2887,6808,694,12,1347,2050,68661,8906,67634,145200
