LGA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
LGA20110,0,0,0,0,0,3,9,3,0,19,0,0,0,3,0,0,0,0,0,5,0,0,0,16,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,4,0,17,0,0,0,6,9,24,85,107,49,278,0,0,0,3,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,3,0,4,3,7,0,0,0,17,0,0,0,0,3,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,4,4,0,0,0,0,0,13,0,0,3,3,0,16,26,12,0,62,3,14,8,38,38,39,13,3,0,160,0,0,0,0,0,8,0,3,0,14,0,0,0,0,0,0,0,0,0,0
LGA20260,0,0,0,0,3,3,3,0,0,10,0,0,9,0,0,0,0,0,0,9,0,5,3,49,3,0,4,0,0,69,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,0,0,10,0,0,0,0,9,9,3,4,3,23,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,20,7,4,39,0,13,14,78,30,25,8,8,0,181,0,0,0,3,0,0,0,0,0,3,0,4,0,11,3,0,0,0,0,22
LGA20570,0,0,0,0,3,12,21,20,7,65,0,9,9,8,11,9,9,0,0,45,15,66,69,582,63,32,30,5,6,860,0,3,9,20,3,4,10,0,0,54,0,3,4,35,3,4,5,0,0,60,0,3,0,18,11,0,0,0,0,32,0,8,12,36,16,14,26,17,8,129,0,0,0,7,16,25,50,45,31,179,0,6,3,41,11,5,3,9,0,81,0,4,3,24,0,0,0,0,0,43,0,0,0,5,3,0,0,0,0,12,0,18,21,64,30,30,7,9,0,183,0,0,0,3,0,20,30,10,0,63,0,0,3,9,0,4,0,0,0,22,0,0,3,9,3,0,3,3,0,18,0,0,3,27,3,0,0,0,0,36,3,3,3,12,17,86,230,151,32,537,8,47,77,224,152,129,82,37,13,763,0,0,3,3,14,12,16,16,5,66,0,9,9,46,4,3,0,0,0,65
LGA20660,0,11,11,53,103,250,296,260,88,1075,4,23,30,168,46,77,40,15,4,409,32,105,196,1242,186,122,99,36,8,2025,4,11,24,113,26,28,13,8,4,222,5,26,46,374,49,35,18,8,3,564,0,4,7,45,19,16,3,3,0,97,3,12,7,155,68,50,54,39,7,396,4,11,13,80,123,375,703,564,287,2150,3,14,19,109,36,18,10,3,7,222,0,30,23,118,22,14,0,0,0,209,0,3,8,77,94,79,66,42,13,373,7,37,90,372,136,193,108,34,5,983,0,0,0,7,13,58,98,29,3,212,0,0,14,38,21,31,19,6,6,143,0,0,12,33,8,5,0,0,0,62,0,4,16,66,4,0,0,0,0,84,0,12,5,37,22,32,67,46,21,249,28,96,135,554,259,182,99,35,15,1403,0,9,3,23,12,16,28,15,9,112,0,7,26,99,19,12,8,0,0,172
LGA20740,0,0,0,3,9,7,22,25,4,71,0,0,3,6,0,11,4,0,0,21,5,4,7,75,11,13,17,3,6,128,0,0,0,9,3,3,4,0,0,17,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,13,27,21,3,87,0,0,0,3,8,43,91,54,29,232,0,0,0,3,11,7,3,0,0,21,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,5,8,0,0,35,0,0,0,0,0,15,46,5,0,68,0,0,0,5,7,5,4,0,0,26,0,0,0,12,3,3,0,0,0,20,0,0,0,22,0,0,0,0,0,22,0,0,0,12,12,40,111,61,17,261,11,24,22,119,80,112,93,38,5,510,0,0,0,5,7,14,16,12,3,54,0,0,0,0,0,0,0,0,0,3
LGA20830,0,0,0,0,3,5,9,10,0,27,0,0,4,5,3,3,0,0,0,20,5,4,12,100,15,8,16,8,0,168,0,0,3,3,6,0,3,0,0,19,0,0,0,6,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,7,0,19,6,9,14,19,3,82,0,0,0,3,13,32,60,64,13,182,0,6,3,13,3,0,0,0,0,20,0,0,0,7,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,7,0,0,0,18,8,4,7,0,0,40,0,0,8,0,7,6,17,3,0,39,0,0,0,13,11,3,4,0,0,41,0,0,0,3,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,8,22,77,167,71,28,371,3,23,60,148,118,87,67,17,7,528,0,0,0,7,17,11,25,10,3,60,0,0,0,6,0,0,0,0,0,9
LGA20910,0,11,8,22,77,133,180,197,53,686,3,40,37,45,32,34,15,11,0,218,7,29,49,332,139,100,79,54,28,812,0,7,8,42,13,8,11,4,3,95,0,0,0,51,17,13,13,7,0,98,0,0,3,0,4,7,6,0,0,19,8,40,26,223,102,59,47,42,20,559,4,13,15,74,67,102,170,175,114,725,10,62,33,104,53,28,15,3,3,305,0,16,21,47,8,7,0,3,0,105,0,0,3,18,31,26,12,7,5,105,5,10,25,123,80,87,43,23,3,396,0,0,0,3,8,20,30,8,5,78,0,0,0,31,24,21,11,12,0,98,0,0,0,0,9,6,3,0,0,18,0,0,0,9,0,0,0,0,0,16,4,49,13,50,57,49,61,34,20,328,16,127,170,529,427,295,156,53,29,1793,0,0,0,36,35,23,23,18,4,141,0,0,10,26,0,5,9,0,0,48
LGA21010,0,0,0,0,0,3,0,0,0,10,0,0,0,3,3,0,0,0,0,7,3,7,0,39,3,3,3,0,0,56,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,6,0,0,0,0,0,8,5,4,0,21,0,0,0,0,3,0,11,12,3,28,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,10,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,11,32,20,3,75,0,0,7,17,25,17,12,10,6,92,0,0,0,3,0,3,8,0,0,12,0,0,0,0,0,0,0,0,0,0
LGA21110,3,10,11,35,139,268,402,554,178,1605,33,131,218,511,300,333,159,72,6,1763,90,254,444,2342,375,237,204,71,37,4050,12,28,141,354,69,68,53,26,3,743,6,23,40,389,78,52,47,10,3,646,15,23,29,86,20,4,3,3,0,175,0,24,13,191,74,72,57,36,28,489,0,17,16,115,113,189,430,427,215,1529,4,22,57,157,86,23,33,10,7,396,5,64,132,336,114,35,13,3,0,697,0,3,5,26,43,21,16,15,11,136,14,99,403,1023,590,614,410,144,32,3333,0,0,0,10,7,32,37,12,6,109,0,3,8,65,29,25,15,7,7,158,0,0,3,25,20,9,3,9,3,69,0,0,39,71,3,7,0,0,0,121,0,21,19,54,38,52,83,33,18,314,34,191,322,907,472,372,212,103,33,2647,0,3,4,27,25,24,22,13,13,121,5,8,46,107,29,22,6,0,0,228
LGA21180,10,32,24,103,205,377,643,684,153,2222,0,4,65,313,42,61,24,6,4,522,171,426,1486,5504,681,515,356,98,48,9284,8,12,28,261,40,30,15,4,0,392,6,81,63,357,46,22,10,8,0,596,14,58,50,198,83,38,23,7,3,475,0,20,3,65,19,21,41,16,7,199,3,22,41,105,257,676,975,806,294,3191,0,12,20,51,7,5,0,0,0,96,0,4,22,96,10,11,7,5,0,153,3,11,37,218,208,183,82,40,9,787,74,120,77,379,84,111,54,7,0,918,3,5,24,107,252,1146,1833,927,223,4524,0,5,14,89,34,36,27,6,3,216,15,165,292,809,116,48,17,9,0,1462,3,14,156,395,18,16,0,0,0,600,0,0,4,17,11,41,72,39,11,198,134,721,744,1091,313,193,62,14,7,3273,0,0,4,13,13,23,25,20,12,108,48,89,335,1207,72,40,19,5,0,1817
