LGA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
LGA20110,45,4,100,38,18,19,14,31,8,274,0,0,0,0,0,0,0,0,0,0,3,9,3,10,3,3,4,8,0,36,30,10,13,10,15,12,15,21,12,134,651,756,656,453,303,202,186,291,46,3551
LGA20260,23,9,62,33,11,19,3,21,3,183,0,0,0,0,0,0,0,3,0,6,5,8,3,11,6,0,4,7,0,37,21,8,16,15,6,13,10,28,9,132,539,580,398,523,213,131,107,268,45,2808
LGA20570,163,43,630,280,196,204,69,176,15,1777,4,4,3,6,3,5,3,8,0,40,68,98,49,62,70,19,27,29,8,430,59,64,138,80,69,97,74,108,100,779,3443,9040,4982,3822,3223,1814,1035,1708,406,29471
LGA20660,192,70,546,253,214,180,46,107,12,1623,3,4,8,3,7,0,0,8,0,38,118,218,57,78,124,53,24,23,30,723,74,106,102,76,88,67,44,68,132,755,6292,16570,5639,4140,5305,2235,873,1480,584,43124
LGA20740,74,9,233,98,50,67,28,55,3,628,0,0,0,0,0,0,0,3,0,8,14,24,17,11,5,10,5,14,5,108,61,16,64,41,28,48,18,50,42,372,1157,1773,1651,1121,711,565,306,619,136,8047
LGA20830,88,21,265,96,81,76,36,103,7,768,3,3,0,0,0,0,3,3,0,13,25,30,25,27,22,7,14,19,3,180,82,23,84,51,43,49,43,72,41,483,2035,3270,2706,1701,1387,669,681,1111,186,13753
LGA20910,183,52,292,161,144,136,16,49,11,1031,7,3,4,0,4,0,0,0,0,16,167,227,30,49,91,77,4,10,20,676,91,99,48,39,58,56,14,19,86,512,8386,14299,2554,2331,3862,2201,299,624,502,35070
LGA21010,25,6,83,35,17,26,8,23,3,233,0,0,0,0,0,0,0,0,0,0,3,5,3,3,7,3,8,3,5,36,27,15,30,18,21,10,26,37,14,193,599,801,691,473,350,191,177,265,52,3603
LGA21110,315,79,525,292,207,182,29,70,14,1712,12,5,7,8,4,7,3,5,3,55,256,381,50,86,181,108,14,28,25,1124,132,191,49,52,79,64,11,42,161,779,12944,30335,3773,3967,7440,3799,505,1304,949,65012
LGA21180,273,53,1069,500,327,314,261,376,35,3214,12,8,8,11,8,15,26,35,5,126,70,122,101,87,130,64,110,102,24,809,95,121,295,203,170,169,268,315,293,1924,4444,10465,7773,5772,6423,3324,3794,4268,929,47198
