LGA_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
LGA23940,0,0,0,0,0,0,0,0,0,0,146,361,263,501,419,589,453,233,86,3046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,5,0,0,0,0,9,23,27,14,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,21,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA24130,0,0,0,0,0,0,0,0,0,0,1364,3091,2370,3941,2602,2287,1658,597,180,18096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,8,0,3,0,17,3,3,5,0,0,31,0,0,0,0,3,5,0,0,0,9,3,3,8,10,6,4,3,3,0,39,0,0,0,3,7,11,12,3,3,45,0,0,0,0,0,6,7,3,0,20,3,33,28,135,221,209,228,115,26,994,0,0,0,7,0,0,0,0,0,6,0,0,0,9,4,3,3,0,0,26,0,0,4,11,13,17,60,24,7,136,0,0,0,0,4,9,8,8,0,23,0,0,4,3,0,3,0,0,0,12,0,0,3,31,8,5,9,11,0,66,0,0,0,0,4,4,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6
LGA24210,0,0,0,7,3,4,0,0,0,12,2604,5510,5405,6577,4365,3048,2243,1696,567,32011,0,0,3,10,5,8,0,0,0,22,0,0,3,0,12,6,0,0,0,23,0,0,0,8,11,11,5,0,0,39,0,10,12,15,17,11,0,8,0,64,0,3,6,10,9,12,0,3,0,45,50,257,707,1785,757,670,392,199,76,4887,0,0,0,13,17,24,40,53,9,153,0,15,9,74,37,84,57,40,14,342,17,91,71,162,268,216,237,175,62,1286,0,0,0,21,19,21,8,12,0,77,0,3,3,7,8,4,4,6,0,44,5,4,6,32,26,24,85,62,21,259,3,13,10,39,108,246,375,419,109,1314,15,61,143,479,192,370,156,55,8,1472,12,37,70,427,118,105,82,35,13,894,0,8,22,86,23,26,25,10,3,203,9,81,102,461,165,96,65,17,3,1007,0,7,6,26,10,10,0,0,0,64
LGA24250,0,0,0,0,0,0,0,0,0,0,207,487,352,610,452,559,484,183,56,3383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,13,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,4,12,15,25,48,17,3,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,16,17,4,40,0,0,0,0,0,0,4,0,0,4,0,3,3,0,0,0,0,0,0,9,0,0,0,11,5,0,3,0,0,15,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA24330,0,0,25,43,10,3,0,0,0,81,2554,3159,3232,7752,2353,1509,627,251,160,21597,9,5,41,281,8,3,3,0,0,362,0,0,4,30,14,11,17,16,0,84,0,0,0,9,14,16,4,0,3,57,3,3,5,55,11,5,4,0,0,85,0,3,3,32,27,17,28,10,0,116,6,16,293,431,110,102,50,36,28,1069,3,0,0,16,31,23,41,46,4,162,0,3,3,28,11,12,12,3,3,69,20,23,47,419,198,122,49,14,16,897,0,4,0,30,15,9,3,0,0,68,3,0,3,38,6,0,4,0,0,60,0,0,11,38,9,12,29,10,0,111,0,0,3,20,42,53,84,135,42,381,0,3,17,102,17,11,4,0,0,159,43,76,403,1452,71,27,17,3,0,2090,0,16,26,107,8,8,7,3,0,173,0,4,19,137,17,3,0,0,0,186,0,3,9,33,7,3,0,0,0,56
LGA24410,0,0,0,13,4,7,0,0,0,17,3536,5938,5648,10184,5088,4006,2600,1303,530,38826,0,0,0,17,4,0,3,0,0,30,0,0,3,11,3,10,3,0,0,28,0,0,0,34,24,21,10,8,0,91,0,8,8,29,11,13,8,0,0,78,0,0,0,16,15,3,14,3,0,51,21,56,141,682,161,119,71,36,3,1285,0,0,0,3,12,25,12,17,3,64,3,5,3,17,13,24,11,7,0,81,6,63,76,317,411,429,462,259,115,2137,0,0,4,15,15,13,4,3,0,51,0,3,0,20,3,13,3,3,0,46,0,4,12,27,34,43,81,64,15,281,0,0,0,3,15,15,33,22,4,96,8,3,22,105,26,38,9,4,0,222,21,71,84,611,90,63,52,20,4,1012,0,7,3,49,13,9,7,8,3,89,3,21,25,149,32,19,11,4,0,259,0,0,3,15,6,3,3,0,0,25
LGA24600,0,3,25,12,0,0,0,0,0,38,1577,1458,3835,9608,2301,1952,1320,473,182,22715,0,0,36,47,0,0,0,0,0,84,0,0,4,32,8,4,3,4,0,53,0,0,46,25,6,0,0,0,0,82,6,4,39,148,23,7,0,0,0,224,4,0,3,90,8,13,4,7,0,133,24,89,5191,2655,248,175,87,69,31,8572,0,0,0,19,10,10,13,4,0,59,0,7,10,39,18,13,19,7,4,120,8,29,233,826,265,184,150,57,20,1771,0,0,3,43,4,8,5,0,0,64,0,3,76,214,15,5,5,5,0,324,0,5,43,140,37,22,34,15,5,303,0,0,6,29,16,20,21,12,11,111,11,6,377,410,43,30,10,9,5,898,145,95,437,2739,68,42,33,8,0,3569,3,3,941,484,22,13,15,0,3,1492,0,0,17,234,18,12,4,0,0,297,0,0,5,17,4,5,4,0,0,39
LGA24650,0,0,11,36,14,3,0,3,0,69,5277,9145,6529,12635,4211,2798,1470,475,142,42676,0,9,8,64,16,15,3,0,0,110,0,0,12,111,66,37,9,8,3,249,0,0,0,5,3,6,0,0,0,19,0,4,5,18,15,4,0,0,0,48,0,7,10,79,65,29,48,5,0,244,5,12,28,167,44,36,12,12,0,332,0,3,15,65,86,94,64,33,0,368,3,44,34,139,65,58,45,14,3,411,4,66,52,211,268,264,255,137,33,1303,0,8,19,124,48,22,7,4,0,237,0,0,0,11,7,9,3,0,0,23,0,0,15,25,29,37,100,24,6,239,0,7,3,25,52,62,48,24,6,221,4,0,9,41,10,10,4,0,0,74,26,165,263,1670,305,170,68,30,3,2685,5,8,20,55,19,13,3,3,0,110,0,4,14,44,19,11,0,0,0,91,8,19,31,86,28,12,10,0,0,187
LGA24780,0,17,34,69,35,20,10,0,0,179,1570,3166,2820,4702,2668,2759,1950,921,365,20920,0,0,0,3,0,3,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,3,0,6,3,3,0,0,0,16,0,0,3,3,0,3,0,0,0,9,0,0,0,3,0,0,0,0,0,3,0,0,15,19,3,4,3,4,0,58,0,0,0,0,3,4,9,15,3,36,0,0,0,6,0,0,4,0,0,11,3,5,19,49,59,71,92,37,16,366,0,0,0,10,0,0,3,0,0,21,0,0,9,7,3,0,0,0,0,18,0,0,0,3,0,6,35,9,0,58,0,0,0,0,5,11,28,21,12,80,0,0,0,16,0,4,0,0,0,26,4,15,11,139,15,7,10,0,0,209,0,0,0,5,0,3,0,0,0,14,0,0,4,11,3,0,0,0,0,24,0,5,3,12,12,0,0,0,0,31
LGA24850,0,0,0,0,0,0,0,0,0,3,1398,2594,2373,4074,2157,1877,1202,492,154,16324,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,0,10,4,0,0,0,0,25,0,0,0,3,0,0,0,0,0,5,0,8,127,9,3,7,0,0,0,151,0,0,0,4,4,7,3,3,0,21,0,0,0,0,0,4,3,5,0,9,0,16,19,58,131,121,116,47,15,524,0,0,5,6,3,3,0,0,0,19,0,0,0,3,3,4,0,0,0,10,0,0,0,11,7,10,29,13,4,68,0,0,0,3,8,11,8,3,0,31,0,3,0,0,0,0,3,0,0,3,5,6,5,114,11,10,9,0,0,158,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,12,3,0,3,0,0,21
